xml_id	midi_id	track	channel	pitch	onset
n27-1	n4	0	0	29	2.2863225
n25-1	n0	0	0	30	2.00988046875
n29-1	n10	0	0	30	2.5173585937500005
n31-1	n11	0	0	31	2.6468990625
n33-1	n15	0	0	32	2.797807031249999
n35-1	n19	0	0	33	2.9433731249999995
n28-1	n6	0	0	41	2.3210446875
n26-1	n2	0	0	42	2.0339189062500003
n30-1	n9	0	0	42	2.5120167187500004
n32-1	deletion
n34-1	n17	0	0	44	2.8165035937499994
n36-1	deletion
n3-1	deletion
n1-1	n3	0	0	54	2.07131203125
n5-1	n8	0	0	54	2.5093457812500004
n7-1	n13	0	0	55	2.6615892187499997
n9-1	n16	0	0	56	2.8138326562499993
n11-1	n20	0	0	57	2.9447085937499993
n4-1	n5	0	0	65	2.2943353125
n2-1	n1	0	0	66	2.0312479687500002
n6-1	n7	0	0	66	2.4732881250000003
n8-1	n12	0	0	67	2.654911875
n10-1	n14	0	0	68	2.7884587499999993
n12-1	n18	0	0	69	2.9326893749999994
n39-1	n25	0	0	31	3.226492499999998
n37-1	n22	0	0	32	3.0795909374999986
n41-1	n29	0	0	32	3.361374843749998
n40-1	deletion
n38-1	n24	0	0	44	3.1156485937499987
n42-1	n30	0	0	44	3.377400468749998
n15-1	n27	0	0	55	3.238511718749998
n13-1	n23	0	0	56	3.0929456249999987
n17-1	n31	0	0	56	3.377400468749998
n16-1	n26	0	0	67	3.2345053124999983
n14-1	n21	0	0	68	3.0675717187499987
n18-1	n28	0	0	68	3.352026562499998
n43-1	n32	0	0	33	3.4882443749999976
n45-1	n36	0	0	34	3.621791249999997
n47-1	n40	0	0	35	3.7593445312499965
n44-1	deletion
n46-1	n38	0	0	46	3.636481406249997
n48-1	n42	0	0	47	3.7847184374999965
n19-1	n33	0	0	57	3.4895798437499974
n21-1	n37	0	0	58	3.6324749999999972
n23-1	n41	0	0	59	3.7620154687499965
n20-1	n34	0	0	69	3.490915312499997
n22-1	n35	0	0	70	3.6177848437499973
n24-1	n39	0	0	71	3.7473253124999966
n75-1	n48	0	0	33	4.002399843749996
n73-1	n43	0	0	34	3.8782012499999965
n77-1	n50	0	0	34	4.118585624999995
n76-1	deletion
n74-1	n46	0	0	46	3.9009042187499965
n78-1	n52	0	0	46	4.141288593749995
n51-1	n49	0	0	57	4.019760937499995
n49-1	n45	0	0	58	3.8995687499999967
n53-1	n53	0	0	58	4.155978749999995
n52-1	n47	0	0	69	3.999728906249996
n50-1	n44	0	0	70	3.8782012499999965
n54-1	n51	0	0	70	4.125262968749995
n79-1	n54	0	0	35	4.245455156249993
n81-1	n60	0	0	36	4.393692187499993
n83-1	n63	0	0	37	4.507207031249993
n80-1	n57	0	0	47	4.288190156249993
n82-1	n59	0	0	48	4.391021249999993
n84-1	n65	0	0	49	4.529909999999992
n55-1	n56	0	0	59	4.276170937499993
n57-1	n61	0	0	60	4.401704999999993
n59-1	n64	0	0	61	4.515219843749993
n56-1	n55	0	0	71	4.246790624999993
n58-1	n58	0	0	72	4.372324687499994
n60-1	n62	0	0	73	4.500529687499993
n87-1	n73	0	0	35	4.7435849999999915
n85-1	n66	0	0	36	4.611373593749993
n89-1	n76	0	0	36	4.874460937499991
n88-1	n72	0	0	47	4.740914062499992
n86-1	n68	0	0	48	4.615379999999992
n90-1	deletion
n63-1	n71	0	0	59	4.739578593749992
n61-1	n69	0	0	60	4.623392812499993
n65-1	n75	0	0	60	4.858435312499991
n64-1	n70	0	0	71	4.738243124999992
n62-1	n67	0	0	72	4.6127090624999925
n66-1	n74	0	0	72	4.853093437499991
n91-1	deletion
n93-1	n81	0	0	38	5.097484218749991
n95-1	n85	0	0	39	5.232366562499991
n92-1	n78	0	0	49	4.9933176562499915
n94-1	n84	0	0	50	5.109503437499991
n96-1	n87	0	0	51	5.245721249999991
n67-1	n79	0	0	61	4.9933176562499915
n69-1	n82	0	0	62	5.102826093749991
n71-1	n88	0	0	63	5.248392187499991
n68-1	n77	0	0	73	4.982633906249991
n70-1	n83	0	0	74	5.102826093749991
n72-1	n86	0	0	75	5.236372968749992
n121-1	n91	0	0	38	5.375261718749991
n123-1	n93	0	0	39	5.488776562499991
n125-1	n99	0	0	40	5.616981562499991
n122-1	n92	0	0	50	5.3899518749999915
n124-1	n95	0	0	51	5.511479531249991
n126-1	n100	0	0	52	5.62499437499999
n97-1	n89	0	0	62	5.369919843749992
n99-1	n96	0	0	63	5.511479531249991
n101-1	n98	0	0	64	5.615646093749991
n98-1	n90	0	0	74	5.372590781249992
n100-1	n94	0	0	75	5.498124843749991
n102-1	n97	0	0	76	5.608968749999991
n127-1	n101	0	0	39	5.73984468749999
n129-1	n105	0	0	40	5.838669374999989
n131-1	n110	0	0	41	5.965538906249988
n128-1	n104	0	0	51	5.750528437499989
n130-1	n106	0	0	52	5.844011249999989
n132-1	n111	0	0	53	5.9708807812499884
n103-1	n103	0	0	63	5.745186562499989
n105-1	n108	0	0	64	5.8854107812499885
n107-1	n112	0	0	65	5.988241874999988
n104-1	n102	0	0	75	5.74251562499999
n106-1	n107	0	0	76	5.845346718749989
n108-1	n109	0	0	77	5.964203437499989
n133-1	n113	0	0	40	6.096414843749987
n135-1	n117	0	0	41	6.229961718749987
n137-1	n122	0	0	42	6.347482968749986
n134-1	n116	0	0	52	6.103092187499987
n136-1	n120	0	0	53	6.251329218749987
n138-1	n121	0	0	54	6.3461474999999865
n109-1	n114	0	0	64	6.096414843749987
n111-1	n119	0	0	65	6.236639062499987
n113-1	n124	0	0	66	6.359502187499986
n110-1	n115	0	0	76	6.099085781249987
n112-1	n118	0	0	77	6.233968124999987
n114-1	n123	0	0	78	6.351489374999987
n139-1	n127	0	0	41	6.452984999999985
n141-1	n130	0	0	42	6.570506249999984
n143-1	n135	0	0	43	6.676008281249982
n140-1	n128	0	0	53	6.454320468749985
n142-1	n131	0	0	54	6.571841718749984
n144-1	n136	0	0	55	6.676008281249982
n115-1	n125	0	0	65	6.450314062499985
n117-1	n132	0	0	66	6.574512656249984
n119-1	n137	0	0	67	6.680014687499982
n116-1	n126	0	0	77	6.451649531249985
n118-1	n129	0	0	78	6.566499843749984
n120-1	n134	0	0	79	6.673337343749982
n169-1	n138	0	0	42	6.793529531249982
n171-1	n142	0	0	43	6.907044374999981
n173-1	n147	0	0	44	7.029907499999981
n170-1	n140	0	0	54	6.800206874999982
n172-1	n143	0	0	55	6.909715312499981
n174-1	n146	0	0	56	7.024565624999981
n145-1	n141	0	0	66	6.802877812499982
n147-1	n145	0	0	67	6.916392656249981
n149-1	n149	0	0	68	7.03391390624998
n146-1	n139	0	0	78	6.796200468749982
n148-1	n144	0	0	79	6.909715312499981
