onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,2.6909695,64,48,0,0,n0,-10.0,-10.0
2.652241,1.5504792,64,63,0,0,n1,2.652241,1.0
3.5817273,0.62099296,64,65,0,0,n2,2.652241,1.0
3.8327954,1.2593471,64,65,0,0,n3,3.832795,2.0
4.9585953,1.262018,65,70,0,0,n4,4.958595,3.0
6.117782,1.3194431,64,57,0,0,n5,6.117782,4.0
7.231563,1.5718467,60,63,0,0,n6,7.231563,5.0
8.63247,5.858701,64,58,0,0,n7,8.63247,6.0
11.977819,2.5133522,64,43,0,0,n8,10.317164,7.0
12.000523,2.4906492,60,37,0,0,n9,10.317164,7.0
12.003193,2.4879782,55,27,0,0,n10,12.001857,8.0
12.009871,2.4813008,48,29,0,0,n11,12.001857,8.0
13.122316,1.3688555,64,48,0,0,n12,12.001857,8.0
13.124987,1.3661845,60,42,0,0,n13,12.001857,8.0
13.127658,1.3635136,55,35,0,0,n14,13.126323,9.0
13.128993,1.3621781,48,38,0,0,n15,13.126323,9.0
14.075841,0.41533077,64,45,0,0,n16,13.126323,9.0
14.082518,0.40865344,48,41,0,0,n17,13.126323,9.0
14.086524,0.40464702,55,34,0,0,n18,13.126323,9.0
14.09053,0.40064064,60,39,0,0,n19,13.126323,9.0
14.322903,1.2860564,55,32,0,0,n20,13.126323,9.0
14.329579,1.279379,60,39,0,0,n21,13.126323,9.0
14.329579,1.279379,64,55,0,0,n22,13.126323,9.0
14.330915,1.2780436,48,42,0,0,n23,14.32958,10.0
15.420658,1.3141012,65,56,0,0,n24,14.32958,10.0
15.421993,1.3060884,41,42,0,0,n25,14.32958,10.0
15.439354,1.2887274,57,41,0,0,n26,15.430673,11.0
15.44069,1.2873919,60,45,0,0,n27,15.430673,11.0
16.545122,1.3608427,64,52,0,0,n28,15.430673,11.0
16.574503,1.3314624,60,39,0,0,n29,15.430673,11.0
16.578508,1.3274559,55,30,0,0,n30,16.576506,12.0
16.58385,1.3221141,36,36,0,0,n31,16.576506,12.0
17.681606,1.4636737,60,50,0,0,n32,16.576506,12.0
17.685612,1.4596673,57,38,0,0,n33,16.576506,12.0
17.712322,1.432958,41,40,0,0,n34,17.685614,13.0
18.950302,4.874461,64,46,0,0,n35,17.685614,13.0
18.963655,2.0405962,60,38,0,0,n36,17.685614,13.0
18.967663,2.0365899,36,34,0,0,n37,18.96566,14.0
18.97434,2.0299125,55,33,0,0,n38,18.96566,14.0
20.818623,3.0061402,62,43,0,0,n39,18.96566,14.0
20.821293,3.0034692,56,36,0,0,n40,20.821293,15.0
20.834648,2.9901145,35,37,0,0,n41,20.821293,15.0
23.856813,1.4449772,101,105,0,0,n42,20.821293,15.0
23.872839,1.4289516,33,99,0,0,n43,23.864826,16.0
23.91958,1.3822101,100,9,0,0,n44,23.864826,16.0
23.968992,1.3327978,96,81,0,0,n45,23.864826,16.0
24.069153,1.2326376,100,78,0,0,n46,23.864826,16.0
24.155958,1.1458322,93,74,0,0,n47,23.864826,16.0
24.206707,1.0950844,99,76,0,0,n48,23.864826,16.0
24.292177,1.0096143,96,70,0,0,n49,23.864826,16.0
24.37097,0.9308217,98,81,0,0,n50,23.864826,16.0
24.377647,0.9241444,57,89,0,0,n51,23.864826,16.0
24.380318,0.92147344,64,92,0,0,n52,24.378983,17.0
24.38566,0.91613156,60,87,0,0,n53,24.378983,17.0
24.42973,0.8720611,93,72,0,0,n54,24.378983,17.0
24.539238,0.7625527,97,76,0,0,n55,24.378983,17.0
