xml_id	midi_id	track	channel	pitch	onset
n17-1	n0	1	0	36	0.35807291666666663
n18-1	n2	1	0	43	0.6432291666666666
n19-1	n4	1	0	48	0.7460937499999999
n20-1	n7	1	0	48	0.8984375
n1-1	n1	1	0	51	0.36588541666666663
n2-1	n3	1	0	55	0.6809895833333333
n21-1	n8	1	0	55	0.9505208333333334
n22-1	n11	1	0	60	1.03515625
n23-1	n13	1	0	60	1.1653645833333333
n3-1	n5	1	0	63	0.7643229166666666
n4-1	n6	1	0	63	0.875
n5-1	n9	1	0	67	0.9778645833333334
n24-1	n15	1	0	67	1.2083333333333333
n26-1	n19	1	0	67	1.3919270833333333
n6-1	n10	1	0	75	1.0182291666666667
n7-1	n12	1	0	75	1.1145833333333333
n8-1	n14	1	0	79	1.2057291666666665
n10-1	n18	1	0	79	1.3828125
n27-1	n20	1	0	60	1.44921875
n28-1	n22	1	0	60	1.578125
n25-1	n17	1	0	72	1.2955729166666665
n11-1	n21	1	0	75	1.4674479166666667
n12-1	n23	1	0	75	1.6171875
n9-1	n16	1	0	87	1.2799479166666665
n32-1	n31	1	0	43	1.9361979166666665
n30-1	n26	1	0	48	1.731770833333333
n31-1	n30	1	0	48	1.9218749999999998
n29-1	n25	1	0	55	1.6901041666666665
n16-1	n32	1	0	55	1.9635416666666665
n14-1	n27	1	0	63	1.747395833333333
n15-1	n29	1	0	63	1.9062499999999998
n13-1	n24	1	0	67	1.6705729166666665
n49-1	n35	1	0	36	2.0625
n50-1	n38	1	0	41	2.2981770833333335
n51-1	n39	1	0	48	2.3489583333333335
n52-1	deletion
n33-1	n34	1	0	50	2.05859375
n34-1	n37	1	0	56	2.295572916666667
n35-1	n40	1	0	62	2.359375
n36-1	n41	1	0	62	2.46875
n53-1	deletion
n54-1	n45	1	0	60	2.611979166666667
n55-1	n47	1	0	60	2.725260416666667
n56-1	n49	1	0	65	2.7695312500000004
n58-1	n52	1	0	65	2.9231770833333344
n37-1	n42	1	0	68	2.5598958333333335
n38-1	n44	1	0	74	2.6054687500000004
n39-1	n46	1	0	74	2.7031250000000004
n40-1	n48	1	0	80	2.764322916666667
n42-1	n53	1	0	80	2.945312500000001
n59-1	n54	1	0	60	2.994791666666668
n60-1	n56	1	0	60	3.0937500000000013
n57-1	n51	1	0	72	2.851562500000001
n43-1	n55	1	0	74	3.010416666666668
n44-1	n57	1	0	74	3.130208333333335
n41-1	n50	1	0	86	2.843750000000001
n64-1	n64	1	0	41	3.4140625000000013
n62-1	n60	1	0	48	3.2304687500000013
n63-1	n62	1	0	48	3.348958333333335
n61-1	n58	1	0	53	3.169270833333335
n48-1	n65	1	0	56	3.4453125000000013
n46-1	n61	1	0	62	3.2578125000000013
n47-1	n63	1	0	62	3.380208333333335
n45-1	n59	1	0	68	3.201822916666668
n81-1	n66	1	0	36	3.528645833333335
n82-1	n68	1	0	44	3.7369791666666683
n83-1	n70	1	0	48	3.8320312500000018
n84-1	n72	1	0	48	3.9531250000000018
n65-1	n67	1	0	53	3.559895833333335
n66-1	n69	1	0	60	3.8111979166666683
n67-1	n71	1	0	65	3.8789062500000018
n68-1	n73	1	0	65	3.9804687500000018
n85-1	n74	1	0	56	4.041666666666669
n86-1	n77	1	0	60	4.106770833333337
n87-1	n79	1	0	60	4.2096354166666705
n88-1	n81	1	0	68	4.274739583333337
n90-1	n85	1	0	68	4.41666666666667
n69-1	n75	1	0	72	4.062500000000003
n70-1	n76	1	0	77	4.10416666666667
n71-1	n78	1	0	77	4.1953125000000036
n72-1	n80	1	0	84	4.2656250000000036
n74-1	n86	1	0	84	4.42447916666667
n91-1	n89	1	0	60	4.51822916666667
n92-1	n90	1	0	60	4.622395833333337
n80-1	deletion
n89-1	n82	1	0	72	4.341145833333337
n75-1	n88	1	0	77	4.51432291666667
n76-1	n91	1	0	77	4.6523437500000036
n73-1	n83	1	0	89	4.341145833333337
n96-1	n98	1	0	44	4.9453125000000036
n94-1	n94	1	0	48	4.755208333333337
n95-1	n96	1	0	48	4.868489583333337
n93-1	deletion
n78-1	n95	1	0	65	4.7695312500000036
n79-1	n97	1	0	65	4.8984375000000036
n77-1	n92	1	0	72	4.7031250000000036
n113-1	n100	1	0	36	5.070312500000004
n114-1	n102	1	0	43	5.261718750000004
n115-1	n104	1	0	48	5.3567708333333375
n116-1	n106	1	0	48	5.523437500000004
n97-1	n101	1	0	51	5.1263020833333375
n98-1	n103	1	0	55	5.3242187500000036
n99-1	n105	1	0	63	5.3958333333333375
n100-1	n107	1	0	63	5.5442708333333375
n117-1	n109	1	0	55	5.605468750000004
n118-1	n112	1	0	60	5.671875000000005
n119-1	n114	1	0	60	5.799479166666671
n120-1	n116	1	0	67	5.820312500000004
n122-1	n121	1	0	67	5.9973958333333375
n101-1	deletion
n102-1	n111	1	0	75	5.666666666666671
n103-1	n113	1	0	75	5.752604166666671
n104-1	n117	1	0	79	5.8294270833333375
n106-1	n122	1	0	79	6.000000000000004
n123-1	n124	1	0	60	6.0677083333333375
n124-1	n125	1	0	60	6.1731770833333375
n121-1	n118	1	0	72	5.901041666666671
n107-1	n123	1	0	75	6.0520833333333375
n108-1	n126	1	0	75	6.199218750000004
n105-1	n119	1	0	87	5.908854166666671
n128-1	n134	1	0	43	6.4973958333333375
n126-1	n129	1	0	48	6.298177083333338
n127-1	n131	1	0	48	6.398437500000004
n125-1	n128	1	0	55	6.238281250000004
n112-1	n133	1	0	55	6.496093750000004
