xml_id	midi_id	track	channel	pitch	onset
n17-1	n1	0	0	36	1.5237698437500002
n18-1	n3	0	0	43	1.7708315625000002
n19-1	n4	0	0	48	1.8990365625000003
n20-1	n6	0	0	48	2.0579573437500005
n1-1	n0	0	0	51	1.5064087500000003
n2-1	n2	0	0	55	1.7507995312500002
n21-1	n9	0	0	55	2.19016875
n22-1	n10	0	0	60	2.2462584375
n23-1	n12	0	0	60	2.38114078125
n3-1	n5	0	0	63	1.8990365625000003
n4-1	n7	0	0	63	2.0753184375000004
n5-1	n8	0	0	67	2.1781495312500003
n24-1	n15	0	0	67	2.48263640625
n26-1	n18	0	0	67	2.6482345312499995
n6-1	n11	0	0	75	2.2622840625
n7-1	n13	0	0	75	2.38648265625
n8-1	n14	0	0	79	2.47729453125
n10-1	n19	0	0	79	2.6522409374999993
n27-1	n20	0	0	60	2.7350399999999992
n28-1	n22	0	0	60	2.8498903124999995
n25-1	n17	0	0	72	2.5721128125
n11-1	n21	0	0	75	2.7564074999999995
n12-1	n23	0	0	75	2.8832770312499996
n9-1	n16	0	0	87	2.55742265625
n32-1	n30	0	0	43	3.2251570312499998
n30-1	n26	0	0	48	3.0181593749999993
n31-1	n28	0	0	48	3.1263323437499997
n29-1	n25	0	0	55	2.9553923437499994
n16-1	n31	0	0	55	3.23049890625
n14-1	n27	0	0	63	3.0381914062499993
n15-1	n29	0	0	63	3.1490353124999997
n13-1	n24	0	0	67	2.9447085937499993
n49-1	n33	0	0	36	3.3373364062499995
n50-1	n35	0	0	41	3.4521867187499993
n51-1	n36	0	0	48	3.5136182812499994
n52-1	n39	0	0	48	3.6738745312499987
n33-1	n32	0	0	50	3.33199453125
n34-1	n34	0	0	56	3.4374965624999994
n35-1	n37	0	0	62	3.5229665624999993
n36-1	n38	0	0	62	3.641823281249999
n53-1	n40	0	0	53	3.7232868749999986
n54-1	n42	0	0	60	3.8167696874999986
n55-1	n45	0	0	60	3.9730195312499985
n56-1	n48	0	0	65	4.015754531249998
n37-1	n41	0	0	68	3.7272932812499984
n38-1	n43	0	0	74	3.8234470312499984
n39-1	n44	0	0	74	3.9329554687499986
n40-1	n47	0	0	80	4.009077187499998
n59-1	n55	0	0	60	4.260145312499997
n60-1	n57	0	0	60	4.364311874999997
n58-1	n53	0	0	65	4.181352656249997
n57-1	n51	0	0	72	4.0932117187499975
n43-1	n56	0	0	74	4.266822656249997
n44-1	n58	0	0	74	4.3656473437499965
n42-1	n52	0	0	80	4.173339843749997
n41-1	n50	0	0	86	4.085198906249998
n64-1	n65	0	0	41	4.694172656249995
n62-1	n61	0	0	48	4.532580937499995
n63-1	n63	0	0	48	4.607367187499995
n61-1	n59	0	0	53	4.447110937499996
n48-1	n66	0	0	56	4.702185468749994
n46-1	n62	0	0	62	4.535251874999995
n47-1	n64	0	0	62	4.623392812499995
n45-1	n60	0	0	68	4.449781874999996
n81-1	n68	0	0	36	4.830390468749995
n82-1	n69	0	0	44	4.949247187499996
n83-1	n71	0	0	48	5.041394531249995
n84-1	n73	0	0	48	5.156244843749994
n65-1	n67	0	0	53	4.829054999999995
n66-1	n70	0	0	60	4.953253593749996
n67-1	n72	0	0	65	5.048071874999994
n68-1	n74	0	0	65	5.165593124999995
n85-1	n75	0	0	56	5.2296956249999935
n86-1	n77	0	0	60	5.2857853124999945
n87-1	n79	0	0	60	5.419332187499995
n88-1	n82	0	0	68	5.514150468749995
n69-1	n76	0	0	72	5.245721249999994
n70-1	n78	0	0	77	5.3365331249999945
n71-1	n80	0	0	77	5.442035156249995
n72-1	n81	0	0	84	5.507473124999995
n91-1	n87	0	0	60	5.733167343749996
n92-1	n89	0	0	60	5.860036874999996
n90-1	n86	0	0	68	5.673071249999996
n89-1	n84	0	0	72	5.586265781249995
n75-1	n88	0	0	77	5.766554062499996
n76-1	n90	0	0	77	5.874727031249996
n74-1	n85	0	0	84	5.665058437499996
n73-1	n83	0	0	89	5.584930312499996
n96-1	n97	0	0	44	6.2032523437499965
n94-1	n93	0	0	48	6.002932031249997
n95-1	n95	0	0	48	6.109769531249997
n98-1	n102	0	0	55	6.505068281249995
n117-1	n108	0	0	55	6.781510312499994
n93-1	deletion
n80-1	n98	0	0	60	6.204587812499996
n78-1	n94	0	0	65	6.036318749999997
n79-1	n96	0	0	65	6.128466093749997
n77-1	n92	0	0	72	5.952184218749997
n113-1	n99	0	0	36	6.386211562499995
n114-1	n103	0	0	43	6.510410156249995
n115-1	n105	0	0	48	6.566499843749995
n116-1	n106	0	0	48	6.685356562499994
n97-1	n100	0	0	51	6.394224374999995
n99-1	n104	0	0	63	6.563828906249995
