xml_id	midi_id	track	channel	pitch	onset
n25-1	n0	1	0	32	2.049139254166666
n26-1	n3	1	0	48	2.411317672916666
n34-1	n17	1	0	48	3.0224269812499998
n28-1	n9	1	0	51	2.5865308312499993
n32-1	n13	1	0	51	2.8760598916666664
n27-1	n6	1	0	56	2.439095368749999
n30-1	n10	1	0	56	2.712598835416666
n38-1	n24	1	0	56	3.3952891291666663
n42-1	n29	1	0	56	3.676271206249999
n35-1	deletion
n33-1	n16	1	0	60	2.9241366729166662
n29-1	deletion
n31-1	deletion
n1-1	n1	1	0	66	2.1463611895833328
n5-1	n7	1	0	66	2.574778729166666
n9-1	n14	1	0	66	2.880333383333333
n3-1	n4	1	0	68	2.4166595374999993
n7-1	n11	1	0	68	2.7403765312499995
n11-1	n18	1	0	68	3.034179083333333
n2-1	n2	1	0	75	2.1634551562499995
n6-1	n8	1	0	75	2.582257339583333
n10-1	n15	1	0	75	2.909179452083333
n4-1	n5	1	0	77	2.4209330291666658
n8-1	n12	1	0	77	2.7435816499999994
n12-1	n19	1	0	77	3.05127305
n36-1	n20	1	0	37	3.2115289875
n37-1	deletion
n39-1	n27	1	0	53	3.5448613374999995
n40-1	n28	1	0	61	3.5512715749999995
n13-1	n22	1	0	65	3.2243494624999998
n49-1	n45	1	0	66	4.358961499999996
n53-1	n51	1	0	66	4.652764052083328
n15-1	deletion
n17-1	n25	1	0	67	3.511741777083333
n14-1	n21	1	0	73	3.2232810895833333
n16-1	n23	1	0	75	3.3643063145833327
n18-1	n26	1	0	76	3.521357133333333
n41-1	n30	1	0	49	3.6773395791666657
n45-1	n37	1	0	49	3.981825860416665
n43-1	n36	1	0	53	3.8546894833333316
n46-1	deletion
n44-1	n33	1	0	61	3.8098178208333318
n23-1	n38	1	0	65	3.991441216666665
n21-1	n34	1	0	68	3.8397322624999983
n19-1	n32	1	0	70	3.698707037499999
n24-1	n39	1	0	73	3.9935779624999985
n22-1	n35	1	0	77	3.8450741270833317
n20-1	n31	1	0	78	3.6773395791666657
n70-1	n40	1	0	44	4.157039018749998
n71-1	n46	1	0	48	4.401696416666662
n73-1	n47	1	0	51	4.489302995833328
n72-1	n44	1	0	56	4.358961499999996
n74-1	deletion
n47-1	n42	1	0	68	4.189090206249998
n51-1	n48	1	0	68	4.517080691666662
n50-1	n43	1	0	75	4.357893127083329
n48-1	n41	1	0	77	4.178406477083331
n52-1	n49	1	0	77	4.525627674999995
n79-1	n60	1	0	48	4.960455452083329
n77-1	n54	1	0	51	4.785242293749994
n75-1	n52	1	0	56	4.660242662499995
n80-1	n58	1	0	56	4.947634977083328
n78-1	n57	1	0	60	4.839729312499994
n76-1	n50	1	0	63	4.648490560416661
n57-1	n59	1	0	66	4.957250333333328
n55-1	n55	1	0	68	4.805541379166661
n54-1	n53	1	0	75	4.669858018749995
n58-1	n61	1	0	75	4.970070808333329
n56-1	n56	1	0	77	4.82477209166666
n81-1	n62	1	0	37	5.1164378979166605
n86-1	n72	1	0	49	5.575838252083327
n82-1	deletion
n84-1	n69	1	0	53	5.4540437395833266
n87-1	n70	1	0	56	5.5598126583333265
n83-1	deletion
n89-1	n75	1	0	61	5.730752324999994
n118-1	n86	1	0	61	6.2969899708333275
n121-1	n93	1	0	61	6.543784114583327
n85-1	deletion
n59-1	n63	1	0	65	5.138873729166661
n62-1	n67	1	0	67	5.412377195833327
n60-1	n64	1	0	73	5.146352339583327
n61-1	n65	1	0	75	5.28310407291666
n63-1	n68	1	0	76	5.4230609249999935
n90-1	n78	1	0	49	5.867504058333328
n88-1	n77	1	0	53	5.740367681249994
n91-1	deletion
n68-1	n79	1	0	65	5.883529652083328
n66-1	n74	1	0	68	5.7190002229166605
n64-1	n73	1	0	70	5.575838252083327
n69-1	n80	1	0	73	5.885666397916661
n67-1	n76	1	0	77	5.737162562499994
n65-1	n71	1	0	78	5.5598126583333265
n116-1	n81	1	0	39	6.037375352083326
n117-1	n87	1	0	51	6.311947191666661
n119-1	n90	1	0	58	6.411305872916661
n120-1	deletion
n92-1	n82	1	0	67	6.079041895833326
