onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.98046875,1.3072916,63,98,1,0,n0,-10.0,-10.0
0.9921875,1.2955729,27,70,1,0,n1,-10.0,-10.0
0.9921875,0.0546875,51,82,1,0,n2,-10.0,-10.0
1.0,1.2877604,39,70,1,0,n3,0.992188,0.0
2.0078125,0.2799479,52,52,1,0,n4,1.636719,1.0
2.0117188,0.27604166,49,44,1,0,n5,1.636719,1.0
2.0338542,0.25390625,57,44,1,0,n6,1.636719,1.0
2.15625,0.13151042,58,58,1,0,n7,1.636719,1.0
2.1614583,0.12630208,50,50,1,0,n8,1.636719,1.0
2.1653645,0.122395836,53,58,1,0,n9,1.636719,1.0
2.2760417,0.111979164,59,66,1,0,n10,1.636719,1.0
2.28125,0.095052086,54,73,1,0,n11,2.28125,2.0
2.2851562,0.06640625,51,61,1,0,n12,2.28125,2.0
2.389323,0.12760417,60,70,1,0,n13,2.28125,2.0
2.3984375,0.12760417,52,69,1,0,n14,2.28125,2.0
2.4010417,0.122395836,55,73,1,0,n15,2.28125,2.0
2.5195312,0.119791664,61,74,1,0,n16,2.28125,2.0
2.5247395,0.100260414,56,79,1,0,n17,2.28125,2.0
2.5273438,0.084635414,53,73,1,0,n18,2.28125,2.0
2.6158855,0.11328125,54,82,1,0,n19,2.28125,2.0
2.626302,0.15234375,62,73,1,0,n20,2.28125,2.0
2.640625,0.108072914,57,73,1,0,n21,2.28125,2.0
2.7434895,0.063802086,58,81,1,0,n22,2.28125,2.0
2.748698,0.096354164,63,74,1,0,n23,2.748698,3.0
2.7591145,0.071614586,55,79,1,0,n24,2.748698,3.0
3.3359375,0.12630208,58,67,1,0,n25,2.748698,3.0
3.3515625,0.0546875,55,54,1,0,n26,2.748698,3.0
3.3541667,0.1015625,39,46,1,0,n27,3.3528645,4.0
3.3554688,0.08203125,46,54,1,0,n28,3.3528645,4.0
4.013021,1.1757812,68,66,1,0,n29,3.3528645,4.0
4.0208335,1.1679688,64,50,1,0,n30,3.3528645,4.0
4.028646,1.1601562,56,49,1,0,n31,4.028646,5.0
4.0325522,1.15625,59,28,1,0,n32,4.028646,5.0
4.0364585,1.1523438,50,26,1,0,n33,4.028646,5.0
4.981771,0.54296875,55,36,1,0,n34,4.028646,5.0
4.986979,0.40625,67,51,1,0,n35,4.028646,5.0
4.9882812,0.48958334,63,37,1,0,n36,4.988281,6.0
5.0117188,0.49739584,51,40,1,0,n37,4.988281,6.0
5.0143228,0.4127604,58,41,1,0,n38,4.988281,6.0
5.8841147,2.0664062,44,30,1,0,n39,4.988281,6.0
5.8958335,2.0546875,59,39,1,0,n40,5.889974,7.0
6.15625,1.7942709,43,34,1,0,n41,5.889974,7.0
6.1783853,1.7721354,58,41,1,0,n42,5.889974,7.0
6.3684897,1.5820312,38,41,1,0,n43,5.889974,7.0
6.4466147,1.5039062,52,35,1,0,n44,5.889974,7.0
6.578125,1.3723959,39,33,1,0,n45,5.889974,7.0
6.6028647,1.3476562,51,37,1,0,n46,5.889974,7.0
6.7096353,1.2408854,44,41,1,0,n47,5.889974,7.0
6.7395835,1.2109375,59,56,1,0,n48,6.724609,8.0
6.8815103,1.0690104,58,54,1,0,n49,6.724609,8.0
6.9114585,1.0390625,43,32,1,0,n50,6.724609,8.0
7.0351562,0.91536456,52,50,1,0,n51,6.724609,8.0
7.0559897,0.89453125,38,42,1,0,n52,6.724609,8.0
7.158854,0.7916667,51,60,1,0,n53,6.724609,8.0
7.1953125,0.7552083,39,44,1,0,n54,6.724609,8.0
7.2890625,0.6614583,59,64,1,0,n55,6.724609,8.0
7.3085938,0.64192706,44,53,1,0,n56,7.298828,9.0
7.434896,0.515625,58,65,1,0,n57,7.298828,9.0
7.4882812,0.4622396,43,53,1,0,n58,7.298828,9.0
7.5846353,0.3658854,52,65,1,0,n59,7.298828,9.0
7.6328125,0.31770834,38,57,1,0,n60,7.298828,9.0
7.705729,0.24479167,51,73,1,0,n61,7.298828,9.0
7.7539062,0.19661458,39,60,1,0,n62,7.298828,9.0
7.8333335,1.1757812,59,77,1,0,n63,7.298828,9.0
7.8671875,1.1419271,44,65,1,0,n64,7.8502607,10.0
7.971354,1.0377604,58,76,1,0,n65,7.8502607,10.0
