xml_id	midi_id	track	channel	pitch	onset
n4-1	n0	0	0	67	1.5077442187500003
n5-1	n6	0	0	73	1.5237698437500005
n6-1	n2	0	0	76	1.5117506250000003
n7-1	n1	0	0	79	1.5077442187500003
n1-1	n4	0	0	83	1.5130860937500004
n2-1	n5	0	0	88	1.5157570312500004
n3-1	n3	0	0	95	1.5117506250000003
n33-1	n10	0	0	34	3.9129234375000004
n34-1	n8	0	0	46	3.9075815625000008
n29-1	n9	0	0	54	3.9115879687500006
n30-1	n11	0	0	61	3.91692984375
n31-1	n13	0	0	64	3.92093625
n32-1	n12	0	0	66	3.91960078125
n58-1	n15	0	0	41	5.906778281250006
n60-1	n17	0	0	42	5.976222656250006
n59-1	n16	0	0	50	5.914791093750005
n61-1	n19	0	0	35	6.108434062500006
n55-1	n20	0	0	53	6.147162656250006
n56-1	n21	0	0	54	6.2246198437500055
n57-1	n22	0	0	59	6.299406093750005
n70-1	n23	0	0	52	6.386211562500005
n71-1	n25	0	0	55	6.424940156250004
n65-1	n26	0	0	58	6.4810298437500045
n64-1	n24	0	0	62	6.388882500000005
n72-1	n28	0	0	50	6.538455000000004
n73-1	n27	0	0	54	6.522429375000005
n67-1	n30	0	0	59	6.639950625000004
n66-1	n29	0	0	61	6.575848125000004
n68-1	n31	0	0	62	6.745452656250004
n69-1	n32	0	0	66	6.800206875000004
n81-1	n35	0	0	41	6.889683281250004
n83-1	n36	0	0	42	6.9457729687500045
n82-1	n34	0	0	50	6.881670468750005
n75-1	n33	0	0	71	6.880335000000005
n84-1	n37	0	0	35	7.044597656250004
n78-1	n38	0	0	53	7.1500996875000045
n79-1	n39	0	0	54	7.236905156250005
n80-1	n40	0	0	59	7.317033281250005
n93-1	n43	0	0	52	7.431883593750005
n94-1	n42	0	0	55	7.422535312500004
n88-1	n44	0	0	58	7.498657031250005
n87-1	n41	0	0	62	7.391819531250005
n95-1	n46	0	0	50	7.574778750000005
n96-1	n45	0	0	54	7.562759531250005
n90-1	n48	0	0	59	7.676274375000003
n89-1	n47	0	0	61	7.5867979687500045
n91-1	n49	0	0	62	7.791124687500003
n92-1	n50	0	0	66	7.852556250000003
n104-1	n51	0	0	47	7.928677968750002
n102-1	n55	0	0	74	8.40143390625
n98-1	deletion
n101-1	n54	0	0	70	8.294596406250001
n100-1	n53	0	0	76	8.19577171875
