onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5077442,2.46394,67,82,0,0,n0,-10.0,-10.0
1.5077442,2.46394,79,95,0,0,n1,-10.0,-10.0
1.5117506,2.4599335,76,97,0,0,n2,-10.0,-10.0
1.5117506,2.4599335,95,102,0,0,n3,-10.0,-10.0
1.5130861,2.458598,83,92,0,0,n4,1.511751,0.0
1.5157571,2.4559271,88,101,0,0,n5,1.511751,0.0
1.5237699,2.4479141,73,85,0,0,n6,1.511751,0.0
1.5691758,2.4025083,93,40,0,0,n7,1.511751,0.0
3.9075816,2.0646348,46,100,0,0,n8,3.7146618,11.0
3.911588,2.0606282,54,93,0,0,n9,3.7146618,11.0
3.9129233,2.0592928,34,88,0,0,n10,3.7146618,11.0
3.91693,2.0552864,61,84,0,0,n11,3.9149265,12.0
3.9196007,2.0526154,66,87,0,0,n12,3.9149265,12.0
3.9209363,2.05128,64,77,0,0,n13,3.9149265,12.0
3.997058,0.0013354687,63,8,0,0,n14,3.9149265,12.0
5.9067783,0.084134534,41,55,0,0,n15,5.744463,23.0
5.914791,0.057425156,50,74,0,0,n16,5.9107847,24.0
5.9762225,0.084134534,42,71,0,0,n17,5.9107847,24.0
6.0830603,0.058760624,36,39,0,0,n18,5.9107847,24.0
6.108434,0.05475422,35,27,0,0,n19,6.108434,25.0
6.1471624,0.04139953,53,63,0,0,n20,6.108434,25.0
6.22462,0.044070467,54,64,0,0,n21,6.22462,26.0
6.299406,0.08547,59,61,0,0,n22,6.22462,26.0
6.3862114,0.1535789,52,44,0,0,n23,6.22462,26.0
6.3888826,0.09615375,62,63,0,0,n24,6.22462,26.0
6.42494,0.10016016,55,53,0,0,n25,6.388883,27.0
6.48103,0.078792654,58,70,0,0,n26,6.388883,27.0
6.5224295,0.04540594,54,64,0,0,n27,6.388883,27.0
6.538455,0.029380312,50,59,0,0,n28,6.538455,28.0
6.575848,0.042735,61,66,0,0,n29,6.538455,28.0
6.6399508,0.09882469,59,69,0,0,n30,6.538455,28.0
6.745453,0.4740914,62,64,0,0,n31,6.745453,29.0
6.8002067,0.41933718,66,70,0,0,n32,6.745453,29.0
6.880335,0.33920905,71,82,0,0,n33,6.745453,29.0
6.8816705,0.3378736,50,76,0,0,n34,6.88167,30.0
6.8896832,0.32986078,41,76,0,0,n35,6.88167,30.0
6.945773,0.2737711,42,74,0,0,n36,6.88167,30.0
7.0445976,0.17494641,35,82,0,0,n37,6.88167,30.0
7.1500998,0.07745719,53,76,0,0,n38,7.044598,31.0
7.236905,0.07478625,54,73,0,0,n39,7.236905,32.0
7.3170333,0.07745719,59,60,0,0,n40,7.236905,32.0
7.3918195,0.1068375,62,74,0,0,n41,7.236905,32.0
7.4225354,0.13888875,55,69,0,0,n42,7.422535,33.0
7.431884,0.15090796,52,64,0,0,n43,7.422535,33.0
7.498657,0.10416656,58,73,0,0,n44,7.422535,33.0
7.5627594,0.037393127,54,74,0,0,n45,7.422535,33.0
7.5747786,0.034722187,50,71,0,0,n46,7.422535,33.0
7.586798,0.048076876,61,75,0,0,n47,7.574779,34.0
7.6762743,0.1068375,59,75,0,0,n48,7.574779,34.0
7.791125,0.42868546,62,61,0,0,n49,7.791125,35.0
7.852556,0.3672539,66,71,0,0,n50,7.791125,35.0
7.928678,0.29113218,47,96,0,0,n51,7.791125,35.0
7.9473743,0.27243564,72,93,0,0,n52,7.9380264,36.0
8.195772,0.10416656,76,71,0,0,n53,8.195772,37.0
8.294597,0.097489215,70,72,0,0,n54,8.195772,37.0
8.401434,0.04139953,74,68,0,0,n55,8.401434,38.0
8.493581,0.14289516,71,68,0,0,n56,8.401434,38.0
8.551006,0.042735,62,69,0,0,n57,8.401434,38.0
8.557684,0.05074781,54,66,0,0,n58,8.557684,39.0
8.651167,0.16159172,79,53,0,0,n59,8.557684,39.0
8.651167,0.037393127,81,54,0,0,n60,8.557684,39.0
8.731295,0.046741407,47,65,0,0,n61,8.557684,39.0
8.764682,0.14022422,73,54,0,0,n62,8.557684,39.0
8.800739,0.037393127,72,36,0,0,n63,8.557684,39.0
8.923602,0.08547,78,76,0,0,n64,8.827449,40.0
8.9382925,0.040064063,62,79,0,0,n65,8.827449,40.0
8.942299,0.08947641,54,72,0,0,n66,8.942299,41.0
9.022427,0.07478625,74,71,0,0,n67,8.942299,41.0
9.123922,0.05475422,47,77,0,0,n68,8.942299,41.0
9.138613,0.116185784,85,80,0,0,n69,8.942299,41.0
9.24545,0.06276703,77,76,0,0,n70,9.217405,42.0
9.310888,0.03338672,83,45,0,0,n71,9.217405,42.0
9.353623,0.09214734,54,16,0,0,n72,9.217405,42.0
9.364306,0.029380312,62,61,0,0,n73,9.217405,42.0
9.368313,0.07345078,78,86,0,0,n74,9.364307,43.0
9.469809,0.10149562,88,87,0,0,n75,9.364307,43.0
9.533912,0.06944437,47,71,0,0,n76,9.364307,43.0
9.552608,0.10950844,82,76,0,0,n77,9.364307,43.0
9.640749,0.51949733,86,74,0,0,n78,9.58733,44.0
9.764948,0.39529875,83,66,0,0,n79,9.58733,44.0
9.799669,0.36057657,93,93,0,0,n80,9.58733,44.0
10.328515,0.06276703,52,71,0,0,n81,10.156685,47.0
10.34187,0.41399533,42,66,0,0,n82,10.335193,48.0
10.4166565,0.33920905,43,58,0,0,n83,10.335193,48.0
10.4861,0.2697647,35,69,0,0,n84,10.335193,48.0
10.542191,0.213675,58,64,0,0,n85,10.486101,49.0
10.637009,0.11885672,59,69,0,0,n86,10.637009,50.0
10.72782,0.09081188,64,69,0,0,n87,10.637009,50.0
10.794594,0.128205,67,67,0,0,n88,10.637009,50.0
10.814626,0.15624985,57,38,0,0,n89,10.814626,51.0
10.8226385,0.13354687,60,46,0,0,n90,10.814626,51.0
10.918793,0.11351484,63,79,0,0,n91,10.814626,51.0
10.929476,0.04540594,59,61,0,0,n92,10.814626,51.0
10.945502,0.038728595,55,73,0,0,n93,10.945502,52.0
11.024295,0.03338672,66,70,0,0,n94,10.945502,52.0
11.105758,0.11885672,64,78,0,0,n95,10.945502,52.0
11.212596,0.5809289,67,75,0,0,n96,11.212596,53.0
11.286046,0.5074781,71,80,0,0,n97,11.212596,53.0
11.3408,0.45272392,42,74,0,0,n98,11.212596,53.0
11.342136,0.45138845,52,80,0,0,n99,11.342136,54.0
11.368846,0.42467907,76,84,0,0,n100,11.342136,54.0
11.396891,0.39663422,43,73,0,0,n101,11.342136,54.0
11.427606,0.36591843,50,23,0,0,n102,11.342136,54.0
11.519753,0.2737711,35,85,0,0,n103,11.519753,55.0
11.633268,0.16025625,58,73,0,0,n104,11.519753,55.0
11.745448,0.08680547,59,76,0,0,n105,11.745448,56.0
11.821569,0.10149562,64,74,0,0,n106,11.745448,56.0
11.921729,0.10149562,67,77,0,0,n107,11.745448,56.0
