xml_id	midi_id	track	channel	pitch	onset
n6-1	n0	0	0	46	14.753190374999999
n1-1	n1	0	0	58	14.770284375
n7-1	n3	0	0	45	15.386736749999999
n8-1	n5	0	0	46	15.4230615
n9-1	n6	0	0	49	15.480753749999998
n2-1	n2	0	0	57	15.360027375
n3-1	n4	0	0	58	15.4145145
n4-1	n7	0	0	61	15.489300749999996
n16-1	n8	0	0	53	15.537377624999996
n10-1	n9	0	0	65	15.542719499999995
n18-1	n11	0	0	45	16.027761749999996
n19-1	n13	0	0	46	16.107889874999998
n20-1	n14	0	0	49	16.144214625
n12-1	n10	0	0	57	16.022419874999997
n13-1	n12	0	0	58	16.091864249999997
n14-1	n15	0	0	61	16.144214625
n25-1	n16	0	0	53	16.208317125
n21-1	n17	0	0	65	16.213659
n35-1	n19	0	0	34	17.986093124999996
n36-1	n20	0	0	46	17.987161499999996
n31-1	n18	0	0	58	17.979682874999998
n43-1	n25	0	0	58	18.620707874999983
n44-1	deletion
n45-1	n28	0	0	63	18.62925487499998
n46-1	n23	0	0	66	18.617502749999986
n47-1	n22	0	0	70	18.615365999999987
n39-1	n26	0	0	82	18.621776249999982
n40-1	n27	0	0	90	18.626049749999982
n41-1	n24	0	0	94	18.619639499999984
n67-1	n36	0	0	58	19.860022874999974
n68-1	n38	0	0	60	19.91664674999997
n73-1	deletion
n69-1	n37	0	0	63	19.864296374999974
n70-1	n35	0	0	66	19.855749374999974
n71-1	n34	0	0	70	19.854680999999974
n57-1	n32	0	0	75	19.848270749999976
n58-1	n33	0	0	84	19.852544249999976
n59-1	n31	0	0	87	19.847202374999977
n72-1	n45	0	0	58	20.177330249999965
n74-1	n43	0	0	63	20.167714874999966
n75-1	n42	0	0	66	20.164509749999965
n76-1	n44	0	0	70	20.167714874999966
n60-1	n41	0	0	77	20.153825999999967
n61-1	n39	0	0	84	20.14741574999997
n62-1	n40	0	0	89	20.152757624999968
n77-1	deletion
n78-1	deletion
n79-1	n50	0	0	63	20.268142124999958
n80-1	n49	0	0	66	20.26173187499996
n81-1	n48	0	0	70	20.25959512499996
n63-1	n47	0	0	78	20.25638999999996
n64-1	n51	0	0	84	20.273483999999957
n65-1	n46	0	0	90	20.254253249999962
n90-1	n56	0	0	58	20.524552124999957
n91-1	n58	0	0	61	20.536304249999954
n92-1	n57	0	0	65	20.529893999999956
n93-1	n55	0	0	70	20.521346999999956
n82-1	n54	0	0	77	20.520278624999957
n83-1	n52	0	0	85	20.516005124999957
n84-1	n53	0	0	89	20.517073499999956
n95-1	n60	0	0	45	21.417713624999948
n96-1	n62	0	0	46	21.51173062499995
n97-1	n64	0	0	49	21.529892999999948
n86-1	n59	0	0	57	21.405961499999947
n87-1	n61	0	0	58	21.465790499999947
n88-1	n63	0	0	61	21.52455112499995
n104-1	n65	0	0	53	21.587585249999947
n98-1	n66	0	0	65	21.596132249999947
n106-1	n67	0	0	45	22.114294124999947
