onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5157571,0.38194406,58,39,0,0,n0,-10.0,-10.0
1.5411309,0.14022422,46,37,0,0,n1,1.528444,0.0
1.9471134,0.093482815,45,37,0,0,n2,1.742787,1.0
1.9671454,0.07478625,57,24,0,0,n3,1.957129,2.0
2.053951,0.10416656,58,40,0,0,n4,1.957129,2.0
2.0833313,0.036057655,46,9,0,0,n5,1.957129,2.0
2.1046987,0.08547,61,47,0,0,n6,1.957129,2.0
2.1180534,0.040064063,49,44,0,0,n7,1.957129,2.0
2.1701367,0.048076876,65,54,0,0,n8,1.957129,2.0
2.171472,0.034722187,53,52,0,0,n9,2.170805,3.0
2.629538,0.14690156,45,20,0,0,n10,2.402842,4.0
2.6402218,0.084134534,57,32,0,0,n11,2.63488,5.0
2.6829567,0.088140935,46,40,0,0,n12,2.63488,5.0
2.6976469,0.14289516,58,39,0,0,n13,2.63488,5.0
2.7417173,0.1068375,61,42,0,0,n14,2.63488,5.0
2.7590785,0.056089688,49,40,0,0,n15,2.63488,5.0
2.795136,0.08947641,65,47,0,0,n16,2.63488,5.0
2.803149,0.060096093,53,45,0,0,n17,2.799143,6.0
4.01709,2.1607885,46,102,0,0,n18,3.81855,11.0
4.022432,0.03071578,34,89,0,0,n19,4.022432,12.0
4.0371222,0.020032031,58,81,0,0,n20,4.022432,12.0
4.833061,1.344817,94,98,0,0,n21,4.572645,14.0
4.8357325,1.342146,82,96,0,0,n22,4.572645,14.0
4.838403,1.3394752,70,79,0,0,n23,4.572645,14.0
4.8477516,1.3301269,58,63,0,0,n24,4.572645,14.0
4.8477516,1.3301269,90,85,0,0,n25,4.572645,14.0
4.849087,1.3287914,66,75,0,0,n26,4.847752,15.0
4.865113,1.3127658,63,58,0,0,n27,4.847752,15.0
4.8677835,1.3100948,60,49,0,0,n28,4.847752,15.0
4.9759564,1.2019218,70,13,0,0,n29,4.847752,15.0
5.88274,0.2951386,70,63,0,0,n30,5.721371,20.0
5.8880816,0.2897967,87,75,0,0,n31,5.721371,20.0
5.890753,0.2871258,75,71,0,0,n32,5.721371,20.0
5.8960943,0.2817839,84,70,0,0,n33,5.721371,20.0
5.902772,0.27510655,58,40,0,0,n34,5.896095,21.0
5.902772,0.27510655,63,47,0,0,n35,5.896095,21.0
5.902772,0.27510655,66,47,0,0,n36,5.896095,21.0
6.0697055,0.10817297,66,62,0,0,n37,6.041661,22.0
6.071041,0.1068375,70,64,0,0,n38,6.041661,22.0
6.0750475,0.102831095,63,55,0,0,n39,6.041661,22.0
6.0817246,0.15090796,89,79,0,0,n40,6.041661,22.0
6.093744,0.084134534,77,58,0,0,n41,6.041661,22.0
6.1752076,0.02270297,70,74,0,0,n42,6.041661,22.0
6.179214,0.641025,90,89,0,0,n43,6.041661,22.0
6.187227,0.028044844,66,68,0,0,n44,6.187227,23.0
6.192569,0.097489215,78,80,0,0,n45,6.187227,23.0
