onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9322917,0.4453125,46,46,1,0,n0,-10.0,-10.0
0.95442706,0.41145834,58,49,1,0,n1,0.94336,0.0
1.4153646,0.084635414,45,47,1,0,n2,1.182943,1.0
1.4296875,0.052083332,57,50,1,0,n3,1.422527,2.0
1.515625,0.071614586,58,62,1,0,n4,1.422527,2.0
1.5195312,0.0546875,46,59,1,0,n5,1.422527,2.0
1.5664062,0.0546875,61,62,1,0,n6,1.422527,2.0
1.5859375,0.03515625,49,44,1,0,n7,1.422527,2.0
1.6223959,0.041666668,53,64,1,0,n8,1.422527,2.0
1.6315104,0.036458332,65,67,1,0,n9,1.626953,3.0
2.076823,0.049479168,57,46,1,0,n10,1.853841,4.0
2.0846355,0.079427086,45,39,1,0,n11,2.080729,5.0
2.1354167,0.078125,58,52,1,0,n12,2.080729,5.0
2.1744792,0.055989582,46,48,1,0,n13,2.080729,5.0
2.188802,0.059895832,61,59,1,0,n14,2.080729,5.0
2.220052,0.041666668,49,45,1,0,n15,2.080729,5.0
2.2578125,0.046875,65,61,1,0,n16,2.080729,5.0
2.2773438,0.05078125,53,59,1,0,n17,2.267578,6.0
3.454427,2.484375,34,82,1,0,n18,3.454427,12.0
3.454427,2.484375,58,107,1,0,n19,3.454427,12.0
3.4583333,2.4804688,46,104,1,0,n20,3.454427,12.0
4.096354,1.8424479,58,81,1,0,n21,3.887587,14.0
4.0976562,1.8411459,70,98,1,0,n22,3.887587,14.0
4.0976562,1.8411459,82,104,1,0,n23,3.887587,14.0
4.1028647,1.8359375,66,91,1,0,n24,3.887587,14.0
4.1054688,1.8333334,90,96,1,0,n25,4.104167,15.0
4.1054688,1.8333334,94,99,1,0,n26,4.104167,15.0
4.109375,1.8294271,63,81,1,0,n27,4.104167,15.0
4.1184897,1.8203125,60,67,1,0,n28,4.104167,15.0
5.341146,0.59765625,70,82,1,0,n29,5.144749,20.0
5.346354,0.59244794,58,66,1,0,n30,5.144749,20.0
5.3515625,0.58723956,66,73,1,0,n31,5.144749,20.0
5.3528647,0.5859375,75,89,1,0,n32,5.144749,20.0
5.3528647,0.5859375,84,79,1,0,n33,5.144749,20.0
5.356771,0.58203125,87,87,1,0,n34,5.352865,21.0
5.3580728,0.5807292,63,69,1,0,n35,5.352865,21.0
5.377604,0.56119794,60,52,1,0,n36,5.352865,21.0
5.5846353,0.35416666,84,73,1,0,n37,5.514323,22.0
5.6028647,0.3359375,77,73,1,0,n38,5.514323,22.0
5.6236978,0.31510416,70,92,1,0,n39,5.514323,22.0
5.6302085,0.30859375,63,59,1,0,n40,5.514323,22.0
5.6328125,0.3059896,66,79,1,0,n41,5.514323,22.0
5.6497397,0.2890625,58,54,1,0,n42,5.514323,22.0
5.674479,0.2643229,78,101,1,0,n43,5.514323,22.0
5.6757812,0.26302084,84,74,1,0,n44,5.675781,23.0
5.6927085,0.24609375,90,88,1,0,n45,5.675781,23.0
5.908854,0.24739583,58,3,1,0,n46,5.675781,23.0
5.9127603,0.052083332,89,88,1,0,n47,5.675781,23.0
5.9140625,0.2421875,77,97,1,0,n48,5.675781,23.0
5.9166665,0.040364582,70,90,1,0,n49,5.675781,23.0
5.9166665,0.23958333,85,102,1,0,n50,5.675781,23.0
5.9231772,0.23307292,65,74,1,0,n51,5.916667,24.0
5.9361978,0.22005208,61,69,1,0,n52,5.916667,24.0
6.393229,0.049479168,57,54,1,0,n53,6.158203,25.0
6.40625,0.053385418,45,35,1,0,n54,6.399739,26.0
6.453125,0.06640625,58,55,1,0,n55,6.399739,26.0
6.4882812,0.055989582,46,38,1,0,n56,6.399739,26.0
6.4986978,0.06640625,61,54,1,0,n57,6.399739,26.0
6.53125,0.037760418,49,42,1,0,n58,6.399739,26.0
6.580729,0.045572918,65,63,1,0,n59,6.399739,26.0
6.5833335,0.040364582,53,56,1,0,n60,6.582031,27.0
7.0052085,0.061197918,57,50,1,0,n61,6.797851,28.0
7.0221353,0.0625,45,40,1,0,n62,7.013672,29.0
7.0690103,0.079427086,58,53,1,0,n63,7.013672,29.0
7.091146,0.049479168,46,44,1,0,n64,7.013672,29.0
7.127604,0.059895832,61,59,1,0,n65,7.013672,29.0
7.1289062,0.05859375,49,51,1,0,n66,7.013672,29.0
7.1992188,0.052083332,65,63,1,0,n67,7.013672,29.0
7.2096353,0.05078125,53,58,1,0,n68,7.204427,30.0
8.376302,1.8632812,32,79,1,0,n69,8.18316,35.0
8.378906,1.8606771,56,107,1,0,n70,8.378906,36.0
8.381511,1.8580729,44,101,1,0,n71,8.378906,36.0
8.855469,1.3841146,56,61,1,0,n72,8.789062,38.0
8.902344,1.3372396,65,72,1,0,n73,8.789062,38.0
8.990886,1.2486979,80,98,1,0,n74,8.789062,38.0
8.9973955,1.2421875,92,102,1,0,n75,8.994141,39.0
9.0,1.2395834,89,91,1,0,n76,8.994141,39.0
9.0078125,1.2317709,73,86,1,0,n77,8.994141,39.0
10.233073,0.5703125,68,72,1,0,n78,10.029839,44.0
10.233073,0.5703125,75,83,1,0,n79,10.029839,44.0
10.234375,0.56901044,87,81,1,0,n80,10.029839,44.0
10.2369795,0.56640625,56,64,1,0,n81,10.236979,45.0
10.2369795,0.56640625,84,71,1,0,n82,10.236979,45.0
10.240886,0.5625,63,64,1,0,n83,10.236979,45.0
10.243489,0.5598958,66,64,1,0,n84,10.236979,45.0
