onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.58125,0.36458334,46,45,1,0,n0,0.58125,0.0
0.58125,0.33229166,58,44,1,0,n1,0.58125,0.0
0.98541665,0.0625,45,48,1,0,n2,0.784375,1.0
0.9895833,0.054166667,57,42,1,0,n3,0.9875,2.0
1.0614583,0.042708334,58,39,1,0,n4,0.9875,2.0
1.0822917,0.042708334,61,53,1,0,n5,0.9875,2.0
1.0947917,0.041666668,53,58,1,0,n6,0.9875,2.0
1.1,0.041666668,49,49,1,0,n7,0.9875,2.0
1.109375,0.061458334,46,29,1,0,n8,0.9875,2.0
1.1135417,0.038541667,65,64,1,0,n9,0.9875,2.0
1.5208334,0.078125,45,44,1,0,n10,1.3278648,4.0
1.5635417,0.07604167,57,42,1,0,n11,1.5421875,5.0
1.5947917,0.1,58,53,1,0,n12,1.5421875,5.0
1.6010417,0.088541664,46,49,1,0,n13,1.5421875,5.0
1.6510416,0.059375,61,49,1,0,n14,1.5421875,5.0
1.6677083,0.05625,49,41,1,0,n15,1.5421875,5.0
1.6770834,0.054166667,53,51,1,0,n16,1.5421875,5.0
1.7083334,0.032291666,65,54,1,0,n17,1.692708,6.0
2.9520833,2.4375,46,100,1,0,n18,2.952083,12.0
2.9520833,2.4375,58,99,1,0,n19,2.952083,12.0
2.9572916,2.4322917,34,92,1,0,n20,2.952083,12.0
3.6802084,1.709375,70,101,1,0,n21,3.4402776,14.0
3.6802084,1.709375,82,100,1,0,n22,3.4402776,14.0
3.684375,1.7052083,58,90,1,0,n23,3.684375,15.0
3.684375,1.7052083,90,96,1,0,n24,3.684375,15.0
3.684375,1.7052083,94,100,1,0,n25,3.684375,15.0
3.6895833,1.7,60,81,1,0,n26,3.684375,15.0
3.6895833,1.7,63,88,1,0,n27,3.684375,15.0
3.6895833,1.7,66,90,1,0,n28,3.684375,15.0
3.7677083,1.621875,93,17,1,0,n29,3.684375,15.0
4.7364583,0.653125,58,81,1,0,n30,4.562847,20.0
4.7364583,0.653125,70,94,1,0,n31,4.562847,20.0
4.7364583,0.653125,75,98,1,0,n32,4.562847,20.0
4.7364583,0.653125,87,95,1,0,n33,4.562847,20.0
4.740625,0.6489583,84,84,1,0,n34,4.7385416,21.0
4.741667,0.6479167,63,81,1,0,n35,4.7385416,21.0
4.746875,0.64270836,66,81,1,0,n36,4.7385416,21.0
4.7614584,0.628125,60,64,1,0,n37,4.7385416,21.0
5.0208335,0.36875,70,86,1,0,n38,4.9257812,22.0
5.0333333,0.35625,58,76,1,0,n39,4.9257812,22.0
5.0375,0.35208333,63,71,1,0,n40,4.9257812,22.0
5.0375,0.35208333,66,77,1,0,n41,4.9257812,22.0
5.0375,0.35208333,77,77,1,0,n42,4.9257812,22.0
5.0375,0.35208333,89,78,1,0,n43,4.9257812,22.0
5.0447917,0.34479168,84,60,1,0,n44,4.9257812,22.0
5.1,0.28958333,78,104,1,0,n45,4.9257812,22.0
5.1052084,0.284375,90,96,1,0,n46,4.9257812,22.0
5.109375,0.28020832,84,79,1,0,n47,4.9257812,22.0
5.116667,0.27291667,70,98,1,0,n48,5.113021,23.0
5.1302085,0.259375,63,88,1,0,n49,5.113021,23.0
5.1302085,0.259375,66,85,1,0,n50,5.113021,23.0
5.1614585,0.228125,89,52,1,0,n51,5.113021,23.0
5.3239584,0.065625,65,37,1,0,n52,5.113021,23.0
5.4125,0.08125,58,87,1,0,n53,5.113021,23.0
5.4177084,0.057291668,70,99,1,0,n54,5.113021,23.0
5.421875,0.071875,77,108,1,0,n55,5.113021,23.0
5.4260416,0.022916667,89,93,1,0,n56,5.113021,23.0
5.43125,0.06666667,65,78,1,0,n57,5.426042,24.0
5.43125,0.06666667,85,93,1,0,n58,5.426042,24.0
5.4354167,0.33333334,61,80,1,0,n59,5.426042,24.0
5.49375,0.004166667,87,13,1,0,n60,5.426042,24.0
6.04375,0.047916666,45,42,1,0,n61,6.04375,26.0
6.04375,0.071875,57,34,1,0,n62,6.04375,26.0
6.101042,0.08645833,58,47,1,0,n63,6.04375,26.0
6.1197915,0.053125,46,47,1,0,n64,6.04375,26.0
6.1385417,0.048958335,61,58,1,0,n65,6.04375,26.0
6.1541667,0.05625,49,44,1,0,n66,6.04375,26.0
6.1677084,0.047916666,53,55,1,0,n67,6.04375,26.0
6.178125,0.028125,65,55,1,0,n68,6.1729164,27.0
6.6229167,0.067708336,45,48,1,0,n69,6.4067707,28.0
6.6583333,0.063541666,57,24,1,0,n70,6.640625,29.0
6.6770835,0.110416666,58,52,1,0,n71,6.640625,29.0
6.709375,0.08229167,46,49,1,0,n72,6.640625,29.0
6.726042,0.065625,61,49,1,0,n73,6.640625,29.0
6.7697916,0.06979167,49,38,1,0,n74,6.640625,29.0
6.778125,0.08020833,53,51,1,0,n75,6.778125,30.0
6.778125,0.05,65,58,1,0,n76,6.778125,30.0
8.151042,1.8791667,56,94,1,0,n77,7.925694,35.0
8.155209,1.875,32,89,1,0,n78,8.155208,36.0
8.159375,1.8708333,44,101,1,0,n79,8.155208,36.0
8.704166,1.3260417,56,75,1,0,n80,8.650694,38.0
8.7625,1.2677083,65,72,1,0,n81,8.650694,38.0
8.889584,1.140625,73,102,1,0,n82,8.650694,38.0
8.907291,1.1229167,80,105,1,0,n83,8.8984375,39.0
8.907291,1.1229167,92,93,1,0,n84,8.8984375,39.0
8.911458,1.11875,89,92,1,0,n85,8.8984375,39.0
8.985416,1.0447917,91,40,1,0,n86,8.8984375,39.0
8.994792,1.0354167,90,5,1,0,n87,8.8984375,39.0
10.055208,0.6375,87,98,1,0,n88,9.871094,44.0
10.059375,0.063541666,75,94,1,0,n89,9.871094,44.0
10.065625,0.62708336,56,82,1,0,n90,10.065625,45.0
10.065625,0.0625,66,86,1,0,n91,10.065625,45.0
10.065625,0.62708336,68,85,1,0,n92,10.065625,45.0
10.069792,0.62291664,63,76,1,0,n93,10.065625,45.0
10.069792,0.62291664,84,81,1,0,n94,10.065625,45.0
10.355208,0.3375,56,80,1,0,n95,10.254687,46.0
10.355208,0.3375,68,86,1,0,n96,10.254687,46.0
10.357291,0.33541667,66,80,1,0,n97,10.254687,46.0
