onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.96770835,0.38541666,58,40,1,0,n0,-10.0,-10.0
0.9760417,0.41875,46,31,1,0,n1,0.971875,0.0
1.4125,0.088541664,57,45,1,0,n2,1.197396,1.0
1.4333333,0.058333334,45,43,1,0,n3,1.422916,2.0
1.5052084,0.057291668,58,54,1,0,n4,1.422916,2.0
1.53125,0.042708334,46,31,1,0,n5,1.422916,2.0
1.5677084,0.044791665,61,60,1,0,n6,1.422916,2.0
1.58125,0.04375,49,40,1,0,n7,1.422916,2.0
1.6145834,0.039583333,65,67,1,0,n8,1.422916,2.0
1.621875,0.038541667,53,56,1,0,n9,1.618229,3.0
2.0114584,0.067708336,57,45,1,0,n10,1.819271,4.0
2.0291667,0.05,45,37,1,0,n11,2.020313,5.0
2.0916667,0.053125,58,47,1,0,n12,2.020313,5.0
2.0947917,0.057291668,46,39,1,0,n13,2.020313,5.0
2.1552083,0.06979167,61,57,1,0,n14,2.020313,5.0
2.16875,0.048958335,49,28,1,0,n15,2.020313,5.0
2.2166667,0.039583333,53,37,1,0,n16,2.020313,5.0
2.234375,0.035416666,65,47,1,0,n17,2.225521,6.0
3.275,2.4510417,58,99,1,0,n18,3.103559,11.0
3.2791667,2.446875,46,95,1,0,n19,3.103559,11.0
3.290625,2.4354167,34,72,1,0,n20,3.279167,12.0
3.9802084,1.7458333,70,100,1,0,n21,3.751389,14.0
3.9833333,1.7427083,66,82,1,0,n22,3.751389,14.0
3.9833333,1.7427083,82,101,1,0,n23,3.751389,14.0
3.9854167,1.740625,94,106,1,0,n24,3.751389,14.0
3.9895833,1.7364583,90,91,1,0,n25,3.9875,15.0
3.9947917,1.73125,58,74,1,0,n26,3.9875,15.0
3.9947917,1.73125,63,70,1,0,n27,3.9875,15.0
4.04375,1.6822916,60,47,1,0,n28,3.9875,15.0
5.228125,0.49791667,58,65,1,0,n29,5.034375,20.0
5.2302084,0.49583334,70,76,1,0,n30,5.034375,20.0
5.2375,0.48854166,87,87,1,0,n31,5.034375,20.0
5.24375,0.48229167,75,80,1,0,n32,5.24375,21.0
5.2458334,0.48020834,66,55,1,0,n33,5.24375,21.0
5.2520833,0.47395834,63,60,1,0,n34,5.24375,21.0
5.2604165,0.465625,84,62,1,0,n35,5.24375,21.0
5.4489584,0.27708334,77,88,1,0,n36,5.402083,22.0
5.454167,0.271875,84,72,1,0,n37,5.402083,22.0
5.461458,0.26458332,70,76,1,0,n38,5.402083,22.0
5.46875,0.25729167,89,62,1,0,n39,5.402083,22.0
5.4708333,0.25520834,66,57,1,0,n40,5.402083,22.0
5.4875,0.23854166,58,40,1,0,n41,5.402083,22.0
5.555208,0.17083333,70,95,1,0,n42,5.402083,22.0
5.5572915,0.16875,58,19,1,0,n43,5.402083,22.0
5.5604167,0.165625,78,83,1,0,n44,5.402083,22.0
5.5645833,0.54270834,84,79,1,0,n45,5.560417,23.0
5.565625,0.16041666,90,80,1,0,n46,5.560417,23.0
5.79375,0.31354168,70,80,1,0,n47,5.560417,23.0
5.79375,0.31354168,85,80,1,0,n48,5.560417,23.0
5.795833,0.31145832,65,58,1,0,n49,5.560417,23.0
5.797917,0.309375,77,86,1,0,n50,5.796875,24.0
5.7989583,0.30833334,89,92,1,0,n51,5.796875,24.0
5.811458,0.29583332,61,53,1,0,n52,5.796875,24.0
6.1989584,0.07083333,45,51,1,0,n53,5.998958,25.0
6.203125,0.063541666,57,51,1,0,n54,6.201042,26.0
6.280208,0.065625,58,53,1,0,n55,6.201042,26.0
6.3333335,0.0625,49,43,1,0,n56,6.201042,26.0
6.3458333,0.063541666,61,58,1,0,n57,6.201042,26.0
6.4041667,0.036458332,65,61,1,0,n58,6.201042,26.0
6.409375,0.033333335,53,50,1,0,n59,6.406771,27.0
6.803125,0.071875,57,45,1,0,n60,6.607812,28.0
6.8145833,0.057291668,45,42,1,0,n61,6.808854,29.0
6.878125,0.0625,58,46,1,0,n62,6.808854,29.0
6.913542,0.040625,46,18,1,0,n63,6.808854,29.0
6.944792,0.0875,61,54,1,0,n64,6.808854,29.0
6.95625,0.054166667,49,36,1,0,n65,6.808854,29.0
7.016667,0.05,53,45,1,0,n66,6.808854,29.0
7.034375,0.045833334,65,51,1,0,n67,7.025521,30.0
8.192708,2.075,56,102,1,0,n68,7.999045,35.0
8.19375,2.0739584,44,93,1,0,n69,8.19375,36.0
8.205209,2.0625,32,73,1,0,n70,8.19375,36.0
8.697917,1.5697917,56,66,1,0,n71,8.689583,38.0
8.808333,1.459375,65,71,1,0,n72,8.689583,38.0
8.933333,1.334375,80,97,1,0,n73,8.689583,38.0
8.9375,1.3302083,92,100,1,0,n74,8.9375,39.0
8.939584,1.328125,89,91,1,0,n75,8.9375,39.0
8.940625,1.3270833,73,97,1,0,n76,8.9375,39.0
8.994792,1.2729167,90,23,1,0,n77,8.9375,39.0
10.225,0.54270834,87,82,1,0,n78,10.019965,44.0
10.233334,0.534375,66,57,1,0,n79,10.019965,44.0
10.236459,0.53125,68,67,1,0,n80,10.236458,45.0
10.236459,0.53125,75,72,1,0,n81,10.236458,45.0
10.244792,0.5229167,84,64,1,0,n82,10.236458,45.0
10.255208,0.5125,56,41,1,0,n83,10.236458,45.0
10.266666,0.50104165,63,51,1,0,n84,10.236458,45.0
10.46875,0.29895833,77,80,1,0,n85,10.403645,46.0
10.475,0.29270834,84,69,1,0,n86,10.403645,46.0
10.475,0.29270834,89,75,1,0,n87,10.403645,46.0
10.476042,0.29166666,68,72,1,0,n88,10.403645,46.0
10.497916,0.26979166,66,43,1,0,n89,10.403645,46.0
10.5625,0.20520833,68,87,1,0,n90,10.403645,46.0
10.567708,0.2,63,50,1,0,n91,10.403645,46.0
10.567708,0.2,90,92,1,0,n92,10.403645,46.0
10.570833,0.21458334,84,85,1,0,n93,10.570833,47.0
10.576041,0.19166666,78,86,1,0,n94,10.570833,47.0
10.594791,0.17291667,66,48,1,0,n95,10.570833,47.0
10.604167,0.16354166,58,30,1,0,n96,10.570833,47.0
10.80625,0.035416666,65,80,1,0,n97,10.570833,47.0
10.809375,0.046875,85,88,1,0,n98,10.570833,47.0
10.810416,0.039583333,77,93,1,0,n99,10.570833,47.0
10.811459,0.021875,68,89,1,0,n100,10.810937,48.0
10.813541,0.0375,61,74,1,0,n101,10.810937,48.0
10.814584,0.042708334,89,96,1,0,n102,10.810937,48.0
11.335417,1.296875,77,99,1,0,n103,11.164757,50.0
11.340625,1.2916666,69,93,1,0,n104,11.164757,50.0
11.341666,1.290625,65,77,1,0,n105,11.164757,50.0
11.347917,1.284375,53,70,1,0,n106,11.341667,51.0
11.347917,1.284375,60,72,1,0,n107,11.341667,51.0
11.927083,0.70520836,48,82,1,0,n108,11.736111,53.0
11.927083,0.70520836,53,86,1,0,n109,11.736111,53.0
11.933333,0.69895834,65,93,1,0,n110,11.933333,54.0
11.934375,0.6979167,41,76,1,0,n111,11.933333,54.0
11.942708,0.728125,57,90,1,0,n112,11.933333,54.0
12.567708,1.4604167,41,89,1,0,n113,12.357986,56.0
12.572917,1.4552083,29,86,1,0,n114,12.570313,57.0
13.932292,0.09583333,42,105,1,0,n115,13.741741,63.0
13.941667,0.08645833,30,87,1,0,n116,13.93698,64.0
15.769792,0.055208333,57,41,1,0,n117,15.592604,73.0
15.783334,0.06666667,45,28,1,0,n118,15.776563,74.0
15.851042,0.048958335,58,41,1,0,n119,15.776563,74.0
15.898958,0.055208333,49,44,1,0,n120,15.776563,74.0
15.909375,0.06458333,61,54,1,0,n121,15.776563,74.0
15.972917,0.036458332,65,61,1,0,n122,15.776563,74.0
15.982291,0.036458332,53,44,1,0,n123,15.977605,75.0
16.389584,0.059375,45,37,1,0,n124,16.389584,77.0
16.389584,0.057291668,57,41,1,0,n125,16.389584,77.0
16.461458,0.053125,58,44,1,0,n126,16.389584,77.0
16.477083,0.058333334,46,21,1,0,n127,16.389584,77.0
16.519793,0.090625,61,55,1,0,n128,16.389584,77.0
16.551043,0.053125,49,21,1,0,n129,16.389584,77.0
16.594791,0.04375,53,45,1,0,n130,16.389584,77.0
16.605207,0.051041666,65,54,1,0,n131,16.6,78.0
17.805208,2.4833333,46,102,1,0,n132,17.605207,83.0
17.80625,2.4822917,58,111,1,0,n133,17.80625,84.0
17.817709,2.4708333,34,79,1,0,n134,17.80625,84.0
18.601042,1.6875,70,103,1,0,n135,18.344097,86.0
18.610416,1.678125,66,85,1,0,n136,18.344097,86.0
18.611458,1.6770834,94,102,1,0,n137,18.344097,86.0
18.6125,1.6760417,82,101,1,0,n138,18.344097,86.0
18.613543,1.675,58,75,1,0,n139,18.613022,87.0
18.61875,1.6697917,90,93,1,0,n140,18.613022,87.0
18.619791,1.66875,63,74,1,0,n141,18.613022,87.0
18.644793,1.64375,95,63,1,0,n142,18.613022,87.0
18.669792,1.61875,83,33,1,0,n143,18.613022,87.0
18.6875,1.6010417,60,31,1,0,n144,18.613022,87.0
19.455208,0.8333333,75,89,1,0,n145,19.366354,91.0
19.460417,0.828125,87,73,1,0,n146,19.366354,91.0
19.471874,0.81666666,70,76,1,0,n147,19.366354,91.0
19.497917,0.790625,58,39,1,0,n148,19.366354,91.0
19.498959,0.7895833,66,36,1,0,n149,19.366354,91.0
19.515625,0.7729167,85,6,1,0,n150,19.366354,91.0
19.554167,0.734375,70,90,1,0,n151,19.366354,91.0
19.555208,0.73333335,75,76,1,0,n152,19.554688,92.0
19.559376,0.7291667,84,53,1,0,n153,19.554688,92.0
19.784374,0.50416666,70,94,1,0,n154,19.554688,92.0
19.7875,0.50104165,66,75,1,0,n155,19.554688,92.0
19.788542,0.5,75,98,1,0,n156,19.554688,92.0
19.792707,0.49583334,87,85,1,0,n157,19.792707,93.0
19.801043,0.4875,84,69,1,0,n158,19.792707,93.0
19.802084,0.48645833,63,63,1,0,n159,19.792707,93.0
19.803125,0.48541668,58,58,1,0,n160,19.792707,93.0
19.803125,0.48541668,86,74,1,0,n161,19.792707,93.0
20.009375,0.27916667,77,88,1,0,n162,19.95052,94.0
20.01875,0.26979166,84,65,1,0,n163,19.95052,94.0
20.019793,0.26875,70,83,1,0,n164,19.95052,94.0
20.021875,0.26666668,89,65,1,0,n165,19.95052,94.0
20.035418,0.253125,58,54,1,0,n166,19.95052,94.0
20.10625,0.18229167,70,87,1,0,n167,19.95052,94.0
20.10625,0.18229167,90,89,1,0,n168,19.95052,94.0
20.108334,0.18020834,78,87,1,0,n169,20.108334,95.0
20.114584,0.17395833,58,63,1,0,n170,20.108334,95.0
20.11875,0.22604166,84,82,1,0,n171,20.108334,95.0
20.34375,0.37916666,70,85,1,0,n172,20.108334,95.0
20.346874,0.37604168,65,57,1,0,n173,20.108334,95.0
20.35,0.37291667,58,76,1,0,n174,20.35,96.0
20.35,0.37291667,85,85,1,0,n175,20.35,96.0
