xml_id	midi_id	track	channel	pitch	onset
n8-1	n4	1	0	40	1.1802083333333335
n6-1	n0	1	0	42	0.9916666666666667
n7-1	n3	1	0	45	1.1020833333333335
n4-1	n5	1	0	52	1.1802083333333335
n2-1	n1	1	0	54	1.0270833333333333
n3-1	n2	1	0	57	1.0989583333333335
n9-1	n6	1	0	41	1.2510416666666668
n5-1	n7	1	0	53	1.2510416666666668
n13-1	n9	1	0	50	1.351041666666667
n10-1	n8	1	0	62	1.341666666666667
n21-1	n11	1	0	41	1.79375
n22-1	n13	1	0	44	1.8781249999999998
n17-1	n10	1	0	53	1.784375
n18-1	n12	1	0	56	1.8729166666666666
n23-1	n15	1	0	39	1.9552083333333332
n19-1	n14	1	0	51	1.9520833333333332
n24-1	n16	1	0	40	2.0239583333333333
n20-1	n17	1	0	52	2.0239583333333333
n29-1	n19	1	0	49	2.130208333333333
n25-1	n18	1	0	61	2.1135416666666664
n32-1	n20	1	0	48	2.5468750000000004
n28-1	n21	1	0	60	2.5468750000000004
n35-1	n24	1	0	43	2.9729166666666664
n34-1	n23	1	0	48	2.6343750000000004
n38-1	n25	1	0	55	2.9854166666666666
n33-1	n22	1	0	60	2.6229166666666672
n36-1	n26	1	0	38	3.095833333333333
n39-1	n27	1	0	50	3.095833333333333
n37-1	n28	1	0	39	3.158333333333333
n40-1	n29	1	0	51	3.19375
n46-1	n30	1	0	47	3.3000000000000003
n41-1	n31	1	0	59	3.304166666666667
n49-1	n36	1	0	51	3.9781250000000017
n50-1	n37	1	0	54	3.980208333333335
n51-1	n35	1	0	59	3.970833333333335
n52-1	n33	1	0	63	3.966666666666668
n53-1	deletion
n44-1	n34	1	0	78	3.966666666666668
n45-1	n32	1	0	90	3.9614583333333346
n56-1	deletion
n57-1	n42	1	0	54	4.084375000000001
n58-1	n39	1	0	59	4.065625000000002
n59-1	n40	1	0	63	4.065625000000002
n60-1	deletion
n54-1	n38	1	0	78	4.062500000000002
n55-1	n41	1	0	90	4.065625000000002
n73-1	n43	1	0	39	5.9114583333333295
n74-1	n46	1	0	42	6.008333333333328
n69-1	n44	1	0	51	5.9114583333333295
n70-1	n45	1	0	54	6.004166666666662
n75-1	n48	1	0	38	6.141666666666661
n71-1	n47	1	0	50	6.084374999999994
n76-1	n49	1	0	39	6.161458333333328
n72-1	n50	1	0	51	6.170833333333328
n83-1	n52	1	0	47	6.281249999999995
n80-1	n51	1	0	59	6.2531249999999945
n90-1	n54	1	0	38	6.731249999999989
n91-1	n56	1	0	42	6.818749999999987
n86-1	n53	1	0	50	6.715624999999989
n87-1	n55	1	0	54	6.7916666666666545
n92-1	n58	1	0	37	6.879166666666653
n88-1	n57	1	0	49	6.8729166666666535
n93-1	n60	1	0	38	6.972916666666653
n89-1	n59	1	0	50	6.949999999999987
n99-1	n62	1	0	47	7.071874999999986
n95-1	n61	1	0	59	7.0499999999999865
n102-1	n64	1	0	46	7.479166666666649
n98-1	n63	1	0	58	7.473958333333316
n109-1	n68	1	0	39	7.883333333333315
n107-1	n65	1	0	46	7.569791666666649
n104-1	n67	1	0	51	7.879166666666649
n108-1	n66	1	0	58	7.572916666666649
n110-1	n71	1	0	35	8.017708333333315
n105-1	n69	1	0	47	7.994791666666648
n111-1	n72	1	0	36	8.086458333333315
n106-1	n73	1	0	48	8.086458333333315
n125-1	n75	1	0	45	8.211458333333315
n117-1	n74	1	0	57	8.207291666666649
n120-1	n80	1	0	51	8.783333333333315
n121-1	n81	1	0	54	8.78854166666665
n122-1	n79	1	0	57	8.779166666666649
n123-1	n77	1	0	63	8.77291666666665
n115-1	deletion
n124-1	deletion
n116-1	n78	1	0	78	8.77291666666665
n128-1	n82	1	0	51	8.879166666666649
n129-1	n87	1	0	54	8.888541666666649
n130-1	n83	1	0	57	8.883333333333315
n131-1	n84	1	0	63	8.883333333333315
n126-1	deletion
n132-1	deletion
n127-1	n85	1	0	78	8.883333333333315
n139-1	deletion
n141-1	n89	1	0	36	10.187499999999984
n144-1	n88	1	0	48	10.170833333333317
n142-1	n91	1	0	30	10.467708333333318
n145-1	n90	1	0	42	10.465624999999985
n143-1	n92	1	0	33	10.634374999999984
n146-1	n93	1	0	45	10.639583333333318
n159-1	n95	1	0	45	10.837499999999984
n152-1	n94	1	0	57	10.83229166666665
