onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9916667,0.08541667,42,43,1,0,n0,-10.0,-10.0
1.0270833,0.08541667,54,42,1,0,n1,1.009375,0.0
1.0989584,0.0625,57,53,1,0,n2,1.009375,0.0
1.1020833,0.05,45,44,1,0,n3,1.009375,0.0
1.1802083,0.047916666,40,43,1,0,n4,1.121701,1.0
1.1802083,0.059375,52,53,1,0,n5,1.121701,1.0
1.2510417,0.038541667,41,51,1,0,n6,1.234028,2.0
1.2510417,0.060416665,53,59,1,0,n7,1.234028,2.0
1.3416667,0.044791665,62,63,1,0,n8,1.234028,2.0
1.3510417,0.042708334,50,59,1,0,n9,1.346354,3.0
1.784375,0.140625,53,53,1,0,n10,1.641493,5.0
1.79375,0.1,41,54,1,0,n11,1.789063,6.0
1.8729167,0.103125,56,75,1,0,n12,1.789063,6.0
1.878125,0.092708334,44,73,1,0,n13,1.789063,6.0
1.9520833,0.083333336,51,82,1,0,n14,1.9,7.0
1.9552083,0.08958333,39,56,1,0,n15,1.9,7.0
2.0239584,0.09375,40,65,1,0,n16,2.010938,8.0
2.0239584,0.07604167,52,82,1,0,n17,2.010938,8.0
2.1135416,0.19375,61,89,1,0,n18,2.010938,8.0
2.1302083,0.17708333,49,87,1,0,n19,2.121875,9.0
2.546875,0.035416666,48,84,1,0,n20,2.459722,11.0
2.546875,0.041666668,60,88,1,0,n21,2.459722,11.0
2.6229167,0.70520836,60,84,1,0,n22,2.459722,11.0
2.634375,0.69375,48,85,1,0,n23,2.628646,12.0
2.9729166,0.35520834,43,64,1,0,n24,2.853125,13.0
2.9854167,0.34270832,55,66,1,0,n25,2.853125,13.0
3.0958333,0.23229167,38,60,1,0,n26,3.077604,14.0
3.0958333,0.23229167,50,75,1,0,n27,3.077604,14.0
3.1583333,0.16979167,39,76,1,0,n28,3.077604,14.0
3.19375,0.134375,51,88,1,0,n29,3.077604,14.0
3.3,2.465625,47,85,1,0,n30,3.077604,14.0
3.3041666,2.4614584,59,95,1,0,n31,3.302084,15.0
3.9614584,1.8041667,90,93,1,0,n32,3.811111,17.0
3.9666667,1.7989583,63,85,1,0,n33,3.811111,17.0
3.9666667,1.7989583,78,92,1,0,n34,3.811111,17.0
3.9708333,1.7947917,59,80,1,0,n35,3.811111,17.0
3.978125,1.7875,51,72,1,0,n36,3.811111,17.0
3.9802084,1.7854167,54,66,1,0,n37,3.811111,17.0
4.0625,1.703125,78,104,1,0,n38,3.811111,17.0
4.065625,1.7,59,83,1,0,n39,4.065625,18.0
4.065625,1.7,63,84,1,0,n40,4.065625,18.0
4.065625,1.7,90,107,1,0,n41,4.065625,18.0
4.084375,1.68125,54,75,1,0,n42,4.065625,18.0
5.9114585,0.05625,39,45,1,0,n43,5.911458,24.0
5.9114585,0.10208333,51,49,1,0,n44,5.911458,24.0
6.0041666,0.047916666,54,53,1,0,n45,5.911458,24.0
6.008333,0.05625,42,58,1,0,n46,5.911458,24.0
6.084375,0.04375,50,56,1,0,n47,6.030035,25.0
6.141667,0.06979167,38,12,1,0,n48,6.030035,25.0
6.1614585,0.05625,39,47,1,0,n49,6.148611,26.0
6.170833,0.042708334,51,59,1,0,n50,6.148611,26.0
6.253125,0.052083332,59,63,1,0,n51,6.148611,26.0
6.28125,0.035416666,47,48,1,0,n52,6.267188,27.0
6.715625,0.09791667,50,60,1,0,n53,6.571354,29.0
6.73125,0.08229167,38,59,1,0,n54,6.723438,30.0
6.7916665,0.109375,54,76,1,0,n55,6.723438,30.0
6.81875,0.06979167,42,66,1,0,n56,6.723438,30.0
6.8729167,0.08125,49,80,1,0,n57,6.835938,31.0
6.8791666,0.10520833,37,67,1,0,n58,6.835938,31.0
6.95,0.06875,50,88,1,0,n59,6.948437,32.0
6.9729166,0.10104167,38,75,1,0,n60,6.948437,32.0
7.05,0.07083333,59,91,1,0,n61,6.948437,32.0
7.071875,0.040625,47,89,1,0,n62,7.060937,33.0
7.4739585,0.046875,58,82,1,0,n63,7.401216,35.0
7.4791665,0.041666668,46,85,1,0,n64,7.401216,35.0
7.569792,0.66041666,46,87,1,0,n65,7.401216,35.0
7.5729165,0.65729165,58,84,1,0,n66,7.571354,36.0
7.8791666,0.35104167,51,82,1,0,n67,7.784028,37.0
7.883333,0.346875,39,73,1,0,n68,7.784028,37.0
7.9947915,0.23541667,47,83,1,0,n69,7.784028,37.0
8.017709,0.2125,33,61,1,0,n70,7.996702,38.0
8.017709,0.2125,35,67,1,0,n71,7.996702,38.0
8.086458,0.14375,36,81,1,0,n72,7.996702,38.0
8.086458,0.14375,48,90,1,0,n73,7.996702,38.0
8.207292,2.065625,57,95,1,0,n74,7.996702,38.0
