onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0068357,2.652989,37,96,0,0,n0,-10.0,-10.0
2.0068357,2.652989,49,98,0,0,n1,-10.0,-10.0
4.5282006,0.8948709,40,95,0,0,n2,3.5960836,1.0
4.52991,0.8931615,28,91,0,0,n3,3.5960836,1.0
5.182901,4.982901,40,94,0,0,n4,3.5960836,1.0
5.1871743,4.9786277,28,88,0,0,n5,5.1849575,2.0
7.1222153,3.0435867,61,91,0,0,n6,5.1849575,2.0
7.1264887,3.0393133,56,93,0,0,n7,7.126061,3.0
7.1316166,3.034185,49,87,0,0,n8,7.126061,3.0
9.08888,1.076922,49,87,0,0,n9,7.126061,3.0
9.357256,3.8076885,49,84,0,0,n10,9.0892,4.0
9.560675,6.5461473,51,89,0,0,n11,9.0892,4.0
9.705118,3.4598255,57,83,0,0,n12,9.0892,4.0
9.861528,3.3034155,61,97,0,0,n13,9.0892,4.0
9.873494,6.432472,41,97,0,0,n14,9.87312,5.0
9.8811865,6.2256346,29,90,0,0,n15,9.87312,5.0
12.837594,3.2692275,60,82,0,0,n16,9.87312,5.0
12.844432,3.26239,48,78,0,0,n17,12.8412,6.0
16.132462,0.1735041,46,88,0,0,n18,14.487498,7.0
16.135027,0.17094,34,82,0,0,n19,16.133799,8.0
16.246992,0.1188033,53,66,0,0,n20,16.133799,8.0
16.365795,0.119658,58,59,0,0,n21,16.133799,8.0
16.37947,0.1213674,61,57,0,0,n22,16.133799,8.0
16.382034,0.1059828,49,61,0,0,n23,16.133799,8.0
16.452974,0.1760682,41,53,0,0,n24,16.133799,8.0
16.576052,0.0974358,46,48,0,0,n25,16.133799,8.0
16.585453,0.0982905,34,44,0,0,n26,16.580511,9.0
16.676052,0.0923076,53,51,0,0,n27,16.580511,9.0
16.799128,0.1478631,58,40,0,0,n28,16.580511,9.0
16.818787,0.1239315,49,40,0,0,n29,16.580511,9.0
16.823915,0.1136751,61,43,0,0,n30,16.580511,9.0
16.878616,0.2179485,41,44,0,0,n31,16.580511,9.0
17.00853,0.1256409,46,48,0,0,n32,16.580511,9.0
17.016222,0.1273503,34,53,0,0,n33,17.012537,10.0
17.110239,0.102564,53,53,0,0,n34,17.012537,10.0
17.214512,0.1589742,58,44,0,0,n35,17.012537,10.0
17.245281,0.145299,49,46,0,0,n36,17.012537,10.0
