idx,matchtype,partid,ppartid
0,0,n14-1,n5
1,0,n3-1,n2
2,0,n15-1,n6
3,0,n1-1,n1
4,0,n4-1,n4
5,0,n8-1,n8
6,0,n10-1,n13
7,1,n6-1,undefined
8,0,n2-1,n0
9,0,n5-1,n3
10,0,n7-1,n7
11,0,n9-1,n10
12,0,n16-1,n9
13,0,n18-1,n15
14,0,n17-1,n11
15,0,n19-1,n14
16,0,n11-1,n12
17,0,n20-1,n19
18,0,n21-1,n18
19,0,n12-1,n17
20,0,n13-1,n16
21,0,n38-1,n24
22,0,n39-1,n22
23,0,n22-1,n25
24,0,n23-1,n23
25,0,n24-1,n21
26,0,n25-1,n20
27,0,n40-1,n26
28,0,n41-1,n29
29,0,n42-1,n32
30,1,n43-1,undefined
31,1,n30-1,undefined
32,0,n26-1,n30
33,1,n32-1,undefined
34,0,n27-1,n27
35,0,n28-1,n28
36,0,n31-1,n33
37,0,n29-1,n31
38,1,n35-1,undefined
39,1,n44-1,undefined
40,0,n45-1,n36
41,0,n46-1,n38
42,0,n47-1,n37
43,0,n49-1,n41
44,0,n51-1,n45
45,0,n53-1,n49
46,1,n36-1,undefined
47,0,n33-1,n34
48,0,n34-1,n35
49,0,n37-1,n39
50,0,n58-1,n44
51,0,n59-1,n42
52,0,n48-1,n43
53,0,n50-1,n46
54,0,n60-1,n50
55,0,n62-1,n54
56,0,n61-1,n47
57,0,n63-1,n52
58,0,n52-1,n48
59,0,n54-1,n51
60,0,n55-1,n53
61,0,n64-1,n58
62,0,n65-1,n57
63,0,n56-1,n55
64,0,n57-1,n56
65,0,n82-1,n63
66,0,n83-1,n60
67,0,n66-1,n61
68,0,n67-1,n62
69,0,n68-1,n64
70,0,n69-1,n59
71,0,n84-1,n65
72,0,n85-1,n67
73,0,n86-1,n69
74,1,n87-1,undefined
75,1,n74-1,undefined
76,0,n70-1,n68
77,0,n71-1,n70
78,0,n75-1,n71
79,1,n72-1,undefined
80,0,n73-1,n66
81,1,n79-1,undefined
82,1,n88-1,undefined
83,0,n89-1,n74
84,0,n90-1,n76
85,0,n91-1,n75
86,0,n76-1,n72
87,0,n80-1,n79
88,0,n77-1,n77
89,0,n78-1,n73
90,0,n81-1,n78
91,0,n102-1,n81
92,0,n103-1,n82
93,0,n92-1,n80
94,0,n94-1,n85
95,0,n93-1,n83
96,0,n95-1,n84
97,0,n104-1,n88
98,0,n106-1,n92
99,0,n105-1,n86
100,0,n107-1,n90
101,0,n96-1,n89
102,0,n98-1,n93
103,0,n97-1,n87
104,0,n99-1,n91
105,0,n108-1,n97
106,0,n109-1,n95
107,0,n100-1,n96
108,0,n101-1,n94
109,0,n135-1,n103
110,0,n136-1,n101
111,1,n110-1,undefined
112,1,n115-1,undefined
113,0,n111-1,n98
114,0,n116-1,n105
115,0,n112-1,n100
116,0,n117-1,n104
117,0,n113-1,n102
118,0,n118-1,n106
119,0,n114-1,n99
120,1,n119-1,undefined
121,0,n137-1,n108
122,0,n139-1,n114
123,0,n138-1,n109
124,0,n140-1,n112
125,1,n120-1,undefined
126,1,n125-1,undefined
127,0,n121-1,n107
128,0,n126-1,n113
129,0,n122-1,n111
130,1,n127-1,undefined
131,0,n123-1,n110
132,0,n128-1,n115
133,0,n129-1,n116
134,1,n124-1,undefined
135,0,n141-1,n122
136,0,n142-1,n119
137,1,n130-1,undefined
138,0,n131-1,n117
139,0,n132-1,n120
140,0,n133-1,n118
141,0,n134-1,n121
142,0,n160-1,n128
143,0,n161-1,n127
144,0,n143-1,n125
145,0,n147-1,n131
146,0,n144-1,n123
147,0,n148-1,n129
148,2,undefined,n132
149,0,n145-1,n124
150,0,n149-1,n130
151,2,undefined,n134
152,0,n146-1,n126
153,1,n150-1,undefined
154,0,n162-1,n140
155,0,n164-1,n145
156,0,n163-1,n139
157,0,n165-1,n141
158,0,n151-1,n136
159,0,n157-1,n143
160,1,n154-1,undefined
161,0,n152-1,n137
162,0,n158-1,n142
163,1,n155-1,undefined
164,0,n156-1,n138
165,0,n159-1,n144
166,1,n153-1,undefined
167,1,n166-1,undefined
168,1,n167-1,undefined
169,0,n178-1,n149
170,0,n168-1,n147
171,0,n179-1,n150
172,0,n169-1,n148
173,0,n170-1,n146
174,0,n180-1,n155
175,0,n181-1,n154
176,0,n171-1,n151
177,1,n175-1,undefined
178,0,n172-1,n153
179,0,n173-1,n152
180,0,n182-1,n161
181,0,n183-1,n160
182,1,n174-1,undefined
183,0,n176-1,n158
184,0,n177-1,n156
185,0,n194-1,n165
186,0,n195-1,n164
187,0,n184-1,n159
188,0,n185-1,n162
189,0,n186-1,n163
190,0,n187-1,n166
191,0,n196-1,n169
192,0,n197-1,n170
193,0,n188-1,n167
194,0,n190-1,n171
195,0,n189-1,n168
196,0,n198-1,n175
197,0,n199-1,n174
198,0,n191-1,n172
199,0,n193-1,n176
200,0,n192-1,n173
201,0,n209-1,n180
202,0,n210-1,n177
203,0,n200-1,n179
204,0,n202-1,n181
205,0,n201-1,n178
206,0,n211-1,n185
207,0,n212-1,n184
208,0,n203-1,n183
209,0,n205-1,n186
210,0,n204-1,n182
211,0,n213-1,n189
212,0,n214-1,n190
213,0,n206-1,n188
214,0,n208-1,n191
215,0,n207-1,n187
216,0,n224-1,n194
217,0,n225-1,n193
218,0,n216-1,n195
219,1,n219-1,undefined
220,0,n217-1,n192
221,0,n226-1,n197
222,1,n227-1,undefined
223,0,n218-1,n198
224,0,n220-1,n196
225,0,n228-1,n203
226,0,n229-1,n204
227,0,n230-1,n202
228,0,n221-1,n200
229,0,n222-1,n201
230,0,n223-1,n199
231,0,n240-1,n205
232,1,n241-1,undefined
233,1,n242-1,undefined
234,0,n231-1,n207
235,0,n232-1,n208
236,0,n233-1,n206
237,0,n243-1,n209
238,0,n245-1,n212
239,0,n234-1,n213
240,0,n236-1,n211
241,0,n246-1,n219
242,0,n247-1,n217
243,0,n248-1,n215
244,0,n237-1,n216
245,0,n238-1,n218
246,0,n239-1,n214
247,0,n258-1,n220
248,1,n259-1,undefined
249,1,n260-1,undefined
250,0,n249-1,n223
251,0,n250-1,n222
252,0,n251-1,n221
253,0,n261-1,n224
254,0,n263-1,n228
255,0,n252-1,n227
256,0,n254-1,n226
257,0,n264-1,n233
258,0,n265-1,n234
259,0,n266-1,n231
260,1,n277-1,undefined
261,0,n255-1,n230
262,0,n256-1,n232
263,0,n257-1,n229
264,0,n275-1,n238
265,0,n276-1,n239
266,0,n267-1,n236
267,0,n268-1,n237
268,0,n269-1,n235
