onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.51282,0.057425156,55,46,0,0,n0,0.51282,-1.0
0.62232846,0.05475422,56,52,0,0,n1,0.51282,-1.0
0.72115314,0.058760624,57,51,0,0,n2,0.721153,0.0
0.7865911,0.060096093,60,58,0,0,n3,0.721153,0.0
0.87072563,0.03205125,58,52,0,0,n4,0.721153,0.0
0.93883455,0.09214734,67,61,0,0,n5,0.870726,1.0
1.0323174,0.04540594,62,68,0,0,n6,0.870726,1.0
1.0416657,0.3725958,46,40,0,0,n7,0.870726,1.0
1.0416657,0.06276703,56,44,0,0,n8,0.870726,1.0
1.1124455,0.102831095,65,54,0,0,n9,1.041666,2.0
1.1858963,0.040064063,55,36,0,0,n10,1.041666,2.0
1.2019218,0.044070467,63,53,0,0,n11,1.193909,3.0
1.262018,0.05208328,55,44,0,0,n12,1.193909,3.0
1.3408107,0.028044844,58,61,0,0,n13,1.193909,3.0
1.3474879,0.12286312,39,49,0,0,n14,1.34415,4.0
1.4035777,0.036057655,63,49,0,0,n15,1.34415,4.0
1.4463127,0.05074781,46,21,0,0,n16,1.34415,4.0
1.5010669,0.036057655,67,67,0,0,n17,1.34415,4.0
1.5745176,0.03338672,68,64,0,0,n18,1.501067,5.0
1.6506394,0.06143156,69,72,0,0,n19,1.650639,6.0
1.712071,0.06276703,72,69,0,0,n20,1.650639,6.0
1.7801799,0.03071578,70,73,0,0,n21,1.650639,6.0
1.8643143,0.070779845,79,76,0,0,n22,1.78018,7.0
1.9324232,0.037393127,68,50,0,0,n23,1.78018,7.0
1.9377651,0.29246765,58,51,0,0,n24,1.937765,8.0
1.9404361,0.049412344,74,69,0,0,n25,1.937765,8.0
2.023235,0.07612172,77,56,0,0,n26,1.937765,8.0
2.0819957,0.14823703,67,38,0,0,n27,1.937765,8.0
2.111376,0.11885672,75,60,0,0,n28,2.096686,9.0
2.1407564,0.08947641,67,42,0,0,n29,2.096686,9.0
2.2262263,0.028044844,70,57,0,0,n30,2.096686,9.0
2.2475939,0.04139953,51,52,0,0,n31,2.23691,10.0
2.2863226,0.034722187,75,54,0,0,n32,2.23691,10.0
2.3651152,0.038728595,79,69,0,0,n33,2.365115,11.0
2.4118567,0.040064063,81,39,0,0,n34,2.365115,11.0
2.4399014,0.029380312,80,72,0,0,n35,2.365115,11.0
2.5293777,0.048076876,81,79,0,0,n36,2.365115,11.0
2.5908093,0.057425156,84,70,0,0,n37,2.529378,12.0
2.6549118,0.03205125,82,74,0,0,n38,2.529378,12.0
2.73504,0.09081188,91,74,0,0,n39,2.654912,13.0
2.8124971,0.11485031,79,51,0,0,n40,2.812497,14.0
2.8124971,0.044070467,86,68,0,0,n41,2.812497,14.0
2.8458838,0.7986103,70,27,0,0,n42,2.812497,14.0
2.885948,0.056089688,89,64,0,0,n43,2.812497,14.0
2.971418,0.6730763,87,55,0,0,n44,2.812497,14.0
2.988779,0.65571517,75,52,0,0,n45,2.988779,15.0
2.9927855,0.6517087,67,45,0,0,n46,2.988779,15.0
3.0355206,0.60897374,82,75,0,0,n47,2.988779,15.0
