onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
3.6291666,0.047916666,55,47,0,0,n0,-10.0,-10.0
3.7020833,0.063541666,56,56,0,0,n1,3.629167,-1.0
3.7958333,0.057291668,57,62,0,0,n2,3.795833,0.0
3.86875,0.0625,60,66,0,0,n3,3.795833,0.0
3.9572916,0.034375,58,59,0,0,n4,3.795833,0.0
4.038542,0.0875,67,68,0,0,n5,3.957292,1.0
4.126042,0.045833334,62,63,0,0,n6,3.957292,1.0
4.1447916,0.059375,56,50,0,0,n7,3.957292,1.0
4.1760416,0.30416667,46,18,0,0,n8,4.144792,2.0
4.190625,0.065625,65,59,0,0,n9,4.144792,2.0
4.2677083,0.2125,55,53,0,0,n10,4.144792,2.0
4.26875,0.21145834,63,64,0,0,n11,4.268229,3.0
4.3395834,0.140625,46,16,0,0,n12,4.268229,3.0
4.3854165,0.094791666,55,61,0,0,n13,4.268229,3.0
4.445833,0.044791665,58,59,0,0,n14,4.268229,3.0
4.461458,0.042708334,39,63,0,0,n15,4.453646,4.0
4.5104165,0.03125,63,63,0,0,n16,4.453646,4.0
4.6041665,0.0375,67,67,0,0,n17,4.453646,4.0
4.6739583,0.061458334,68,68,0,0,n18,4.604167,5.0
4.751042,0.05,69,74,0,0,n19,4.751042,6.0
4.835417,0.052083332,72,72,0,0,n20,4.751042,6.0
4.920833,0.03125,70,68,0,0,n21,4.920833,7.0
5.0020833,0.088541664,79,72,0,0,n22,4.920833,7.0
5.084375,0.31354168,74,70,0,0,n23,4.920833,7.0
5.0895834,0.30833334,68,58,0,0,n24,5.089583,8.0
5.0979166,0.31041667,58,45,0,0,n25,5.089583,8.0
5.15625,0.24166666,77,73,0,0,n26,5.089583,8.0
5.202083,0.19583334,67,62,0,0,n27,5.089583,8.0
5.2302084,0.16770834,75,73,0,0,n28,5.216146,9.0
5.313542,0.084375,67,76,0,0,n29,5.216146,9.0
5.397917,0.033333335,70,67,0,0,n30,5.216146,9.0
5.398958,0.036458332,51,61,0,0,n31,5.398438,10.0
5.461458,0.029166667,75,69,0,0,n32,5.398438,10.0
5.5364585,0.048958335,79,80,0,0,n33,5.536458,11.0
5.6197915,0.057291668,80,69,0,0,n34,5.536458,11.0
5.69375,0.05,81,73,0,0,n35,5.69375,12.0
5.7302084,0.040625,83,38,0,0,n36,5.69375,12.0
5.766667,0.058333334,84,75,0,0,n37,5.69375,12.0
5.8333335,0.05625,82,75,0,0,n38,5.833333,13.0
5.9270835,0.08125,91,73,0,0,n39,5.833333,13.0
6.0,0.067708336,79,43,0,0,n40,6.0,14.0
6.0,0.048958335,86,71,0,0,n41,6.0,14.0
6.0052085,0.17395833,70,33,0,0,n42,6.0,14.0
6.084375,0.06875,89,74,0,0,n43,6.0,14.0
6.148958,0.034375,67,53,0,0,n44,6.0,14.0
6.1510415,0.026041666,75,55,0,0,n45,6.0,14.0
6.1604166,0.053125,87,71,0,0,n46,6.151042,15.0
6.2364583,0.059375,82,70,0,0,n47,6.151042,15.0
6.3333335,0.0375,79,58,0,0,n48,6.333333,16.0
6.4239583,0.08020833,75,67,0,0,n49,6.333333,16.0
6.515625,0.035416666,70,56,0,0,n50,6.515625,17.0
6.5739584,0.034375,67,65,0,0,n51,6.515625,17.0
6.672917,0.61354166,48,70,0,0,n52,6.515625,17.0
6.6739583,0.08958333,63,64,0,0,n53,6.673438,18.0
6.778125,0.07604167,55,72,0,0,n54,6.673438,18.0
6.8614583,0.09583333,60,66,0,0,n55,6.861458,19.0
6.946875,0.061458334,63,72,0,0,n56,6.861458,19.0
7.022917,0.22083333,67,71,0,0,n57,7.022917,20.0
7.1041665,0.13958333,65,70,0,0,n58,7.022917,20.0
7.172917,0.403125,41,65,0,0,n59,7.172917,21.0
7.172917,0.079166666,63,73,0,0,n60,7.172917,21.0
7.251042,0.059375,56,70,0,0,n61,7.172917,21.0
7.366667,0.11666667,62,66,0,0,n62,7.366667,22.0
7.452083,0.077083334,60,59,0,0,n63,7.366667,22.0
