xml_id	midi_id	track	channel	pitch	onset
n1-1	n0	0	0	55	0.51148453125
n2-1	n1	0	0	56	0.6116446875000001
n4-1	n2	0	0	57	0.7144757812500001
n5-1	n3	0	0	60	0.8039521875000001
n6-1	n4	0	0	58	0.9054478125000001
n7-1	n5	0	0	67	0.9975951562500001
n13-1	n7	0	0	46	1.0964198437500001
n12-1	n8	0	0	56	1.1324775
n8-1	n6	0	0	62	1.06971046875
n9-1	n9	0	0	65	1.1845607812499999
n20-1	n10	0	0	55	1.27003078125
n15-1	n12	0	0	55	1.38755203125
n14-1	n11	0	0	63	1.27003078125
n21-1	n14	0	0	39	1.47836390625
n16-1	n13	0	0	58	1.4770284375
n17-1	n15	0	0	63	1.543801875
n18-1	n16	0	0	67	1.6666649999999996
n19-1	n17	0	0	68	1.7654896874999995
n24-1	n18	0	0	69	1.8509596874999994
n25-1	n19	0	0	72	1.9230749999999992
n26-1	n20	0	0	70	2.0165578124999994
n27-1	n21	0	0	79	2.1127115624999995
n33-1	n24	0	0	58	2.228897343749999
n32-1	n23	0	0	68	2.223555468749999
n28-1	n22	0	0	74	2.2075298437499993
n29-1	n25	0	0	77	2.315702812499999
n40-1	n27	0	0	67	2.4025082812499994
n35-1	n28	0	0	67	2.5080103124999993
n34-1	n26	0	0	75	2.3971664062499993
n41-1	n29	0	0	51	2.5908093749999987
n36-1	n30	0	0	70	2.6054995312499987
n37-1	n31	0	0	75	2.677614843749999
n38-1	n32	0	0	79	2.7911296874999993
n39-1	n33	0	0	80	2.8752642187499995
n44-1	n34	0	0	81	2.9674115624999993
n45-1	n35	0	0	84	3.0595589062499995
n46-1	n36	0	0	82	3.1503707812499995
n47-1	n37	0	0	91	3.2505309374999993
n52-1	n39	0	0	70	3.326652656249999
n53-1	n38	0	0	79	3.325317187499999
n48-1	n40	0	0	86	3.336000937499999
n49-1	n41	0	0	89	3.456193124999999
n60-1	n43	0	0	67	3.534985781249999
n61-1	n42	0	0	75	3.5176246874999992
n55-1	n45	0	0	82	3.6244621874999994
n54-1	n44	0	0	87	3.534985781249999
n57-1	n47	0	0	75	3.8154342187499997
n56-1	n46	0	0	79	3.7166095312499996
n59-1	n49	0	0	67	4.00507078125
n58-1	n48	0	0	70	3.9115879687499997
n70-1	n50	0	0	48	4.1372821875
n65-1	n52	0	0	55	4.276170937500002
n64-1	n51	0	0	63	4.17066890625
n66-1	n53	0	0	60	4.354963593750003
n67-1	n54	0	0	63	4.421737031250003
n69-1	n56	0	0	65	4.631405625000003
n68-1	n55	0	0	67	4.520561718750003
n77-1	n58	0	0	41	4.743585000000003
n72-1	n59	0	0	56	4.830390468750003
n71-1	n57	0	0	63	4.716875625000003
n74-1	n61	0	0	60	5.025368906250002
n73-1	n60	0	0	62	4.938563437500003
n78-1	n63	0	0	43	5.1549093750000035
n76-1	n64	0	0	55	5.244385781250004
n75-1	n62	0	0	59	5.141554687500004
n80-1	n65	0	0	56	5.349887812500003
n81-1	n66	0	0	57	5.447377031250003
n82-1	n67	0	0	58	5.539524375000003
n83-1	n68	0	0	67	5.630336250000003
n89-1	n71	0	0	46	5.731831875000003
n88-1	n70	0	0	56	5.7278254687500025
n84-1	n69	0	0	62	5.7224835937500025
n85-1	n72	0	0	65	5.8132954687500025
n96-1	n74	0	0	55	5.913455625000003
n91-1	n75	0	0	55	6.021628593750004
n90-1	n73	0	0	63	5.906778281250003
n97-1	n77	0	0	39	6.169865625000004
n92-1	n76	0	0	58	6.113775937500003
n93-1	n78	0	0	63	6.1979104687500035
n94-1	n79	0	0	67	6.323444531250003
n95-1	deletion
n100-1	n80	0	0	69	6.4930490625000035
n101-1	n81	0	0	72	6.598551093750004
n102-1	n82	0	0	70	6.682685625000004
n103-1	n83	0	0	79	6.7815103125000045
n109-1	n86	0	0	58	6.877664062500004
n108-1	n85	0	0	68	6.876328593750004
n104-1	n84	0	0	74	6.857632031250004
n105-1	n87	0	0	77	6.956456718750002
n116-1	n88	0	0	67	7.043262187500002
n111-1	n90	0	0	67	7.1607834375
n110-1	n89	0	0	75	7.0499395312500015
n117-1	n92	0	0	51	7.251595312500001
n112-1	n91	0	0	70	7.250259843750001
n113-1	n93	0	0	75	7.330387968749999
n114-1	n94	0	0	79	7.446573749999999
n115-1	n95	0	0	80	7.533379218749999
n120-1	n96	0	0	81	7.6241910937499995
