xml_id	midi_id	track	channel	pitch	onset
n1-1	n0	1	0	55	2.182291666666667
n2-1	n1	1	0	56	2.2890625
n4-1	n2	1	0	57	2.3734375
n5-1	n3	1	0	60	2.4348958333333335
n6-1	n4	1	0	58	2.4906249999999996
n7-1	n5	1	0	67	2.563541666666666
n13-1	n8	1	0	46	2.649479166666666
n12-1	n6	1	0	56	2.6171874999999996
n8-1	n7	1	0	62	2.6484374999999996
n9-1	n9	1	0	65	2.715104166666666
n20-1	n10	1	0	55	2.781249999999999
n15-1	n11	1	0	55	2.8854166666666656
n14-1	deletion
n21-1	n13	1	0	39	2.957291666666665
n16-1	n12	1	0	58	2.9307291666666653
n17-1	n14	1	0	63	2.9749999999999983
n18-1	n15	1	0	67	3.079166666666665
n19-1	n16	1	0	68	3.1380208333333313
n24-1	n17	1	0	69	3.2119791666666644
n25-1	n18	1	0	72	3.2697916666666647
n26-1	n19	1	0	70	3.3307291666666647
n27-1	n20	1	0	79	3.404687499999998
n33-1	n22	1	0	58	3.4687499999999982
n32-1	n21	1	0	68	3.4479166666666647
n28-1	n23	1	0	74	3.4921874999999982
n29-1	n24	1	0	77	3.568749999999998
n40-1	n25	1	0	67	3.607812499999998
n35-1	n27	1	0	67	3.7421874999999982
n34-1	n26	1	0	75	3.6536458333333313
n41-1	n29	1	0	51	3.8031249999999983
n36-1	n28	1	0	70	3.7874999999999983
n37-1	n30	1	0	75	3.828124999999998
n38-1	n31	1	0	79	3.9244791666666647
n39-1	n32	1	0	80	3.9843749999999982
n44-1	n33	1	0	81	4.053645833333332
n45-1	n34	1	0	84	4.102604166666665
n46-1	n35	1	0	82	4.168229166666665
n47-1	n36	1	0	91	4.23177083333333
n52-1	n39	1	0	70	4.320312499999997
n53-1	n37	1	0	79	4.290104166666664
n48-1	n38	1	0	86	4.295833333333331
n49-1	n40	1	0	89	4.367187499999997
n60-1	n42	1	0	67	4.463541666666663
n61-1	n43	1	0	75	4.472916666666664
n55-1	n44	1	0	82	4.5156249999999964
n54-1	n41	1	0	87	4.441666666666664
n57-1	n46	1	0	75	4.69427083333333
n56-1	n45	1	0	79	4.579166666666663
n59-1	n48	1	0	67	4.868229166666662
n58-1	n47	1	0	70	4.7942708333333295
n70-1	n49	1	0	48	4.977604166666662
n65-1	n51	1	0	55	5.097916666666662
n64-1	n50	1	0	63	4.985416666666662
n66-1	n52	1	0	60	5.165104166666663
n67-1	n53	1	0	63	5.229166666666663
n69-1	n55	1	0	65	5.397395833333331
n68-1	n54	1	0	67	5.324479166666664
n77-1	n57	1	0	41	5.485416666666664
n72-1	n58	1	0	56	5.571354166666665
n71-1	n56	1	0	63	5.480729166666664
n74-1	n60	1	0	60	5.765624999999997
n73-1	n59	1	0	62	5.705729166666664
n78-1	n61	1	0	43	5.827083333333331
n76-1	n63	1	0	55	5.903645833333329
n75-1	n62	1	0	59	5.838541666666663
n80-1	n64	1	0	56	5.965104166666662
n81-1	n65	1	0	57	6.0338541666666625
n82-1	n66	1	0	58	6.09270833333333
n83-1	n67	1	0	67	6.149479166666663
n89-1	n69	1	0	46	6.22552083333333
n88-1	n68	1	0	56	6.213541666666663
n84-1	n70	1	0	62	6.235416666666663
n85-1	n71	1	0	65	6.303645833333331
n96-1	n72	1	0	55	6.34895833333333
n91-1	n74	1	0	55	6.467708333333332
n90-1	n73	1	0	63	6.373958333333331
n97-1	n76	1	0	39	6.522395833333332
n92-1	n75	1	0	58	6.492187499999998
n93-1	n77	1	0	63	6.533854166666665
n94-1	n78	1	0	67	6.6447916666666655
n95-1	n79	1	0	68	6.690104166666665
n100-1	n80	1	0	69	6.783854166666665
n101-1	n81	1	0	72	6.828124999999998
n102-1	n82	1	0	70	6.894791666666665
n103-1	n83	1	0	79	6.960937499999998
n109-1	n85	1	0	58	7.033854166666665
n108-1	n84	1	0	68	7.015624999999998
n104-1	n86	1	0	74	7.041666666666665
n105-1	n87	1	0	77	7.104166666666666
n116-1	n88	1	0	67	7.172916666666666
n111-1	n90	1	0	67	7.260416666666666
n110-1	n89	1	0	75	7.1838541666666655
n117-1	n92	1	0	51	7.3447916666666675
n112-1	n91	1	0	70	7.308854166666667
n113-1	n93	1	0	75	7.348958333333334
n114-1	n94	1	0	79	7.4463541666666675
n115-1	n95	1	0	80	7.5088541666666675
n120-1	n96	1	0	81	7.585937500000001
n121-1	n97	1	0	84	7.651041666666669
n122-1	n98	1	0	82	7.715104166666669
n123-1	n99	1	0	82	7.788020833333336
n128-1	n101	1	0	70	7.872395833333337
n129-1	n100	1	0	79	7.85416666666667
n125-1	n103	1	0	94	7.983333333333337
n124-1	n102	1	0	96	7.903645833333337
n136-1	n104	1	0	67	8.01197916666667
n137-1	n105	1	0	75	8.040104166666671
n131-1	n107	1	0	87	8.125000000000005
n130-1	n106	1	0	91	8.040104166666671
n133-1	n109	1	0	82	8.289062500000007
n132-1	n108	1	0	84	8.182291666666673
n135-1	n111	1	0	75	8.424479166666673
n134-1	n110	1	0	79	8.357812500000007
n141-1	n113	1	0	70	8.57552083333334
n140-1	n112	1	0	72	8.486979166666673
n143-1	n115	1	0	60	8.738541666666674
n142-1	n114	1	0	67	8.66927083333334
n149-1	n116	1	0	46	8.754166666666674
n148-1	n117	1	0	56	8.761979166666674
n144-1	n118	1	0	62	8.838541666666673
n145-1	n119	1	0	67	8.916666666666673
n159-1	n120	1	0	51	8.949479166666674
n151-1	n122	1	0	63	9.047916666666673
n150-1	n121	1	0	65	8.977604166666673
n157-1	n124	1	0	55	9.141666666666673
n152-1	n123	1	0	57	9.118229166666673
n153-1	n125	1	0	58	9.180729166666673
n154-1	n126	1	0	59	9.263020833333341
n155-1	n127	1	0	60	9.342187500000007
n161-1	n128	1	0	61	9.395833333333341
n162-1	n129	1	0	63	9.434895833333341
n163-1	n130	1	0	62	9.502604166666675
n164-1	n131	1	0	70	9.570312500000009
n170-1	n133	1	0	50	9.64687500000001
n169-1	n132	1	0	60	9.632812500000009
n165-1	deletion
n166-1	n134	1	0	69	9.747395833333343
n177-1	n135	1	0	58	9.797916666666676
n172-1	n137	1	0	62	9.867187500000009
n171-1	n136	1	0	67	9.815104166666677
n178-1	n139	1	0	43	9.960937500000009
n173-1	n138	1	0	58	9.949479166666675
n174-1	n140	1	0	62	10.037500000000007
n175-1	n141	1	0	67	10.127604166666673
n176-1	n142	1	0	70	10.168229166666672
n181-1	n143	1	0	73	10.242187500000005
n182-1	n144	1	0	75	10.287500000000007
n183-1	n145	1	0	74	10.373437500000007
n184-1	n146	1	0	82	10.438541666666673
n190-1	n149	1	0	62	10.549479166666673
n189-1	n148	1	0	72	10.52864583333334
n185-1	n147	1	0	78	10.519791666666672
n186-1	n150	1	0	81	10.609375000000007
n197-1	n152	1	0	70	10.704166666666675
n192-1	n153	1	0	74	10.725000000000009
n191-1	n151	1	0	79	10.672916666666675
n198-1	n155	1	0	55	10.846354166666675
n193-1	n154	1	0	70	10.813541666666675
n194-1	n156	1	0	74	10.895833333333341
n195-1	n157	1	0	79	10.977604166666675
n196-1	n158	1	0	82	11.033854166666675
n201-1	n159	1	0	85	11.075520833333341
n202-1	n160	1	0	86	11.146875000000009
n204-1	n162	1	0	93	11.291666666666675
n203-1	n161	1	0	98	11.218750000000009
n209-1	n163	1	0	74	11.364583333333341
n210-1	n165	1	0	82	11.375000000000009
n206-1	n166	1	0	94	11.45156250000001
n205-1	n164	1	0	96	11.369791666666675
n217-1	n169	1	0	70	11.591145833333341
n218-1	n168	1	0	79	11.558854166666675
n212-1	n170	1	0	86	11.591145833333341
n211-1	n167	1	0	91	11.518229166666677
n214-1	n172	1	0	79	11.785416666666675
n213-1	n171	1	0	82	11.716145833333341
n216-1	n174	1	0	69	11.953125000000009
n215-1	n173	1	0	74	11.844791666666675
n222-1	n176	1	0	70	12.104166666666677
n221-1	n175	1	0	72	12.041666666666677
n224-1	n178	1	0	62	12.251041666666676
n223-1	n177	1	0	67	12.190104166666677
n230-1	n180	1	0	48	12.309895833333343
n229-1	n179	1	0	58	12.29531250000001
n225-1	n181	1	0	64	12.368229166666676
n226-1	n182	1	0	68	12.42812500000001
n237-1	n184	1	0	56	12.505208333333343
n232-1	n185	1	0	65	12.58593750000001
n231-1	n183	1	0	67	12.485416666666676
n238-1	n187	1	0	41	12.691666666666679
n234-1	n188	1	0	55	12.755208333333345
n233-1	n186	1	0	60	12.685937500000012
n235-1	n189	1	0	56	12.804687500000009
n236-1	n190	1	0	58	12.864583333333341
n241-1	n191	1	0	59	12.935937500000007
n242-1	n192	1	0	61	13.004166666666672
n243-1	n193	1	0	60	13.078125000000005
n244-1	n194	1	0	68	13.144791666666672
n250-1	n197	1	0	48	13.266666666666673
n249-1	n195	1	0	58	13.236979166666673
n245-1	n196	1	0	64	13.236979166666673
n246-1	n198	1	0	67	13.30989583333334
n257-1	n200	1	0	56	13.401041666666671
n252-1	n201	1	0	60	13.428125000000005
n251-1	n199	1	0	65	13.367187500000005
n258-1	n203	1	0	41	13.559895833333337
n253-1	n202	1	0	56	13.520833333333337
n254-1	n204	1	0	60	13.609375000000004
n255-1	n205	1	0	65	13.693750000000003
n256-1	n206	1	0	68	13.740625000000003
n261-1	n207	1	0	71	13.84635416666667
n262-1	n208	1	0	73	13.91822916666667
n263-1	n209	1	0	72	13.98072916666667
n264-1	n210	1	0	80	14.055729166666673
n270-1	n212	1	0	60	14.153645833333341
n269-1	n213	1	0	70	14.161458333333341
n265-1	n211	1	0	76	14.140625000000007
n266-1	n214	1	0	79	14.207291666666675
n277-1	n216	1	0	68	14.301041666666675
n272-1	n217	1	0	72	14.330729166666677
n271-1	n215	1	0	77	14.268229166666675
n278-1	n219	1	0	53	14.451562500000009
n273-1	n218	1	0	68	14.411458333333343
n274-1	n220	1	0	72	14.510416666666675
n275-1	n221	1	0	77	14.588541666666673
n276-1	n222	1	0	80	14.63020833333334
n281-1	n223	1	0	83	14.682291666666673
n282-1	n224	1	0	84	14.770833333333341
n284-1	n226	1	0	91	14.921875000000007
n283-1	n225	1	0	96	14.840104166666675
n286-1	n228	1	0	92	15.047916666666673
n285-1	n227	1	0	94	14.986979166666673
n294-1	n231	1	0	72	15.151041666666671
n295-1	n232	1	0	74	15.154687500000005
n296-1	n229	1	0	80	15.13020833333334
n289-1	n233	1	0	86	15.178125000000005
n288-1	n230	1	0	89	15.132812500000005
n291-1	n235	1	0	80	15.371354166666672
n290-1	n234	1	0	84	15.293229166666672
n293-1	n237	1	0	74	15.51197916666667
n292-1	n236	1	0	77	15.435937500000005
n299-1	n239	1	0	68	15.685937500000003
n298-1	n238	1	0	72	15.661458333333336
n301-1	n241	1	0	62	15.816666666666668
n300-1	n240	1	0	65	15.771875000000003
n303-1	n243	1	0	60	16.015625
n302-1	n242	1	0	68	15.928125000000001
n314-1	n244	1	0	43	16.066666666666666
n315-1	n246	1	0	50	16.166666666666668
n306-1	n247	1	0	55	16.232812500000005
n305-1	n245	1	0	59	16.14947916666667
n308-1	n250	1	0	55	16.49739583333334
n307-1	n248	1	0	56	16.27864583333334
n311-1	deletion
n317-1	n253	1	0	56	16.895833333333343
n313-1	deletion
n312-1	n249	1	0	58	16.334375000000005
n319-1	n255	1	0	58	17.036458333333343
n310-1	n252	1	0	55	16.791666666666675
n309-1	n251	1	0	67	16.695312500000007
n318-1	n254	1	0	57	16.973958333333343
n320-1	n256	1	0	67	17.086979166666676
n326-1	n258	1	0	46	17.115625000000012
n325-1	n257	1	0	56	17.113541666666677
n321-1	n259	1	0	62	17.17187500000001
n322-1	n260	1	0	65	17.25000000000001
n333-1	n261	1	0	55	17.25781250000001
