onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.1822917,0.33854166,55,39,1,0,n0,-10.0,-10.0
2.2890625,0.23177083,56,47,1,0,n1,2.182292,-1.0
2.3734374,0.14739583,57,60,1,0,n2,2.182292,-1.0
2.4348958,0.0859375,60,57,1,0,n3,2.373438,0.0
2.490625,0.038020834,58,68,1,0,n4,2.490625,1.0
2.5635417,0.038020834,67,64,1,0,n5,2.490625,1.0
2.6171875,0.058854166,56,44,1,0,n6,2.490625,1.0
2.6484375,0.040104166,62,60,1,0,n7,2.490625,1.0
2.6494792,0.49635416,46,43,1,0,n8,2.648438,2.0
2.715104,0.10625,65,61,1,0,n9,2.648438,2.0
2.78125,0.044270832,55,46,1,0,n10,2.78125,3.0
2.8854167,0.26041666,55,55,1,0,n11,2.78125,3.0
2.9307292,0.21510416,58,58,1,0,n12,2.78125,3.0
2.9572916,0.18854167,39,53,1,0,n13,2.944011,4.0
2.975,0.17083333,63,55,1,0,n14,2.944011,4.0
3.0791667,0.06666667,67,61,1,0,n15,2.944011,4.0
3.1380208,0.034895834,68,66,1,0,n16,3.079167,5.0
3.2119792,0.052083332,69,72,1,0,n17,3.211979,6.0
3.2697916,0.0453125,72,69,1,0,n18,3.211979,6.0
3.3307292,0.0484375,70,76,1,0,n19,3.330729,7.0
3.4046874,0.044791665,79,79,1,0,n20,3.330729,7.0
3.4479167,0.0453125,68,49,1,0,n21,3.330729,7.0
3.46875,0.5390625,58,48,1,0,n22,3.46875,8.0
3.4921875,0.033854168,74,70,1,0,n23,3.46875,8.0
3.56875,0.084895834,77,59,1,0,n24,3.46875,8.0
3.6078124,0.027604166,67,55,1,0,n25,3.46875,8.0
3.6536458,0.067708336,75,61,1,0,n26,3.63073,9.0
3.7421875,0.265625,67,55,1,0,n27,3.63073,9.0
3.7875,0.2203125,70,64,1,0,n28,3.63073,9.0
3.803125,0.2046875,51,41,1,0,n29,3.795313,10.0
3.828125,0.1796875,75,58,1,0,n30,3.795313,10.0
3.9244792,0.083333336,79,77,1,0,n31,3.924479,11.0
3.984375,0.0390625,80,72,1,0,n32,3.924479,11.0
4.0536456,0.053125,81,82,1,0,n33,3.924479,11.0
4.1026044,0.0625,84,80,1,0,n34,4.053646,12.0
4.168229,0.9869792,82,83,1,0,n35,4.168229,13.0
4.231771,0.9234375,91,78,1,0,n36,4.168229,13.0
4.2901044,0.86510414,79,53,1,0,n37,4.168229,13.0
4.295833,0.859375,86,87,1,0,n38,4.295833,14.0
4.3203125,0.83489585,70,33,1,0,n39,4.295833,14.0
4.3671875,0.78802085,89,87,1,0,n40,4.295833,14.0
4.4416666,0.7135417,87,81,1,0,n41,4.295833,14.0
4.4635415,0.69166666,67,43,1,0,n42,4.295833,14.0
4.4729166,0.6822917,75,41,1,0,n43,4.463542,15.0
4.515625,0.63958335,82,71,1,0,n44,4.463542,15.0
4.579167,0.57604164,79,80,1,0,n45,4.579167,16.0
4.6942706,0.4609375,75,62,1,0,n46,4.579167,16.0
4.794271,0.3609375,70,64,1,0,n47,4.794271,17.0
4.8682294,0.28697917,67,54,1,0,n48,4.794271,17.0
4.9776044,0.4953125,48,45,1,0,n49,4.794271,17.0
4.985417,0.16979167,63,50,1,0,n50,4.981511,18.0
5.0979166,0.057291668,55,55,1,0,n51,4.981511,18.0
5.1651044,0.053645834,60,51,1,0,n52,5.165104,19.0
5.2291665,0.096354164,63,61,1,0,n53,5.165104,19.0
5.324479,0.1078125,67,56,1,0,n54,5.324479,20.0
5.3973956,0.07239583,65,54,1,0,n55,5.324479,20.0
5.480729,0.45572916,63,49,1,0,n56,5.324479,20.0
5.485417,0.45104167,41,26,1,0,n57,5.483073,21.0
5.5713544,0.36510417,56,56,1,0,n58,5.483073,21.0
5.705729,0.23072916,62,51,1,0,n59,5.705729,22.0
5.765625,0.17083333,60,56,1,0,n60,5.705729,22.0
