xml_id	midi_id	track	channel	pitch	onset
n17-1	n12	0	0	35	2.0539509375000002
n14-1	n3	0	0	37	0.6423604687500001
n13-1	n0	0	0	39	0.5088135937500001
n16-1	n9	0	0	39	1.9150621875
n19-1	n14	0	0	39	3.2572082812500005
n18-1	n11	0	0	47	2.045938125
n15-1	n5	0	0	49	0.6490378125000001
n2-1	n1	0	0	51	0.5101490625000001
n5-1	n8	0	0	51	1.91372671875
n8-1	n15	0	0	51	3.2638856250000003
n7-1	n10	0	0	59	2.0419317187500003
n4-1	n4	0	0	61	0.6450314062500001
n3-1	n2	0	0	63	0.5114845312500002
n6-1	n7	0	0	63	1.91105578125
n9-1	n13	0	0	63	3.2491954687500004
n20-1	n18	0	0	34	3.4014389062500006
n22-1	n19	0	0	35	4.67547609375
n21-1	n16	0	0	46	3.3894196875000007
n11-1	n21	0	0	47	4.690166250000001
n10-1	n17	0	0	58	3.3894196875000007
n12-1	n20	0	0	59	4.6808179687500004
n29-1	n24	0	0	32	4.8450806250000005
n31-1	n27	0	0	40	6.562493437500005
n30-1	n23	0	0	44	4.83973875
n25-1	n26	0	0	52	6.557151562500005
n24-1	n22	0	0	56	4.837067812500001
n26-1	n25	0	0	64	6.549138750000005
n32-1	n28	0	0	40	6.9551212500000075
n27-1	n30	0	0	52	6.971146875000008
n28-1	n29	0	0	64	6.9551212500000075
n49-1	n32	0	0	31	11.676003281250026
n50-1	n31	0	0	43	11.663984062500026
n34-1	n34	0	0	55	11.690693437500025
n35-1	n33	0	0	60	11.678674218750025
n40-1	n39	0	0	52	14.556609375000061
n37-1	n36	0	0	53	13.401428906250048
n38-1	n37	0	0	55	13.409441718750049
n41-1	deletion
n42-1	n38	0	0	60	14.52455812500006
n39-1	n35	0	0	62	13.356022968750047
n51-1	n41	0	0	43	14.873115468750065
n52-1	n42	0	0	50	14.873115468750065
n43-1	n43	0	0	59	14.889141093750064
n44-1	n40	0	0	65	14.867773593750066
n53-1	n44	0	0	42	16.34880843750008
n55-1	n48	0	0	42	17.656232343750087
n54-1	n45	0	0	51	16.35147937500008
n56-1	n49	0	0	52	17.658903281250087
n47-1	n51	0	0	58	17.781766406250092
n45-1	n47	0	0	59	16.39688531250008
n46-1	n46	0	0	66	16.37418234375008
n48-1	n50	0	0	70	17.74704421875009
n66-1	n54	0	0	42	18.45217171875009
n67-1	deletion
n58-1	n52	0	0	58	18.08224687500009
n59-1	n53	0	0	64	18.22914843750009
