xml_id	midi_id	track	channel	pitch	onset
n5-1	n3	1	0	30	0.5247395833333333
n6-1	n2	1	0	42	0.5143229166666666
n7-1	n7	1	0	42	0.9648437499999998
n1-1	n1	1	0	54	0.5052083333333333
n8-1	n6	1	0	54	0.9609374999999998
n2-1	n0	1	0	66	0.49999999999999994
n3-1	n5	1	0	66	0.9583333333333331
n4-1	n4	1	0	78	0.9518229166666665
n13-1	n11	1	0	54	1.3437499999999998
n14-1	n9	1	0	66	1.3320312499999998
n9-1	n10	1	0	78	1.3359374999999998
n10-1	n8	1	0	90	1.3268229166666665
n15-1	n15	1	0	30	1.7213541666666665
n16-1	n14	1	0	42	1.7135416666666665
n11-1	n13	1	0	54	1.7109374999999998
n12-1	n12	1	0	66	1.7057291666666665
n23-1	n20	1	0	31	2.06640625
n24-1	n18	1	0	43	2.0638020833333335
n17-1	n16	1	0	54	2.0611979166666665
n18-1	n19	1	0	59	2.0638020833333335
n19-1	n17	1	0	66	2.0625
n25-1	n25	1	0	43	2.438802083333333
n26-1	n24	1	0	55	2.4361979166666665
n20-1	n22	1	0	66	2.4322916666666665
n21-1	n23	1	0	71	2.4322916666666665
n22-1	n21	1	0	78	2.4283854166666665
n33-1	n30	1	0	55	2.8203124999999996
n34-1	n29	1	0	67	2.815104166666666
n27-1	n27	1	0	78	2.8138020833333326
n28-1	n28	1	0	83	2.8138020833333326
n29-1	n26	1	0	90	2.811197916666666
n35-1	n35	1	0	31	3.196614583333334
n36-1	n34	1	0	43	3.192708333333334
n30-1	n33	1	0	54	3.1835937500000004
n31-1	n32	1	0	59	3.182291666666667
n32-1	n31	1	0	66	3.1770833333333335
n43-1	n40	1	0	32	3.5559895833333344
n44-1	n39	1	0	44	3.546875000000001
n37-1	n36	1	0	54	3.5416666666666674
n38-1	n37	1	0	60	3.542968750000001
n39-1	n38	1	0	66	3.542968750000001
n45-1	n45	1	0	44	3.920572916666668
n46-1	n41	1	0	56	3.907552083333334
n40-1	n43	1	0	66	3.910156250000001
n41-1	n44	1	0	72	3.9114583333333344
n42-1	n42	1	0	78	3.9088541666666674
n53-1	n52	1	0	57	4.287760416666668
n54-1	n49	1	0	61	4.272135416666668
n55-1	n50	1	0	66	4.272135416666668
n56-1	n51	1	0	69	4.274739583333335
n47-1	n46	1	0	78	4.266927083333335
n48-1	n47	1	0	85	4.268229166666668
n49-1	n48	1	0	90	4.269531250000001
n57-1	n57	1	0	33	4.674479166666667
n58-1	n56	1	0	45	4.666666666666667
n50-1	n53	1	0	54	4.665364583333334
n51-1	n54	1	0	61	4.665364583333334
n52-1	n55	1	0	66	4.665364583333334
n67-1	n63	1	0	34	5.058593749999999
n68-1	n61	1	0	46	5.049479166666666
n59-1	n58	1	0	54	5.044270833333333
n60-1	n62	1	0	61	5.049479166666666
n61-1	n59	1	0	64	5.048177083333333
n62-1	n60	1	0	66	5.048177083333333
n69-1	n68	1	0	54	5.479166666666666
n70-1	n70	1	0	61	5.480468749999999
n71-1	n69	1	0	64	5.479166666666666
n63-1	n64	1	0	66	5.468749999999999
n64-1	n66	1	0	73	5.473958333333333
n65-1	n65	1	0	76	5.471354166666666
n66-1	n67	1	0	78	5.473958333333333
n78-1	n76	1	0	64	5.977864583333332
n79-1	n75	1	0	66	5.972656249999999
n80-1	n74	1	0	74	5.967447916666666
n72-1	n71	1	0	86	5.962239583333333
n73-1	n72	1	0	90	5.962239583333333
n74-1	n73	1	0	98	5.962239583333333
n81-1	n81	1	0	64	6.664062499999998
n82-1	n82	1	0	66	6.665364583333331
n83-1	n80	1	0	73	6.654947916666665
n75-1	n78	1	0	85	6.643229166666665
n76-1	n79	1	0	90	6.643229166666665
n77-1	n77	1	0	97	6.635416666666665
n90-1	n85	1	0	35	8.061197916666666
n84-1	n84	1	0	59	8.028645833333332
n93-1	n91	1	0	40	8.48697916666667
n92-1	n89	1	0	42	8.361979166666668
n91-1	n87	1	0	47	8.2421875
n85-1	n86	1	0	50	8.204427083333334
n86-1	n88	1	0	54	8.321614583333336
n87-1	n90	1	0	55	8.451822916666668
n102-1	n97	1	0	35	8.889322916666673
n95-1	n95	1	0	43	8.750000000000005
n94-1	n93	1	0	47	8.605468750000004
n88-1	n92	1	0	52	8.601562500000004
n89-1	n94	1	0	58	8.725260416666671
n96-1	n96	1	0	59	8.87239583333334
n105-1	n103	1	0	40	9.27734375000001
n104-1	n101	1	0	42	9.167968750000009
n103-1	n99	1	0	47	9.019531250000007
n97-1	n98	1	0	50	9.005208333333341
n98-1	n100	1	0	54	9.136718750000009
n99-1	n102	1	0	55	9.272135416666677
n118-1	n109	1	0	35	9.667968750000014
n107-1	n107	1	0	43	9.540364583333346
n106-1	n104	1	0	47	9.380208333333345
n100-1	n105	1	0	52	9.391927083333345
n101-1	n106	1	0	58	9.523437500000012
n108-1	n108	1	0	59	9.66276041666668
n121-1	n116	1	0	40	10.06510416666668
n120-1	n114	1	0	42	9.953125000000014
n119-1	n112	1	0	47	9.79166666666668
n109-1	n111	1	0	50	9.77994791666668
n110-1	n110	1	0	54	9.76432291666668
n111-1	n113	1	0	59	9.907552083333348
n113-1	n117	1	0	59	10.07291666666668
n112-1	n115	1	0	61	9.99869791666668
n131-1	n125	1	0	38	10.507812500000014
n123-1	n123	1	0	43	10.313802083333348
n122-1	n118	1	0	47	10.17057291666668
n114-1	n120	1	0	52	10.18229166666668
n115-1	n121	1	0	55	10.199218750000014
n116-1	n119	1	0	58	10.175781250000014
n117-1	n122	1	0	59	10.289062500000014
n125-1	n124	1	0	62	10.48697916666668
n124-1	deletion
n134-1	n130	1	0	43	10.923177083333346
n133-1	n129	1	0	45	10.856770833333346
n132-1	n127	1	0	50	10.69010416666668
n126-1	n126	1	0	54	10.67838541666668
n127-1	n128	1	0	57	10.83854166666668
n144-1	n135	1	0	38	11.364583333333345
n136-1	n133	1	0	46	11.22265625000001
n135-1	n131	1	0	50	11.079427083333345
n129-1	n132	1	0	55	11.095052083333345
n130-1	n134	1	0	58	11.227864583333345
n147-1	n141	1	0	43	11.772135416666677
n146-1	n139	1	0	45	11.66796875000001
n145-1	n137	1	0	50	11.505208333333345
n138-1	n136	1	0	54	11.485677083333345
