xml_id	midi_id	track	channel	pitch	onset
n5-1	n1	0	0	30	2.8265624999999996
n6-1	n0	0	0	42	2.8187499999999996
n7-1	n6	0	0	42	3.328125
n1-1	n2	0	0	54	2.8281249999999996
n8-1	n7	0	0	54	3.332291666666667
n2-1	n3	0	0	66	2.8281249999999996
n3-1	n5	0	0	66	3.3265625
n4-1	n4	0	0	78	3.3213541666666666
n13-1	n9	0	0	54	3.7942708333333335
n14-1	n11	0	0	66	3.801041666666667
n9-1	n10	0	0	78	3.7953125
n10-1	n8	0	0	90	3.791666666666667
n15-1	n15	0	0	30	4.242187500000001
n16-1	n14	0	0	42	4.2354166666666675
n11-1	n13	0	0	54	4.226562500000001
n12-1	n12	0	0	66	4.225520833333334
n23-1	n17	0	0	31	4.660416666666667
n24-1	n16	0	0	43	4.651041666666667
n17-1	n18	0	0	54	4.664062500000001
n18-1	n20	0	0	59	4.6807291666666675
n19-1	n19	0	0	66	4.669270833333334
n25-1	n25	0	0	43	5.104166666666669
n26-1	n21	0	0	55	5.088541666666668
n20-1	n22	0	0	66	5.091145833333335
n21-1	n24	0	0	71	5.096354166666669
n22-1	n23	0	0	78	5.092708333333335
n33-1	n29	0	0	55	5.532291666666668
n34-1	n26	0	0	67	5.526041666666669
n27-1	n27	0	0	78	5.531250000000002
n28-1	n30	0	0	83	5.536458333333335
n29-1	n28	0	0	90	5.531250000000002
n35-1	n35	0	0	31	5.957291666666667
n36-1	n31	0	0	43	5.937500000000001
n30-1	n32	0	0	54	5.942708333333334
n31-1	n34	0	0	59	5.9463541666666675
n32-1	n33	0	0	66	5.945312500000001
n43-1	n40	0	0	32	6.388020833333335
n44-1	n36	0	0	44	6.369791666666668
n37-1	n37	0	0	54	6.377604166666668
n38-1	n39	0	0	60	6.385416666666668
n39-1	n38	0	0	66	6.382812500000001
n45-1	n45	0	0	44	6.790104166666666
n46-1	n41	0	0	56	6.768229166666666
n40-1	n42	0	0	66	6.774479166666666
n41-1	n44	0	0	72	6.781249999999999
n42-1	n43	0	0	78	6.7776041666666655
n53-1	n52	0	0	57	7.208333333333332
n54-1	n50	0	0	61	7.200520833333332
n55-1	n47	0	0	66	7.192708333333332
n56-1	n46	0	0	69	7.180729166666666
n47-1	n48	0	0	78	7.1942708333333325
n48-1	n51	0	0	85	7.200520833333332
n49-1	n49	0	0	90	7.196354166666666
n57-1	n56	0	0	33	7.6135416666666655
n58-1	n55	0	0	45	7.6005208333333325
n50-1	n57	0	0	54	7.619791666666665
n51-1	n59	0	0	61	7.627604166666665
n52-1	n58	0	0	66	7.623958333333332
n67-1	n64	0	0	34	8.066666666666665
n68-1	n62	0	0	46	8.049479166666664
n59-1	n63	0	0	54	8.055729166666664
n60-1	n67	0	0	61	8.072916666666666
n61-1	n65	0	0	64	8.066666666666665
n62-1	n66	0	0	66	8.067708333333332
n69-1	n72	0	0	54	8.540104166666664
n70-1	n69	0	0	61	8.531249999999998
n71-1	n68	0	0	64	8.519791666666665
n63-1	n70	0	0	66	8.533854166666664
n64-1	n74	0	0	73	8.554687499999996
n65-1	n71	0	0	76	8.53645833333333
n66-1	n73	0	0	78	8.540104166666664
n78-1	n76	0	0	64	8.981770833333332
n79-1	n77	0	0	66	9.028645833333332
n80-1	n78	0	0	74	9.059895833333332
n72-1	n80	0	0	86	9.0625
n73-1	n79	0	0	90	9.0609375
n74-1	n81	0	0	98	9.065104166666666
n81-1	n88	0	0	64	9.7578125
n82-1	n89	0	0	66	9.758854166666667
n83-1	n84	0	0	73	9.734374999999998
n75-1	n85	0	0	85	9.735416666666666
n76-1	n86	0	0	90	9.739583333333332
n77-1	n87	0	0	97	9.740625
n90-1	n93	0	0	35	12.308854166666666
n84-1	n92	0	0	59	12.28125
n93-1	n99	0	0	40	12.849999999999998
n92-1	n97	0	0	42	12.674479166666664
n91-1	n95	0	0	47	12.553125
n85-1	n94	0	0	50	12.5140625
n86-1	n96	0	0	54	12.66927083333333
n87-1	n98	0	0	55	12.818749999999998
n102-1	n105	0	0	35	13.303124999999994
n95-1	n103	0	0	43	13.160416666666661
n94-1	n101	0	0	47	13.00520833333333
n88-1	n100	0	0	52	12.998437499999998
n89-1	n102	0	0	58	13.130208333333329
n96-1	n104	0	0	59	13.302083333333327
n105-1	n110	0	0	40	13.75885416666666
n104-1	n108	0	0	42	13.614583333333327
n103-1	n106	0	0	47	13.47135416666666
n97-1	n107	0	0	50	13.482812499999994
n98-1	n109	0	0	54	13.61822916666666
n99-1	n111	0	0	55	13.771874999999994
n118-1	n116	0	0	35	14.193749999999994
n107-1	n115	0	0	43	14.054687499999993
n106-1	n113	0	0	47	13.914062499999993
n100-1	n112	0	0	52	13.90729166666666
n101-1	n114	0	0	58	14.044270833333327
n108-1	n117	0	0	59	14.200520833333327
n121-1	n124	0	0	40	14.631249999999994
n120-1	n121	0	0	42	14.492187499999993
n119-1	n119	0	0	47	14.37604166666666
n109-1	n120	0	0	50	14.381249999999994
n110-1	n118	0	0	54	14.364583333333327
n111-1	n122	0	0	59	14.492187499999993
n113-1	n125	0	0	59	14.646874999999994
n112-1	n123	0	0	61	14.554687499999995
n131-1	n132	0	0	38	15.063541666666666
n123-1	n130	0	0	43	14.902604166666663
n122-1	n126	0	0	47	14.778645833333329
n114-1	n128	0	0	52	14.807291666666663
n115-1	n129	0	0	55	14.813541666666662
n116-1	n127	0	0	58	14.785416666666663
n117-1	n131	0	0	59	14.920312499999996
n125-1	n133	0	0	62	15.088541666666666
n124-1	deletion
n134-1	n138	0	0	43	15.518229166666666
n133-1	n136	0	0	45	15.391666666666666
n132-1	n134	0	0	50	15.246354166666666
n126-1	n135	0	0	54	15.2578125
n127-1	n137	0	0	57	15.402604166666666
n144-1	n143	0	0	38	15.930729166666664
n136-1	n141	0	0	46	15.825520833333332
n135-1	n139	0	0	50	15.6625
n129-1	n140	0	0	55	15.697916666666666
n130-1	n142	0	0	58	15.835937499999998
n147-1	n149	0	0	43	16.40364583333333
n146-1	n146	0	0	45	16.25677083333333
n145-1	n144	0	0	50	16.083333333333332
n138-1	n145	0	0	54	16.10052083333333
n139-1	n147	0	0	57	16.260416666666664
n140-1	n148	0	0	58	16.386979166666663
n157-1	n154	0	0	38	16.81145833333333
n149-1	n152	0	0	46	16.687499999999996
n148-1	n151	0	0	50	16.571354166666662
n141-1	deletion
n142-1	n150	0	0	55	16.551041666666663
n143-1	n153	0	0	61	16.70989583333333
n150-1	n155	0	0	62	16.841145833333332
n160-1	n161	0	0	43	17.283854166666668
n159-1	n159	0	0	45	17.14947916666667
n158-1	n156	0	0	50	16.973958333333336
n151-1	n157	0	0	54	17.00260416666667
n152-1	n158	0	0	57	17.132812500000004
n153-1	n160	0	0	58	17.264583333333334
n173-1	n168	0	0	38	17.694270833333334
n162-1	n165	0	0	46	17.541666666666664
n161-1	n164	0	0	50	17.434895833333332
n154-1	n163	0	0	52	17.421875
n155-1	n162	0	0	55	17.416666666666668
n156-1	n166	0	0	61	17.552083333333332
n163-1	n167	0	0	62	17.691666666666666
n176-1	n176	0	0	43	18.11041666666667
n175-1	n173	0	0	45	17.983333333333334
n174-1	n171	0	0	50	17.856770833333332
n164-1	n170	0	0	54	17.85052083333333
n165-1	n169	0	0	57	17.829166666666666
n166-1	n172	0	0	62	17.92083333333333
n168-1	n175	0	0	62	18.084895833333334
n167-1	n174	0	0	64	17.98541666666667
n185-1	n184	0	0	42	18.526041666666664
n178-1	n182	0	0	47	18.364583333333332
n177-1	n180	0	0	50	18.250000000000004
n169-1	n179	0	0	55	18.23854166666667
n170-1	n178	0	0	59	18.231770833333336
n171-1	n177	0	0	61	18.21979166666667
n172-1	n181	0	0	62	18.344791666666666
n180-1	n183	0	0	66	18.520833333333332
n179-1	deletion
n188-1	n189	0	0	47	18.947916666666664
n187-1	n188	0	0	49	18.81927083333333
n186-1	n185	0	0	54	18.669270833333332
n181-1	n186	0	0	58	18.700520833333332
n182-1	n187	0	0	61	18.813541666666666
n200-1	n194	0	0	42	19.383854166666666
n190-1	deletion
n189-1	n190	0	0	54	19.105729166666663
n183-1	n191	0	0	59	19.144791666666663
n184-1	n193	0	0	62	19.277604166666666
n197-1	n199	0	0	62	19.780208333333338
n194-1	deletion
n203-1	n200	0	0	47	19.803645833333338
n202-1	n198	0	0	49	19.65729166666667
n201-1	n195	0	0	54	19.53125
n192-1	n196	0	0	58	19.533854166666668
n193-1	n197	0	0	61	19.64479166666667
n212-1	n206	0	0	40	20.230729166666674
n205-1	n204	0	0	47	20.078125000000007
n204-1	n201	0	0	54	19.937500000000004
n199-1	n203	0	0	57	20.000000000000007
n195-1	n202	0	0	59	19.94166666666667
n198-1	n205	0	0	63	20.097916666666674
n196-1	deletion
n206-1	n207	0	0	64	20.24895833333334
n215-1	n211	0	0	45	20.64583333333334
n214-1	n209	0	0	47	20.52239583333334
n213-1	n208	0	0	52	20.394791666666674
n211-1	n210	0	0	56	20.56927083333334
n226-1	n217	0	0	38	21.061458333333345
n217-1	n214	0	0	49	20.886979166666674
n216-1	n212	0	0	55	20.760416666666675
n222-1	n216	0	0	62	20.993229166666676
n209-1	n215	0	0	64	20.893229166666675
n208-1	n213	0	0	66	20.83489583333334
n229-1	n221	0	0	43	21.468750000000014
n228-1	n219	0	0	45	21.31354166666668
n227-1	n218	0	0	54	21.21197916666668
n224-1	n222	0	0	59	21.47291666666668
n223-1	n220	0	0	61	21.31510416666668
n240-1	n226	0	0	42	21.88177083333335
n231-1	n224	0	0	47	21.73177083333335
n230-1	n223	0	0	53	21.618229166666683
n232-1	n227	0	0	54	21.957291666666684
