onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.14583333,66,58,1,0,n0,-10.0,-10.0
0.51692706,0.078125,30,52,1,0,n1,0.516927,0.0
0.51692706,0.096354164,54,46,1,0,n2,0.516927,0.0
0.52994794,0.12109375,42,38,1,0,n3,0.516927,0.0
1.0794271,0.15364583,78,83,1,0,n4,0.516927,0.0
1.0911459,0.09765625,66,62,1,0,n5,0.516927,0.0
1.1067709,0.14322917,54,55,1,0,n6,1.0989585,3.0
1.1132812,0.088541664,42,47,1,0,n7,1.0989585,3.0
1.5859375,0.0859375,90,88,1,0,n8,1.0989585,3.0
1.5989584,0.049479168,66,71,1,0,n9,1.0989585,3.0
1.6002604,0.0703125,78,70,1,0,n10,1.599609,6.0
1.6158854,0.055989582,54,60,1,0,n11,1.599609,6.0
2.0885417,0.24869792,66,81,1,0,n12,1.599609,6.0
2.1184895,0.24348958,54,66,1,0,n13,1.599609,6.0
2.1432292,0.114583336,30,61,1,0,n14,2.1308596,9.0
2.1458333,0.115885414,42,56,1,0,n15,2.1308596,9.0
2.5690105,1.8528646,66,83,1,0,n16,2.1308596,9.0
2.5885417,1.8333334,59,70,1,0,n17,2.1308596,9.0
2.5911458,1.8307291,43,62,1,0,n18,2.1308596,9.0
2.59375,1.828125,54,64,1,0,n19,2.591146,12.0
2.5963542,1.8255209,31,65,1,0,n20,2.591146,12.0
3.0572917,1.3645834,78,94,1,0,n21,2.591146,12.0
3.0651042,1.3567709,71,79,1,0,n22,2.591146,12.0
3.0690105,1.3528646,66,82,1,0,n23,3.06901,15.0
3.0716145,1.3502604,43,72,1,0,n24,3.06901,15.0
3.0742188,1.3476562,55,77,1,0,n25,3.06901,15.0
3.5247395,0.89713544,90,94,1,0,n26,3.06901,15.0
3.529948,0.89192706,83,79,1,0,n27,3.06901,15.0
3.53125,0.890625,78,87,1,0,n28,3.53125,18.0
3.5403645,0.88151044,67,85,1,0,n29,3.53125,18.0
3.546875,0.875,55,80,1,0,n30,3.53125,18.0
3.9882812,0.43359375,66,92,1,0,n31,3.53125,18.0
3.9973958,0.42447916,59,74,1,0,n32,3.53125,18.0
4.0,0.421875,54,83,1,0,n33,4.0,21.0
4.0234375,0.3984375,43,79,1,0,n34,4.0,21.0
4.0260415,0.39583334,31,75,1,0,n35,4.0,21.0
4.4309897,0.88671875,66,92,1,0,n36,4.0,21.0
4.4335938,0.88411456,60,75,1,0,n37,4.0,21.0
4.4388022,0.87890625,44,80,1,0,n38,4.438802,24.0
4.4388022,0.052083332,54,78,1,0,n39,4.438802,24.0
4.4427085,0.049479168,32,71,1,0,n40,4.438802,24.0
4.8945312,0.4231771,78,99,1,0,n41,4.438802,24.0
4.8984375,0.41927084,66,86,1,0,n42,4.438802,24.0
4.9023438,0.4153646,72,84,1,0,n43,4.438802,24.0
4.9049478,0.4127604,56,82,1,0,n44,4.902344,27.0
4.90625,0.41145834,44,69,1,0,n45,4.902344,27.0
5.3138022,0.94401044,66,79,1,0,n46,4.902344,27.0
5.315104,0.061197918,69,82,1,0,n47,4.902344,27.0
5.3164062,0.94140625,57,73,1,0,n48,4.902344,27.0
5.325521,0.9322917,61,66,1,0,n49,5.325521,30.0
5.3320312,0.92578125,90,107,1,0,n50,5.325521,30.0
5.3372397,0.92057294,78,97,1,0,n51,5.325521,30.0
5.34375,0.9140625,85,88,1,0,n52,5.325521,30.0
5.8059897,0.4518229,66,88,1,0,n53,5.325521,30.0
5.8125,0.4453125,61,85,1,0,n54,5.325521,30.0
5.8177085,0.44010416,54,80,1,0,n55,5.817708,33.0
5.8216147,0.4361979,45,80,1,0,n56,5.817708,33.0
5.8268228,0.4309896,33,82,1,0,n57,5.817708,33.0
5.8502603,0.4075521,56,53,1,0,n58,5.817708,33.0
6.265625,4.5481772,46,91,1,0,n59,5.817708,33.0
6.268229,4.5455728,34,76,1,0,n60,5.817708,33.0
6.2695312,4.544271,66,93,1,0,n61,5.817708,33.0
6.2734375,4.5403647,64,83,1,0,n62,6.2714844,36.0
6.2760415,4.5377603,54,89,1,0,n63,6.2714844,36.0
6.278646,4.5351562,61,85,1,0,n64,6.2714844,36.0
6.7669272,4.046875,76,88,1,0,n65,6.2714844,36.0
6.768229,4.0455728,78,94,1,0,n66,6.2714844,36.0
6.7708335,4.0429688,66,99,1,0,n67,6.2714844,36.0
6.7747397,4.0390625,73,92,1,0,n68,6.2714844,36.0
6.78125,4.0325522,54,77,1,0,n69,6.77474,39.0
6.7825522,4.03125,64,89,1,0,n70,6.77474,39.0
6.7864585,4.0273438,61,73,1,0,n71,6.77474,39.0
7.346354,3.467448,74,88,1,0,n72,6.77474,39.0
7.3489585,3.4648438,66,76,1,0,n73,6.77474,39.0
7.3580728,3.4557292,64,77,1,0,n74,6.77474,39.0
7.3841147,3.4296875,98,107,1,0,n75,7.371094,42.0
7.388021,3.4257812,86,97,1,0,n76,7.371094,42.0
7.388021,3.4257812,90,94,1,0,n77,7.371094,42.0
7.4440103,3.3697917,96,21,1,0,n78,7.371094,42.0
8.0338545,2.779948,97,107,1,0,n79,7.371094,42.0
8.040364,2.7734375,85,94,1,0,n80,7.371094,42.0
8.042969,2.7708333,90,93,1,0,n81,7.371094,42.0
8.055989,2.7578125,73,79,1,0,n82,8.0494795,45.0
8.063802,2.75,66,72,1,0,n83,8.0494795,45.0
8.066406,2.7473958,64,70,1,0,n84,8.0494795,45.0
11.462239,0.62890625,35,33,1,0,n85,8.0494795,45.0
11.545573,0.4283854,59,52,1,0,n86,11.503906,48.0
11.7578125,0.1484375,50,45,1,0,n87,11.503906,48.0
11.7630205,0.16796875,47,41,1,0,n88,11.503906,48.0
11.933594,0.18359375,54,57,1,0,n89,11.503906,48.0
11.9661455,0.09765625,42,37,1,0,n90,11.503906,48.0
12.102864,0.43359375,40,47,1,0,n91,11.503906,48.0
12.104167,0.33333334,55,53,1,0,n92,12.103516,51.0
12.2734375,0.1640625,47,48,1,0,n93,12.103516,51.0
12.282552,0.1640625,52,53,1,0,n94,12.103516,51.0
12.433594,0.13671875,43,44,1,0,n95,12.103516,51.0
12.441406,0.23046875,58,70,1,0,n96,12.103516,51.0
12.619792,0.4153646,59,66,1,0,n97,12.103516,51.0
12.621094,0.47395834,35,47,1,0,n98,12.620443,54.0
12.785156,0.16536458,47,50,1,0,n99,12.620443,54.0
12.8046875,0.1484375,50,58,1,0,n100,12.620443,54.0
12.963542,0.2109375,54,65,1,0,n101,12.620443,54.0
12.967448,0.14713542,42,49,1,0,n102,12.620443,54.0
13.134114,0.29947916,55,60,1,0,n103,12.620443,54.0
13.135417,0.3828125,40,50,1,0,n104,13.134766,57.0
13.295573,0.15104167,47,47,1,0,n105,13.134766,57.0
13.300781,0.16796875,52,63,1,0,n106,13.134766,57.0
13.4453125,0.19270833,58,67,1,0,n107,13.134766,57.0
13.46875,0.115885414,43,47,1,0,n108,13.134766,57.0
13.608073,0.115885414,59,67,1,0,n109,13.134766,57.0
13.6223955,0.14322917,35,53,1,0,n110,13.615234,60.0
13.755208,0.1328125,47,54,1,0,n111,13.615234,60.0
13.7838545,0.071614586,50,45,1,0,n112,13.615234,60.0
13.792969,0.106770836,54,53,1,0,n113,13.615234,60.0
13.90625,0.071614586,59,64,1,0,n114,13.615234,60.0
13.9088545,0.15234375,42,57,1,0,n115,13.615234,60.0
13.994792,0.10546875,61,64,1,0,n116,13.615234,60.0
14.061198,0.16276042,59,74,1,0,n117,14.032552,63.0
14.0703125,0.3450521,40,57,1,0,n118,14.032552,63.0
14.234375,0.122395836,47,47,1,0,n119,14.032552,63.0
14.240886,0.18229167,58,69,1,0,n120,14.032552,63.0
14.253906,0.12630208,55,59,1,0,n121,14.032552,63.0
14.2578125,0.05078125,52,57,1,0,n122,14.032552,63.0
14.384114,0.15104167,43,54,1,0,n123,14.032552,63.0
14.391927,0.15104167,59,73,1,0,n124,14.032552,63.0
14.555989,1.4713541,62,68,1,0,n125,14.032552,63.0
14.579427,0.48046875,38,57,1,0,n126,14.567709,66.0
14.729167,0.18880208,50,51,1,0,n127,14.567709,66.0
14.743489,0.16276042,54,50,1,0,n128,14.567709,66.0
14.8984375,0.122395836,45,50,1,0,n129,14.567709,66.0
