onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.8192708,1.7427083,66,38,0,0,n0,-10.0,-10.0
2.844271,1.7177083,30,7,0,0,n1,-10.0,-10.0
2.8463542,1.715625,42,20,0,0,n2,2.8453126,0.0
2.8536458,1.7083334,54,12,0,0,n3,2.8453126,0.0
3.4265625,1.1354166,78,71,0,0,n4,2.8453126,0.0
3.4421875,1.1197916,66,49,0,0,n5,2.8453126,0.0
3.4515624,1.1104167,54,44,0,0,n6,3.4468756,3.0
3.465104,1.096875,42,37,0,0,n7,3.4468756,3.0
3.858854,0.703125,54,61,0,0,n8,3.858854,6.0
3.858854,0.703125,66,66,0,0,n9,3.858854,6.0
3.858854,0.703125,78,68,0,0,n10,3.858854,6.0
3.858854,0.703125,90,82,0,0,n11,3.858854,6.0
4.2078123,0.35416666,66,75,0,0,n12,3.858854,6.0
4.215104,0.346875,42,75,0,0,n13,3.858854,6.0
4.221354,0.340625,30,77,0,0,n14,4.218229,9.0
4.2234373,0.33854166,54,62,0,0,n15,4.218229,9.0
4.591146,1.3104167,66,80,0,0,n16,4.218229,9.0
4.5921874,0.06875,54,83,0,0,n17,4.218229,9.0
4.5932293,0.077083334,31,76,0,0,n18,4.593229,12.0
4.5942707,1.3072916,43,81,0,0,n19,4.593229,12.0
4.596354,0.094791666,59,79,0,0,n20,4.593229,12.0
4.9578123,0.94375,66,74,0,0,n21,4.593229,12.0
4.958854,0.9427083,78,79,0,0,n22,4.593229,12.0
4.9619794,0.93958336,55,83,0,0,n23,4.961979,15.0
4.965104,0.93645835,71,72,0,0,n24,4.961979,15.0
4.9671874,0.934375,43,67,0,0,n25,4.961979,15.0
5.2119794,0.68958336,82,18,0,0,n26,4.961979,15.0
5.283854,0.6177083,90,85,0,0,n27,4.961979,15.0
5.2921877,0.609375,78,80,0,0,n28,4.961979,15.0
5.293229,0.60833335,83,78,0,0,n29,5.293229,18.0
5.2963543,0.60520834,67,78,0,0,n30,5.293229,18.0
5.302604,0.5989583,55,76,0,0,n31,5.293229,18.0
5.6109376,0.290625,43,89,0,0,n32,5.293229,18.0
5.6109376,0.290625,66,85,0,0,n33,5.293229,18.0
5.613021,0.28854167,54,86,0,0,n34,5.613021,21.0
5.6161456,0.28541666,59,79,0,0,n35,5.613021,21.0
5.6255207,0.27604166,31,75,0,0,n36,5.613021,21.0
5.9307294,0.057291668,44,91,0,0,n37,5.613021,21.0
5.931771,0.67395836,66,94,0,0,n38,5.613021,21.0
5.9328127,0.045833334,54,92,0,0,n39,5.932812,24.0
5.9369793,0.036458332,32,90,0,0,n40,5.932812,24.0
5.9380207,0.05625,60,85,0,0,n41,5.932812,24.0
6.2817707,0.32395834,78,96,0,0,n42,5.932812,24.0
6.2880206,0.31770834,66,86,0,0,n43,5.932812,24.0
6.291146,0.31458333,72,85,0,0,n44,6.291146,27.0
6.2953124,0.31041667,56,91,0,0,n45,6.291146,27.0
6.2984376,0.30729166,44,74,0,0,n46,6.291146,27.0
6.3505206,0.25520834,46,7,0,0,n47,6.291146,27.0
6.613021,0.79583335,90,105,0,0,n48,6.291146,27.0
6.6161456,0.79270834,78,102,0,0,n49,6.291146,27.0
6.6182294,0.790625,85,95,0,0,n50,6.291146,27.0
6.622396,0.040625,69,93,0,0,n51,6.622396,30.0
6.6338544,0.775,57,75,0,0,n52,6.622396,30.0
6.6359377,0.7729167,61,77,0,0,n53,6.622396,30.0
6.6421876,0.76666665,65,76,0,0,n54,6.622396,30.0
6.6578126,0.75104165,66,45,0,0,n55,6.622396,30.0
6.972396,0.43645832,45,95,0,0,n56,6.622396,30.0
6.978646,0.43020833,61,86,0,0,n57,6.622396,30.0
6.9796877,0.42916667,54,89,0,0,n58,6.979687,33.0
6.980729,0.428125,66,82,0,0,n59,6.979687,33.0
6.9838543,0.425,33,79,0,0,n60,6.979687,33.0
7.402604,0.06875,54,92,0,0,n61,6.979687,33.0
7.402604,3.678125,66,89,0,0,n62,6.979687,33.0
7.4046874,0.096875,34,93,0,0,n63,6.979687,33.0
7.4057293,0.10104167,46,99,0,0,n64,7.405208,36.0
7.4109373,0.09583333,61,86,0,0,n65,7.405208,36.0
7.4109373,0.109375,64,86,0,0,n66,7.405208,36.0
7.458854,0.057291668,47,37,0,0,n67,7.405208,36.0
7.8296876,3.2510417,66,93,0,0,n68,7.405208,36.0
7.830729,3.25,78,91,0,0,n69,7.405208,36.0
7.831771,3.2489583,76,88,0,0,n70,7.405208,36.0
7.8359375,3.2447917,73,90,0,0,n71,7.8338547,39.0
7.8369794,3.24375,54,95,0,0,n72,7.8338547,39.0
7.840104,3.240625,64,97,0,0,n73,7.8338547,39.0
8.4401045,2.640625,74,92,0,0,n74,7.8338547,39.0
8.441146,2.6395833,98,103,0,0,n75,7.8338547,39.0
8.4453125,2.6354167,86,102,0,0,n76,7.8338547,39.0
8.451563,2.6291666,90,97,0,0,n77,8.448437,42.0
8.454687,2.6260417,64,68,0,0,n78,8.448437,42.0
8.4609375,2.6197917,66,73,0,0,n79,8.448437,42.0
9.239062,1.8416667,97,106,0,0,n80,8.448437,42.0
9.244271,1.8364583,85,99,0,0,n81,8.448437,42.0
9.249479,1.83125,90,92,0,0,n82,8.448437,42.0
9.2526045,1.828125,73,90,0,0,n83,9.251041,45.0
9.253646,1.8270833,64,79,0,0,n84,9.251041,45.0
9.266146,1.8145833,66,79,0,0,n85,9.251041,45.0
11.407812,0.50625,59,50,0,0,n86,9.251041,45.0
11.439062,0.51979166,35,29,0,0,n87,11.423438,48.0
11.5911455,0.3125,50,38,0,0,n88,11.423438,48.0
11.616146,0.2875,47,27,0,0,n89,11.423438,48.0
11.718229,0.18854167,54,50,0,0,n90,11.423438,48.0
11.754687,0.15208334,42,35,0,0,n91,11.423438,48.0
11.868229,0.53333336,55,51,0,0,n92,11.423438,48.0
11.8932295,0.5083333,40,47,0,0,n93,11.880729,51.0
12.041146,0.36041668,52,42,0,0,n94,11.880729,51.0
12.045313,0.35625,47,43,0,0,n95,11.880729,51.0
12.171354,0.23020834,58,65,0,0,n96,11.880729,51.0
12.176562,0.225,43,45,0,0,n97,11.880729,51.0
12.343229,0.46145833,59,63,0,0,n98,11.880729,51.0
12.3463545,0.45833334,35,49,0,0,n99,12.344791,54.0
12.474479,0.33020833,47,45,0,0,n100,12.344791,54.0
12.489062,0.315625,50,48,0,0,n101,12.344791,54.0
12.614062,0.190625,42,47,0,0,n102,12.344791,54.0
12.619271,0.18541667,54,63,0,0,n103,12.344791,54.0
12.7421875,0.484375,40,59,0,0,n104,12.344791,54.0
12.753646,0.47291666,55,64,0,0,n105,12.747917,57.0
12.895312,0.33125,47,58,0,0,n106,12.747917,57.0
12.909896,0.31666666,52,49,0,0,n107,12.747917,57.0
13.041146,0.18541667,58,69,0,0,n108,12.747917,57.0
13.051562,0.175,43,55,0,0,n109,12.747917,57.0
13.194271,0.109375,59,70,0,0,n110,12.747917,57.0
13.208854,0.41770834,35,55,0,0,n111,13.201563,60.0
13.331771,0.29479167,54,48,0,0,n112,13.201563,60.0
13.3463545,0.28020832,47,48,0,0,n113,13.201563,60.0
13.453646,0.17291667,59,62,0,0,n114,13.201563,60.0
13.474479,0.15208334,42,55,0,0,n115,13.201563,60.0
13.535937,0.1125,61,70,0,0,n116,13.201563,60.0
13.590104,0.134375,59,72,0,0,n117,13.567708,63.0
13.599479,0.446875,40,58,0,0,n118,13.567708,63.0
13.707812,0.33854166,58,67,0,0,n119,13.567708,63.0
13.751562,0.29479167,52,41,0,0,n120,13.567708,63.0
13.756771,0.28958333,47,53,0,0,n121,13.567708,63.0
13.852604,0.23125,59,81,0,0,n122,13.567708,63.0
13.865104,0.18125,43,57,0,0,n123,13.567708,63.0
14.067187,1.2645833,62,72,0,0,n124,13.567708,63.0
14.071354,0.8197917,38,54,0,0,n125,14.06927,66.0
14.223437,0.24583334,54,48,0,0,n126,14.06927,66.0
14.2317705,0.2375,50,43,0,0,n127,14.06927,66.0
14.343229,0.12604167,57,54,0,0,n128,14.06927,66.0
14.354688,0.114583336,45,49,0,0,n129,14.06927,66.0
14.483854,0.40729168,43,51,0,0,n130,14.483854,69.0
14.623438,0.26770833,50,47,0,0,n131,14.483854,69.0
14.631771,0.259375,55,42,0,0,n132,14.483854,69.0
14.749479,0.14166667,46,53,0,0,n133,14.483854,69.0
14.753646,0.1375,58,45,0,0,n134,14.483854,69.0
