onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,1.0,0,480,57,5,n13-1,0.0,0.967708
0.0,0.25,0.0,0.25,0,120,57,1,n1-1,0.0,0.967708
0.25,0.25,0.25,0.25,120,120,60,1,n2-1,0.0,0.967708
0.5,0.25,0.5,0.25,240,120,64,1,n3-1,0.0,0.967708
0.75,0.25,0.75,0.25,360,120,60,1,n4-1,0.0,0.967708
1.0,0.25,1.0,0.25,480,120,57,1,n5-1,1.0,1.321875
1.0,0.5,1.0,0.5,480,240,57,5,n14-1,1.0,1.321875
1.25,0.25,1.25,0.25,600,120,60,1,n6-1,1.0,1.321875
1.5,0.5,1.5,0.5,720,240,57,5,n15-1,1.0,1.321875
1.5,0.25,1.5,0.25,720,120,64,1,n7-1,1.0,1.321875
1.75,0.25,1.75,0.25,840,120,60,1,n8-1,1.0,1.321875
2.0,0.5,2.0,0.5,960,240,57,5,n16-1,2.0,1.652083
2.0,0.25,2.0,0.25,960,120,57,1,n9-1,2.0,1.652083
2.25,0.25,2.25,0.25,1080,120,60,1,n10-1,2.0,1.652083
2.5,0.5,2.5,0.5,1200,240,52,5,n17-1,2.0,1.652083
2.5,0.25,2.5,0.25,1200,120,64,1,n11-1,2.0,1.652083
2.75,0.25,2.75,0.25,1320,120,60,1,n12-1,2.0,1.652083
3.0,0.25,3.0,0.25,1440,120,55,1,n18-1,3.0,1.976042
3.0,0.5,3.0,0.5,1440,240,55,5,n32-1,3.0,1.976042
3.25,0.25,3.25,0.25,1560,120,58,1,n19-1,3.0,1.976042
3.5,0.5,3.5,0.5,1680,240,55,5,n33-1,3.0,1.976042
3.5,0.25,3.5,0.25,1680,120,62,1,n20-1,3.0,1.976042
3.75,0.25,3.75,0.25,1800,120,58,1,n21-1,3.0,1.976042
4.0,0.5,4.0,0.5,1920,240,55,5,n34-1,4.0,2.304167
4.0,0.25,4.0,0.25,1920,120,55,1,n22-1,4.0,2.304167
4.25,0.25,4.25,0.25,2040,120,58,1,n23-1,4.0,2.304167
4.5,0.5,4.5,0.5,2160,240,55,5,n35-1,4.0,2.304167
4.5,0.25,4.5,0.25,2160,120,62,1,n24-1,4.0,2.304167
4.75,0.25,4.75,0.25,2280,120,58,1,n25-1,4.0,2.304167
5.0,0.5,5.0,0.5,2400,240,55,5,n36-1,5.0,2.645833
5.0,0.25,5.0,0.25,2400,120,55,1,n26-1,5.0,2.645833
5.25,0.25,5.25,0.25,2520,120,58,1,n27-1,5.0,2.645833
5.25,0.25,5.25,0.25,2520,120,62,1,n28-1,5.0,2.645833
5.5,0.5,5.5,0.5,2640,240,56,5,n37-1,5.0,2.645833
5.5,0.25,5.5,0.25,2640,120,56,1,n29-1,5.0,2.645833
5.75,0.25,5.75,0.25,2760,120,59,1,n30-1,5.0,2.645833
5.75,0.25,5.75,0.25,2760,120,63,1,n31-1,5.0,2.645833
6.0,0.25,6.0,0.25,2880,120,57,1,n38-1,6.0,2.991667
6.0,1.0,6.0,1.0,2880,480,57,5,n50-1,6.0,2.991667
6.25,0.25,6.25,0.25,3000,120,60,1,n39-1,6.0,2.991667
6.5,0.25,6.5,0.25,3120,120,64,1,n40-1,6.0,2.991667
6.75,0.25,6.75,0.25,3240,120,60,1,n41-1,6.0,2.991667
7.0,0.5,7.0,0.5,3360,240,57,5,n51-1,7.0,3.373958
7.0,0.25,7.0,0.25,3360,120,57,1,n42-1,7.0,3.373958
7.25,0.25,7.25,0.25,3480,120,60,1,n43-1,7.0,3.373958
7.5,0.5,7.5,0.5,3600,240,57,5,n52-1,7.0,3.373958
7.5,0.25,7.5,0.25,3600,120,64,1,n44-1,7.0,3.373958
7.75,0.25,7.75,0.25,3720,120,60,1,n45-1,7.0,3.373958
8.0,0.5,8.0,0.5,3840,240,57,5,n53-1,8.0,3.705208
8.0,0.25,8.0,0.25,3840,120,57,1,n46-1,8.0,3.705208
8.25,0.25,8.25,0.25,3960,120,60,1,n47-1,8.0,3.705208
8.5,0.5,8.5,0.5,4080,240,52,5,n54-1,8.0,3.705208
8.5,0.25,8.5,0.25,4080,120,64,1,n48-1,8.0,3.705208
8.75,0.25,8.75,0.25,4200,120,60,1,n49-1,8.0,3.705208
9.0,0.25,9.0,0.25,4320,120,55,1,n55-1,9.0,4.0625
9.0,0.5,9.0,0.5,4320,240,55,5,n67-1,9.0,4.0625
9.25,0.25,9.25,0.25,4440,120,58,1,n56-1,9.0,4.0625
9.5,0.5,9.5,0.5,4560,240,55,5,n68-1,9.0,4.0625
9.5,0.25,9.5,0.25,4560,120,62,1,n57-1,9.0,4.0625
9.75,0.25,9.75,0.25,4680,120,58,1,n58-1,9.0,4.0625
10.0,0.25,10.0,0.25,4800,120,54,1,n59-1,10.0,4.395834
10.0,0.5,10.0,0.5,4800,240,54,5,n69-1,10.0,4.395834
10.25,0.25,10.25,0.25,4920,120,57,1,n60-1,10.0,4.395834
10.5,0.5,10.5,0.5,5040,240,54,5,n70-1,10.0,4.395834
10.5,0.25,10.5,0.25,5040,120,61,1,n61-1,10.0,4.395834
10.75,0.25,10.75,0.25,5160,120,57,1,n62-1,10.0,4.395834
11.0,0.25,11.0,0.25,5280,120,53,1,n63-1,11.0,4.729167
11.0,0.5,11.0,0.5,5280,240,53,5,n71-1,11.0,4.729167
11.25,0.25,11.25,0.25,5400,120,57,1,n64-1,11.0,4.729167
11.5,0.5,11.5,0.5,5520,240,53,5,n72-1,11.0,4.729167
11.5,0.25,11.5,0.25,5520,120,61,1,n65-1,11.0,4.729167
11.75,0.25,11.75,0.25,5640,120,57,1,n66-1,11.0,4.729167
12.0,1.0,12.0,1.0,5760,480,52,5,n85-1,12.0,5.103125
12.0,0.25,12.0,0.25,5760,120,52,1,n73-1,12.0,5.103125
12.25,0.25,12.25,0.25,5880,120,56,1,n74-1,12.0,5.103125
12.5,0.25,12.5,0.25,6000,120,60,1,n75-1,12.0,5.103125
12.75,0.25,12.75,0.25,6120,120,56,1,n76-1,12.0,5.103125
13.0,0.25,13.0,0.25,6240,120,52,1,n77-1,13.0,5.526042
13.0,0.5,13.0,0.5,6240,240,52,5,n86-1,13.0,5.526042
13.25,0.25,13.25,0.25,6360,120,56,1,n78-1,13.0,5.526042
13.5,0.5,13.5,0.5,6480,240,52,5,n87-1,13.0,5.526042
13.5,0.25,13.5,0.25,6480,120,60,1,n79-1,13.0,5.526042
13.75,0.25,13.75,0.25,6600,120,56,1,n80-1,13.0,5.526042
14.0,0.5,14.0,0.5,6720,240,48,5,n88-1,14.0,5.960417
14.0,0.25,14.0,0.25,6720,120,48,1,n81-1,14.0,5.960417
14.25,0.25,14.25,0.25,6840,120,56,1,n82-1,14.0,5.960417
14.5,0.5,14.5,0.5,6960,240,48,5,n89-1,14.0,5.960417
14.5,0.25,14.5,0.25,6960,120,60,1,n83-1,14.0,5.960417
14.75,0.25,14.75,0.25,7080,120,56,1,n84-1,14.0,5.960417
15.0,6.0,15.0,6.0,7200,2880,33,6,n105-1,15.0,7.1125
15.0,1.0,15.0,1.0,7200,480,45,5,n102-1,15.0,7.1125
15.0,0.25,15.0,0.25,7200,120,45,1,n90-1,15.0,7.1125
15.25,0.25,15.25,0.25,7320,120,48,1,n91-1,15.0,7.1125
15.5,0.25,15.5,0.25,7440,120,57,1,n92-1,15.0,7.1125
15.75,0.25,15.75,0.25,7560,120,48,1,n93-1,15.0,7.1125
16.0,0.25,16.0,0.25,7680,120,47,1,n94-1,16.0,7.86875
16.0,1.0,16.0,1.0,7680,480,47,5,n103-1,16.0,7.86875
16.25,0.25,16.25,0.25,7800,120,50,1,n95-1,16.0,7.86875
16.5,0.25,16.5,0.25,7920,120,57,1,n96-1,16.0,7.86875
16.75,0.25,16.75,0.25,8040,120,50,1,n97-1,16.0,7.86875
17.0,0.25,17.0,0.25,8160,120,48,1,n98-1,17.0,8.289583
17.0,1.0,17.0,1.0,8160,480,48,5,n104-1,17.0,8.289583
17.25,0.25,17.25,0.25,8280,120,52,1,n99-1,17.0,8.289583
17.5,0.25,17.5,0.25,8400,120,57,1,n100-1,17.0,8.289583
17.75,0.25,17.75,0.25,8520,120,52,1,n101-1,17.0,8.289583
18.0,1.0,18.0,1.0,8640,480,50,5,n118-1,18.0,8.690625
18.0,0.25,18.0,0.25,8640,120,50,1,n106-1,18.0,8.690625
18.25,0.25,18.25,0.25,8760,120,53,1,n107-1,18.0,8.690625
18.5,0.25,18.5,0.25,8880,120,57,1,n108-1,18.0,8.690625
18.75,0.25,18.75,0.25,9000,120,53,1,n109-1,18.0,8.690625
19.0,1.0,19.0,1.0,9120,480,47,5,n119-1,19.0,9.089583
19.0,0.25,19.0,0.25,9120,120,47,1,n110-1,19.0,9.089583
19.25,0.25,19.25,0.25,9240,120,50,1,n111-1,19.0,9.089583
19.5,0.25,19.5,0.25,9360,120,57,1,n112-1,19.0,9.089583
19.75,0.25,19.75,0.25,9480,120,50,1,n113-1,19.0,9.089583
20.0,0.25,20.0,0.25,9600,120,48,1,n114-1,20.0,9.485417
20.0,1.0,20.0,1.0,9600,480,48,5,n120-1,20.0,9.485417
20.25,0.25,20.25,0.25,9720,120,52,1,n115-1,20.0,9.485417
20.5,0.25,20.5,0.25,9840,120,57,1,n116-1,20.0,9.485417
20.75,0.25,20.75,0.25,9960,120,52,1,n117-1,20.0,9.485417
21.0,39.0,21.0,39.0,10080,18720,33,6,n137-1,21.0,9.978646
21.0,0.25,21.0,0.25,10080,120,45,1,n122-1,21.0,9.978646
21.0,1.0,21.0,1.0,10080,480,45,5,n134-1,21.0,9.978646
21.25,0.25,21.25,0.25,10200,120,48,1,n123-1,21.0,9.978646
21.5,0.25,21.5,0.25,10320,120,57,1,n124-1,21.0,9.978646
21.75,0.25,21.75,0.25,10440,120,48,1,n125-1,21.0,9.978646
22.0,1.0,22.0,1.0,10560,480,47,5,n135-1,22.0,10.414583
22.0,0.25,22.0,0.25,10560,120,47,1,n126-1,22.0,10.414583
22.25,0.25,22.25,0.25,10680,120,50,1,n127-1,22.0,10.414583
22.5,0.25,22.5,0.25,10800,120,57,1,n128-1,22.0,10.414583
22.75,0.25,22.75,0.25,10920,120,50,1,n129-1,22.0,10.414583
23.0,1.0,23.0,1.0,11040,480,48,5,n136-1,23.0,10.802083
23.0,0.25,23.0,0.25,11040,120,48,1,n130-1,23.0,10.802083
23.25,0.25,23.25,0.25,11160,120,52,1,n131-1,23.0,10.802083
23.5,0.25,23.5,0.25,11280,120,57,1,n132-1,23.0,10.802083
23.75,0.25,23.75,0.25,11400,120,52,1,n133-1,23.0,10.802083
24.0,6.0,24.0,6.0,11520,2880,45,2,n150-1,24.0,11.180208
24.0,0.25,24.0,0.25,11520,120,50,1,n138-1,24.0,11.180208
24.0,1.0,24.0,1.0,11520,480,50,5,n151-1,24.0,11.180208
24.25,0.25,24.25,0.25,11640,120,53,1,n139-1,24.0,11.180208
24.5,0.25,24.5,0.25,11760,120,57,1,n140-1,24.0,11.180208
24.75,0.25,24.75,0.25,11880,120,53,1,n141-1,24.0,11.180208
25.0,0.25,25.0,0.25,12000,120,52,1,n142-1,25.0,11.547917
25.0,1.0,25.0,1.0,12000,480,52,5,n152-1,25.0,11.547917
25.25,0.25,25.25,0.25,12120,120,50,1,n143-1,25.0,11.547917
25.5,0.25,25.5,0.25,12240,120,57,1,n144-1,25.0,11.547917
25.75,0.25,25.75,0.25,12360,120,50,1,n145-1,25.0,11.547917
26.0,1.0,26.0,1.0,12480,480,53,5,n153-1,26.0,11.902083
26.0,0.25,26.0,0.25,12480,120,53,1,n146-1,26.0,11.902083
26.25,0.25,26.25,0.25,12600,120,52,1,n147-1,26.0,11.902083
26.5,0.25,26.5,0.25,12720,120,57,1,n148-1,26.0,11.902083
26.75,0.25,26.75,0.25,12840,120,52,1,n149-1,26.0,11.902083
27.0,1.0,27.0,1.0,12960,480,55,5,n168-1,27.0,12.279167
27.0,0.25,27.0,0.25,12960,120,55,1,n155-1,27.0,12.279167
27.25,0.25,27.25,0.25,13080,120,58,1,n156-1,27.0,12.279167
27.5,0.25,27.5,0.25,13200,120,64,1,n157-1,27.0,12.279167
27.75,0.25,27.75,0.25,13320,120,58,1,n158-1,27.0,12.279167
28.0,1.0,28.0,1.0,13440,480,52,5,n169-1,28.0,12.641667
28.0,0.25,28.0,0.25,13440,120,52,1,n159-1,28.0,12.641667
28.25,0.25,28.25,0.25,13560,120,55,1,n160-1,28.0,12.641667
28.5,0.25,28.5,0.25,13680,120,61,1,n161-1,28.0,12.641667
28.75,0.25,28.75,0.25,13800,120,55,1,n162-1,28.0,12.641667
29.0,0.25,29.0,0.25,13920,120,53,1,n163-1,29.0,13.002083
29.0,1.0,29.0,1.0,13920,480,53,5,n170-1,29.0,13.002083
29.25,0.25,29.25,0.25,14040,120,57,1,n164-1,29.0,13.002083
29.5,0.25,29.5,0.25,14160,120,62,1,n165-1,29.0,13.002083
29.75,0.25,29.75,0.25,14280,120,57,1,n166-1,29.0,13.002083
30.0,6.0,30.0,6.0,14400,2880,45,2,n184-1,30.0,13.379687
30.0,1.0,30.0,1.0,14400,480,55,5,n185-1,30.0,13.379687
30.0,0.25,30.0,0.25,14400,120,55,1,n172-1,30.0,13.379687
30.25,0.25,30.25,0.25,14520,120,58,1,n173-1,30.0,13.379687
30.5,0.25,30.5,0.25,14640,120,64,1,n174-1,30.0,13.379687
30.75,0.25,30.75,0.25,14760,120,58,1,n175-1,30.0,13.379687
