xml_id	midi_id	track	channel	pitch	onset
n10-1	n2	0	0	64	1.83626953125
n11-1	n3	0	0	71	2.1968460937499996
n6-1	n5	0	0	78	2.59748671875
n5-1	n1	0	0	80	1.5544856250000003
n2-1	n4	0	0	81	2.5454034375
n1-1	n0	0	0	83	1.5090796875000003
n12-1	n8	0	0	73	3.2598792187500005
n7-1	n7	0	0	76	2.954056875
n3-1	n6	0	0	80	2.9206701562500004
n13-1	n10	0	0	70	3.6244621875000007
n14-1	n12	0	0	71	3.9382973437500004
n8-1	n11	0	0	75	3.9262781250000005
n4-1	n9	0	0	78	3.5964173437500007
n32-1	n15	0	0	64	4.604696250000005
n31-1	n14	0	0	68	4.270829062500002
n17-1	n13	0	0	76	4.252132500000002
n18-1	n16	0	0	78	4.766287968750006
n19-1	n17	0	0	80	4.825048593750005
n33-1	n19	0	0	63	4.9318860937500055
n34-1	n21	0	0	64	5.231031093750007
n21-1	n20	0	0	80	5.2256892187500075
n20-1	n18	0	0	81	4.9091831250000055
n36-1	n31	0	0	68	5.9601970312500105
n35-1	n22	0	0	69	5.5702401562500095
n29-1	n30	0	0	71	5.93882953125001
n28-1	n24	0	0	73	5.582259375000009
n23-1	n29	0	0	76	5.920132968750011
n22-1	n23	0	0	78	5.5702401562500095
n46-1	n34	0	0	52	7.548069375000018
n41-1	n33	0	0	68	7.230227812500018
n37-1	n32	0	0	71	7.216873125000018
n47-1	n35	0	0	59	7.895291250000017
n42-1	n37	0	0	66	8.243848593750023
n38-1	n36	0	0	69	8.197107187500023
n48-1	n40	0	0	61	8.89422187500003
n43-1	n39	0	0	64	8.611102500000024
n39-1	n38	0	0	68	8.563025625000025
n49-1	n42	0	0	58	9.230760000000036
n50-1	n44	0	0	59	9.55260796875004
n44-1	n43	0	0	63	9.54459515625004
n40-1	n41	0	0	66	9.206721562500036
n72-1	n47	0	0	52	10.177607343750047
n71-1	n46	0	0	56	9.87979781250004
n53-1	n45	0	0	64	9.86243671875004
n54-1	n48	0	0	66	10.32717984375005
n55-1	n49	0	0	68	10.40196609375005
n73-1	n51	0	0	51	10.50746812500005
n74-1	n53	0	0	52	10.81061953125005
n57-1	n52	0	0	68	10.80527765625005
n56-1	n50	0	0	69	10.48743609375005
n68-1	n55	0	0	45	11.159176875000052
n69-1	n59	0	0	52	11.547798281250056
n58-1	n57	0	0	64	11.171196093750051
n61-1	n61	0	0	64	11.565159375000057
n62-1	n60	0	0	68	11.561152968750058
n59-1	n56	0	0	69	11.169860625000052
n63-1	n58	0	0	71	11.522424375000057
n60-1	n54	0	0	73	11.14181578125005
n94-1	n64	0	0	32	12.903299062500075
n95-1	n65	0	0	44	12.903299062500075
n77-1	n62	0	0	64	12.52936781250007
n78-1	n63	0	0	76	12.618844218750072
n96-1	n67	0	0	32	13.23850171875008
n97-1	n66	0	0	44	13.230488906250079
n84-1	n72	0	0	68	13.720605937500082
n83-1	n71	0	0	69	13.631129531250082
n82-1	n70	0	0	71	13.53631125000008
n81-1	n69	0	0	73	13.433480156250079
n80-1	n68	0	0	75	13.32931359375008
n100-1	n74	0	0	33	14.150626875000082
n101-1	n75	0	0	45	14.153297812500082
n85-1	n73	0	0	66	13.83545625000008
n102-1	n77	0	0	33	14.480487656250084
n103-1	n76	0	0	45	14.472474843750083
n92-1	n82	0	0	78	14.985294843750083
n91-1	n81	0	0	80	14.883799218750084
n90-1	n80	0	0	81	14.791651875000085
n89-1	n79	0	0	83	14.687485312500085
n88-1	n78	0	0	85	14.594002500000085
n122-1	n87	0	0	35	15.372580781250084
n123-1	n86	0	0	47	15.371245312500085
n110-1	n90	0	0	68	15.584920312500083
n109-1	n89	0	0	69	15.491437500000083
n108-1	n88	0	0	71	15.376587187500084
n107-1	n85	0	0	73	15.281768906250084
n106-1	n84	0	0	75	15.181608750000084
n105-1	n83	0	0	76	15.088125937500084
n124-1	n92	0	0	35	15.670390312500082
n126-1	n96	0	0	35	15.932142187500084
n125-1	n93	0	0	47	15.671725781250082
n127-1	n98	0	0	47	15.952174218750084
n116-1	n100	0	0	57	16.128456093750085
n115-1	n99	0	0	59	16.044321562500084
n114-1	n97	0	0	61	15.945496875000083
n113-1	n95	0	0	63	15.857355937500083
n112-1	n94	0	0	64	15.765208593750083
n111-1	n91	0	0	66	15.666383906250083
n129-1	n106	0	0	40	16.513071093750085
n130-1	n105	0	0	52	16.506393750000086
n118-1	n102	0	0	57	16.275357656250083
n117-1	n101	0	0	59	16.227280781250084
n131-1	n112	0	0	40	16.83491906250008
n133-1	n114	0	0	40	17.138070468750083
n132-1	n113	0	0	52	16.83625453125008
n134-1	n115	0	0	52	17.151425156250085
