onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0074806,1.1004283,83,68,0,0,n0,-10.0,-10.0
2.0309849,1.0245736,80,52,0,0,n1,2.019233,0.0
2.3173099,0.049145345,64,37,0,0,n2,2.019233,0.0
2.6987205,0.9818385,71,45,0,0,n3,2.019233,0.0
2.986114,0.3589747,81,61,0,0,n4,2.698721,1.0
3.00855,0.1677352,78,52,0,0,n5,2.698721,1.0
3.33761,0.7596161,80,75,0,0,n6,2.698721,1.0
3.3707297,0.85470164,76,58,0,0,n7,3.35417,2.0
3.6730804,0.05876074,73,47,0,0,n8,3.35417,2.0
3.9914567,0.79380417,78,68,0,0,n9,3.35417,2.0
4.005346,0.052350476,70,40,0,0,n10,3.998401,3.0
4.327996,0.19017112,75,48,0,0,n11,3.998401,3.0
4.340816,1.3493602,71,37,0,0,n12,3.998401,3.0
4.6784234,0.56730825,76,58,0,0,n13,3.998401,3.0
4.714748,0.34294903,68,39,0,0,n14,4.696586,4.0
5.0192356,0.22970107,64,40,0,0,n15,4.696586,4.0
5.13462,0.045940213,78,51,0,0,n16,4.696586,4.0
5.1859026,0.060897496,80,61,0,0,n17,4.696586,4.0
5.2574835,0.04059833,81,68,0,0,n18,4.696586,4.0
5.2809877,0.038461573,63,37,0,0,n19,5.269236,5.0
5.6100483,0.039529953,80,76,0,0,n20,5.269236,5.0
5.631416,0.052350476,64,48,0,0,n21,5.269236,5.0
5.980775,0.04380346,78,68,0,0,n22,5.269236,5.0
6.0000057,0.16880357,73,47,0,0,n23,5.269236,5.0
6.018168,0.38675252,69,34,0,0,n24,6.000006,6.0
6.060903,0.05876074,80,69,0,0,n25,6.000006,6.0
6.147442,0.044871837,78,59,0,0,n26,6.000006,6.0
6.2072706,0.024572672,80,63,0,0,n27,6.000006,6.0
6.3141084,0.038461573,80,75,0,0,n28,6.000006,6.0
6.3739376,0.06944451,78,74,0,0,n29,6.000006,6.0
6.4797072,0.19764976,71,35,0,0,n30,6.000006,6.0
6.4861174,0.2008549,76,59,0,0,n31,6.000006,6.0
6.490391,0.22008568,68,37,0,0,n32,6.000006,6.0
7.6282125,1.1709412,71,65,0,0,n33,6.82506,7.0
7.6720157,1.025642,68,46,0,0,n34,7.650114,8.0
7.959409,0.50534236,52,53,0,0,n35,7.650114,8.0
8.337615,0.9188043,59,61,0,0,n36,8.337615,9.0
8.644239,0.22329082,69,66,0,0,n37,8.337615,9.0
8.649581,0.18055573,66,63,0,0,n38,8.337615,9.0
8.970094,0.7585477,68,72,0,0,n39,8.337615,9.0
8.986119,0.9134624,64,65,0,0,n40,8.978107,10.0
9.289538,0.054487232,61,45,0,0,n41,8.978107,10.0
9.626078,0.8205136,66,60,0,0,n42,8.978107,10.0
9.642103,0.037393197,58,38,0,0,n43,9.63409,11.0
9.953001,0.2617524,63,48,0,0,n44,9.63409,11.0
9.972232,1.6613264,59,40,0,0,n45,9.63409,11.0
10.292745,0.5833339,64,54,0,0,n46,9.63409,11.0
10.34189,0.3728636,56,34,0,0,n47,10.317317,12.0
10.651719,0.27350453,52,41,0,0,n48,10.317317,12.0
10.777788,0.06944451,66,56,0,0,n49,10.317317,12.0
10.845096,0.057692364,68,57,0,0,n50,10.317317,12.0
10.917746,0.047008593,69,69,0,0,n51,10.317317,12.0
10.933771,0.042735085,51,52,0,0,n52,10.925758,13.0
11.258557,0.03311969,68,65,0,0,n53,10.925758,13.0
11.2606945,0.04059833,52,53,0,0,n54,10.925758,13.0
11.621806,0.04807697,69,57,0,0,n55,10.925758,13.0
11.630353,0.047008593,73,64,0,0,n56,10.925758,13.0
