onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0058742,0.040064063,59,66,1,0,n0,-10.0,-10.0
2.0659702,0.044070467,58,67,1,0,n1,2.063299,0.0
2.1207244,1.0496784,59,76,1,0,n2,2.063299,0.0
2.3544314,0.036057655,47,70,1,0,n3,2.063299,0.0
2.689634,0.036057655,50,72,1,0,n4,2.689634,1.0
3.0061402,0.037393127,47,59,1,0,n5,2.689634,1.0
3.3346655,0.034722187,66,72,1,0,n6,3.315969,2.0
3.3814068,0.049412344,65,76,1,0,n7,3.315969,2.0
3.4348257,0.9281508,66,90,1,0,n8,3.315969,2.0
3.632475,0.03071578,46,86,1,0,n9,3.315969,2.0
3.9423037,0.0641025,49,86,1,0,n10,3.315969,2.0
4.260145,0.029380312,42,77,1,0,n11,3.942304,3.0
4.5846643,0.13087593,73,73,1,0,n12,4.584664,4.0
4.6647925,0.06677344,71,75,1,0,n13,4.584664,4.0
4.714205,0.08146359,70,72,1,0,n14,4.584664,4.0
4.768959,0.8026167,71,67,1,0,n15,4.584664,4.0
4.9131894,0.040064063,43,81,1,0,n16,4.584664,4.0
5.2123346,0.044070467,42,78,1,0,n17,4.584664,4.0
5.5475373,0.036057655,40,59,1,0,n18,5.212335,5.0
5.5475373,0.31917703,73,60,1,0,n19,5.212335,5.0
5.8760624,0.18563016,74,49,1,0,n20,5.212335,5.0
5.985571,0.7131403,71,44,1,0,n21,5.212335,5.0
6.009609,0.63034123,38,40,1,0,n22,5.99759,6.0
6.5731773,1.3835456,78,52,1,0,n23,5.99759,6.0
6.935089,1.0216336,78,67,1,0,n24,6.768155,7.0
7.267621,0.6891019,78,80,1,0,n25,6.768155,7.0
7.57745,1.0309819,78,80,1,0,n26,7.538721,8.0
7.955387,0.6530442,61,40,1,0,n27,7.538721,8.0
7.9754195,0.6330122,58,35,1,0,n28,7.538721,8.0
8.294597,0.31383514,61,43,1,0,n29,8.203427,9.0
8.3239765,0.28445485,58,31,1,0,n30,8.203427,9.0
8.331989,0.27644202,79,65,1,0,n31,8.203427,9.0
8.398763,0.20966859,78,71,1,0,n32,8.203427,9.0
8.470879,0.13755327,76,67,1,0,n33,8.203427,9.0
8.512278,0.09615375,78,77,1,0,n34,8.203427,9.0
8.5843935,0.21233954,79,77,1,0,n35,8.203427,9.0
8.612438,0.1535789,58,39,1,0,n36,8.203427,9.0
8.612438,0.18295921,61,41,1,0,n37,8.203427,9.0
8.851487,0.3031514,76,71,1,0,n38,8.203427,9.0
8.939628,0.87740296,76,80,1,0,n39,8.939628,10.0
9.276166,0.5408648,66,51,1,0,n40,8.939628,10.0
9.284179,0.53285205,59,53,1,0,n41,8.939628,10.0
9.564628,0.2524036,76,71,1,0,n42,8.939628,10.0
9.5940075,0.4366983,66,47,1,0,n43,8.939628,10.0
9.607362,0.41265985,59,46,1,0,n44,9.594008,11.0
9.639414,0.17761734,74,70,1,0,n45,9.594008,11.0
9.683484,0.13354687,76,79,1,0,n46,9.594008,11.0
9.747586,0.17494641,74,80,1,0,n47,9.594008,11.0
9.94123,0.4313564,78,78,1,0,n48,9.594008,11.0
9.966603,0.4059825,62,54,1,0,n49,9.594008,11.0
10.117511,0.25507453,71,70,1,0,n50,9.594008,11.0
10.28578,0.08680547,74,70,1,0,n51,9.594008,11.0
10.292458,0.097489215,64,50,1,0,n52,10.289119,12.0
10.340534,0.036057655,73,72,1,0,n53,10.289119,12.0
10.389947,0.028044844,74,75,1,0,n54,10.289119,12.0
10.446036,0.20165578,73,74,1,0,n55,10.289119,12.0
10.659712,0.33653814,71,79,1,0,n56,10.289119,12.0
10.677073,0.35523468,62,53,1,0,n57,10.289119,12.0
11.045662,0.3458864,74,63,1,0,n58,10.289119,12.0
11.06703,0.4620722,64,36,1,0,n59,11.056346,13.0
11.243312,0.21233954,73,66,1,0,n60,11.056346,13.0
11.443632,0.16826907,71,58,1,0,n61,11.056346,13.0
11.4476385,0.60363185,66,41,1,0,n62,11.056346,13.0
11.670661,0.31784156,70,47,1,0,n63,11.056346,13.0
11.939091,1.0162917,71,42,1,0,n64,11.056346,13.0
11.9577875,0.99759513,67,30,1,0,n65,11.948439,14.0
13.723277,0.9962597,83,37,1,0,n66,13.013476,15.0
13.904901,0.81463593,79,48,1,0,n67,13.013476,15.0
14.078511,0.641025,78,62,1,0,n68,13.013476,15.0
14.242774,0.47676235,76,70,1,0,n69,14.078512,16.0
14.404366,0.31517062,75,74,1,0,n70,14.078512,16.0
14.557945,0.16159172,76,80,1,0,n71,14.078512,16.0
14.735562,0.3592411,78,81,1,0,n72,14.735562,17.0
14.898489,0.1963139,76,78,1,0,n73,14.735562,17.0
15.068094,0.48343968,79,86,1,0,n74,14.735562,17.0
15.229686,0.32184798,76,73,1,0,n75,14.735562,17.0
15.431341,0.9067833,70,70,1,0,n76,14.735562,17.0
15.480754,0.46073672,64,36,1,0,n77,15.480754,18.0
15.48476,0.9134606,67,36,1,0,n78,15.480754,18.0
16.212591,0.24038437,71,40,1,0,n79,15.480754,18.0
16.237965,0.28846124,66,28,1,0,n80,16.237965,19.0
16.245977,0.26308733,62,30,1,0,n81,16.237965,19.0
16.686682,0.2897967,83,62,1,0,n82,16.237965,19.0
16.850945,0.12553406,79,60,1,0,n83,16.237965,19.0
17.02055,0.17895281,78,63,1,0,n84,17.02055,20.0
17.191488,0.16159172,76,65,1,0,n85,17.02055,20.0
17.345068,0.29647407,75,71,1,0,n86,17.02055,20.0
17.505325,0.13621782,76,73,1,0,n87,17.02055,20.0
17.68962,0.24706171,78,74,1,0,n88,17.68962,21.0
17.857887,0.078792654,76,72,1,0,n89,17.68962,21.0
18.026157,0.12686953,79,78,1,0,n90,17.68962,21.0
18.189085,0.03338672,76,71,1,0,n91,17.68962,21.0
18.40543,0.8026167,70,64,1,0,n92,17.68962,21.0
18.478882,0.6356831,64,30,1,0,n93,18.478882,22.0
18.484222,1.068375,67,36,1,0,n94,18.478882,22.0
19.151957,0.40064064,71,46,1,0,n95,18.478882,22.0
19.196028,0.35657015,66,29,1,0,n96,19.196028,23.0
19.198698,0.3538992,62,36,1,0,n97,19.196028,23.0
19.606016,0.35122827,83,72,1,0,n98,19.196028,23.0
19.775621,0.18162376,79,80,1,0,n99,19.196028,23.0
19.937214,0.18295921,78,85,1,0,n100,19.937214,24.0
20.105482,0.46607858,76,88,1,0,n101,19.937214,24.0
20.261732,0.30982876,75,84,1,0,n102,19.937214,24.0
20.42466,0.14690156,76,92,1,0,n103,19.937214,24.0
20.587585,0.34989282,78,91,1,0,n104,20.587585,25.0
20.762533,0.17494641,76,85,1,0,n105,20.587585,25.0
20.921453,0.5301811,79,93,1,0,n106,20.587585,25.0
21.091059,0.36057657,76,83,1,0,n107,20.587585,25.0
21.33545,0.7612172,82,94,1,0,n108,20.587585,25.0
21.378183,0.7184822,73,58,1,0,n109,20.587585,25.0
21.4089,1.0243045,67,43,1,0,n110,21.393541,26.0
21.42359,0.6730763,64,45,1,0,n111,21.393541,26.0
22.076633,0.35657015,83,76,1,0,n112,21.393541,26.0
22.091324,0.04540594,74,65,1,0,n113,21.393541,26.0
22.100672,0.33253172,66,47,1,0,n114,22.095999,27.0
22.10468,0.3285253,62,51,1,0,n115,22.095999,27.0
22.411837,0.036057655,81,75,1,0,n116,22.095999,27.0
22.426527,0.08547,64,51,1,0,n117,22.095999,27.0
22.426527,0.03071578,76,57,1,0,n118,22.095999,27.0
22.475939,0.05341875,79,63,1,0,n119,22.095999,27.0
22.511997,0.1923075,64,8,1,0,n120,22.095999,27.0
22.530693,0.110843904,78,64,1,0,n121,22.095999,27.0
22.606815,0.14823703,79,58,1,0,n122,22.095999,27.0
22.744368,0.060096093,78,72,1,0,n123,22.095999,27.0
22.76707,0.029380312,74,70,1,0,n124,22.76707,28.0
22.781761,0.73851424,66,56,1,0,n125,22.76707,28.0
23.07957,0.036057655,76,79,1,0,n126,22.76707,28.0
23.095596,0.028044844,73,56,1,0,n127,22.76707,28.0
23.386728,0.026709376,76,78,1,0,n128,22.76707,28.0
23.417444,0.42200813,71,47,1,0,n129,23.405424,29.0
23.424122,0.8854158,54,43,1,0,n130,23.405424,29.0
23.457508,0.03205125,74,65,1,0,n131,23.405424,29.0
23.482883,0.058760624,76,85,1,0,n132,23.405424,29.0
23.564346,0.28445485,74,71,1,0,n133,23.405424,29.0
23.856813,0.21901688,73,63,1,0,n134,23.405424,29.0
23.879517,0.20299125,70,49,1,0,n135,23.405424,29.0
24.25879,0.034722187,71,76,1,0,n136,23.405424,29.0
24.28817,1.0269755,47,40,1,0,n137,23.405424,29.0
24.293512,0.69845015,59,42,1,0,n138,24.29084,30.0
24.328234,0.026709376,70,62,1,0,n139,24.29084,30.0
24.377647,0.93749905,71,63,1,0,n140,24.29084,30.0
25.639664,0.03338672,59,75,1,0,n141,25.614737,32.0
25.701096,0.037393127,58,68,1,0,n142,25.614737,32.0
25.751844,0.99893063,59,78,1,0,n143,25.614737,32.0
25.965519,0.034722187,47,71,1,0,n144,25.614737,32.0
26.276684,0.034722187,50,74,1,0,n145,26.276684,33.0
26.598532,0.04540594,47,70,1,0,n146,26.276684,33.0
26.939075,0.03338672,66,75,1,0,n147,26.915705,34.0
26.988487,0.057425156,65,81,1,0,n148,26.915705,34.0
27.039236,1.1151164,66,94,1,0,n149,26.915705,34.0
27.239555,0.036057655,46,92,1,0,n150,26.915705,34.0
27.554728,0.07478625,49,88,1,0,n151,27.554728,35.0
27.896606,0.03071578,42,79,1,0,n152,27.554728,35.0
28.233145,1.0042725,71,79,1,0,n153,28.233145,36.0
28.553658,0.040064063,43,62,1,0,n154,28.233145,36.0
28.883518,0.036057655,42,62,1,0,n155,28.883518,37.0
29.210709,0.3538992,73,60,1,0,n156,28.883518,37.0
29.226734,0.034722187,40,54,1,0,n157,28.883518,37.0
29.556595,0.08947641,74,45,1,0,n158,28.883518,37.0
29.663431,1.5104152,71,45,1,0,n159,28.883518,37.0
29.707502,1.4663447,38,30,1,0,n160,29.685467,38.0
30.169575,1.0042725,73,41,1,0,n161,29.685467,38.0
30.440674,0.73317236,74,61,1,0,n162,29.685467,38.0
30.524809,0.64903784,71,66,1,0,n163,30.524809,39.0
30.874702,0.32451892,73,76,1,0,n164,30.524809,39.0
31.116423,0.18696563,74,76,1,0,n165,30.524809,39.0
31.220589,1.0630331,71,79,1,0,n166,31.220589,40.0
31.518398,0.71581125,55,60,1,0,n167,31.220589,40.0
31.896336,0.3378736,67,34,1,0,n168,31.896336,41.0
32.23955,0.25774547,73,60,1,0,n169,31.896336,41.0
32.50264,0.07345078,74,62,1,0,n170,31.896336,41.0
32.576088,1.3020821,69,62,1,0,n171,32.576088,42.0
32.871227,0.03205125,54,54,1,0,n172,32.576088,42.0
33.275875,0.84802264,66,47,1,0,n173,33.275875,43.0
33.509583,0.36858937,74,54,1,0,n174,33.275875,43.0
33.576355,0.30181593,78,71,1,0,n175,33.275875,43.0
33.80472,0.10016016,81,65,1,0,n176,33.275875,43.0
33.879505,0.3725958,64,46,1,0,n177,33.275875,43.0
33.88485,0.24439079,79,71,1,0,n178,33.88218,44.0
34.121227,0.08680547,83,70,1,0,n179,33.88218,44.0
34.20002,0.27243564,76,73,1,0,n180,33.88218,44.0
34.206696,0.30982876,61,50,1,0,n181,33.88218,44.0
34.413692,0.06276703,79,68,1,0,n182,33.88218,44.0
34.48314,0.33653814,78,80,1,0,n183,33.88218,44.0
34.50985,1.4369644,62,60,1,0,n184,34.496494,45.0
34.727528,0.52617466,74,71,1,0,n185,34.496494,45.0
