onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,0.045940034,59,77,1,0,n0,2.047003,0.0
2.1100366,0.0865382,58,80,1,0,n1,2.047003,0.0
2.1890962,1.2425177,59,85,1,0,n2,2.047003,0.0
2.4305484,0.1933755,47,74,1,0,n3,2.047003,0.0
2.8098207,0.24572577,50,74,1,0,n4,2.047003,0.0
3.1880248,0.24358903,47,66,1,0,n5,2.809821,1.0
3.581186,0.05235027,66,77,1,0,n6,3.572639,2.0
3.6431518,0.09935868,65,81,1,0,n7,3.572639,2.0
3.7179377,1.0779883,66,89,1,0,n8,3.572639,2.0
3.9380226,0.23611042,46,75,1,0,n9,3.572639,2.0
4.3354573,0.26602486,49,72,1,0,n10,4.335457,3.0
4.7371655,0.21901645,42,68,1,0,n11,4.335457,3.0
5.114301,0.08333309,71,85,1,0,n12,5.108959,4.0
5.1869507,0.0908117,70,85,1,0,n13,5.108959,4.0
5.2638736,1.3119619,71,89,1,0,n14,5.108959,4.0
5.4818215,0.2959393,43,78,1,0,n15,5.108959,4.0
5.882461,0.30341792,42,76,1,0,n16,5.882461,5.0
6.2478447,0.32799047,40,72,1,0,n17,5.882461,5.0
6.25105,0.32905886,73,80,1,0,n18,5.882461,5.0
6.5416474,0.106837295,74,80,1,0,n19,5.882461,5.0
6.6452794,0.09401682,71,81,1,0,n20,5.882461,5.0
6.646348,0.36217842,38,65,1,0,n21,6.645814,6.0
7.1377993,0.45726362,78,48,1,0,n22,6.645814,6.0
7.5672855,0.40170822,78,60,1,0,n23,7.500156,7.0
7.981814,0.8076899,78,63,1,0,n24,7.500156,7.0
8.426257,1.0138859,78,60,1,0,n25,8.354498,8.0
8.834375,0.6057674,61,28,1,0,n26,8.354498,8.0
8.85788,0.58226323,58,30,1,0,n27,8.354498,8.0
9.195486,0.2446574,61,48,1,0,n28,8.354498,8.0
9.222195,0.21794808,58,40,1,0,n29,9.208841,9.0
9.275614,0.16452943,79,63,1,0,n30,9.208841,9.0
9.3664255,0.07371773,78,55,1,0,n31,9.208841,9.0
9.410229,0.04700841,76,60,1,0,n32,9.208841,9.0
9.473263,0.1025638,78,77,1,0,n33,9.208841,9.0
9.588647,0.4380329,79,62,1,0,n34,9.208841,9.0
9.60681,0.41987056,61,27,1,0,n35,9.208841,9.0
9.614288,0.41239196,58,30,1,0,n36,9.208841,9.0
9.905953,0.12072614,76,59,1,0,n37,9.208841,9.0
10.036295,0.5993572,76,57,1,0,n38,10.036295,10.0
10.398474,0.23183693,66,37,1,0,n39,10.036295,10.0
10.402747,0.22542669,59,26,1,0,n40,10.036295,10.0
10.67625,0.032051187,74,46,1,0,n41,10.036295,10.0
10.748899,0.032051187,76,43,1,0,n42,10.036295,10.0
10.799113,0.2916658,74,62,1,0,n43,10.036295,10.0
10.803387,0.21153784,59,38,1,0,n44,10.803387,11.0
10.822618,0.19230713,66,36,1,0,n45,10.803387,11.0
11.179454,0.3739305,78,72,1,0,n46,10.803387,11.0
11.195479,0.35790494,62,46,1,0,n47,10.803387,11.0
