onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5077442,0.04139953,68,62,0,0,n0,-10.0,-10.0
1.5771886,0.08547,67,66,0,0,n1,-10.0,-10.0
1.6372846,1.6880325,68,74,0,0,n2,-10.0,-10.0
1.9965258,0.0641025,60,48,0,0,n3,1.637285,0.0
1.9991968,0.057425156,56,51,0,0,n4,1.637285,0.0
2.410521,0.37793764,60,49,0,0,n5,1.637285,0.0
2.4118567,0.37660217,56,49,0,0,n6,2.411189,1.0
2.7737687,0.06677344,60,48,0,0,n7,2.411189,1.0
2.7897942,0.06276703,56,44,0,0,n8,2.411189,1.0
3.122326,0.31383514,77,78,0,0,n9,3.122326,2.0
3.3119626,1.1164519,75,71,0,0,n10,3.122326,2.0
3.521631,0.05341875,58,53,0,0,n11,3.122326,2.0
3.5283084,0.048076876,55,45,0,0,n12,3.122326,2.0
3.8955624,0.45806578,55,45,0,0,n13,3.122326,2.0
3.9009042,0.45272392,58,51,0,0,n14,3.898233,3.0
4.261481,0.09214734,58,57,0,0,n15,3.898233,3.0
4.268158,0.08547,55,49,0,0,n16,3.898233,3.0
4.431085,0.056089688,73,65,0,0,n17,3.898233,3.0
4.6046963,0.6249994,73,76,0,0,n18,4.604696,4.0
4.929215,0.060096093,63,56,0,0,n19,4.604696,4.0
4.9305506,0.0641025,56,51,0,0,n20,4.604696,4.0
5.253734,0.06143156,72,65,0,0,n21,4.604696,4.0
5.287121,0.046741407,63,50,0,0,n22,5.287121,5.0
5.292463,0.05074781,56,52,0,0,n23,5.287121,5.0
5.3325267,0.10016016,73,59,0,0,n24,5.287121,5.0
5.4086485,0.41933718,72,58,0,0,n25,5.287121,5.0
5.631672,0.05208328,63,55,0,0,n26,5.287121,5.0
5.64102,0.05341875,56,47,0,0,n27,5.287121,5.0
5.8306565,0.1068375,73,70,0,0,n28,5.287121,5.0
6.0069385,0.5956191,72,74,0,0,n29,6.006938,6.0
6.3234444,0.05208328,65,56,0,0,n30,6.006938,6.0
6.3261156,0.05341875,61,57,0,0,n31,6.006938,6.0
6.638615,0.05341875,70,63,0,0,n32,6.006938,6.0
6.6679955,0.057425156,61,54,0,0,n33,6.667995,7.0
6.6679955,0.05475422,65,51,0,0,n34,6.667995,7.0
6.712066,0.080128126,72,53,0,0,n35,6.667995,7.0
6.7962003,0.46741405,70,60,0,0,n36,6.667995,7.0
7.0526104,0.05208328,65,49,0,0,n37,6.667995,7.0
7.0699716,0.046741407,61,44,0,0,n38,6.667995,7.0
7.26495,0.15624985,72,58,0,0,n39,6.667995,7.0
7.4625993,0.6570506,70,57,0,0,n40,7.462599,8.0
7.8164988,0.05074781,63,57,0,0,n41,7.462599,8.0
7.829853,0.046741407,60,42,0,0,n42,7.462599,8.0
8.16372,0.03205125,68,54,0,0,n43,7.462599,8.0
8.187758,0.048076876,63,47,0,0,n44,7.462599,8.0
8.193101,0.04540594,60,47,0,0,n45,8.187759,9.0
8.218474,0.05208328,70,49,0,0,n46,8.187759,9.0
8.301273,0.21901688,68,59,0,0,n47,8.187759,9.0
8.559019,0.084134534,67,55,0,0,n48,8.187759,9.0
8.635141,0.33520266,68,55,0,0,n49,8.187759,9.0
8.644489,0.05208328,63,48,0,0,n50,8.187759,9.0
8.651167,0.044070467,60,43,0,0,n51,8.187759,9.0
9.014414,0.044070467,70,46,0,0,n52,8.187759,9.0
9.110568,0.7972748,68,49,0,0,n53,8.187759,9.0
9.186689,0.72115314,60,34,0,0,n54,8.187759,9.0
9.197373,0.71046937,63,23,0,0,n55,9.18669,10.0
10.646357,0.13354687,80,55,0,0,n56,10.646357,12.0
10.818632,0.18429469,84,60,0,0,n57,10.646357,12.0
10.946837,0.17361094,82,66,0,0,n58,10.646357,12.0
11.061687,0.12419859,80,67,0,0,n59,10.646357,12.0
11.173867,0.065437965,79,62,0,0,n60,10.646357,12.0
11.268685,0.080128126,77,64,0,0,n61,10.646357,12.0
11.390213,0.110843904,75,69,0,0,n62,11.390213,13.0
11.49438,0.078792654,73,68,0,0,n63,11.390213,13.0
