onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.91770834,0.078125,68,66,1,0,n0,-10.0,-10.0
0.9916667,0.08020833,67,63,1,0,n1,-10.0,-10.0
1.05,1.634375,68,64,1,0,n2,1.05,0.0
1.4322916,0.14479166,60,48,1,0,n3,1.05,0.0
1.4354167,0.14166667,56,52,1,0,n4,1.05,0.0
1.803125,0.103125,60,47,1,0,n5,1.05,0.0
1.8041667,0.094791666,56,48,1,0,n6,1.803646,1.0
2.178125,0.17604166,56,51,1,0,n7,1.803646,1.0
2.1791666,0.14166667,60,43,1,0,n8,1.803646,1.0
2.5697916,0.42604166,77,73,1,0,n9,1.803646,1.0
2.809375,1.1072917,75,86,1,0,n10,2.569792,2.0
2.965625,0.103125,55,50,1,0,n11,2.569792,2.0
2.971875,0.077083334,58,47,1,0,n12,2.569792,2.0
3.33125,0.096875,58,48,1,0,n13,2.569792,2.0
3.3395834,0.09375,55,37,1,0,n14,3.335417,3.0
3.703125,0.103125,55,31,1,0,n15,3.335417,3.0
3.7072916,0.12604167,58,43,1,0,n16,3.335417,3.0
3.865625,0.078125,73,75,1,0,n17,3.335417,3.0
4.0604167,0.5833333,73,70,1,0,n18,3.335417,3.0
4.413542,0.121875,56,54,1,0,n19,4.060417,4.0
4.4270835,0.108333334,63,47,1,0,n20,4.060417,4.0
4.659375,0.05,72,62,1,0,n21,4.060417,4.0
4.7239585,0.10520833,73,61,1,0,n22,4.060417,4.0
4.772917,0.104166664,56,48,1,0,n23,4.060417,4.0
4.7791667,0.08020833,63,45,1,0,n24,4.060417,4.0
4.788542,0.45104167,72,75,1,0,n25,4.779167,5.0
5.172917,0.10625,63,53,1,0,n26,4.779167,5.0
5.178125,0.078125,56,52,1,0,n27,4.779167,5.0
5.340625,0.10208333,73,82,1,0,n28,4.779167,5.0
5.525,0.57916665,72,87,1,0,n29,5.525,6.0
5.891667,0.10208333,65,64,1,0,n30,5.525,6.0
5.897917,0.09583333,61,59,1,0,n31,5.525,6.0
6.1270833,0.05625,70,62,1,0,n32,5.525,6.0
6.1979165,0.10729167,72,61,1,0,n33,5.525,6.0
6.2552085,0.083333336,65,39,1,0,n34,5.525,6.0
6.25625,0.090625,61,48,1,0,n35,6.25625,7.0
6.257292,0.46041667,70,70,1,0,n36,6.25625,7.0
6.646875,0.077083334,65,44,1,0,n37,6.25625,7.0
6.663542,0.083333336,61,46,1,0,n38,6.25625,7.0
6.8395834,0.092708334,72,60,1,0,n39,6.25625,7.0
7.0447917,0.5541667,70,57,1,0,n40,6.25625,7.0
7.4177084,0.0875,60,44,1,0,n41,7.044792,8.0
7.4333334,0.071875,63,41,1,0,n42,7.044792,8.0
7.6364584,0.054166667,68,54,1,0,n43,7.044792,8.0
7.7302084,0.057291668,70,54,1,0,n44,7.044792,8.0
7.780208,0.06666667,60,35,1,0,n45,7.044792,8.0
7.78125,0.042708334,68,67,1,0,n46,7.78125,9.0
7.7875,0.0625,63,30,1,0,n47,7.78125,9.0
8.0625,0.08229167,67,46,1,0,n48,7.78125,9.0
8.142709,0.055208333,68,61,1,0,n49,7.78125,9.0
8.152083,0.05,60,36,1,0,n50,7.78125,9.0
8.157291,0.046875,63,39,1,0,n51,7.78125,9.0
8.472917,0.17291667,70,45,1,0,n52,7.78125,9.0
8.584375,0.71875,68,52,1,0,n53,7.78125,9.0
8.607291,0.7708333,63,30,1,0,n54,7.78125,9.0
8.609375,0.76770836,60,33,1,0,n55,8.607292,10.0
