onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0117188,0.5442708,55,68,1,0,n0,-10.0,-10.0
1.0794271,2.391927,52,49,1,0,n1,1.079427,0.0
1.0846354,2.2760417,48,44,1,0,n2,1.079427,0.0
1.4231771,0.1328125,57,70,1,0,n3,1.079427,0.0
1.4986979,0.075520836,55,74,1,0,n4,1.079427,0.0
1.5742188,0.080729164,54,72,1,0,n5,1.079427,0.0
1.6640625,0.18098958,55,73,1,0,n6,1.079427,0.0
1.7760416,0.7786458,64,78,1,0,n7,1.079427,0.0
2.4283855,0.9322917,60,74,1,0,n8,2.428385,2.0
3.2109375,1.0807291,59,73,1,0,n9,2.428385,2.0
3.2994792,1.828125,55,39,1,0,n10,2.428385,2.0
3.3020833,1.8255209,53,39,1,0,n11,3.300781,3.0
3.3125,1.8151041,50,41,1,0,n12,3.300781,3.0
4.1080728,1.0195312,67,57,1,0,n13,3.300781,3.0
6.236979,0.58463544,67,56,1,0,n14,5.2070317,5.0
6.3059897,2.6614583,64,41,1,0,n15,5.2070317,5.0
6.325521,2.420573,60,34,1,0,n16,6.30599,6.0
6.8203125,0.16927083,69,53,1,0,n17,6.30599,6.0
6.997396,0.0859375,67,53,1,0,n18,6.30599,6.0
7.0924478,0.0859375,66,65,1,0,n19,6.30599,6.0
7.2148438,0.084635414,67,63,1,0,n20,6.30599,6.0
7.3229165,0.095052086,69,65,1,0,n21,7.214844,7.0
7.4257812,0.09765625,71,67,1,0,n22,7.214844,7.0
7.5208335,0.05859375,72,72,1,0,n23,7.214844,7.0
7.6002603,0.078125,71,58,1,0,n24,7.214844,7.0
7.6888022,0.07421875,74,78,1,0,n25,7.214844,7.0
7.78125,0.15234375,72,75,1,0,n26,7.214844,7.0
7.8736978,0.13151042,76,61,1,0,n27,7.214844,7.0
7.9583335,0.12890625,74,72,1,0,n28,7.214844,7.0
8.082031,0.3763021,77,74,1,0,n29,8.082031,8.0
8.272136,0.30729166,76,74,1,0,n30,8.082031,8.0
8.454427,0.203125,74,81,1,0,n31,8.082031,8.0
8.6067705,0.22786458,72,79,1,0,n32,8.082031,8.0
8.833333,0.234375,71,67,1,0,n33,8.082031,8.0
8.9192705,1.6432291,62,47,1,0,n34,8.082031,8.0
8.9192705,1.6432291,67,43,1,0,n35,8.082031,8.0
