onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-1.0,0.5,-1.0,0.5,0,2,79,1,n1-1,-1.0,0.5
-0.5,0.5,-0.5,0.5,2,2,79,1,n2-1,-1.0,0.5
0.0,1.0,0.0,1.0,4,4,60,5,n12-1,0.0,0.888021
0.0,1.0,0.0,1.0,4,4,64,5,n13-1,0.0,0.888021
0.0,0.5,0.0,0.5,4,2,79,1,n5-1,0.0,0.888021
0.0,0.0,0.0,0.0,4,0,81,1,n4-1,0.0,0.888021
0.5,0.25,0.5,0.25,6,1,77,1,n6-1,0.0,0.888021
0.75,0.25,0.75,0.25,7,1,76,1,n7-1,0.0,0.888021
1.0,1.0,1.0,1.0,8,4,60,5,n14-1,1.0,1.216146
1.0,1.0,1.0,1.0,8,4,65,5,n15-1,1.0,1.216146
1.0,0.5,1.0,0.5,8,2,74,1,n9-1,1.0,1.216146
1.0,0.0,1.0,0.0,8,0,76,1,n8-1,1.0,1.216146
1.5,0.25,1.5,0.25,10,1,72,1,n10-1,1.0,1.216146
1.75,0.25,1.75,0.25,11,1,71,1,n11-1,1.0,1.216146
2.0,1.0,2.0,1.0,12,4,60,5,n20-1,2.0,1.574219
2.0,1.0,2.0,1.0,12,4,64,5,n21-1,2.0,1.574219
2.0,0.5,2.0,0.5,12,2,72,1,n16-1,2.0,1.574219
2.5,0.5,2.5,0.5,14,2,67,1,n17-1,2.0,1.574219
3.0,0.5,3.0,0.5,16,2,72,1,n18-1,3.0,1.902344
3.5,0.5,3.5,0.5,18,2,73,1,n19-1,3.0,1.902344
4.0,1.0,4.0,1.0,20,4,59,5,n27-1,4.0,2.2597654
4.0,0.5,4.0,0.5,20,2,74,1,n23-1,4.0,2.2597654
4.5,0.5,4.5,0.5,22,2,67,1,n24-1,4.0,2.2597654
5.0,0.5,5.0,0.5,24,2,74,1,n25-1,5.0,2.609375
5.5,0.5,5.5,0.5,26,2,75,1,n26-1,5.0,2.609375
6.0,1.0,6.0,1.0,28,4,60,5,n33-1,6.0,2.9700525
6.0,0.5,6.0,0.5,28,2,76,1,n29-1,6.0,2.9700525
6.5,0.5,6.5,0.5,30,2,72,1,n30-1,6.0,2.9700525
7.0,0.5,7.0,0.5,32,2,72,5,n34-1,7.0,3.297526
7.0,0.5,7.0,0.5,32,2,76,1,n31-1,7.0,3.297526
7.5,0.5,7.5,0.5,34,2,74,5,n35-1,7.0,3.297526
7.5,0.5,7.5,0.5,34,2,77,1,n32-1,7.0,3.297526
8.0,1.0,8.0,1.0,36,4,76,5,n42-1,8.0,3.6582036
8.0,0.25,8.0,0.25,36,1,78,1,n36-1,8.0,3.6582036
8.25,0.25,8.25,0.25,37,1,79,1,n37-1,8.0,3.6582036
8.5,0.25,8.5,0.25,38,1,81,1,n38-1,8.0,3.6582036
8.75,0.25,8.75,0.25,39,1,79,1,n39-1,8.0,3.6582036
9.0,0.5,9.0,0.5,40,2,74,5,n43-1,9.0,3.986979
9.0,0.5,9.0,0.5,40,2,77,1,n40-1,9.0,3.986979
9.5,0.5,9.5,0.5,42,2,72,5,n44-1,9.0,3.986979
9.5,0.5,9.5,0.5,42,2,76,1,n41-1,9.0,3.986979
10.0,1.0,10.0,1.0,44,4,67,5,n49-1,10.0,4.38151
10.0,1.0,10.0,1.0,44,4,71,5,n50-1,10.0,4.38151
10.0,0.5,10.0,0.5,44,2,74,1,n45-1,10.0,4.38151
11.0,0.5,11.0,0.5,48,2,79,1,n47-1,11.0,4.696615
11.5,0.5,11.5,0.5,50,2,79,1,n48-1,11.0,4.696615
12.0,1.0,12.0,1.0,52,4,60,5,n60-1,12.0,5.05599
12.0,1.0,12.0,1.0,52,4,64,5,n61-1,12.0,5.05599
12.0,0.5,12.0,0.5,52,2,79,1,n53-1,12.0,5.05599
12.0,0.0,12.0,0.0,52,0,81,1,n52-1,12.0,5.05599
12.5,0.25,12.5,0.25,54,1,77,1,n54-1,12.0,5.05599
12.75,0.25,12.75,0.25,55,1,76,1,n55-1,12.0,5.05599
13.0,1.0,13.0,1.0,56,4,60,5,n62-1,13.0,5.402344
13.0,1.0,13.0,1.0,56,4,65,5,n63-1,13.0,5.402344
13.0,0.5,13.0,0.5,56,2,74,1,n57-1,13.0,5.402344
13.0,0.0,13.0,0.0,56,0,76,1,n56-1,13.0,5.402344
13.5,0.25,13.5,0.25,58,1,72,1,n58-1,13.0,5.402344
13.75,0.25,13.75,0.25,59,1,71,1,n59-1,13.0,5.402344
14.0,1.0,14.0,1.0,60,4,60,5,n69-1,14.0,5.765625
14.0,1.0,14.0,1.0,60,4,64,5,n70-1,14.0,5.765625
14.0,0.5,14.0,0.5,60,2,72,1,n65-1,14.0,5.765625
14.5,0.5,14.5,0.5,62,2,67,1,n66-1,14.0,5.765625
15.0,0.5,15.0,0.5,64,2,79,1,n67-1,15.0,6.098958
15.5,0.5,15.5,0.5,66,2,73,1,n68-1,15.0,6.098958
16.0,1.0,16.0,1.0,68,4,59,5,n77-1,16.0,6.489583
16.0,1.0,16.0,1.0,68,4,67,5,n78-1,16.0,6.489583
16.0,0.5,16.0,0.5,68,2,74,1,n73-1,16.0,6.489583
16.5,0.5,16.5,0.5,70,2,67,1,n74-1,16.0,6.489583
17.0,0.5,17.0,0.5,72,2,79,1,n75-1,17.0,6.816406
17.5,0.5,17.5,0.5,74,2,75,1,n76-1,17.0,6.816406
18.0,1.0,18.0,1.0,76,4,60,5,n87-1,18.0,7.186198
18.0,1.0,18.0,1.0,76,4,67,5,n88-1,18.0,7.186198
18.0,0.5,18.0,0.5,76,2,76,1,n81-1,18.0,7.186198
18.5,0.5,18.5,0.5,78,2,72,1,n82-1,18.0,7.186198
19.0,0.5,19.0,0.5,80,2,76,1,n83-1,19.0,7.534505
19.0,0.5,19.0,0.5,80,2,84,1,n84-1,19.0,7.534505
19.5,0.5,19.5,0.5,82,2,74,1,n85-1,19.0,7.534505
19.5,0.5,19.5,0.5,82,2,83,1,n86-1,19.0,7.534505
20.0,0.5,20.0,0.5,84,2,73,1,n91-1,20.0,7.8665366
20.0,0.5,20.0,0.5,84,2,82,1,n92-1,20.0,7.8665366
20.5,0.5,20.5,0.5,86,2,63,5,n100-1,20.0,7.8665366
20.5,0.5,20.5,0.5,86,2,72,1,n93-1,20.0,7.8665366
20.5,0.5,20.5,0.5,86,2,81,1,n94-1,20.0,7.8665366
21.0,0.5,21.0,0.5,88,2,62,5,n101-1,21.0,8.197917
21.0,0.5,21.0,0.5,88,2,71,1,n95-1,21.0,8.197917
21.0,0.5,21.0,0.5,88,2,79,1,n96-1,21.0,8.197917
21.5,0.5,21.5,0.5,90,2,50,5,n102-1,21.0,8.197917
21.5,0.5,21.5,0.5,90,2,69,1,n97-1,21.0,8.197917
21.5,0.5,21.5,0.5,90,2,78,1,n98-1,21.0,8.197917
22.0,0.5,22.0,0.5,92,2,55,5,n108-1,22.0,8.550781
22.0,1.0,22.0,1.0,92,4,67,1,n106-1,22.0,8.550781
22.0,1.0,22.0,1.0,92,4,79,1,n107-1,22.0,8.550781
22.5,0.5,22.5,0.5,94,2,43,5,n109-1,22.0,8.550781
23.0,0.5,23.0,0.5,96,2,79,1,n1-2,23.0,8.938802
23.5,0.5,23.5,0.5,98,2,79,1,n2-2,23.0,8.938802
24.0,1.0,24.0,1.0,100,4,60,5,n12-2,24.0,9.283854
24.0,1.0,24.0,1.0,100,4,64,5,n13-2,24.0,9.283854
24.0,0.5,24.0,0.5,100,2,79,1,n5-2,24.0,9.283854
24.0,0.0,24.0,0.0,100,0,81,1,n4-2,24.0,9.283854
24.5,0.25,24.5,0.25,102,1,77,1,n6-2,24.0,9.283854
24.75,0.25,24.75,0.25,103,1,76,1,n7-2,24.0,9.283854
25.0,1.0,25.0,1.0,104,4,60,5,n14-2,25.0,9.619792
25.0,1.0,25.0,1.0,104,4,65,5,n15-2,25.0,9.619792
25.0,0.5,25.0,0.5,104,2,74,1,n9-2,25.0,9.619792
25.0,0.0,25.0,0.0,104,0,76,1,n8-2,25.0,9.619792
25.5,0.25,25.5,0.25,106,1,72,1,n10-2,25.0,9.619792
25.75,0.25,25.75,0.25,107,1,71,1,n11-2,25.0,9.619792
26.0,1.0,26.0,1.0,108,4,60,5,n20-2,26.0,9.980469
26.0,1.0,26.0,1.0,108,4,64,5,n21-2,26.0,9.980469
26.0,0.5,26.0,0.5,108,2,72,1,n16-2,26.0,9.980469
26.5,0.5,26.5,0.5,110,2,67,1,n17-2,26.0,9.980469
27.0,0.5,27.0,0.5,112,2,72,1,n18-2,27.0,10.303385
27.5,0.5,27.5,0.5,114,2,73,1,n19-2,27.0,10.303385
28.0,1.0,28.0,1.0,116,4,59,5,n27-2,28.0,10.688151
28.0,0.5,28.0,0.5,116,2,74,1,n23-2,28.0,10.688151
28.5,0.5,28.5,0.5,118,2,67,1,n24-2,28.0,10.688151
29.0,0.5,29.0,0.5,120,2,74,1,n25-2,29.0,11.013021
29.5,0.5,29.5,0.5,122,2,75,1,n26-2,29.0,11.013021
30.0,1.0,30.0,1.0,124,4,60,5,n33-2,30.0,11.341797
30.0,0.5,30.0,0.5,124,2,76,1,n29-2,30.0,11.341797
30.5,0.5,30.5,0.5,126,2,72,1,n30-2,30.0,11.341797
31.0,0.5,31.0,0.5,128,2,72,5,n34-2,31.0,11.686198
31.0,0.5,31.0,0.5,128,2,76,1,n31-2,31.0,11.686198
