onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.03125,79,72,1,0,n0,0.5,-1.0
0.6796875,0.033854168,79,66,1,0,n1,0.5,-1.0
0.8723958,0.1015625,81,69,1,0,n2,0.5,-1.0
0.8880208,0.06640625,60,48,1,0,n3,0.5,-1.0
0.8880208,0.065104164,64,40,1,0,n4,0.5,-1.0
0.96223956,0.08984375,79,77,1,0,n5,0.888021,0.0
1.0533854,0.028645834,77,67,1,0,n6,0.888021,0.0
1.1302084,0.032552082,76,68,1,0,n7,0.888021,0.0
1.2083334,0.036458332,65,62,1,0,n8,0.888021,0.0
1.2161459,0.0390625,60,49,1,0,n9,0.888021,0.0
1.2330729,0.1015625,76,62,1,0,n10,1.216146,1.0
1.2903646,0.1015625,74,66,1,0,n11,1.216146,1.0
1.3880209,0.041666668,72,79,1,0,n12,1.216146,1.0
1.4674479,0.046875,71,72,1,0,n13,1.216146,1.0
1.546875,0.1328125,72,76,1,0,n14,1.216146,1.0
1.5742188,0.13671875,60,30,1,0,n15,1.216146,1.0
1.5833334,0.123697914,64,43,1,0,n16,1.574219,2.0
1.7161459,0.072916664,67,69,1,0,n17,1.574219,2.0
1.9023438,0.17317708,72,72,1,0,n18,1.574219,2.0
2.0677083,0.14192708,73,66,1,0,n19,1.902344,3.0
2.2552083,0.32291666,74,64,1,0,n20,1.902344,3.0
2.264323,0.3138021,59,46,1,0,n21,2.2597654,4.0
2.4335938,0.14453125,67,64,1,0,n22,2.2597654,4.0
2.609375,0.17838542,74,76,1,0,n23,2.609375,5.0
2.7786458,0.13802083,75,77,1,0,n24,2.609375,5.0
2.9622395,0.30859375,76,69,1,0,n25,2.609375,5.0
2.9778645,0.036458332,60,55,1,0,n26,2.9700525,6.0
3.1315105,0.13932292,72,74,1,0,n27,2.9700525,6.0
3.2929688,0.036458332,72,77,1,0,n28,2.9700525,6.0
3.3020833,0.036458332,76,78,1,0,n29,3.297526,7.0
3.4739583,0.036458332,77,70,1,0,n30,3.297526,7.0
3.485677,0.024739584,74,77,1,0,n31,3.297526,7.0
3.6497395,0.061197918,78,76,1,0,n32,3.297526,7.0
3.6666667,0.2721354,76,65,1,0,n33,3.6582036,8.0
3.7473958,0.063802086,79,76,1,0,n34,3.6582036,8.0
3.8307292,0.092447914,81,75,1,0,n35,3.6582036,8.0
3.8958333,0.088541664,79,81,1,0,n36,3.6582036,8.0
3.984375,0.02734375,77,78,1,0,n37,3.6582036,8.0
3.9895833,0.032552082,74,49,1,0,n38,3.986979,9.0
4.153646,0.03125,76,75,1,0,n39,3.986979,9.0
4.1575522,0.036458332,72,54,1,0,n40,3.986979,9.0
4.356771,0.0234375,74,69,1,0,n41,3.986979,9.0
4.3815103,0.032552082,67,49,1,0,n42,4.38151,10.0
4.3828125,0.033854168,71,46,1,0,n43,4.38151,10.0
4.6966147,0.028645834,79,79,1,0,n44,4.38151,10.0
4.8515625,0.029947916,79,76,1,0,n45,4.696615,11.0
5.0455728,0.104166664,81,76,1,0,n46,4.696615,11.0
5.0559897,0.15494792,64,45,1,0,n47,4.696615,11.0
5.065104,0.14973958,60,45,1,0,n48,5.05599,12.0
5.1354165,0.087239586,79,85,1,0,n49,5.05599,12.0
5.2096353,0.046875,77,82,1,0,n50,5.05599,12.0
5.299479,0.032552082,76,68,1,0,n51,5.05599,12.0
5.3997397,0.071614586,65,65,1,0,n52,5.05599,12.0
5.4023438,0.11328125,76,79,1,0,n53,5.05599,12.0
5.4153647,0.05859375,60,46,1,0,n54,5.402344,13.0
5.4830728,0.079427086,74,78,1,0,n55,5.402344,13.0
5.559896,0.03125,72,82,1,0,n56,5.402344,13.0
5.6419272,0.03515625,71,74,1,0,n57,5.402344,13.0
5.7382812,0.27864584,72,71,1,0,n58,5.402344,13.0
5.765625,0.2513021,64,35,1,0,n59,5.765625,14.0
5.7695312,0.24739583,60,28,1,0,n60,5.765625,14.0
5.921875,0.095052086,67,65,1,0,n61,5.765625,14.0
6.0989585,0.38541666,79,78,1,0,n62,6.098958,15.0
6.2578125,0.102864586,73,72,1,0,n63,6.098958,15.0
6.4622397,0.27864584,74,56,1,0,n64,6.098958,15.0
6.4895835,0.2513021,67,33,1,0,n65,6.489583,16.0
6.4947915,0.24609375,59,36,1,0,n66,6.489583,16.0
6.6445312,0.096354164,67,62,1,0,n67,6.489583,16.0
6.8164062,0.23567708,79,65,1,0,n68,6.816406,17.0
6.984375,0.084635414,75,63,1,0,n69,6.816406,17.0
7.1679688,0.33333334,76,56,1,0,n70,6.816406,17.0
7.1861978,0.32291666,60,39,1,0,n71,6.816406,17.0
