onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5117506,0.09882469,55,54,0,0,n0,-10.0,-10.0
1.601227,0.08146359,58,58,0,0,n1,1.511751,-1.0
1.6987163,0.065437965,56,63,0,0,n2,1.511751,-1.0
1.7775089,0.102831095,60,66,0,0,n3,1.511751,-1.0
1.8763336,0.044070467,58,67,0,0,n4,1.511751,-1.0
1.8790045,0.056089688,43,59,0,0,n5,1.511751,-1.0
1.8843464,0.0641025,39,57,0,0,n6,1.879005,0.0
2.3651152,0.03338672,51,50,0,0,n7,1.879005,0.0
2.3664505,0.036057655,55,45,0,0,n8,2.365783,1.0
2.8165035,0.13087593,67,68,0,0,n9,2.365783,1.0
2.9126573,0.102831095,63,76,0,0,n10,2.816504,2.0
3.0061402,0.10149562,62,74,0,0,n11,2.816504,2.0
3.0956166,0.12553406,65,79,0,0,n12,2.816504,2.0
3.1864285,0.080128126,63,80,0,0,n13,2.816504,2.0
3.2011187,0.049412344,39,68,0,0,n14,2.816504,2.0
3.202454,0.042735,43,67,0,0,n15,3.201119,3.0
3.6885648,0.03205125,51,54,0,0,n16,3.201119,3.0
3.6925712,0.037393127,55,42,0,0,n17,3.690568,4.0
3.9196007,0.23771344,63,60,0,0,n18,3.690568,4.0
4.1372824,0.51415545,67,73,0,0,n19,4.137282,5.0
4.368318,0.28311938,70,85,0,0,n20,4.137282,5.0
4.655444,0.5301811,70,87,0,0,n21,4.137282,5.0
4.6728053,0.51282,63,54,0,0,n22,4.672805,6.0
4.675476,0.51014906,60,52,0,0,n23,4.672805,6.0
5.1388836,0.22569422,68,69,0,0,n24,4.672805,6.0
5.364578,0.03338672,62,52,0,0,n25,5.138884,7.0
5.368584,0.036057655,67,68,0,0,n26,5.138884,7.0
5.375262,0.037393127,58,51,0,0,n27,5.138884,7.0
5.5742464,0.034722187,65,68,0,0,n28,5.138884,7.0
5.5795884,0.060096093,56,51,0,0,n29,5.579588,8.0
5.595614,0.05074781,60,45,0,0,n30,5.579588,8.0
5.79727,0.029380312,58,52,0,0,n31,5.579588,8.0
5.803947,0.05475422,63,58,0,0,n32,5.579588,8.0
5.806618,0.036057655,55,44,0,0,n33,5.579588,8.0
6.073712,0.4620722,62,48,0,0,n34,5.579588,8.0
6.1097693,0.57158065,53,38,0,0,n35,5.579588,8.0
6.1124406,0.5462067,56,29,0,0,n36,6.10977,9.0
6.563829,0.080128126,65,44,0,0,n37,6.10977,9.0
6.6479635,0.037393127,68,56,0,0,n38,6.647963,10.0
7.1127067,0.10416656,58,62,0,0,n39,6.647963,10.0
7.199512,0.08947641,62,69,0,0,n40,7.112707,11.0
7.2836466,0.13087593,60,75,0,0,n41,7.112707,11.0
7.3944902,0.12286312,63,81,0,0,n42,7.112707,11.0
7.487973,0.04540594,34,83,0,0,n43,7.112707,11.0
7.4919796,0.036057655,38,77,0,0,n44,7.112707,11.0
7.5039988,0.042735,62,80,0,0,n45,7.49198,12.0
7.9834323,0.040064063,46,62,0,0,n46,7.983432,13.0
7.9834323,0.036057655,50,57,0,0,n47,7.983432,13.0
8.438827,0.128205,62,71,0,0,n48,8.438827,14.0
8.533646,0.09882469,65,74,0,0,n49,8.438827,14.0
8.616445,0.12419859,63,84,0,0,n50,8.438827,14.0
8.719275,0.14556609,67,79,0,0,n51,8.438827,14.0
8.804746,0.07478625,34,85,0,0,n52,8.438827,14.0
8.808752,0.058760624,38,83,0,0,n53,8.808752,15.0
8.819436,0.06944437,65,88,0,0,n54,8.808752,15.0
9.317566,0.048076876,46,68,0,0,n55,8.808752,15.0
9.320236,0.04139953,50,58,0,0,n56,9.3189,16.0
9.567298,0.3071578,65,69,0,0,n57,9.3189,16.0
9.798334,0.5061427,68,85,0,0,n58,9.798334,17.0
10.028035,0.27644202,72,90,0,0,n59,9.798334,17.0
10.321838,0.5341875,72,78,0,0,n60,9.798334,17.0
10.364573,0.578258,65,49,0,0,n61,10.364573,18.0
10.379263,0.4099889,62,40,0,0,n62,10.364573,18.0
10.809284,0.22836515,70,67,0,0,n63,10.809284,19.0
11.033643,0.036057655,63,47,0,0,n64,10.809284,19.0
11.037649,0.03205125,60,50,0,0,n65,10.809284,19.0
11.041656,0.040064063,68,73,0,0,n66,10.809284,19.0
11.255331,0.029380312,67,68,0,0,n67,10.809284,19.0
11.260673,0.038728595,62,50,0,0,n68,11.260673,20.0
11.272692,0.036057655,58,41,0,0,n69,11.260673,20.0
11.473012,0.037393127,65,69,0,0,n70,11.260673,20.0
11.487702,0.036057655,60,46,0,0,n71,11.260673,20.0
11.493044,0.04540594,56,45,0,0,n72,11.260673,20.0
11.729422,0.037393127,63,42,0,0,n73,11.260673,20.0
11.741442,0.41399533,58,31,0,0,n74,11.741441,21.0
11.7494545,0.40331155,55,36,0,0,n75,11.741441,21.0
11.797531,0.05475422,65,53,0,0,n76,11.741441,21.0
11.874989,0.038728595,63,57,0,0,n77,11.741441,21.0
11.955116,0.048076876,62,49,0,0,n78,11.741441,21.0
12.03658,0.04139953,63,44,0,0,n79,11.741441,21.0
12.134069,0.08146359,67,39,0,0,n80,11.741441,21.0
12.242242,0.26175186,70,55,0,0,n81,12.242242,22.0
12.772423,0.10149562,75,73,0,0,n82,12.772423,23.0
12.860564,0.13087593,74,78,0,0,n83,12.772423,23.0
12.958054,0.11752125,77,86,0,0,n84,12.772423,23.0
13.043523,0.86538374,43,69,0,0,n85,12.772423,23.0
13.058213,0.12419859,75,86,0,0,n86,12.772423,23.0
13.087594,1.4155968,46,67,0,0,n87,12.772423,23.0
13.150361,0.8373389,51,82,0,0,n88,13.118977,24.0
13.157038,0.10016016,79,83,0,0,n89,13.118977,24.0
13.25987,0.13755327,77,84,0,0,n90,13.118977,24.0
13.368042,0.10950844,80,88,0,0,n91,13.118977,24.0
13.469538,0.116185784,79,86,0,0,n92,13.118977,24.0
13.565692,0.16426265,82,92,0,0,n93,13.565692,25.0
13.661845,0.110843904,80,83,0,0,n94,13.565692,25.0
13.755328,0.07211531,79,79,0,0,n95,13.565692,25.0
13.854153,0.07745719,77,78,0,0,n96,13.565692,25.0
13.954313,0.116185784,75,74,0,0,n97,13.954313,26.0
14.065157,0.07745719,74,67,0,0,n98,13.954313,26.0
14.155969,0.05208328,72,65,0,0,n99,13.954313,26.0
14.269484,0.037393127,71,63,0,0,n100,13.954313,26.0
14.476481,0.94417644,51,42,0,0,n101,14.476481,27.0
14.476481,0.44604656,71,56,0,0,n102,14.476481,27.0
14.492507,1.0777233,44,33,0,0,n103,14.476481,27.0
14.921192,0.112179376,72,56,0,0,n104,14.921192,28.0
15.129525,0.029380312,74,47,0,0,n105,14.921192,28.0
15.178938,0.025373906,72,61,0,0,n106,14.921192,28.0
15.221673,0.046741407,71,62,0,0,n107,14.921192,28.0
15.28444,0.088140935,72,74,0,0,n108,14.921192,28.0
15.337858,0.22569422,74,72,0,0,n109,14.921192,28.0
15.562218,0.034722187,75,69,0,0,n110,15.337859,29.0
15.787911,0.22168781,75,85,0,0,n111,15.337859,29.0
16.021618,0.040064063,65,58,0,0,n112,15.787912,30.0
16.245977,0.19497843,72,58,0,0,n113,16.245977,31.0
16.47835,0.034722187,60,56,0,0,n114,16.245977,31.0
16.69069,0.22702968,53,34,0,0,n115,16.245977,31.0
16.69336,0.20032032,68,54,0,0,n116,16.69336,32.0
16.71072,0.21634594,46,29,0,0,n117,16.69336,32.0
16.909706,0.03071578,62,56,0,0,n118,16.69336,32.0
17.134064,0.75988173,63,48,0,0,n119,17.134064,33.0
17.351746,0.034722187,51,56,0,0,n120,17.134064,33.0
17.590794,0.037393127,46,46,0,0,n121,17.590794,34.0
17.831179,0.06810891,43,37,0,0,n122,17.590794,34.0
18.120975,0.47676235,39,19,0,0,n123,18.120975,35.0
18.712587,0.30048046,58,31,0,0,n124,18.120975,35.0
18.998379,1.1952446,63,44,0,0,n125,18.998379,36.0
19.240099,0.21233954,51,35,0,0,n126,18.998379,36.0
19.509863,0.17761734,55,22,0,0,n127,19.509863,37.0
19.742235,0.22035234,51,28,0,0,n128,19.509863,37.0
19.962587,0.31784156,56,35,0,0,n129,19.962587,38.0
20.189617,0.18295921,46,36,0,0,n130,19.962587,38.0
20.189617,0.3285253,62,53,0,0,n131,19.962587,38.0
20.460716,1.0790588,68,60,0,0,n132,20.460716,39.0
20.675728,0.15491438,46,45,0,0,n133,20.460716,39.0
20.902758,0.21768141,50,40,0,0,n134,20.902758,40.0
21.120438,0.17361094,46,50,0,0,n135,20.902758,40.0
21.351475,0.20165578,51,54,0,0,n136,21.351475,41.0
21.58251,0.06810891,39,44,0,0,n137,21.351475,41.0
21.58251,0.12152766,67,55,0,0,n138,21.351475,41.0
21.814882,1.0096143,75,71,0,0,n139,21.351475,41.0
21.853611,0.15224344,67,52,0,0,n140,21.834246,42.0
22.005854,0.44738203,67,11,0,0,n141,21.834246,42.0
22.031227,0.2697647,51,41,0,0,n142,21.834246,42.0
22.268942,0.24572624,55,49,0,0,n143,22.268942,43.0
22.477274,0.23904891,51,57,0,0,n144,22.268942,43.0
22.710981,0.20165578,65,59,0,0,n145,22.268942,43.0
22.73502,0.42200813,58,48,0,0,n146,22.723001,44.0
22.931334,0.057425156,74,69,0,0,n147,22.723001,44.0
22.970062,0.12686953,46,50,0,0,n148,22.723001,44.0
23.175724,1.0657041,80,88,0,0,n149,22.723001,44.0
23.193087,1.0216336,77,67,0,0,n150,23.184406,45.0
23.398748,0.2777775,58,53,0,0,n151,23.184406,45.0
23.62177,0.2697647,62,65,0,0,n152,23.62177,46.0
23.827433,0.20165578,58,70,0,0,n153,23.62177,46.0
24.042444,0.34989282,63,76,0,0,n154,24.042444,47.0
24.261461,0.12686953,79,84,0,0,n155,24.042444,47.0
24.265467,0.112179376,51,62,0,0,n156,24.042444,47.0
24.496504,1.1284711,84,92,0,0,n157,24.496504,48.0
24.699495,0.32318345,63,66,0,0,n158,24.496504,48.0
24.943886,0.29780954,67,72,0,0,n159,24.943886,49.0
25.15756,0.2737711,63,81,0,0,n160,24.943886,49.0
25.38459,0.21634594,62,81,0,0,n161,25.38459,50.0
25.590252,0.13087593,83,88,0,0,n162,25.38459,50.0
25.595594,0.070779845,65,69,0,0,n163,25.38459,50.0
25.817282,0.8360034,86,93,0,0,n164,25.38459,50.0
25.825294,0.6530442,77,87,0,0,n165,25.82129,51.0
26.017603,0.28579032,55,72,0,0,n166,25.82129,51.0
26.248638,0.2524036,59,79,0,0,n167,26.248638,52.0
26.455635,0.20966859,55,89,0,0,n168,26.248638,52.0
26.670647,0.23771344,60,90,0,0,n169,26.670647,53.0
26.876308,0.07345078,84,88,0,0,n170,26.670647,53.0
26.877644,0.038728595,48,79,0,0,n171,26.670647,53.0
26.880316,0.049412344,75,81,0,0,n172,26.670647,53.0
27.088648,0.47809783,87,95,0,0,n173,26.670647,53.0
27.09666,0.5288456,79,90,0,0,n174,27.092653,54.0
27.284962,0.049412344,47,77,0,0,n175,27.092653,54.0
27.286297,0.029380312,59,75,0,0,n176,27.092653,54.0
27.507986,0.05475422,60,83,0,0,n177,27.092653,54.0
27.510656,0.05074781,48,77,0,0,n178,27.509321,55.0
27.7043,0.034722187,62,86,0,0,n179,27.509321,55.0
27.705635,0.038728595,50,78,0,0,n180,27.509321,55.0
27.70964,0.060096093,86,86,0,0,n181,27.509321,55.0
27.71899,0.04540594,77,83,0,0,n182,27.509321,55.0
27.907291,0.036057655,63,84,0,0,n183,27.509321,55.0
27.913967,0.042735,84,79,0,0,n184,27.509321,55.0
27.91664,0.03338672,51,73,0,0,n185,27.915302,56.0
27.920645,0.03205125,75,74,0,0,n186,27.915302,56.0
28.122301,0.065437965,82,91,0,0,n187,27.915302,56.0
28.128979,0.034722187,64,79,0,0,n188,27.915302,56.0
28.131649,0.025373906,74,78,0,0,n189,27.915302,56.0
28.14367,0.028044844,52,72,0,0,n190,27.915302,56.0
28.366692,0.044070467,65,85,0,0,n191,27.915302,56.0
28.369362,0.43803376,82,90,0,0,n192,27.915302,56.0
28.374704,0.43269187,74,83,0,0,n193,28.372034,57.0
28.377375,0.034722187,53,78,0,0,n194,28.372034,57.0
28.80339,0.036057655,81,82,0,0,n195,28.372034,57.0
28.811403,0.03205125,72,67,0,0,n196,28.807398,58.0
29.031755,1.1097746,79,84,0,0,n197,28.807398,58.0
29.039768,0.20566219,70,69,0,0,n198,28.807398,58.0
29.049116,1.1124455,72,64,0,0,n199,28.807398,58.0
29.26279,0.20165578,69,57,0,0,n200,28.807398,58.0
29.265463,0.21501046,77,65,0,0,n201,29.264126,59.0
29.47246,0.07478625,76,70,0,0,n202,29.264126,59.0
29.485815,0.044070467,67,60,0,0,n203,29.264126,59.0
29.690142,0.46741405,67,59,0,0,n204,29.264126,59.0
29.69949,0.41399533,76,69,0,0,n205,29.694817,60.0
30.118826,0.026709376,69,61,0,0,n206,29.694817,60.0
30.12951,0.029380312,77,74,0,0,n207,30.124168,61.0
30.348528,1.0844007,79,89,0,0,n208,30.124168,61.0
30.363218,1.1044327,72,74,0,0,n209,30.124168,61.0
30.364553,0.2350425,70,84,0,0,n210,30.124168,61.0
30.56888,0.17094,69,61,0,0,n211,30.124168,61.0
30.57155,0.19497843,77,73,0,0,n212,30.570215,62.0
30.779884,0.07612172,76,61,0,0,n213,30.570215,62.0
30.790567,0.042735,67,57,0,0,n214,30.570215,62.0
31.021605,0.4180017,76,63,0,0,n215,30.570215,62.0
31.02561,0.41399533,67,53,0,0,n216,31.023607,63.0
31.444946,0.026709376,69,56,0,0,n217,31.023607,63.0
31.458302,0.026709376,77,57,0,0,n218,31.451626,64.0
31.658623,0.29113218,79,79,0,0,n219,31.451626,64.0
31.682661,0.21901688,70,68,0,0,n220,31.451626,64.0
31.686666,0.23637797,73,65,0,0,n221,31.451626,64.0
31.893665,0.2737711,69,68,0,0,n222,31.451626,64.0
31.901678,0.11485031,77,83,0,0,n223,31.901678,65.0
31.913696,0.25641,72,68,0,0,n224,31.901678,65.0
32.118023,0.112179376,67,77,0,0,n225,31.901678,65.0
32.120693,0.16025625,76,90,0,0,n226,31.901678,65.0
32.138054,0.10416656,70,75,0,0,n227,31.901678,65.0
32.403812,1.7200837,76,85,0,0,n228,31.901678,65.0
32.418503,1.7174128,70,68,0,0,n229,32.418503,66.0
32.439873,0.97756314,67,75,0,0,n230,32.418503,66.0
33.349327,0.9241444,66,52,0,0,n231,33.349327,68.0
34.06647,1.5932143,75,45,0,0,n232,33.349327,68.0
34.067806,1.6199236,69,34,0,0,n233,34.067806,69.0
34.08517,1.5491438,65,40,0,0,n234,34.067806,69.0
36.343445,0.08680547,62,49,0,0,n235,35.205627,70.0
36.431587,0.056089688,65,53,0,0,n236,36.34345,71.0
36.531746,0.046741407,63,52,0,0,n237,36.34345,71.0
36.613213,0.10950844,67,60,0,0,n238,36.34345,71.0
36.732067,0.036057655,46,56,0,0,n239,36.34345,71.0
36.734737,0.036057655,65,55,0,0,n240,36.734737,72.0
36.738747,0.04139953,50,39,0,0,n241,36.734737,72.0
37.251564,0.038728595,62,42,0,0,n242,36.734737,72.0
37.25691,0.037393127,58,31,0,0,n243,37.254234,73.0
37.47726,0.088140935,79,46,0,0,n244,37.254234,73.0
37.57475,0.07478625,77,51,0,0,n245,37.254234,73.0
37.661552,0.08279906,75,57,0,0,n246,37.661552,74.0
37.76572,0.03338672,74,52,0,0,n247,37.661552,74.0
37.861874,0.042735,72,51,0,0,n248,37.661552,74.0
37.96337,0.112179376,70,47,0,0,n249,37.661552,74.0
38.079556,0.03205125,69,51,0,0,n250,37.661552,74.0
38.10226,0.058760624,41,33,0,0,n251,38.10226,75.0
38.11294,0.048076876,45,39,0,0,n252,38.10226,75.0
38.565666,0.037393127,57,45,0,0,n253,38.10226,75.0
38.583027,0.04540594,53,38,0,0,n254,38.57435,76.0
39.05979,0.102831095,72,64,0,0,n255,39.05979,77.0
39.155945,0.09081188,75,72,0,0,n256,39.05979,77.0
39.25744,0.120192185,74,64,0,0,n257,39.05979,77.0
39.36027,0.12152766,77,80,0,0,n258,39.05979,77.0
39.46043,0.06944437,75,81,0,0,n259,39.05979,77.0
39.46978,0.04139953,45,67,0,0,n260,39.46978,78.0
39.481796,0.037393127,41,51,0,0,n261,39.46978,78.0
39.9639,0.034722187,57,46,0,0,n262,39.46978,78.0
39.990612,0.0013354687,53,19,0,0,n263,39.977257,79.0
40.19494,0.12553406,84,66,0,0,n264,39.977257,79.0
40.289757,0.13488235,82,69,0,0,n265,39.977257,79.0
40.4006,0.08146359,81,63,0,0,n266,40.4006,80.0
40.446007,0.0013354687,83,7,0,0,n267,40.4006,80.0
40.484734,0.07478625,79,71,0,0,n268,40.4006,80.0
40.602257,0.038728595,77,57,0,0,n269,40.4006,80.0
40.694405,0.10416656,75,53,0,0,n270,40.4006,80.0
40.778538,0.038728595,58,30,0,0,n271,40.4006,80.0
40.79323,0.034722187,74,58,0,0,n272,40.785885,81.0
40.88671,0.049412344,65,39,0,0,n273,40.785885,81.0
40.99622,0.04540594,62,33,0,0,n274,40.785885,81.0
41.083027,0.049412344,65,40,0,0,n275,40.785885,81.0
41.17918,0.04139953,58,30,0,0,n276,40.785885,81.0
41.188526,0.040064063,70,49,0,0,n277,41.183853,82.0
41.280674,0.05208328,65,37,0,0,n278,41.183853,82.0
41.287354,0.0641025,72,52,0,0,n279,41.183853,82.0
41.384842,0.078792654,74,62,0,0,n280,41.183853,82.0
41.387512,0.046741407,62,36,0,0,n281,41.183853,82.0
41.463634,0.060096093,65,49,0,0,n282,41.183853,82.0
41.483665,0.058760624,75,64,0,0,n283,41.183853,82.0
41.558453,0.05341875,58,50,0,0,n284,41.183853,82.0
41.571808,0.08680547,77,78,0,0,n285,41.56513,83.0
41.669296,0.10950844,79,77,0,0,n286,41.56513,83.0
41.687992,0.060096093,65,30,0,0,n287,41.56513,83.0
41.766785,0.09481828,81,79,0,0,n288,41.56513,83.0
41.77747,0.07211531,62,54,0,0,n289,41.56513,83.0
41.854927,0.037393127,82,76,0,0,n290,41.56513,83.0
41.885643,0.07211531,65,51,0,0,n291,41.56513,83.0
41.95909,0.42735,82,85,0,0,n292,41.56513,83.0
41.99248,0.049412344,60,58,0,0,n293,41.975784,84.0
42.116676,0.05074781,65,53,0,0,n294,41.975784,84.0
42.20749,0.09081188,63,61,0,0,n295,41.975784,84.0
42.311657,0.08547,65,51,0,0,n296,41.975784,84.0
42.406475,0.036057655,81,75,0,0,n297,41.975784,84.0
42.43051,0.048076876,60,47,0,0,n298,42.418495,85.0
42.548035,0.049412344,65,40,0,0,n299,42.418495,85.0
42.62015,0.037393127,79,66,0,0,n300,42.418495,85.0
42.633503,0.05208328,58,43,0,0,n301,42.418495,85.0
42.73767,0.06810891,65,47,0,0,n302,42.418495,85.0
42.83249,0.05208328,77,65,0,0,n303,42.418495,85.0
42.836494,0.042735,57,42,0,0,n304,42.83449,86.0
42.968708,0.044070467,65,29,0,0,n305,42.83449,86.0
43.042156,0.04540594,60,43,0,0,n306,42.83449,86.0
43.063526,0.04540594,75,42,0,0,n307,42.83449,86.0
43.155674,0.05475422,65,35,0,0,n308,42.83449,86.0
43.243813,0.046741407,58,45,0,0,n309,42.83449,86.0
43.279873,0.18563016,73,40,0,0,n310,43.261845,87.0
43.381367,0.056089688,65,37,0,0,n311,43.261845,87.0
43.478855,0.05341875,62,44,0,0,n312,43.261845,87.0
43.481525,0.03205125,74,49,0,0,n313,43.261845,87.0
43.58703,0.04139953,65,36,0,0,n314,43.261845,87.0
43.652466,0.048076876,58,57,0,0,n315,43.261845,87.0
43.664486,0.08146359,70,61,0,0,n316,43.658478,88.0
43.761974,0.07345078,65,44,0,0,n317,43.658478,88.0
43.77266,0.09081188,72,62,0,0,n318,43.658478,88.0
43.855457,0.09214734,74,76,0,0,n319,43.658478,88.0
43.867477,0.06810891,62,58,0,0,n320,43.658478,88.0
43.95829,0.060096093,75,73,0,0,n321,43.658478,88.0
43.994347,0.034722187,65,49,0,0,n322,43.658478,88.0
44.057114,0.07745719,77,82,0,0,n323,43.658478,88.0
44.077145,0.060096093,58,52,0,0,n324,44.06713,89.0
44.150597,0.128205,79,80,0,0,n325,44.06713,89.0
44.15193,0.09615375,65,55,0,0,n326,44.06713,89.0
44.257435,0.10950844,81,85,0,0,n327,44.06713,89.0
44.272125,0.08146359,62,56,0,0,n328,44.06713,89.0
44.361603,0.038728595,82,83,0,0,n329,44.06713,89.0
44.381634,0.078792654,65,57,0,0,n330,44.06713,89.0
44.472446,0.43536282,82,92,0,0,n331,44.06713,89.0
44.495148,0.044070467,60,60,0,0,n332,44.483795,90.0
44.60866,0.06276703,65,56,0,0,n333,44.483795,90.0
44.70615,0.088140935,63,60,0,0,n334,44.483795,90.0
44.81566,0.084134534,65,57,0,0,n335,44.483795,90.0
44.929176,0.05074781,81,74,0,0,n336,44.483795,90.0
44.93051,0.05341875,60,47,0,0,n337,44.929844,91.0
45.046696,0.070779845,65,49,0,0,n338,44.929844,91.0
45.14686,0.03338672,79,66,0,0,n339,44.929844,91.0
45.16155,0.046741407,58,40,0,0,n340,44.929844,91.0
45.279068,0.057425156,65,41,0,0,n341,44.929844,91.0
45.37522,0.040064063,77,65,0,0,n342,44.929844,91.0
45.38056,0.040064063,57,37,0,0,n343,45.37789,92.0
45.47672,0.056089688,65,43,0,0,n344,45.37789,92.0
45.5702,0.048076876,60,44,0,0,n345,45.37789,92.0
45.580883,0.040064063,75,62,0,0,n346,45.37789,92.0
45.691727,0.046741407,65,33,0,0,n347,45.37789,92.0
45.786545,0.048076876,58,37,0,0,n348,45.37789,92.0
