xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	67	2.52270046875
n1-1	n0	0	0	72	2.0085450000000002
n11-1	n3	0	0	48	3.2451890625
n5-1	n2	0	0	64	3.007475625
n12-1	n4	0	0	36	3.4962571875000004
n8-1	n5	0	0	69	3.7379770312500002
n23-1	n7	0	0	48	4.23477140625
n14-1	n6	0	0	62	4.0037353125
n24-1	n8	0	0	36	4.4898459375
n17-1	n9	0	0	67	4.728894843750001
n27-1	n11	0	0	48	5.1963089062500005
n18-1	n10	0	0	60	4.973285625000001
n28-1	n12	0	0	36	5.4513834375000005
n21-1	n13	0	0	76	5.7024515625
n39-1	n15	0	0	48	6.180549375
n30-1	n14	0	0	65	5.949513281250001
n40-1	n16	0	0	36	6.4236046875
n33-1	n17	0	0	74	6.66265359375
n43-1	n19	0	0	48	7.1474287499999996
n34-1	n18	0	0	64	6.91105078125
n44-1	n20	0	0	36	7.377129375
n37-1	n21	0	0	72	7.6068299999999995
n56-1	n24	0	0	48	8.10228890625
n46-1	n22	0	0	62	7.86457546875
n47-1	n23	0	0	69	8.08893421875
n57-1	n25	0	0	36	8.333324999999999
n48-1	n26	0	0	57	8.345344218749998
n49-1	n27	0	0	59	8.565696562499998
n60-1	n29	0	0	48	9.054478124999997
n51-1	n30	0	0	60	9.061155468749998
n50-1	n28	0	0	62	8.807416406249997
n61-1	n31	0	0	36	9.300204374999998
n54-1	n33	0	0	59	9.533911406249999
n53-1	n32	0	0	62	9.525898593749998
n78-1	n38	0	0	48	10.0213575
n73-1	n37	0	0	60	10.0133446875
n72-1	n35	0	0	62	9.772960312499999
n64-1	n36	0	0	64	10.005331875
n63-1	n34	0	0	65	9.770289374999999
n79-1	n39	0	0	36	10.257735468749999
n74-1	n41	0	0	62	10.4941134375
n66-1	n40	0	0	65	10.487436093749999
n82-1	n44	0	0	48	10.9641984375
n76-1	n46	0	0	64	10.9695403125
n75-1	n43	0	0	65	10.73049140625
n68-1	n45	0	0	67	10.9641984375
n67-1	n42	0	0	69	10.726485
n83-1	n47	0	0	36	11.195234531249998
n70-1	n49	0	0	62	11.440960781249997
n71-1	n48	0	0	71	11.438289843749997
n90-1	n56	0	0	71	12.4065046875
n98-1	n54	0	0	48	11.913716718749999
n87-1	n53	0	0	64	11.91238125
n85-1	n51	0	0	65	11.685351562499998
n88-1	n52	0	0	72	11.91104578125
n86-1	n50	0	0	74	11.677338749999997
n91-1	n57	0	0	74	12.4065046875
n99-1	n55	0	0	36	12.15944296875
n92-1	n59	0	0	74	12.83118375
n93-1	n58	0	0	77	12.825841875
n94-1	n61	0	0	72	14.732891250000009
n95-1	n60	0	0	76	14.722207500000009
n120-1	n63	0	0	36	15.93481312500001
n121-1	n62	0	0	40	15.93347765625001
n122-1	n66	0	0	43	15.944161406250009
n123-1	n65	0	0	48	15.94015500000001
n102-1	n64	0	0	72	15.93748406250001
n103-1	n69	0	0	76	15.957516093750009
n104-1	n67	0	0	79	15.946832343750009
n105-1	n68	0	0	84	15.946832343750009
n125-1	n75	0	0	43	16.46900062500001
n126-1	n73	0	0	47	16.46499421875001
n127-1	n74	0	0	50	16.46766515625001
n128-1	n70	0	0	55	16.454310468750013
n107-1	n71	0	0	71	16.454310468750013
n108-1	n72	0	0	74	16.46232328125001
n109-1	n76	0	0	79	16.46900062500001
n130-1	n83	0	0	48	17.00185265625001
n131-1	n81	0	0	52	16.98983343750001
n132-1	n80	0	0	55	16.98315609375001
n133-1	n78	0	0	60	16.976478750000012
n111-1	n77	0	0	67	16.972472343750013
n112-1	n82	0	0	72	16.99651078125001
n113-1	n79	0	0	76	16.98182062500001
n118-1	n86	0	0	80	17.808475781250007
n117-1	n85	0	0	81	17.76440531250001
n116-1	n84	0	0	83	17.69896734375001
n155-1	n88	0	0	65	18.15436218750001
n148-1	n89	0	0	71	18.15436218750001
n136-1	n87	0	0	74	17.91397781250001
n156-1	n90	0	0	65	18.388069218750008
n149-1	n91	0	0	71	18.394746562500007
n141-1	n94	0	0	78	18.759329531250003
n140-1	n93	0	0	79	18.705910781250005
n139-1	n92	0	0	81	18.640472812500004
n157-1	n97	0	0	64	19.07717109375
n152-1	n98	0	0	67	19.08518390625
n143-1	n96	0	0	72	18.858154218750002
n158-1	n100	0	0	64	19.345600312499997
n153-1	n99	0	0	67	19.344264843749997
n146-1	n101	0	0	88	19.560610781249995
n173-1	n104	0	0	61	20.07343078124999
n172-1	n103	0	0	62	19.96125140624999
n174-1	n105	0	0	62	20.176261874999987
n159-1	n102	0	0	77	19.841059218749994
n178-1	n110	0	0	55	20.618302031249982
n177-1	n108	0	0	57	20.504787187499982
n176-1	n107	0	0	59	20.400620624999984
n175-1	n106	0	0	60	20.289776718749987
n162-1	n109	0	0	86	20.539509374999984
n180-1	n112	0	0	60	20.87738296874998
n181-1	n113	0	0	62	20.98555593749998
n182-1	n114	0	0	64	21.092393437499982
n163-1	n111	0	0	76	20.767874531249984
n183-1	n115	0	0	65	21.227275781249983
n184-1	n116	0	0	67	21.342126093749982
n185-1	n117	0	0	68	21.46498921874998
n186-1	n119	0	0	69	21.578504062499977
n170-1	n118	0	0	84	21.47166656249998
n201-1	n120	0	0	65	21.704038124999975
n198-1	n121	0	0	74	21.713386406249974
n199-1	n122	0	0	77	21.948428906249973
n188-1	n123	0	0	81	21.948428906249973
n203-1	n127	0	0	67	22.47059718749997
n190-1	n126	0	0	71	22.46792624999997
n200-1	n125	0	0	76	22.23288374999997
n189-1	n124	0	0	79	22.226206406249972
n212-1	n130	0	0	60	22.71632343749997
n213-1	n132	0	0	60	22.963385156249966
n204-1	n129	0	0	64	22.71365249999997
n206-1	n133	0	0	64	22.970062499999965
n205-1	n131	0	0	67	22.83651562499997
n207-1	n135	0	0	67	23.095596562499964
n191-1	n128	0	0	72	22.71098156249997
n192-1	n134	0	0	72	22.971397968749965
n214-1	n136	0	0	60	23.210446874999963
n215-1	n141	0	0	60	23.445489374999955
n208-1	n137	0	0	64	23.218459687499962
n210-1	n139	0	0	64	23.440147499999956
n209-1	n138	0	0	67	23.33063906249996
n211-1	n143	0	0	67	23.54832046874995
n196-1	n144	0	0	78	23.55366234374995
