onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5050733,0.034722187,72,74,0,0,n0,1.505073,0.0
2.0592928,0.037393127,67,65,0,0,n1,1.505073,0.0
2.5480745,0.034722187,64,51,0,0,n2,2.548074,2.0
2.8124971,0.038728595,48,46,0,0,n3,2.548074,2.0
3.0595589,0.03338672,36,49,0,0,n4,2.548074,2.0
3.3306592,0.03071578,69,78,0,0,n5,3.059559,3.0
3.5937464,0.04540594,62,62,0,0,n6,3.593746,4.0
3.8568337,0.03338672,48,49,0,0,n7,3.593746,4.0
4.1012244,0.034722187,36,48,0,0,n8,3.593746,4.0
4.361641,0.029380312,67,48,0,0,n9,4.101225,5.0
4.631406,0.03205125,60,46,0,0,n10,4.631406,6.0
4.8851447,0.037393127,48,44,0,0,n11,4.631406,6.0
5.1375484,0.034722187,36,57,0,0,n12,5.137548,7.0
5.3886166,0.2644228,76,80,0,0,n13,5.137548,7.0
5.645026,0.046741407,65,74,0,0,n14,5.645026,8.0
5.9241395,0.24439079,48,51,0,0,n15,5.645026,8.0
6.1778784,0.048076876,36,55,0,0,n16,6.177878,9.0
6.4476433,0.25641,74,51,0,0,n17,6.177878,9.0
6.702718,0.038728595,64,50,0,0,n18,6.702718,10.0
6.9617987,0.046741407,48,44,0,0,n19,6.702718,10.0
7.207525,0.046741407,36,57,0,0,n20,7.207525,11.0
7.4679413,0.03071578,72,59,0,0,n21,7.207525,11.0
7.7443833,0.24171984,62,54,0,0,n22,7.744383,12.0
7.991445,0.03071578,69,61,0,0,n23,7.744383,12.0
8.000793,0.25373906,48,43,0,0,n24,7.744383,12.0
8.262546,0.07211531,36,50,0,0,n25,7.744383,12.0
8.265216,0.25774547,57,57,0,0,n26,8.26388,13.0
8.526968,0.042735,59,66,0,0,n27,8.26388,13.0
8.776701,0.2697647,62,56,0,0,n28,8.776701,14.0
9.031775,0.044070467,60,53,0,0,n29,8.776701,14.0
9.046465,0.21901688,48,39,0,0,n30,8.776701,14.0
9.2815075,0.03338672,36,57,0,0,n31,8.776701,14.0
9.53124,0.04139953,62,63,0,0,n32,9.281508,15.0
9.539253,0.029380312,59,53,0,0,n33,9.281508,15.0
9.78498,0.28311938,65,61,0,0,n34,9.281508,15.0
9.795663,0.25507453,62,54,0,0,n35,9.790322,16.0
10.046731,0.040064063,60,57,0,0,n36,9.790322,16.0
10.054744,0.12686953,48,49,0,0,n37,9.790322,16.0
10.054744,0.04139953,64,54,0,0,n38,9.790322,16.0
10.297799,0.040064063,36,69,0,0,n39,9.790322,16.0
10.558216,0.05074781,65,77,0,0,n40,10.2978,17.0
10.563558,0.044070467,62,71,0,0,n41,10.2978,17.0
10.802607,0.28311938,69,79,0,0,n42,10.2978,17.0
10.805278,0.2644228,65,77,0,0,n43,10.803942,18.0
11.068365,0.024038438,67,66,0,0,n44,10.803942,18.0
11.073707,0.03338672,64,60,0,0,n45,10.803942,18.0
11.075043,0.05074781,48,63,0,0,n46,10.803942,18.0
11.308749,0.03071578,36,76,0,0,n47,11.308749,19.0
11.558482,0.05208328,62,75,0,0,n48,11.308749,19.0
11.558482,0.20699766,71,82,0,0,n49,11.308749,19.0
11.8015375,0.31917703,74,79,0,0,n50,11.308749,19.0
11.833589,0.15224344,65,66,0,0,n51,11.817563,20.0
12.068631,0.07612172,48,46,0,0,n52,11.817563,20.0
