onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0502117,0.0384615,72,63,0,0,n0,-10.0,-10.0
2.5769205,0.039529875,67,62,0,0,n1,2.050212,0.0
3.0758517,0.041666623,64,60,0,0,n2,2.576921,1.0
3.310894,0.035256375,48,51,0,0,n3,3.075852,2.0
3.5876033,0.043803375,36,42,0,0,n4,3.587603,3.0
3.8269193,0.04059825,69,60,0,0,n5,3.587603,3.0
4.0608935,0.04059825,62,60,0,0,n6,4.060893,4.0
4.31303,0.037393127,48,47,0,0,n7,4.060893,4.0
4.5705085,0.0470085,36,47,0,0,n8,4.570508,5.0
4.8098245,0.02777775,67,57,0,0,n9,4.570508,5.0
5.0608926,0.039529875,60,63,0,0,n10,5.060892,6.0
5.3151655,0.04059825,48,46,0,0,n11,5.060892,6.0
5.547003,0.043803375,36,50,0,0,n12,5.547003,7.0
5.800208,0.25854674,76,73,0,0,n13,5.547003,7.0
6.0448656,0.042735,65,59,0,0,n14,5.547003,7.0
6.28525,0.22970062,48,64,0,0,n15,6.044866,8.0
6.526703,0.042735,36,56,0,0,n16,6.526703,9.0
6.771361,0.2606835,74,80,0,0,n17,6.526703,9.0
7.0213604,0.041666623,64,62,0,0,n18,6.526703,9.0
7.2521296,0.22329037,48,62,0,0,n19,7.021361,10.0
7.487172,0.035256375,36,65,0,0,n20,7.487172,11.0
7.727556,0.034188,72,68,0,0,n21,7.487172,11.0
7.9754195,0.22756387,62,73,0,0,n22,7.975419,12.0
8.207256,0.03632475,69,63,0,0,n23,7.975419,12.0
8.21794,0.19017075,48,46,0,0,n24,7.975419,12.0
8.452983,0.20833312,57,64,0,0,n25,7.975419,12.0
8.466872,0.09081188,36,37,0,0,n26,8.459927,13.0
8.680547,0.054487124,59,61,0,0,n27,8.459927,13.0
8.943367,0.23611088,62,58,0,0,n28,8.943367,14.0
9.182683,0.205128,48,37,0,0,n29,8.943367,14.0
9.18482,0.07585462,60,48,0,0,n30,8.943367,14.0
9.419863,0.051282,36,49,0,0,n31,9.419862,15.0
9.639948,0.0384615,62,60,0,0,n32,9.419862,15.0
9.6517,0.030982874,59,57,0,0,n33,9.419862,15.0
9.912383,0.25427324,65,57,0,0,n34,9.419862,15.0
9.918794,0.21901688,62,56,0,0,n35,9.915588,16.0
10.164519,0.0726495,64,56,0,0,n36,9.915588,16.0
10.1666565,0.18910238,48,40,0,0,n37,9.915588,16.0
10.168794,0.05341875,60,46,0,0,n38,9.915588,16.0
10.386742,0.045940123,36,48,0,0,n39,10.386742,17.0
10.602553,0.035256375,65,68,0,0,n40,10.386742,17.0
10.605759,0.04059825,62,61,0,0,n41,10.386742,17.0
10.867511,0.2606835,69,75,0,0,n42,10.386742,17.0
10.879263,0.222222,65,66,0,0,n43,10.873387,18.0
11.1143055,0.051282,64,61,0,0,n44,10.873387,18.0
11.115374,0.054487124,67,70,0,0,n45,10.873387,18.0
11.132467,0.2094015,48,51,0,0,n46,10.873387,18.0
11.348279,0.051282,36,66,0,0,n47,11.348279,19.0
11.575843,0.058760624,71,84,0,0,n48,11.348279,19.0
11.580116,0.03632475,62,70,0,0,n49,11.348279,19.0
11.83439,0.2606835,74,84,0,0,n50,11.348279,19.0
11.844006,0.22435875,65,75,0,0,n51,11.839198,20.0
12.071569,0.07051275,72,79,0,0,n52,11.839198,20.0
12.079048,0.035256375,64,72,0,0,n53,11.839198,20.0
12.094005,0.22329037,48,62,0,0,n54,11.839198,20.0
12.323706,0.045940123,36,77,0,0,n55,12.323706,21.0
12.56409,0.08547,74,84,0,0,n56,12.323706,21.0
12.5705,0.05341875,71,76,0,0,n57,12.323706,21.0
12.998919,2.0405962,77,83,0,0,n58,12.323706,21.0
13.003192,2.059827,74,82,0,0,n59,13.001055,22.0
15.063019,1.3269217,76,40,0,0,n60,13.001055,22.0
15.069429,1.3012807,72,34,0,0,n61,15.066224,23.0
16.93588,0.31730738,36,55,0,0,n62,15.066224,23.0
16.972206,0.2809826,40,53,0,0,n63,16.954042,24.0
16.972206,0.2809826,72,70,0,0,n64,16.954042,24.0
16.996778,0.25641,43,63,0,0,n65,16.954042,24.0
17.011736,0.24145275,76,81,0,0,n66,16.954042,24.0
17.016008,0.23717925,48,71,0,0,n67,16.954042,24.0
17.02135,0.23183738,84,91,0,0,n68,16.954042,24.0
17.036308,0.21688013,79,78,0,0,n69,16.954042,24.0
17.490368,0.3461535,43,50,0,0,n70,16.954042,24.0
17.523487,0.31303388,47,55,0,0,n71,17.515474,25.0
17.54058,0.29593986,71,67,0,0,n72,17.515474,25.0
17.55447,0.282051,74,80,0,0,n73,17.515474,25.0
17.557674,0.27884588,50,58,0,0,n74,17.515474,25.0
17.561949,0.27457237,55,73,0,0,n75,17.515474,25.0
17.56836,0.26816213,79,90,0,0,n76,17.515474,25.0
18.068357,0.54059774,48,53,0,0,n77,17.515474,25.0
18.088657,0.5202986,52,59,0,0,n78,18.088657,26.0
18.108955,0.4999995,67,65,0,0,n79,18.088657,26.0
18.112162,0.49679437,55,64,0,0,n80,18.088657,26.0
18.123913,0.48504224,72,79,0,0,n81,18.088657,26.0
18.135666,0.47329012,76,82,0,0,n82,18.088657,26.0
18.148485,0.46046963,60,66,0,0,n83,18.088657,26.0
18.92199,0.045940123,83,60,0,0,n84,18.619104,27.0
18.976477,0.041666623,81,63,0,0,n85,18.619104,27.0
19.03951,0.041666623,80,60,0,0,n86,18.619104,27.0
19.083315,0.056623876,81,68,0,0,n87,18.619104,27.0
19.149553,0.033119626,74,71,0,0,n88,19.149553,28.0
19.403828,0.050213624,71,57,0,0,n89,19.149553,28.0
19.409168,0.05341875,65,51,0,0,n90,19.149553,28.0
19.645279,0.05769225,65,56,0,0,n91,19.149553,28.0
19.647417,0.050213624,71,60,0,0,n92,19.646349,29.0
19.897415,0.04487175,81,59,0,0,n93,19.646349,29.0
19.962587,0.033119626,79,64,0,0,n94,19.646349,29.0
20.005322,0.0384615,78,63,0,0,n95,19.646349,29.0
20.070494,0.04487175,79,66,0,0,n96,19.646349,29.0
20.1378,0.041666623,72,70,0,0,n97,20.1378,30.0
20.374979,0.04487175,67,58,0,0,n98,20.1378,30.0
20.378185,0.045940123,64,53,0,0,n99,20.1378,30.0
20.620707,0.034188,67,64,0,0,n100,20.1378,30.0
20.62391,0.02777775,64,56,0,0,n101,20.622309,31.0
20.853611,0.40918761,88,74,0,0,n102,20.622309,31.0
21.106817,0.44230726,77,57,0,0,n103,21.106817,32.0
21.232885,0.10470075,62,46,0,0,n104,21.106817,32.0
21.339722,0.1068375,61,67,0,0,n105,21.106817,32.0
21.46579,0.103632376,62,66,0,0,n106,21.106817,32.0
21.57797,0.12713662,60,71,0,0,n107,21.57797,33.0
21.704039,0.10149562,59,72,0,0,n108,21.57797,33.0
21.814081,0.28525612,86,76,0,0,n109,21.57797,33.0
21.831175,0.10042725,57,60,0,0,n110,21.57797,33.0
21.94015,0.0726495,55,68,0,0,n111,21.57797,33.0
22.068354,0.43055514,76,71,0,0,n112,22.068354,34.0
22.191217,0.11752125,60,63,0,0,n113,22.068354,34.0
22.30767,0.12179475,62,69,0,0,n114,22.068354,34.0
22.424124,0.12072638,64,75,0,0,n115,22.068354,34.0
22.539507,0.0897435,65,75,0,0,n116,22.539507,35.0
22.654892,0.103632376,67,72,0,0,n117,22.539507,35.0
22.770277,0.26175186,84,77,0,0,n118,22.539507,35.0
22.773481,0.080128126,68,65,0,0,n119,22.539507,35.0
22.884592,0.13354687,69,61,0,0,n120,22.539507,35.0
23.03096,0.10576913,74,56,0,0,n121,22.539507,35.0
23.069422,0.3514954,65,45,0,0,n122,23.05019,36.0
23.30019,0.30128175,81,69,0,0,n123,23.05019,36.0
23.327969,0.26709375,77,55,0,0,n124,23.05019,36.0
23.57049,0.32264924,79,74,0,0,n125,23.05019,36.0
23.581173,0.26709375,76,53,0,0,n126,23.57583,37.0
23.893139,0.247863,71,64,0,0,n127,23.57583,37.0
23.919847,0.035256375,67,49,0,0,n128,23.57583,37.0
24.150618,0.0641025,64,57,0,0,n129,23.57583,37.0
