onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0286459,0.032552082,72,72,1,0,n0,-10.0,-10.0
1.5885416,0.03125,67,71,1,0,n1,1.028646,0.0
2.1302083,0.03125,64,67,1,0,n2,2.130208,2.0
2.3984375,0.040364582,48,49,1,0,n3,2.130208,2.0
2.6497395,0.040364582,36,58,1,0,n4,2.130208,2.0
2.8828125,0.036458332,69,72,1,0,n5,2.64974,3.0
3.1380208,0.036458332,62,69,1,0,n6,2.64974,3.0
3.3645833,0.046875,48,49,1,0,n7,3.138021,4.0
3.6223958,0.041666668,36,52,1,0,n8,3.138021,4.0
3.8554688,0.041666668,67,63,1,0,n9,3.622396,5.0
4.1041665,0.037760418,60,52,1,0,n10,3.622396,5.0
4.328125,0.041666668,48,49,1,0,n11,4.104167,6.0
4.5794272,0.040364582,36,54,1,0,n12,4.579427,7.0
4.828125,0.25390625,76,73,1,0,n13,4.579427,7.0
5.09375,0.044270832,65,55,1,0,n14,5.09375,8.0
5.3125,0.22395833,48,49,1,0,n15,5.09375,8.0
5.5638022,0.04296875,36,47,1,0,n16,5.563802,9.0
5.8138022,0.2513021,74,62,1,0,n17,5.563802,9.0
6.0716147,0.036458332,64,56,1,0,n18,5.563802,9.0
6.2955728,0.2109375,48,52,1,0,n19,6.071615,10.0
6.546875,0.041666668,36,53,1,0,n20,6.546875,11.0
6.7708335,0.033854168,72,74,1,0,n21,6.546875,11.0
7.03125,0.21223958,62,68,1,0,n22,7.03125,12.0
7.2539062,0.0390625,69,60,1,0,n23,7.03125,12.0
7.2708335,0.2265625,48,41,1,0,n24,7.03125,12.0
7.5052085,0.22005208,57,66,1,0,n25,7.03125,12.0
7.5208335,0.049479168,36,38,1,0,n26,7.513021,13.0
7.7239585,0.046875,59,67,1,0,n27,7.513021,13.0
7.981771,0.23046875,62,66,1,0,n28,7.981771,14.0
8.2057295,0.19140625,48,45,1,0,n29,7.981771,14.0
8.207031,0.0390625,60,51,1,0,n30,7.981771,14.0
8.447917,0.044270832,36,50,1,0,n31,8.447917,15.0
8.678386,0.041666668,62,68,1,0,n32,8.447917,15.0
8.683594,0.037760418,59,53,1,0,n33,8.447917,15.0
8.9296875,0.24609375,65,65,1,0,n34,8.447917,15.0
8.936198,0.22135417,62,63,1,0,n35,8.932943,16.0
9.149739,0.05078125,64,59,1,0,n36,8.932943,16.0
9.157552,0.036458332,60,54,1,0,n37,8.932943,16.0
9.1744795,0.19401042,48,45,1,0,n38,8.932943,16.0
9.415364,0.037760418,36,58,1,0,n39,8.932943,16.0
9.6380205,0.037760418,65,69,1,0,n40,9.415365,17.0
9.639323,0.036458332,62,66,1,0,n41,9.415365,17.0
9.885417,0.23307292,65,70,1,0,n42,9.415365,17.0
9.8880205,0.25260416,69,74,1,0,n43,9.886719,18.0
10.104167,0.055989582,67,68,1,0,n44,9.886719,18.0
10.109375,0.040364582,64,67,1,0,n45,9.886719,18.0
10.119792,0.1875,48,57,1,0,n46,9.886719,18.0
10.337239,0.037760418,36,62,1,0,n47,9.886719,18.0
10.571614,0.06640625,71,80,1,0,n48,10.33724,19.0
10.572917,0.033854168,62,73,1,0,n49,10.33724,19.0
10.8151045,0.30078125,74,86,1,0,n50,10.33724,19.0
10.821614,0.11328125,65,76,1,0,n51,10.818359,20.0
11.046875,0.24088542,48,58,1,0,n52,10.818359,20.0
11.048177,0.067708336,72,82,1,0,n53,10.818359,20.0
11.050781,0.065104164,64,69,1,0,n54,10.818359,20.0
11.2734375,0.052083332,36,60,1,0,n55,10.818359,20.0
11.5078125,0.059895832,74,89,1,0,n56,11.273438,21.0
11.509114,0.03125,71,77,1,0,n57,11.273438,21.0
12.010417,2.5664062,77,84,1,0,n58,11.273438,21.0
12.022136,2.5026042,74,69,1,0,n59,12.016276,22.0
14.459636,0.5,76,39,1,0,n60,12.016276,22.0
14.464844,0.33333334,72,33,1,0,n61,14.462239,23.0
16.839844,0.063802086,72,69,1,0,n62,14.462239,23.0
16.858072,0.055989582,36,60,1,0,n63,16.848959,24.0
16.869791,0.3450521,40,54,1,0,n64,16.848959,24.0
16.869791,0.3450521,76,81,1,0,n65,16.848959,24.0
16.878906,0.3359375,43,57,1,0,n66,16.848959,24.0
16.885416,0.032552082,79,84,1,0,n67,16.848959,24.0
16.895834,0.3190104,48,73,1,0,n68,16.848959,24.0
16.902344,0.3125,84,95,1,0,n69,16.848959,24.0
17.361979,0.046875,71,62,1,0,n70,16.848959,24.0
17.369791,0.057291668,43,65,1,0,n71,17.365887,25.0
17.385416,0.052083332,47,57,1,0,n72,17.365887,25.0
17.389322,0.037760418,74,82,1,0,n73,17.365887,25.0
17.402344,0.3190104,55,72,1,0,n74,17.365887,25.0
17.402344,0.029947916,79,97,1,0,n75,17.365887,25.0
17.404947,0.31640625,50,51,1,0,n76,17.365887,25.0
17.891928,0.055989582,52,51,1,0,n77,17.365887,25.0
17.897135,0.041666668,48,63,1,0,n78,17.365887,25.0
17.898438,0.036458332,67,68,1,0,n79,17.897787,26.0
17.908854,0.044270832,55,52,1,0,n80,17.897787,26.0
17.914062,0.028645834,72,76,1,0,n81,17.897787,26.0
17.916666,0.037760418,60,70,1,0,n82,17.897787,26.0
17.921875,0.4544271,76,91,1,0,n83,17.897787,26.0
18.615885,0.0546875,83,72,1,0,n84,18.360352,27.0
18.665365,0.03515625,81,63,1,0,n85,18.360352,27.0
18.697916,0.080729164,80,78,1,0,n86,18.360352,27.0
18.764322,0.063802086,81,86,1,0,n87,18.360352,27.0
18.822916,0.032552082,74,78,1,0,n88,18.360352,27.0
19.054688,0.033854168,65,64,1,0,n89,18.822918,28.0
19.058594,0.03515625,71,59,1,0,n90,18.822918,28.0
19.277344,0.036458332,65,62,1,0,n91,18.822918,28.0
19.283854,0.033854168,71,62,1,0,n92,19.2806,29.0
19.510416,0.040364582,81,67,1,0,n93,19.2806,29.0
