xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	67	2.0218996875
n1-1	n0	0	0	72	1.5090796875
n11-1	n3	0	0	48	2.7203498437499998
n5-1	n2	0	0	64	2.4879782812499998
n12-1	n4	0	0	36	2.95939875
n8-1	n5	0	0	69	3.1824220312500002
n23-1	n7	0	0	48	3.6391523437499997
n14-1	n6	0	0	62	3.413458125
n24-1	n8	0	0	36	3.87953671875
n17-1	n9	0	0	67	4.08786984375
n27-1	n11	0	0	48	4.55528390625
n18-1	n10	0	0	60	4.3456153125
n28-1	n12	0	0	36	4.7836490625
n21-1	n13	0	0	76	5.025368906250001
n39-1	n15	0	0	48	5.49812484375
n30-1	n14	0	0	65	5.2590759375000005
n40-1	n16	0	0	36	5.7291609375000005
n33-1	n17	0	0	74	5.96820984375
n43-1	n19	0	0	48	6.448978593750001
n34-1	n18	0	0	64	6.20058140625
n44-1	n20	0	0	36	6.667995468750001
n37-1	n21	0	0	72	6.897696093750001
n56-1	n24	0	0	48	7.365110156250002
n46-1	n22	0	0	62	7.122054843750002
n47-1	n23	0	0	69	7.335729843750002
n57-1	n25	0	0	36	7.565430468750002
n48-1	n26	0	0	57	7.576114218750002
n49-1	n27	0	0	59	7.823175937500001
n60-1	n30	0	0	48	8.289254531250004
n51-1	n29	0	0	60	8.271893437500003
n50-1	n28	0	0	62	8.054212031250001
n61-1	n31	0	0	36	8.520290625000005
n54-1	n33	0	0	59	8.767352343750007
n53-1	n32	0	0	62	8.748655781250006
n78-1	n38	0	0	48	9.257469375000007
n73-1	n37	0	0	60	9.242779218750007
n72-1	n34	0	0	62	8.999723906250008
n64-1	n36	0	0	64	9.232095468750007
n63-1	n35	0	0	65	9.007736718750008
n79-1	n39	0	0	36	9.483163593750005
n74-1	n41	0	0	62	9.698174062500005
n66-1	n40	0	0	65	9.690161250000005
n82-1	n46	0	0	48	10.215000468750006
n76-1	n45	0	0	64	10.190962031250006
n75-1	n43	0	0	65	9.958590468750005
n68-1	n44	0	0	67	10.182949218750005
n67-1	n42	0	0	69	9.954584062500006
n83-1	n47	0	0	36	10.427340000000004
n70-1	n49	0	0	62	10.659711562500005
n71-1	n48	0	0	71	10.653034218750005
n90-1	n57	0	0	71	11.651964843750003
n98-1	n54	0	0	48	11.156505937500004
n87-1	n53	0	0	64	11.132467500000004
n85-1	n50	0	0	65	10.900095937500005
n88-1	n52	0	0	72	11.129796562500005
n86-1	n51	0	0	74	10.900095937500005
n91-1	n56	0	0	74	11.650629375000003
n99-1	n55	0	0	36	11.382200156250004
n92-1	n59	0	0	74	12.210190781250004
n93-1	n58	0	0	77	12.195500625000005
n94-1	n61	0	0	72	14.573970468750026
n95-1	n60	0	0	76	14.569964062500027
n120-1	n62	0	0	36	16.28604140625005
n121-1	n64	0	0	40	16.33011187500005
n122-1	n66	0	0	43	16.347472968750047
n123-1	n68	0	0	48	16.379524218750046
n102-1	n63	0	0	72	16.31408625000005
n103-1	n65	0	0	76	16.340795625000048
n104-1	n67	0	0	79	16.351479375000046
n105-1	n69	0	0	84	16.384866093750045
n125-1	n70	0	0	43	16.74544265625005
n126-1	n71	0	0	47	16.79351953125005
n127-1	n73	0	0	50	16.808209687500046
n128-1	n76	0	0	55	16.861628437500045
n107-1	n72	0	0	71	16.794855000000048
n108-1	n74	0	0	74	16.817557968750044
n109-1	n75	0	0	79	16.854951093750046
