xml_id	midi_id	track	channel	pitch	onset
n3-1	n1	0	0	67	2.00720953125
n1-1	n0	0	0	72	1.5090796875
n11-1	n3	0	0	48	2.74171734375
n5-1	n2	0	0	64	2.494655625
n12-1	n4	0	0	36	2.9780953125
n8-1	n5	0	0	69	3.2198151562499997
n23-1	n7	0	0	48	3.7139385937499996
n14-1	n6	0	0	62	3.4829025
n24-1	n8	0	0	36	3.9610003124999995
n17-1	n9	0	0	67	4.1880299999999995
n27-1	n11	0	0	48	4.658115
n18-1	n10	0	0	60	4.433756249999999
n28-1	n12	0	0	36	4.891822031249999
n21-1	n13	0	0	76	5.154909375
n39-1	n15	0	0	48	5.6436909375
n30-1	n14	0	0	65	5.39930015625
n40-1	n16	0	0	36	5.892088124999999
n33-1	n17	0	0	74	6.1444917187499986
n43-1	n19	0	0	48	6.642621562499999
n34-1	n18	0	0	64	6.402237187499999
n44-1	n20	0	0	36	6.877664062499998
n37-1	n21	0	0	72	7.102022812499999
n56-1	n24	0	0	48	7.605494531249999
n46-1	n22	0	0	62	7.385142187499999
n47-1	n23	0	0	69	7.601488124999999
n57-1	n26	0	0	36	7.847214374999998
n48-1	n25	0	0	57	7.844543437499999
n49-1	n27	0	0	59	8.083592343749999
n60-1	n29	0	0	48	8.580386718749999
n51-1	n30	0	0	60	8.584393124999998
n50-1	n28	0	0	62	8.342673281249999
n61-1	n31	0	0	36	8.822106562499998
n54-1	n33	0	0	59	9.066497343749997
n53-1	n32	0	0	62	9.063826406249998
n78-1	n38	0	0	48	9.577981874999997
n73-1	n37	0	0	60	9.563291718749998
n72-1	n34	0	0	62	9.321571874999997
n64-1	n36	0	0	64	9.552607968749998
n63-1	n35	0	0	65	9.328249218749997
n79-1	n39	0	0	36	9.791656874999997
n74-1	n41	0	0	62	10.041389531249996
n66-1	n40	0	0	65	10.036047656249997
n82-1	n46	0	0	48	10.534177499999995
n76-1	n45	0	0	64	10.531506562499995
n75-1	n43	0	0	65	10.284444843749997
n68-1	n44	0	0	67	10.516816406249996
n67-1	n42	0	0	69	10.283109374999997
n83-1	n47	0	0	36	10.758536249999995
n70-1	n49	0	0	62	11.009604374999997
n71-1	n48	0	0	71	11.000256093749996
n98-1	n53	0	0	48	11.547798281250003
n87-1	n54	0	0	64	11.558482031250003
n85-1	n51	0	0	65	11.294059218749998
n88-1	n52	0	0	72	11.539785468750003
n86-1	n50	0	0	74	11.280704531249999
n91-1	n57	0	0	74	12.051270000000006
n99-1	n55	0	0	36	11.776163437500005
n90-1	n56	0	0	71	12.049934531250006
n92-1	n59	0	0	74	12.461258906250007
n93-1	n58	0	0	77	12.459923437500008
n94-1	n60	0	0	72	14.229419531250018
n95-1	n61	0	0	76	14.230755000000018
n120-1	n62	0	0	36	15.528830625000023
n121-1	n64	0	0	40	15.595604062500023
n122-1	n66	0	0	43	15.628990781250023
n123-1	n68	0	0	48	15.67573218750002
n102-1	n63	0	0	72	15.574236562500023
n103-1	n65	0	0	76	15.624984375000023
n104-1	n67	0	0	79	15.661042031250021
n105-1	n69	0	0	84	15.682409531250022
n125-1	n70	0	0	43	16.131127031250024
n126-1	n72	0	0	47	16.169855625000025
n127-1	n73	0	0	50	16.173862031250025
n128-1	n76	0	0	55	16.207248750000023
n107-1	n71	0	0	71	16.148488125000025
n108-1	n74	0	0	74	16.176532968750024
n109-1	n75	0	0	79	16.196565000000025
n130-1	n77	0	0	48	16.630592343750024
n131-1	n78	0	0	52	16.674662812500024
n132-1	n79	0	0	55	16.686682031250026
n133-1	n82	0	0	60	16.718733281250028
n111-1	n80	0	0	67	16.686682031250026
n112-1	n81	0	0	72	16.706714062500026
n113-1	n83	0	0	76	16.730752500000026
n118-1	n86	0	0	80	17.576104218750032
n117-1	n85	0	0	81	17.52802734375003
n116-1	n84	0	0	83	17.47460859375003
n155-1	n90	0	0	65	17.936680781250026
n148-1	n89	0	0	71	17.932674375000026
n136-1	n88	0	0	74	17.68961906250003
n156-1	n92	0	0	65	18.205110000000023
n149-1	n91	0	0	71	18.199768125000023
n141-1	n95	0	0	78	18.561680156250024
n140-1	n94	0	0	79	18.50559046875002
n139-1	n93	0	0	81	18.458849062500022
n157-1	n98	0	0	64	18.912908437500022
n152-1	n99	0	0	67	18.91691484375002
n143-1	n97	0	0	72	18.675195000000024
n158-1	n101	0	0	64	19.18400859375002
n153-1	n100	0	0	67	19.17332484375002
n146-1	n102	0	0	88	19.417715625000017
n173-1	n105	0	0	61	19.91050359375002
n172-1	n104	0	0	62	19.800995156250018
n174-1	n106	0	0	62	20.041379531250016
n159-1	n103	0	0	77	19.674125625000016
n178-1	n111	0	0	55	20.48876156250002
n177-1	n110	0	0	57	20.391272343750018
n176-1	n108	0	0	59	20.263067343750016
n175-1	n107	0	0	60	20.161571718750018
n162-1	n109	0	0	86	20.389936875000018
n180-1	n113	0	0	60	20.759861718750017
n181-1	n114	0	0	62	20.864028281250015
n182-1	n115	0	0	64	20.976207656250015
n163-1	n112	0	0	76	20.639669531250018
n183-1	n116	0	0	65	21.096399843750014
n184-1	n117	0	0	67	21.216592031250016
n185-1	n119	0	0	68	21.320758593750014
n186-1	n121	0	0	69	21.438279843750013
n170-1	n120	0	0	84	21.335448750000012
n201-1	n122	0	0	65	21.582510468750012
n198-1	n123	0	0	74	21.59319421875001
n199-1	n125	0	0	77	21.84159140625001
n188-1	n124	0	0	81	21.84025593750001
n203-1	n129	0	0	67	22.36375968750001
n190-1	n128	0	0	71	22.34906953125001
n200-1	n127	0	0	76	22.110020625000008
n189-1	n126	0	0	79	22.10601421875001
n212-1	n131	0	0	60	22.59746671875001
n213-1	n135	0	0	60	22.848534843750006
n204-1	n132	0	0	64	22.62818250000001
n206-1	n136	0	0	64	22.851205781250005
n205-1	n133	0	0	67	22.70964609375001
n207-1	n137	0	0	67	22.976739843750003
n191-1	n130	0	0	72	22.59346031250001
n192-1	n134	0	0	72	22.840522031250007
n214-1	n138	0	0	60	23.103609375000005
n215-1	n143	0	0	60	23.338651875000007
n208-1	n139	0	0	64	23.123641406250005
n210-1	n142	0	0	64	23.335980937500008
n209-1	n140	0	0	67	23.223801562500007
n211-1	n146	0	0	67	23.454837656250003
n196-1	n145	0	0	78	23.444153906250005
n195-1	n144	0	0	79	23.389399687500003
n197-1	n147	0	0	79	23.504250000000003
n194-1	n141	0	0	81	23.334645468750008
n247-1	n149	0	0	60	23.56167515625
n249-1	n154	0	0	60	23.820756093749996
n248-1	n150	0	0	62	23.5656815625
n250-1	n155	0	0	62	23.828768906249994
n231-1	n151	0	0	65	23.57502984375
n233-1	n156	0	0	65	23.836781718749993
n232-1	n152	0	0	67	23.679196406249996
n234-1	n157	0	0	67	23.94228374999999
n216-1	n148	0	0	71	23.55766875
n217-1	n153	0	0	71	23.818085156249996
n251-1	n158	0	0	60	24.07449515624999
n253-1	n162	0	0	60	24.31888593749999
n252-1	n160	0	0	62	24.08918531249999
n254-1	deletion
n235-1	n159	0	0	65	24.08117249999999
n237-1	n164	0	0	65	24.346930781249988
n236-1	n161	0	0	67	24.185339062499988
n238-1	n167	0	0	67	24.444419999999983
n221-1	n166	0	0	78	24.425723437499983
n220-1	n165	0	0	79	24.381652968749986
n222-1	n168	0	0	79	24.50050968749998
n219-1	n163	0	0	81	24.326898749999987
n255-1	n170	0	0	60	24.585979687499986
n256-1	n173	0	0	60	24.83437687499998
n239-1	n171	0	0	64	24.595327968749984
n241-1	n175	0	0	64	24.85707984374998
n240-1	n172	0	0	67	24.724868437499982
n242-1	n176	0	0	67	24.974601093749975
n223-1	n169	0	0	84	24.572624999999984
n224-1	n174	0	0	88	24.83571234374998
n257-1	n177	0	0	60	25.081438593749976
n258-1	n182	0	0	60	25.324493906249977
n243-1	n178	0	0	64	25.082774062499976
n245-1	n181	0	0	64	25.321822968749977
n244-1	n180	0	0	67	25.227004687499974
n246-1	n185	0	0	67	25.439344218749977
n229-1	n186	0	0	78	25.439344218749977
n226-1	n179	0	0	79	25.205637187499974
n228-1	n184	0	0	79	25.376577187499976
n230-1	n187	0	0	79	25.495433906249975
n227-1	n183	0	0	81	25.329835781249976
n290-1	n190	0	0	60	25.56087187499997
n292-1	n195	0	0	60	25.81861734374997
n291-1	n189	0	0	62	25.559536406249972
n293-1	n194	0	0	62	25.81327546874997
n274-1	n191	0	0	65	25.56220734374997
n276-1	n196	0	0	65	25.82930109374997
n275-1	n192	0	0	67	25.65969656249997
n277-1	n197	0	0	67	25.93346765624997
n259-1	n188	0	0	71	25.547517187499974
n260-1	n193	0	0	71	25.79457890624997
n294-1	n198	0	0	60	26.06701453124997
n296-1	n204	0	0	60	26.308734374999972
n295-1	n199	0	0	62	26.06701453124997
n297-1	deletion
n278-1	n200	0	0	65	26.080369218749972
n280-1	n205	0	0	65	26.31808265624997
n279-1	n202	0	0	67	26.191213124999972
n281-1	n208	0	0	67	26.40889453124997
n264-1	n207	0	0	78	26.38352062499997
n263-1	n206	0	0	79	26.34078562499997
n265-1	n209	0	0	79	26.46631968749997
n262-1	n203	0	0	81	26.29270874999997
n298-1	n211	0	0	60	26.538434999999968
n299-1	n215	0	0	60	26.79217406249997
