onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5090797,0.028044844,72,60,0,0,n0,-10.0,-10.0
2.0072095,0.05074781,67,62,0,0,n1,1.50908,0.0
2.4946556,0.029380312,64,56,0,0,n2,2.00721,1.0
2.7417173,0.042735,48,32,0,0,n3,2.494656,2.0
2.9780953,0.040064063,36,45,0,0,n4,2.978095,3.0
3.2198153,0.042735,69,58,0,0,n5,2.978095,3.0
3.4829025,0.03205125,62,50,0,0,n6,2.978095,3.0
3.7139385,0.042735,48,38,0,0,n7,3.482903,4.0
3.9610002,0.049412344,36,35,0,0,n8,3.961,5.0
4.18803,0.04139953,67,62,0,0,n9,3.961,5.0
4.4337564,0.03338672,60,47,0,0,n10,4.433756,6.0
4.658115,0.036057655,48,52,0,0,n11,4.433756,6.0
4.891822,0.042735,36,42,0,0,n12,4.891822,7.0
5.1549096,0.25373906,76,76,0,0,n13,4.891822,7.0
5.3993,0.038728595,65,64,0,0,n14,5.3993,8.0
5.643691,0.24572624,48,43,0,0,n15,5.3993,8.0
5.892088,0.05341875,36,42,0,0,n16,5.892088,9.0
6.1444917,0.2697647,74,62,0,0,n17,5.892088,9.0
6.4022374,0.057425156,64,46,0,0,n18,6.402237,10.0
6.6426215,0.23637797,48,38,0,0,n19,6.402237,10.0
6.877664,0.044070467,36,40,0,0,n20,6.877664,11.0
7.1020226,0.040064063,72,62,0,0,n21,6.877664,11.0
7.3851423,0.23637797,62,51,0,0,n22,7.385142,12.0
7.601488,0.07612172,69,58,0,0,n23,7.385142,12.0
7.6054945,0.25774547,48,37,0,0,n24,7.385142,12.0
7.8445435,0.26709375,57,73,0,0,n25,7.385142,12.0
7.847214,0.057425156,36,42,0,0,n26,7.845878,13.0
8.083592,0.06810891,59,72,0,0,n27,7.845878,13.0
8.342673,0.21501046,62,56,0,0,n28,8.342673,14.0
8.580387,0.25774547,48,27,0,0,n29,8.342673,14.0
8.5843935,0.13621782,60,49,0,0,n30,8.342673,14.0
8.822106,0.0641025,36,48,0,0,n31,8.342673,14.0
9.063827,0.05074781,62,58,0,0,n32,8.822107,15.0
9.066498,0.042735,59,54,0,0,n33,8.822107,15.0
9.321572,0.20566219,62,46,0,0,n34,8.822107,15.0
9.328249,0.21100406,65,56,0,0,n35,9.324911,16.0
9.552608,0.17494641,64,50,0,0,n36,9.324911,16.0
9.563292,0.14423062,60,39,0,0,n37,9.324911,16.0
9.577982,0.22702968,48,28,0,0,n38,9.324911,16.0
9.7916565,0.08547,36,45,0,0,n39,9.324911,16.0
10.036048,0.06944437,65,67,0,0,n40,9.791657,17.0
10.041389,0.038728595,62,61,0,0,n41,9.791657,17.0
10.28311,0.3031514,69,74,0,0,n42,9.791657,17.0
10.284445,0.27510655,65,68,0,0,n43,10.283777,18.0
10.516816,0.1669336,67,69,0,0,n44,10.283777,18.0
10.531507,0.13354687,64,48,0,0,n45,10.283777,18.0
10.534178,0.24171984,48,44,0,0,n46,10.283777,18.0
10.758536,0.060096093,36,58,0,0,n47,10.758536,19.0
11.000257,0.084134534,71,85,0,0,n48,10.758536,19.0
11.009604,0.048076876,62,65,0,0,n49,10.758536,19.0
11.2807045,0.3338672,74,80,0,0,n50,10.758536,19.0
11.294059,0.093482815,65,72,0,0,n51,11.287382,20.0
11.539785,0.15491438,72,74,0,0,n52,11.287382,20.0
11.547798,0.25641,48,54,0,0,n53,11.287382,20.0
11.558482,0.10550203,64,64,0,0,n54,11.287382,20.0
11.776163,0.05475422,36,65,0,0,n55,11.776163,21.0
12.049934,0.078792654,71,78,0,0,n56,11.776163,21.0
12.05127,0.088140935,74,81,0,0,n57,11.776163,21.0
12.459924,1.8776691,77,83,0,0,n58,11.776163,21.0
12.461259,1.8763336,74,80,0,0,n59,12.460591,22.0
14.22942,0.7184822,72,36,0,0,n60,12.460591,22.0
14.230755,0.7358433,76,42,0,0,n61,14.230087,23.0
15.528831,0.12686953,36,40,0,0,n62,14.230087,23.0
15.574237,0.09081188,72,70,0,0,n63,15.551534,24.0
15.595604,0.33520266,40,58,0,0,n64,15.551534,24.0
15.624985,0.30582234,76,71,0,0,n65,15.551534,24.0
15.628991,0.30181593,43,66,0,0,n66,15.551534,24.0
15.661042,0.2697647,79,73,0,0,n67,15.551534,24.0
15.675733,0.25507453,48,74,0,0,n68,15.551534,24.0
15.682409,0.24839719,84,94,0,0,n69,15.551534,24.0
16.131126,0.06677344,43,52,0,0,n70,15.551534,24.0
16.148489,0.065437965,71,60,0,0,n71,16.139807,25.0
16.169855,0.038728595,47,58,0,0,n72,16.139807,25.0
16.173862,0.042735,50,67,0,0,n73,16.139807,25.0
16.176533,0.036057655,74,67,0,0,n74,16.139807,25.0
16.196566,0.30048046,79,95,0,0,n75,16.139807,25.0
16.207249,0.2897967,55,71,0,0,n76,16.139807,25.0
16.630592,0.09081188,48,49,0,0,n77,16.139807,25.0
16.674664,0.06143156,52,54,0,0,n78,16.658636,26.0
16.686682,0.06677344,55,60,0,0,n79,16.658636,26.0
16.686682,0.070779845,67,66,0,0,n80,16.658636,26.0
16.706715,0.048076876,72,70,0,0,n81,16.658636,26.0
16.718733,0.46073672,60,76,0,0,n82,16.658636,26.0
16.730753,0.4487175,76,92,0,0,n83,16.658636,26.0
17.47461,0.05208328,83,66,0,0,n84,17.174128,27.0
17.528027,0.034722187,81,62,0,0,n85,17.174128,27.0
17.576105,0.07345078,80,69,0,0,n86,17.174128,27.0
17.640207,0.042735,81,77,0,0,n87,17.174128,27.0
17.68962,0.03071578,74,72,0,0,n88,17.68962,28.0
17.932674,0.036057655,71,61,0,0,n89,17.68962,28.0
17.93668,0.029380312,65,58,0,0,n90,17.68962,28.0
18.199768,0.028044844,71,53,0,0,n91,17.68962,28.0
18.20511,0.040064063,65,41,0,0,n92,18.202438,29.0
18.458849,0.029380312,81,49,0,0,n93,18.202438,29.0
18.50559,0.036057655,79,54,0,0,n94,18.202438,29.0
18.56168,0.044070467,78,57,0,0,n95,18.202438,29.0
18.62712,0.037393127,79,60,0,0,n96,18.202438,29.0
18.675196,0.028044844,72,52,0,0,n97,18.675196,30.0
18.912909,0.03071578,64,49,0,0,n98,18.675196,30.0
18.916914,0.03071578,67,54,0,0,n99,18.675196,30.0
19.173325,0.034722187,67,51,0,0,n100,18.675196,30.0
19.184008,0.04540594,64,33,0,0,n101,19.178667,31.0
19.417715,0.31383514,88,73,0,0,n102,19.178667,31.0
19.674126,0.14289516,77,56,0,0,n103,19.674126,32.0
19.800995,0.09214734,62,49,0,0,n104,19.674126,32.0
19.910503,0.056089688,61,63,0,0,n105,19.674126,32.0
20.04138,0.080128126,62,55,0,0,n106,19.674126,32.0
20.161572,0.056089688,60,48,0,0,n107,20.161572,33.0
20.263067,0.060096093,59,51,0,0,n108,20.161572,33.0
20.389936,0.24171984,86,65,0,0,n109,20.161572,33.0
20.391272,0.06276703,57,53,0,0,n110,20.161572,33.0
20.488762,0.04139953,55,52,0,0,n111,20.161572,33.0
20.63967,0.093482815,76,62,0,0,n112,20.63967,34.0
20.759861,0.070779845,60,52,0,0,n113,20.63967,34.0
20.864029,0.11885672,62,65,0,0,n114,20.63967,34.0
20.976208,0.1322114,64,77,0,0,n115,20.63967,34.0
21.0964,0.10416656,65,83,0,0,n116,21.0964,35.0
21.216593,0.112179376,67,74,0,0,n117,21.0964,35.0
21.248644,0.026709376,65,48,0,0,n118,21.0964,35.0
21.320759,0.09882469,68,76,0,0,n119,21.0964,35.0
21.33545,0.24706171,84,75,0,0,n120,21.0964,35.0
21.43828,0.15224344,69,74,0,0,n121,21.0964,35.0
21.58251,0.32184798,65,65,0,0,n122,21.0964,35.0
21.593195,0.19364297,74,71,0,0,n123,21.587852,36.0
21.840256,0.060096093,81,71,0,0,n124,21.587852,36.0
21.84159,0.03338672,77,69,0,0,n125,21.587852,36.0
22.106014,0.22569422,79,75,0,0,n126,21.587852,36.0
22.11002,0.20032032,76,64,0,0,n127,22.108019,37.0
22.34907,0.24839719,71,63,0,0,n128,22.108019,37.0
22.36376,0.22435875,67,41,0,0,n129,22.108019,37.0
22.59346,0.037393127,72,66,0,0,n130,22.108019,37.0
22.597467,0.05074781,60,45,0,0,n131,22.597467,38.0
22.628183,0.038728595,64,31,0,0,n132,22.597467,38.0
22.709646,0.12286312,67,54,0,0,n133,22.597467,38.0
22.840523,0.03338672,72,66,0,0,n134,22.597467,38.0
22.848536,0.048076876,60,45,0,0,n135,22.597467,38.0
22.851206,0.049412344,64,27,0,0,n136,22.597467,38.0
22.97674,0.11485031,67,53,0,0,n137,22.597467,38.0
23.10361,0.044070467,60,50,0,0,n138,22.597467,38.0
23.123642,0.04139953,64,39,0,0,n139,23.113625,39.0
23.2238,0.102831095,67,48,0,0,n140,23.113625,39.0
23.334646,0.049412344,81,64,0,0,n141,23.113625,39.0
23.335981,0.034722187,64,48,0,0,n142,23.113625,39.0
23.338652,0.036057655,60,41,0,0,n143,23.113625,39.0
23.3894,0.036057655,79,63,0,0,n144,23.113625,39.0
23.444155,0.07612172,78,74,0,0,n145,23.113625,39.0
23.454838,0.093482815,67,47,0,0,n146,23.113625,39.0
23.50425,0.05208328,79,75,0,0,n147,23.113625,39.0
23.557669,0.03071578,71,75,0,0,n148,23.113625,39.0
23.561676,0.049412344,60,45,0,0,n149,23.113625,39.0
23.565681,0.03338672,62,50,0,0,n150,23.563679,40.0
23.57503,0.034722187,65,48,0,0,n151,23.563679,40.0
23.679197,0.128205,67,57,0,0,n152,23.563679,40.0
23.818085,0.025373906,71,85,0,0,n153,23.563679,40.0
23.820757,0.05074781,60,43,0,0,n154,23.563679,40.0
23.82877,0.034722187,62,40,0,0,n155,23.563679,40.0
23.836782,0.034722187,65,44,0,0,n156,23.563679,40.0
23.942284,0.120192185,67,51,0,0,n157,23.563679,40.0
24.074495,0.056089688,60,45,0,0,n158,23.563679,40.0
24.081173,0.05074781,65,43,0,0,n159,24.081173,41.0
24.089186,0.04139953,62,36,0,0,n160,24.081173,41.0
24.185339,0.11752125,67,59,0,0,n161,24.081173,41.0
24.318886,0.057425156,60,40,0,0,n162,24.081173,41.0
24.326899,0.05475422,81,63,0,0,n163,24.081173,41.0
24.346931,0.042735,65,28,0,0,n164,24.081173,41.0
24.381653,0.036057655,79,62,0,0,n165,24.081173,41.0
24.425724,0.029380312,78,67,0,0,n166,24.081173,41.0
24.44442,0.112179376,67,46,0,0,n167,24.081173,41.0
24.50051,0.034722187,79,60,0,0,n168,24.081173,41.0
24.572624,0.25373906,84,54,0,0,n169,24.081173,41.0
24.58598,0.060096093,60,42,0,0,n170,24.58598,42.0
24.595327,0.040064063,64,37,0,0,n171,24.58598,42.0
24.724869,0.09882469,67,41,0,0,n172,24.58598,42.0
24.834377,0.060096093,60,39,0,0,n173,24.58598,42.0
24.835712,0.026709376,88,54,0,0,n174,24.58598,42.0
24.85708,0.038728595,64,32,0,0,n175,24.58598,42.0
24.974602,0.102831095,67,43,0,0,n176,24.58598,42.0
25.081438,0.070779845,60,45,0,0,n177,24.58598,42.0
25.082773,0.058760624,64,35,0,0,n178,25.082108,43.0
25.205637,0.037393127,79,68,0,0,n179,25.082108,43.0
25.227005,0.08279906,67,41,0,0,n180,25.082108,43.0
25.321823,0.034722187,64,46,0,0,n181,25.082108,43.0
25.324493,0.048076876,60,53,0,0,n182,25.082108,43.0
25.329836,0.06944437,81,66,0,0,n183,25.082108,43.0
25.376577,0.05074781,79,70,0,0,n184,25.082108,43.0
25.439344,0.09481828,67,48,0,0,n185,25.082108,43.0
25.439344,0.065437965,78,70,0,0,n186,25.082108,43.0
25.495434,0.056089688,79,70,0,0,n187,25.082108,43.0
25.547518,0.028044844,71,77,0,0,n188,25.082108,43.0
25.559536,0.037393127,62,44,0,0,n189,25.082108,43.0
25.560871,0.04540594,60,38,0,0,n190,25.560204,44.0
25.562208,0.036057655,65,51,0,0,n191,25.560204,44.0
25.659697,0.13488235,67,57,0,0,n192,25.560204,44.0
25.794579,0.03338672,71,72,0,0,n193,25.560204,44.0
25.813276,0.037393127,62,42,0,0,n194,25.560204,44.0
25.818617,0.048076876,60,40,0,0,n195,25.560204,44.0
25.829302,0.036057655,65,44,0,0,n196,25.560204,44.0
25.933468,0.120192185,67,56,0,0,n197,25.560204,44.0
26.067015,0.0641025,60,41,0,0,n198,26.067015,45.0
26.067015,0.05074781,62,43,0,0,n199,26.067015,45.0
26.08037,0.049412344,65,32,0,0,n200,26.067015,45.0
26.160498,0.028044844,79,56,0,0,n201,26.067015,45.0
26.191214,0.093482815,67,54,0,0,n202,26.067015,45.0
26.29271,0.05208328,81,63,0,0,n203,26.067015,45.0
26.308735,0.037393127,60,35,0,0,n204,26.067015,45.0
26.318083,0.042735,65,31,0,0,n205,26.067015,45.0
26.340786,0.040064063,79,57,0,0,n206,26.067015,45.0
26.38352,0.034722187,78,72,0,0,n207,26.067015,45.0
26.408894,0.10416656,67,56,0,0,n208,26.067015,45.0
26.46632,0.029380312,79,63,0,0,n209,26.067015,45.0
26.51974,0.2524036,84,66,0,0,n210,26.067015,45.0
26.538435,0.05208328,60,30,0,0,n211,26.538435,46.0
26.542442,0.036057655,64,41,0,0,n212,26.538435,46.0
26.685337,0.12152766,67,34,0,0,n213,26.538435,46.0
26.785498,0.02270297,88,62,0,0,n214,26.538435,46.0
26.792173,0.06143156,60,40,0,0,n215,26.538435,46.0
26.817549,0.040064063,64,29,0,0,n216,26.538435,46.0
26.933733,0.09882469,67,52,0,0,n217,26.538435,46.0
27.033894,0.058760624,64,40,0,0,n218,26.538435,46.0
27.040571,0.06677344,60,42,0,0,n219,27.037233,47.0
27.159428,0.040064063,79,63,0,0,n220,27.037233,47.0
27.16477,0.093482815,67,52,0,0,n221,27.037233,47.0
27.283627,0.036057655,64,42,0,0,n222,27.037233,47.0
27.287634,0.044070467,81,64,0,0,n223,27.037233,47.0
27.29164,0.037393127,60,41,0,0,n224,27.037233,47.0
27.329033,0.044070467,79,68,0,0,n225,27.037233,47.0
27.385122,0.09615375,67,52,0,0,n226,27.037233,47.0
27.390465,0.06276703,78,70,0,0,n227,27.037233,47.0
27.44789,0.046741407,79,65,0,0,n228,27.037233,47.0
27.49463,0.056089688,60,36,0,0,n229,27.037233,47.0
27.501308,0.029380312,71,74,0,0,n230,27.037233,47.0
27.511992,0.04139953,62,39,0,0,n231,27.50665,48.0
