xml_id	midi_id	track	channel	pitch	onset
n19-1	n5	0	0	55	2.74973015625
n21-1	n9	0	0	55	3.52964390625
n20-1	n7	0	0	59	3.1330096875
n3-1	n2	0	0	67	2.22222
n2-1	n1	0	0	71	2.11938890625
n1-1	n0	0	0	74	2.00453859375
n6-1	n4	0	0	74	2.72034984375
n7-1	n6	0	0	74	3.12900328125
n8-1	n8	0	0	74	3.5122828125
n5-1	n3	0	0	79	2.33306390625
n22-1	n11	0	0	57	3.95699390625
n23-1	n16	0	0	60	4.508542499999999
n11-1	n12	0	0	71	4.0411284375
n10-1	n10	0	0	72	3.93562640625
n12-1	n13	0	0	72	4.11992109375
n13-1	n14	0	0	74	4.214739375000001
n9-1	deletion
n14-1	n15	0	0	76	4.321576875
n24-1	n17	0	0	54	4.732901249999999
n25-1	n18	0	0	66	5.144225625
n16-1	n19	0	0	69	5.144225625
n17-1	n20	0	0	72	5.32718484375
n43-1	n25	0	0	60	5.9001009374999995
n44-1	n27	0	0	62	6.093743906249999
n42-1	n21	0	0	67	5.518156875
n27-1	n23	0	0	71	5.7051225
n26-1	n22	0	0	72	5.518156875
n29-1	n26	0	0	74	6.077718281249999
n28-1	n24	0	0	76	5.8947590624999995
n46-1	n32	0	0	60	6.6492989062499985
n45-1	n29	0	0	64	6.278038593749999
n33-1	n33	0	0	67	6.829587187499999
n32-1	n31	0	0	69	6.635944218749999
n31-1	n30	0	0	71	6.455655937499999
n30-1	n28	0	0	72	6.262012968749999
n48-1	n39	0	0	55	7.44256734375
n47-1	n35	0	0	62	7.075313437499999
n34-1	n34	0	0	66	7.048604062499999
n35-1	n36	0	0	67	7.18081546875
n37-1	n38	0	0	67	7.439896406250001
n36-1	n37	0	0	69	7.280975625
n41-1	n42	0	0	55	8.5122778125
n40-1	n41	0	0	59	8.397427500000001
n39-1	n40	0	0	62	8.27857078125
n64-1	n45	0	0	43	9.01574953125
n65-1	n46	0	0	45	9.305546250000003
n50-1	n43	0	0	67	8.616444375
n51-1	n44	0	0	67	9.00640125
n66-1	n47	0	0	47	9.392351718750003
n67-1	n49	0	0	49	9.788985937500001
n52-1	n48	0	0	67	9.395022656250003
n53-1	n50	0	0	67	9.79299234375
n68-1	n51	0	0	50	10.20298125
n55-1	n53	0	0	64	10.307147812500002
n54-1	n52	0	0	66	10.209658593750001
n56-1	n54	0	0	66	10.395288750000002
n57-1	n55	0	0	67	10.490107031250002
n59-1	n57	0	0	67	10.677072656250003
n58-1	n56	0	0	69	10.578247968750002
n60-1	n58	0	0	69	10.771890937500002
n61-1	n59	0	0	71	10.861367343750002
n70-1	n61	0	0	50	11.274027187500002
n71-1	n62	0	0	52	11.37418734375
n72-1	n63	0	0	54	11.667990468750002
n62-1	n60	0	0	72	10.957521093750001
n94-1	n64	0	0	55	11.800201875
n77-1	n67	0	0	67	12.047263593750001
n76-1	n66	0	0	69	11.916387656250002
n75-1	n65	0	0	71	11.800201875
n80-1	n70	0	0	71	12.405169218750002
n79-1	n69	0	0	72	12.294325312500002
n78-1	n68	0	0	74	12.170126718750002
n101-1	n74	0	0	62	12.883267031250003
n96-1	n75	0	0	67	12.883267031250003
n86-1	n78	0	0	71	13.124986875000003
n85-1	n77	0	0	72	13.014142968750003
n84-1	n76	0	0	74	12.891279843750004
n83-1	n73	0	0	76	12.769752187500004
n82-1	n72	0	0	78	12.657572812500003
n81-1	n71	0	0	79	12.530703281250002
n102-1	n80	0	0	62	13.350681093750003
n98-1	n86	0	0	66	14.009067187500007
n97-1	n81	0	0	67	13.360029375000003
n88-1	n85	0	0	69	13.969003125000006
n87-1	n82	0	0	71	13.416119062500004
n90-1	n88	0	0	78	14.865102656250006
n92-1	n90	0	0	78	15.165583125000007
n91-1	n87	0	0	81	14.861096250000006
n93-1	n89	0	0	81	15.152228437500007
