xml_id	midi_id	track	channel	pitch	onset
n7-1	n3	1	0	37	2.372395833333333
n10-1	n2	1	0	40	1.9674479166666665
n20-1	n5	1	0	40	3.029947916666666
n6-1	deletion
n8-1	n4	1	0	49	2.7304687499999996
n21-1	n6	1	0	37	3.389322916666666
n23-1	n8	1	0	40	4.014322916666666
n22-1	n7	1	0	49	3.710937499999999
n24-1	n9	1	0	37	4.304687499999999
n40-1	n16	1	0	40	4.924479166666665
n25-1	n13	1	0	49	4.667968749999999
n16-1	n10	1	0	52	4.307291666666666
n17-1	n11	1	0	57	4.503906249999999
n19-1	n14	1	0	57	4.781249999999999
n28-1	n15	1	0	61	4.912760416666665
n18-1	n12	1	0	64	4.638020833333332
n29-1	n17	1	0	69	5.037760416666665
n41-1	n18	1	0	37	5.160156249999999
n43-1	n25	1	0	40	5.740885416666665
n42-1	n22	1	0	49	5.499999999999998
n30-1	n19	1	0	64	5.190104166666666
n31-1	n20	1	0	69	5.305989583333332
n33-1	n23	1	0	69	5.589843749999998
n34-1	n24	1	0	73	5.701822916666665
n32-1	n21	1	0	76	5.453124999999998
n35-1	n26	1	0	81	5.822916666666665
n44-1	n28	1	0	37	5.980468749999998
n56-1	n33	1	0	40	6.490885416666664
n45-1	n31	1	0	49	6.253906249999997
n36-1	n27	1	0	76	5.959635416666665
n37-1	n29	1	0	81	6.074218749999998
n39-1	n32	1	0	81	6.363281249999997
n48-1	n34	1	0	85	6.499999999999997
n38-1	n30	1	0	88	6.210937499999997
n49-1	n35	1	0	93	6.656249999999997
n57-1	n36	1	0	37	6.8398437499999964
n59-1	n40	1	0	40	7.420572916666663
n58-1	n38	1	0	49	7.1458333333333295
n51-1	n37	1	0	81	7.1236979166666625
n52-1	n39	1	0	88	7.2734374999999964
n53-1	n41	1	0	97	7.5039062499999964
n60-1	n42	1	0	37	7.819010416666663
n65-1	n44	1	0	40	8.428385416666663
n61-1	n43	1	0	49	8.140624999999996
n66-1	n45	1	0	37	8.795572916666664
n72-1	n47	1	0	41	9.562499999999996
n68-1	deletion
n67-1	n46	1	0	49	9.12630208333333
n69-1	n48	1	0	37	10.046874999999996
n82-1	n50	1	0	41	10.716145833333329
n70-1	n49	1	0	49	10.397135416666663
n83-1	n51	1	0	37	11.053385416666663
n85-1	n53	1	0	41	11.641927083333329
n84-1	n52	1	0	49	11.350260416666663
n86-1	n54	1	0	37	11.985677083333329
n102-1	n61	1	0	41	12.58854166666666
n87-1	n58	1	0	49	12.294270833333329
n78-1	n55	1	0	53	11.985677083333329
n79-1	n56	1	0	57	12.121093749999995
n81-1	n59	1	0	57	12.38541666666666
n90-1	n60	1	0	61	12.53776041666666
n80-1	n57	1	0	65	12.265624999999995
n91-1	n62	1	0	69	12.651041666666659
n103-1	n64	1	0	37	12.824218749999991
n105-1	n70	1	0	41	13.376302083333323
n104-1	n67	1	0	49	13.095052083333323
n92-1	n63	1	0	65	12.792968749999991
n93-1	n65	1	0	69	12.921874999999991
n95-1	n68	1	0	69	13.196614583333323
n96-1	n69	1	0	73	13.317708333333323
n94-1	n66	1	0	77	13.053385416666657
n97-1	n71	1	0	81	13.45703124999999
n106-1	n73	1	0	37	13.639322916666657
n118-1	n79	1	0	41	14.222656249999993
n107-1	n76	1	0	49	13.925781249999991
n98-1	n72	1	0	77	13.611979166666657
n99-1	n74	1	0	81	13.726562499999991
n101-1	n77	1	0	81	14.023437499999991
n110-1	n78	1	0	85	14.186197916666659
n100-1	n75	1	0	89	13.876302083333325
n111-1	n80	1	0	93	14.367187499999993
n119-1	n81	1	0	37	14.57291666666666
n121-1	n85	1	0	41	15.230468749999995
n120-1	n83	1	0	49	14.868489583333327
n113-1	n82	1	0	81	14.837239583333327
n114-1	n84	1	0	89	14.99869791666666
n115-1	n86	1	0	97	15.247395833333329
n122-1	n87	1	0	37	15.644531249999996
n127-1	n89	1	0	41	16.249999999999996
n123-1	n88	1	0	49	15.945312499999996
n128-1	n90	1	0	37	16.617187499999993
n130-1	n92	1	0	42	17.320312499999993
n134-1	deletion
n129-1	n91	1	0	49	16.921874999999993
n131-1	n93	1	0	37	17.79557291666666
n144-1	n95	1	0	42	18.44270833333333
n132-1	n94	1	0	49	18.136718749999996
n145-1	n96	1	0	37	18.777343749999996
n147-1	n98	1	0	42	19.3671875
n146-1	n97	1	0	49	19.059895833333332
n148-1	n100	1	0	37	19.697916666666668
n164-1	n106	1	0	42	20.27604166666667
n149-1	n103	1	0	49	20.019531250000004
n140-1	n99	1	0	54	19.686197916666668
n141-1	n101	1	0	58	19.864583333333336
n143-1	n104	1	0	58	20.109375000000004
n152-1	n105	1	0	61	20.253906250000004
n142-1	n102	1	0	66	19.997395833333336
n153-1	n107	1	0	70	20.38411458333334
n165-1	n108	1	0	37	20.52994791666667
n167-1	n115	1	0	42	21.11458333333334
