onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0,8.800781,37,29,1,0,n0,-10.0,-10.0
1.5572916,8.243489,49,32,1,0,n1,-10.0,-10.0
1.9674479,7.8333335,40,42,1,0,n2,-10.0,-10.0
2.3723958,7.4283853,37,37,1,0,n3,1.967448,3.0
2.7304688,7.0703125,49,27,1,0,n4,1.967448,3.0
3.029948,6.7708335,40,40,1,0,n5,3.029948,6.0
3.389323,6.4114585,37,27,1,0,n6,3.029948,6.0
3.7109375,6.0898438,49,26,1,0,n7,3.029948,6.0
4.0143228,5.7864585,40,34,1,0,n8,3.029948,6.0
4.3046875,5.4960938,37,28,1,0,n9,4.014323,9.0
4.3072915,5.4934897,52,33,1,0,n10,4.014323,9.0
4.5039062,5.296875,57,38,1,0,n11,4.014323,9.0
4.638021,5.1627603,64,44,1,0,n12,4.014323,9.0
4.6679688,5.1328125,49,29,1,0,n13,4.014323,9.0
4.78125,5.0195312,57,45,1,0,n14,4.014323,9.0
4.9127603,4.888021,61,53,1,0,n15,4.014323,9.0
4.924479,4.8763022,40,31,1,0,n16,4.9186196,12.0
5.0377603,4.763021,69,53,1,0,n17,4.9186196,12.0
5.1601562,4.640625,37,34,1,0,n18,4.9186196,12.0
5.190104,4.6106772,64,47,1,0,n19,4.9186196,12.0
5.3059897,4.4947915,69,57,1,0,n20,4.9186196,12.0
5.453125,4.3476562,76,59,1,0,n21,4.9186196,12.0
5.5,4.3007812,49,34,1,0,n22,4.9186196,12.0
5.5898438,4.2109375,69,47,1,0,n23,4.9186196,12.0
5.7018228,4.0989585,73,63,1,0,n24,4.9186196,12.0
5.7408853,4.059896,40,31,1,0,n25,5.721354,15.0
5.8229165,3.9778645,81,62,1,0,n26,5.721354,15.0
5.9596353,3.8411458,76,56,1,0,n27,5.721354,15.0
5.9804688,3.8203125,37,32,1,0,n28,5.721354,15.0
6.0742188,3.7265625,81,62,1,0,n29,5.721354,15.0
6.2109375,3.5898438,88,53,1,0,n30,5.721354,15.0
6.2539062,3.546875,49,28,1,0,n31,5.721354,15.0
6.3632812,3.4375,81,60,1,0,n32,5.721354,15.0
6.4908853,3.3098958,40,30,1,0,n33,5.721354,15.0
6.5,3.3007812,85,59,1,0,n34,6.4954424,18.0
6.65625,3.1445312,93,56,1,0,n35,6.4954424,18.0
6.8398438,2.9609375,37,19,1,0,n36,6.4954424,18.0
7.1236978,2.6770833,81,48,1,0,n37,6.4954424,18.0
7.1458335,2.654948,49,21,1,0,n38,6.4954424,18.0
7.2734375,2.5273438,88,46,1,0,n39,6.4954424,18.0
7.4205728,2.3802083,40,24,1,0,n40,6.4954424,18.0
7.5039062,2.296875,97,59,1,0,n41,7.4622393,21.0
7.8190103,1.9817709,37,25,1,0,n42,7.4622393,21.0
8.140625,1.6601562,49,29,1,0,n43,7.4622393,21.0
8.428386,1.3723959,40,39,1,0,n44,8.428385,24.0
8.795573,1.0052084,37,27,1,0,n45,8.428385,24.0
9.126302,0.76432294,49,30,1,0,n46,8.428385,24.0
9.5625,7.903646,41,47,1,0,n47,9.5625,27.0
10.046875,7.419271,37,31,1,0,n48,9.5625,27.0
10.397136,7.0690103,49,32,1,0,n49,9.5625,27.0
10.7161455,6.75,41,42,1,0,n50,9.5625,27.0
11.053386,6.4127603,37,16,1,0,n51,10.716146,30.0
11.350261,6.1158853,49,27,1,0,n52,10.716146,30.0
11.641927,5.8242188,41,35,1,0,n53,11.641927,33.0
11.985677,5.4804688,37,28,1,0,n54,11.641927,33.0
11.985677,5.4804688,53,21,1,0,n55,11.641927,33.0
12.121094,5.3450522,57,37,1,0,n56,11.641927,33.0
12.265625,5.200521,65,42,1,0,n57,11.641927,33.0
12.2942705,5.171875,49,34,1,0,n58,11.641927,33.0
12.385417,5.080729,57,47,1,0,n59,11.641927,33.0
12.537761,4.9283853,61,53,1,0,n60,11.641927,33.0
12.588542,4.877604,41,34,1,0,n61,12.563151,36.0
12.651042,4.815104,69,52,1,0,n62,12.563151,36.0
12.792969,4.6731772,65,54,1,0,n63,12.563151,36.0
12.824219,4.6419272,37,35,1,0,n64,12.563151,36.0
12.921875,4.544271,69,56,1,0,n65,12.563151,36.0
13.053386,4.4127603,77,53,1,0,n66,12.563151,36.0
13.095052,4.3710938,49,30,1,0,n67,12.563151,36.0
13.196614,4.2695312,69,45,1,0,n68,12.563151,36.0
13.317708,4.1484375,73,55,1,0,n69,12.563151,36.0
13.376302,4.0898438,41,33,1,0,n70,13.347005,39.0
13.457031,4.0091147,81,55,1,0,n71,13.347005,39.0
13.6119795,3.8541667,77,49,1,0,n72,13.347005,39.0
13.639323,3.826823,37,26,1,0,n73,13.347005,39.0
13.7265625,3.7395833,81,63,1,0,n74,13.347005,39.0
13.876302,3.5898438,89,49,1,0,n75,13.347005,39.0
13.925781,3.5403645,49,30,1,0,n76,13.347005,39.0
14.0234375,3.4427083,81,51,1,0,n77,13.347005,39.0
14.186198,3.279948,85,48,1,0,n78,13.347005,39.0
14.222656,3.2434895,41,21,1,0,n79,14.204427,42.0
14.3671875,3.0989583,93,51,1,0,n80,14.204427,42.0
14.572917,2.8932292,37,23,1,0,n81,14.204427,42.0
14.837239,2.6289062,81,53,1,0,n82,14.204427,42.0
14.868489,2.5976562,49,32,1,0,n83,14.204427,42.0
