onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.56640625,0.54036456,30,41,1,0,n0,-10.0,-10.0
0.9973958,1.1484375,35,53,1,0,n1,-10.0,-10.0
1.3958334,0.75,36,38,1,0,n2,0.997396,0.0
1.5520834,0.59375,37,48,1,0,n3,0.997396,0.0
1.6640625,0.48177084,38,46,1,0,n4,0.997396,0.0
1.7630209,0.3828125,39,55,1,0,n5,0.997396,0.0
1.859375,0.28645834,40,53,1,0,n6,0.997396,0.0
1.9570312,0.18880208,41,56,1,0,n7,0.997396,0.0
2.0559895,0.08984375,42,59,1,0,n8,0.997396,0.0
2.1458333,0.079427086,43,53,1,0,n9,0.997396,0.0
2.2291667,0.8984375,42,48,1,0,n10,0.997396,0.0
2.3815105,0.74609375,41,46,1,0,n11,2.229167,3.0
2.4882812,0.63932294,40,42,1,0,n12,2.229167,3.0
2.5677083,0.5598958,39,49,1,0,n13,2.229167,3.0
2.6497395,0.4778646,38,49,1,0,n14,2.229167,3.0
2.734375,0.39322916,37,50,1,0,n15,2.229167,3.0
2.8203125,0.30729166,36,56,1,0,n16,2.229167,3.0
2.9179688,0.20963542,35,52,1,0,n17,2.229167,3.0
3.001302,0.15104167,30,67,1,0,n18,2.229167,3.0
3.1432292,0.8463542,35,55,1,0,n19,3.143229,6.0
3.342448,0.64713544,36,51,1,0,n20,3.143229,6.0
3.4492188,0.54036456,37,49,1,0,n21,3.143229,6.0
3.529948,0.4596354,38,58,1,0,n22,3.143229,6.0
3.5872395,0.40234375,39,67,1,0,n23,3.143229,6.0
3.6653645,0.32421875,40,58,1,0,n24,3.143229,6.0
3.7408855,0.24869792,41,62,1,0,n25,3.143229,6.0
3.8385417,0.15104167,42,65,1,0,n26,3.143229,6.0
3.9479167,0.092447914,43,56,1,0,n27,3.143229,6.0
4.033854,1.4661459,42,50,1,0,n28,4.033854,9.0
4.1992188,1.3007812,41,51,1,0,n29,4.033854,9.0
4.3125,1.1875,40,47,1,0,n30,4.033854,9.0
4.4023438,1.0976562,39,53,1,0,n31,4.033854,9.0
4.4960938,1.0039062,38,50,1,0,n32,4.033854,9.0
4.6041665,0.8958333,37,47,1,0,n33,4.033854,9.0
4.7044272,0.79557294,36,42,1,0,n34,4.033854,9.0
4.825521,0.6744792,35,42,1,0,n35,4.033854,9.0
4.9440103,0.55598956,30,41,1,0,n36,4.033854,9.0
5.328125,3.4466145,54,73,1,0,n37,4.033854,9.0
5.4257812,0.20052083,35,28,1,0,n38,5.376953,12.0
5.6875,0.73046875,36,38,1,0,n39,5.376953,12.0
5.830729,0.58723956,37,35,1,0,n40,5.376953,12.0
5.9635415,0.4544271,38,21,1,0,n41,5.376953,12.0
6.0117188,0.40625,39,51,1,0,n42,5.376953,12.0
6.1341147,0.28385416,40,42,1,0,n43,5.376953,12.0
6.2148438,1.6002604,50,49,1,0,n44,5.376953,12.0
6.2799478,1.5351562,47,44,1,0,n45,5.376953,12.0
6.2916665,0.12630208,41,43,1,0,n46,5.376953,12.0
6.40625,0.080729164,42,39,1,0,n47,5.376953,12.0
6.5520835,1.2630209,43,41,1,0,n48,5.376953,12.0
6.6731772,1.1419271,42,44,1,0,n49,6.673177,15.0
