onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0491393,3.9433644,80,36,1,0,n0,-10.0,-10.0
2.143156,3.8493476,77,12,1,0,n1,-10.0,-10.0
2.2617455,3.7307582,75,34,1,0,n2,-10.0,-10.0
2.400634,3.5918698,72,21,1,0,n3,-10.0,-10.0
2.483967,3.5085366,68,37,1,0,n4,2.483967,1.0
2.6281974,3.3643062,75,26,1,0,n5,2.483967,1.0
2.6869578,3.3055458,72,39,1,0,n6,2.483967,1.0
2.7895217,3.202982,80,37,1,0,n7,2.483967,1.0
2.8290515,3.1634521,77,40,1,0,n8,2.483967,1.0
2.9113162,3.0811875,75,47,1,0,n9,2.483967,1.0
2.9989228,2.9935808,72,23,1,0,n10,2.483967,1.0
3.1089652,2.8835385,68,44,1,0,n11,3.108965,2.0
3.208324,2.78418,75,43,1,0,n12,3.108965,2.0
3.3076825,2.6848211,72,37,1,0,n13,3.108965,2.0
3.4326823,2.5598216,80,38,1,0,n14,3.108965,2.0
3.4540496,2.538454,77,42,1,0,n15,3.108965,2.0
3.5491347,2.443369,75,41,1,0,n16,3.108965,2.0
3.6046903,2.3878136,72,41,1,0,n17,3.108965,2.0
3.7350316,2.257472,68,36,1,0,n18,3.108965,2.0
3.836527,2.1559765,75,38,1,0,n19,3.735032,3.0
3.9412277,2.051276,72,37,1,0,n20,3.735032,3.0
4.063022,1.9294815,80,35,1,0,n21,3.735032,3.0
4.0790477,1.9134558,77,41,1,0,n22,3.735032,3.0
4.1837482,1.8087554,75,44,1,0,n23,3.735032,3.0
4.2617397,1.7307642,72,44,1,0,n24,3.735032,3.0
4.394218,1.5982859,68,38,1,0,n25,4.394218,4.0
4.529901,1.4626025,75,42,1,0,n26,4.394218,4.0
4.606824,1.3856797,72,44,1,0,n27,4.394218,4.0
4.8397293,1.1527743,66,55,1,0,n28,4.394218,4.0
4.886738,1.1057659,80,32,1,0,n29,4.394218,4.0
4.912379,1.080125,77,33,1,0,n30,4.394218,4.0
5.0405836,0.9519203,75,43,1,0,n31,4.394218,4.0
5.1324635,0.8600402,72,42,1,0,n32,4.394218,4.0
5.2905827,0.701921,68,24,1,0,n33,4.394218,4.0
5.3643003,0.6282033,75,42,1,0,n34,5.290583,5.0
5.4647274,0.52777624,72,43,1,0,n35,5.290583,5.0
5.5854535,0.42734918,80,36,1,0,n36,5.290583,5.0
5.589727,0.5085455,65,55,1,0,n37,5.290583,5.0
5.618573,0.3739305,77,43,1,0,n38,5.290583,5.0
5.727547,0.26495647,75,42,1,0,n39,5.290583,5.0
5.8087435,0.18376014,72,41,1,0,n40,5.290583,5.0
5.9177175,0.16880292,68,28,1,0,n41,5.290583,5.0
5.9284015,0.4145287,62,58,1,0,n42,5.923059,6.0
5.9871616,0.07371773,75,44,1,0,n43,5.923059,6.0
6.093999,0.19551225,72,43,1,0,n44,5.923059,6.0
6.213657,0.4540585,80,34,1,0,n45,5.923059,6.0
6.2553234,0.13140987,77,44,1,0,n46,5.923059,6.0
6.256392,0.4380329,65,61,1,0,n47,5.923059,6.0
6.3354516,0.3194435,75,47,1,0,n48,5.923059,6.0
6.4198527,0.23504204,72,46,1,0,n49,5.923059,6.0
6.545921,0.15705082,68,40,1,0,n50,5.923059,6.0
6.574767,0.47435758,63,61,1,0,n51,6.560344,7.0
6.6185703,0.08012797,75,47,1,0,n52,6.560344,7.0
6.7286124,0.2211532,72,38,1,0,n53,6.560344,7.0
6.870706,0.14423035,80,28,1,0,n54,6.560344,7.0
6.8771167,0.3632468,61,63,1,0,n55,6.560344,7.0
6.9059625,0.07692285,77,39,1,0,n56,6.560344,7.0
6.9818172,0.24679415,75,46,1,0,n57,6.560344,7.0
7.0715604,0.15705082,72,42,1,0,n58,6.560344,7.0
7.1837397,0.39316124,59,61,1,0,n59,6.560344,7.0
7.184808,0.14636709,68,37,1,0,n60,7.184273,8.0
7.272414,0.06837586,75,41,1,0,n61,7.184273,8.0
7.3525424,0.2243583,72,44,1,0,n62,7.184273,8.0
7.495704,0.38461426,61,60,1,0,n63,7.184273,8.0
7.526687,0.106837295,80,30,1,0,n64,7.184273,8.0
7.549123,0.088674955,77,35,1,0,n65,7.184273,8.0
7.6196356,0.07905959,75,45,1,0,n66,7.184273,8.0
7.712584,0.16025594,72,35,1,0,n67,7.184273,8.0
7.809806,0.5288446,60,54,1,0,n68,7.184273,8.0
7.8108745,0.15491407,68,41,1,0,n69,7.81034,9.0
