xml_id	midi_id	track	channel	pitch	onset
n6-1	n4	1	0	68	1.3268229166666667
n13-1	n11	1	0	68	1.9231770833333335
n5-1	n3	1	0	72	1.2643229166666667
n8-1	n6	1	0	72	1.4960937500000002
n12-1	n10	1	0	72	1.8177083333333335
n15-1	n13	1	0	72	2.0416666666666665
n19-1	n17	1	0	72	2.364583333333333
n22-1	n20	1	0	72	2.5963541666666665
n4-1	n2	1	0	75	1.1197916666666667
n7-1	n5	1	0	75	1.4557291666666667
n11-1	n9	1	0	75	1.7031250000000002
n14-1	n12	1	0	75	2.00390625
n18-1	n16	1	0	75	2.2734375
n21-1	n19	1	0	75	2.55859375
n2-1	n1	1	0	77	1.0468750000000002
n9-1	n8	1	0	77	1.6471354166666667
n16-1	n15	1	0	77	2.1822916666666665
n3-1	n0	1	0	80	1.0091145833333335
n10-1	n7	1	0	80	1.6302083333333335
n17-1	n14	1	0	80	2.157552083333333
n20-1	n18	1	0	68	2.453125
n26-1	n24	1	0	72	2.8880208333333335
n25-1	n23	1	0	75	2.7929687500000004
n23-1	n22	1	0	77	2.734375
n24-1	n21	1	0	80	2.69921875
n57-1	n28	1	0	66	3.40625
n28-1	n25	1	0	68	3.01171875
n30-1	n27	1	0	72	3.2057291666666665
n34-1	n31	1	0	72	3.6875
n29-1	n26	1	0	75	3.08203125
n33-1	n30	1	0	75	3.5859375
n31-1	n29	1	0	77	3.4973958333333335
n32-1	deletion
n58-1	n35	1	0	65	4.132812499999999
n35-1	n32	1	0	68	3.8203125
n37-1	n34	1	0	72	3.9557291666666665
n44-1	n40	1	0	72	4.542968749999998
n41-1	deletion
n36-1	n33	1	0	75	3.895833333333333
n40-1	n36	1	0	75	4.223958333333332
n43-1	n39	1	0	75	4.466145833333331
n38-1	deletion
n39-1	deletion
n59-1	n38	1	0	62	4.428385416666665
n60-1	n43	1	0	65	4.701822916666665
n42-1	n37	1	0	68	4.389322916666665
n48-1	n45	1	0	72	4.809895833333331
n47-1	n44	1	0	75	4.751302083333331
n45-1	n42	1	0	77	4.680989583333332
n46-1	n41	1	0	80	4.654947916666665
n62-1	n51	1	0	61	5.233072916666663
n61-1	n47	1	0	63	4.967447916666664
n49-1	n46	1	0	68	4.888020833333331
n51-1	n49	1	0	72	5.048177083333331
n55-1	n53	1	0	72	5.354166666666663
n50-1	n48	1	0	75	4.993489583333331
n54-1	n52	1	0	75	5.2812499999999964
n52-1	n50	1	0	77	5.21223958333333
n53-1	n58	1	0	80	5.6979166666666625
n67-1	n63	1	0	80	5.9635416666666625
n91-1	n55	1	0	59	5.518229166666663
n92-1	n60	1	0	61	5.769531249999996
n63-1	n54	1	0	68	5.4570312499999964
n65-1	n57	1	0	72	5.6015624999999964
n69-1	n62	1	0	72	5.855468749999996
n64-1	n56	1	0	75	5.5585937499999964
n68-1	n61	1	0	75	5.804687499999996
n66-1	n59	1	0	77	5.7434895833333295
n94-1	n69	1	0	58	6.2565104166666625
n93-1	n65	1	0	60	6.015624999999996
