onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9739583,0.041666668,62,64,1,0,n0,-10.0,-10.0
1.0104166,0.044270832,61,64,1,0,n1,-10.0,-10.0
1.2122396,0.03125,66,49,1,0,n2,-10.0,-10.0
1.2265625,0.045572918,65,55,1,0,n3,-10.0,-10.0
1.3606771,0.0390625,69,59,1,0,n4,1.360677,3.0
1.3958334,0.037760418,68,69,1,0,n5,1.360677,3.0
1.5234375,0.037760418,69,64,1,0,n6,1.360677,3.0
1.5377604,0.048177082,68,64,1,0,n7,1.360677,3.0
1.6601562,0.040364582,73,56,1,0,n8,1.360677,3.0
1.6653646,0.0390625,71,58,1,0,n9,1.360677,3.0
1.7682291,0.040364582,74,70,1,0,n10,1.768229,6.0
1.8007812,0.032552082,73,73,1,0,n11,1.768229,6.0
1.9322916,0.0234375,74,62,1,0,n12,1.768229,6.0
1.9401041,0.044270832,73,70,1,0,n13,1.768229,6.0
2.0651042,0.026041666,78,59,1,0,n14,1.768229,6.0
2.0755208,0.040364582,77,62,1,0,n15,1.768229,6.0
2.1770833,0.03515625,81,67,1,0,n16,1.768229,6.0
2.2109375,0.032552082,80,71,1,0,n17,1.768229,6.0
2.328125,0.03515625,81,64,1,0,n18,2.210938,9.0
2.329427,0.048177082,80,61,1,0,n19,2.210938,9.0
2.4427083,0.032552082,85,71,1,0,n20,2.210938,9.0
2.4635417,0.026041666,83,52,1,0,n21,2.210938,9.0
2.5690105,0.03515625,86,72,1,0,n22,2.56901,12.0
2.6041667,0.032552082,85,78,1,0,n23,2.56901,12.0
2.733073,0.0546875,80,51,1,0,n24,2.56901,12.0
2.7395833,0.036458332,83,69,1,0,n25,2.56901,12.0
2.8723958,0.0390625,83,65,1,0,n26,2.56901,12.0
2.8723958,0.03515625,85,55,1,0,n27,2.56901,12.0
3.0221355,0.044270832,86,65,1,0,n28,3.022135,15.0
3.0755208,0.026041666,85,63,1,0,n29,3.022135,15.0
3.1953125,0.046875,77,58,1,0,n30,3.022135,15.0
3.1979167,0.045572918,80,64,1,0,n31,3.022135,15.0
3.3684895,0.03515625,85,58,1,0,n32,3.022135,15.0
3.3880208,0.028645834,83,55,1,0,n33,3.022135,15.0
3.5520833,0.037760418,86,59,1,0,n34,3.552083,18.0
3.595052,0.02734375,85,66,1,0,n35,3.552083,18.0
3.75,0.048177082,80,34,1,0,n36,3.552083,18.0
3.7721355,0.037760418,83,60,1,0,n37,3.552083,18.0
4.013021,0.028645834,85,8,1,0,n38,3.552083,18.0
4.0429688,0.032552082,83,53,1,0,n39,3.552083,18.0
4.2773438,0.03515625,86,35,1,0,n40,3.552083,18.0
4.3072915,0.033854168,85,62,1,0,n41,4.277344,21.0
4.578125,0.033854168,77,43,1,0,n42,4.277344,21.0
4.606771,0.02734375,80,53,1,0,n43,4.277344,21.0
4.9322915,0.049479168,73,62,1,0,n44,4.277344,21.0
5.0729165,0.22786458,85,82,1,0,n45,4.277344,21.0
5.0768228,0.22395833,78,72,1,0,n46,5.07487,24.0
5.2096353,0.091145836,78,70,1,0,n47,5.07487,24.0
5.2200522,0.080729164,81,39,1,0,n48,5.07487,24.0
5.2278647,0.072916664,73,57,1,0,n49,5.07487,24.0
5.3346353,0.041666668,78,72,1,0,n50,5.07487,24.0
5.3450522,0.037760418,69,81,1,0,n51,5.07487,24.0
5.3528647,0.037760418,73,62,1,0,n52,5.07487,24.0
5.4596353,0.046875,78,87,1,0,n53,5.07487,24.0
5.4778647,0.024739584,74,64,1,0,n54,5.07487,24.0
5.486979,0.03125,69,46,1,0,n55,5.482422,27.0
5.59375,0.052083332,69,72,1,0,n56,5.482422,27.0
5.5976562,0.036458332,66,62,1,0,n57,5.482422,27.0
5.705729,0.036458332,62,81,1,0,n58,5.482422,27.0
5.7070312,0.028645834,71,76,1,0,n59,5.482422,27.0
5.7226562,0.03515625,66,56,1,0,n60,5.722656,30.0
5.8229165,0.26041666,73,85,1,0,n61,5.722656,30.0
5.841146,0.2421875,69,61,1,0,n62,5.722656,30.0
5.8489585,0.234375,66,52,1,0,n63,5.722656,30.0
5.9583335,0.125,69,69,1,0,n64,5.722656,30.0
