onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5104152,0.04540594,61,55,0,0,n0,-10.0,-10.0
1.5304472,0.042735,62,30,0,0,n1,-10.0,-10.0
1.7000517,0.048076876,66,48,0,0,n2,-10.0,-10.0
1.7027227,0.04540594,65,46,0,0,n3,-10.0,-10.0
1.857637,0.03205125,69,47,0,0,n4,1.857637,3.0
1.8603079,0.036057655,68,44,0,0,n5,1.857637,3.0
2.0205643,0.034722187,69,52,0,0,n6,1.857637,3.0
2.0218997,0.03071578,68,53,0,0,n7,1.857637,3.0
2.1407564,0.04139953,73,58,0,0,n8,1.857637,3.0
2.1501048,0.044070467,71,58,0,0,n9,1.857637,3.0
2.2809806,0.028044844,74,52,0,0,n10,1.857637,3.0
2.2836516,0.029380312,73,48,0,0,n11,2.280981,6.0
2.4118567,0.038728595,74,62,0,0,n12,2.280981,6.0
2.4171984,0.04139953,73,61,0,0,n13,2.280981,6.0
2.526707,0.040064063,78,67,0,0,n14,2.280981,6.0
2.5307133,0.036057655,77,67,0,0,n15,2.280981,6.0
2.6509054,0.034722187,81,61,0,0,n16,2.280981,6.0
2.6589184,0.034722187,80,38,0,0,n17,2.658918,9.0
2.7697623,0.03338672,81,74,0,0,n18,2.658918,9.0
2.7924652,0.03205125,80,61,0,0,n19,2.658918,9.0
2.9073155,0.049412344,83,68,0,0,n20,2.658918,9.0
2.9166636,0.034722187,85,54,0,0,n21,2.658918,9.0
3.0328496,0.042735,86,71,0,0,n22,2.658918,9.0
3.0568879,0.024038438,85,58,0,0,n23,3.03285,12.0
3.1837575,0.03338672,83,66,0,0,n24,3.03285,12.0
3.1917703,0.04139953,80,57,0,0,n25,3.03285,12.0
3.3039496,0.046741407,85,55,0,0,n26,3.03285,12.0
3.34802,0.040064063,83,39,0,0,n27,3.03285,12.0
3.4628704,0.034722187,86,59,0,0,n28,3.46287,15.0
3.4802315,0.03338672,85,40,0,0,n29,3.46287,15.0
3.5910754,0.05341875,77,59,0,0,n30,3.46287,15.0
3.5977528,0.048076876,80,54,0,0,n31,3.46287,15.0
3.7673573,0.03338672,83,41,0,0,n32,3.46287,15.0
3.7686927,0.03205125,85,41,0,0,n33,3.46287,15.0
3.9035752,0.057425156,86,51,0,0,n34,3.903575,18.0
3.9129233,0.049412344,85,55,0,0,n35,3.903575,18.0
4.085199,0.049412344,80,48,0,0,n36,3.903575,18.0
4.0892053,0.037393127,83,37,0,0,n37,3.903575,18.0
4.253468,0.056089688,83,53,0,0,n38,3.903575,18.0
4.266823,0.05475422,85,50,0,0,n39,3.903575,18.0
4.4951878,0.029380312,85,46,0,0,n40,3.903575,18.0
4.4951878,0.028044844,86,53,0,0,n41,3.903575,18.0
4.7970037,0.046741407,80,47,0,0,n42,4.495188,21.0
4.809023,0.038728595,77,41,0,0,n43,4.495188,21.0
5.166929,0.044070467,73,55,0,0,n44,4.495188,21.0
6.330122,0.51949733,85,76,0,0,n45,5.6961083,24.0
6.350154,0.49946532,78,39,0,0,n46,5.6961083,24.0
6.5478034,0.30181593,78,44,0,0,n47,5.6961083,24.0
6.5678353,0.2817839,73,41,0,0,n48,5.6961083,24.0
6.5998864,0.24973266,81,31,0,0,n49,5.6961083,24.0
6.726756,0.12286312,73,57,0,0,n50,5.6961083,24.0
6.7427816,0.1068375,69,44,0,0,n51,5.6961083,24.0
6.7507944,0.09882469,78,50,0,0,n52,5.6961083,24.0
6.8963604,0.05341875,69,55,0,0,n53,5.6961083,24.0
6.897696,0.056089688,74,61,0,0,n54,6.8970284,27.0
6.90838,0.46741405,78,72,0,0,n55,6.8970284,27.0
7.091339,0.28445485,69,46,0,0,n56,6.8970284,27.0
7.1153774,0.26041642,66,43,0,0,n57,6.8970284,27.0
7.2609434,0.11485031,71,58,0,0,n58,6.8970284,27.0
7.270292,0.10550203,62,49,0,0,n59,6.8970284,27.0
7.4479094,0.03205125,73,74,0,0,n60,7.4408984,30.0
7.458593,0.04540594,69,28,0,0,n61,7.4408984,30.0
7.4666057,0.49412343,66,21,0,0,n62,7.4408984,30.0
7.6308684,0.32986078,69,45,0,0,n63,7.4408984,30.0
7.6535716,0.3071578,66,38,0,0,n64,7.4408984,30.0
7.8191695,0.14155969,61,43,0,0,n65,7.4408984,30.0
7.8245115,0.13621782,66,44,0,0,n66,7.4408984,30.0
7.980761,0.04139953,61,63,0,0,n67,7.4408984,30.0
7.9847674,0.03205125,57,56,0,0,n68,7.4408984,30.0
8.142353,0.040064063,57,48,0,0,n69,7.984768,33.0
8.153037,0.034722187,54,51,0,0,n70,7.984768,33.0
8.326648,0.03338672,61,51,0,0,n71,7.984768,33.0
8.327983,0.046741407,66,52,0,0,n72,7.984768,33.0
8.489574,0.36191204,61,64,0,0,n73,7.984768,33.0
8.501594,0.34989282,68,73,0,0,n74,8.489575,36.0
8.51762,0.3338672,65,41,0,0,n75,8.489575,36.0
8.660515,0.19097203,61,56,0,0,n76,8.489575,36.0
8.685888,0.16559812,49,41,0,0,n77,8.489575,36.0
8.836797,0.05341875,68,64,0,0,n78,8.489575,36.0
8.843474,0.026709376,61,54,0,0,n79,8.489575,36.0
9.002395,0.4313564,61,62,0,0,n80,8.489575,36.0
9.01575,0.4180017,69,70,0,0,n81,9.01575,39.0
9.031775,0.4019761,66,40,0,0,n82,9.01575,39.0
9.185354,0.24839719,61,38,0,0,n83,9.01575,39.0
9.188025,0.24572624,54,49,0,0,n84,9.01575,39.0
9.334927,0.09882469,61,62,0,0,n85,9.01575,39.0
9.358965,0.07478625,69,46,0,0,n86,9.01575,39.0
9.521893,0.042735,66,61,0,0,n87,9.01575,39.0
9.53124,0.025373906,63,66,0,0,n88,9.53124,42.0
9.695503,0.036057655,57,45,0,0,n89,9.53124,42.0
9.712864,0.042735,60,24,0,0,n90,9.53124,42.0
9.8544235,0.028044844,63,53,0,0,n91,9.53124,42.0
9.869114,0.05074781,66,49,0,0,n92,9.53124,42.0
10.034712,0.034722187,61,49,0,0,n93,10.034712,45.0
10.034712,0.044070467,65,65,0,0,n94,10.034712,45.0
10.202981,0.03071578,68,59,0,0,n95,10.034712,45.0
10.209659,0.029380312,73,52,0,0,n96,10.034712,45.0
10.360566,0.026709376,80,54,0,0,n97,10.034712,45.0
10.365909,0.63167673,77,43,0,0,n98,10.034712,45.0
10.516816,0.48076874,78,54,0,0,n99,10.516816,48.0
10.518152,0.47943327,85,64,0,0,n100,10.516816,48.0
10.662382,0.33520266,78,49,0,0,n101,10.516816,48.0
10.677073,0.3205125,73,53,0,0,n102,10.516816,48.0
10.695769,0.30181593,81,37,0,0,n103,10.516816,48.0
10.837329,0.16025625,73,57,0,0,n104,10.516816,48.0
10.861367,0.13621782,69,41,0,0,n105,10.516816,48.0
10.870716,0.12686953,78,44,0,0,n106,10.516816,48.0
11.017617,0.43536282,78,75,0,0,n107,11.017617,51.0
11.02563,0.029380312,69,51,0,0,n108,11.017617,51.0
11.030972,0.046741407,74,52,0,0,n109,11.017617,51.0
11.159177,0.29380313,66,57,0,0,n110,11.017617,51.0
