onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.262284,5.8359985,63,50,1,0,n0,-10.0,-10.0
2.2662904,5.831992,75,46,1,0,n1,-10.0,-10.0
2.5494099,5.5488725,63,44,1,0,n2,-10.0,-10.0
2.5734482,5.524834,75,13,1,0,n3,-10.0,-10.0
2.74973,5.348552,63,49,1,0,n4,-10.0,-10.0
2.772433,5.3258495,75,45,1,0,n5,2.7610815,3.0
3.0074756,5.090807,99,55,1,0,n6,2.7610815,3.0
3.008811,5.0894713,87,50,1,0,n7,2.7610815,3.0
3.225157,4.8731256,87,44,1,0,n8,2.7610815,3.0
3.227828,4.8704543,99,59,1,0,n9,2.7610815,3.0
3.4601996,4.638083,87,54,1,0,n10,2.7610815,3.0
3.466877,4.631406,99,63,1,0,n11,3.4635384,6.0
3.6712036,4.4270787,63,49,1,0,n12,3.4635384,6.0
3.677881,4.4204016,75,42,1,0,n13,3.4635384,6.0
3.8982332,4.2000494,63,48,1,0,n14,3.4635384,6.0
3.9009042,4.197378,75,45,1,0,n15,3.4635384,6.0
4.154643,3.9436393,75,39,1,0,n16,3.4635384,6.0
4.165327,3.9329555,63,39,1,0,n17,4.159985,9.0
4.392357,3.7059257,99,58,1,0,n18,4.159985,9.0
4.3963633,3.7019193,87,50,1,0,n19,4.159985,9.0
4.655444,3.4428384,99,56,1,0,n20,4.159985,9.0
4.6728053,3.4254773,87,31,1,0,n21,4.159985,9.0
4.9105186,3.187764,87,43,1,0,n22,4.159985,9.0
4.921202,3.1770802,99,49,1,0,n23,4.9158607,12.0
5.180283,2.9179993,75,46,1,0,n24,4.9158607,12.0
5.190967,2.9073155,63,45,1,0,n25,4.9158607,12.0
5.5114794,2.586803,99,44,1,0,n26,4.9158607,12.0
5.5221634,2.5761192,87,32,1,0,n27,4.9158607,12.0
5.8052826,2.2929997,87,37,1,0,n28,4.9158607,12.0
5.8052826,2.2929997,99,50,1,0,n29,4.9158607,12.0
6.133808,1.9644746,75,39,1,0,n30,5.805283,15.0
6.1525044,1.945778,63,35,1,0,n31,5.805283,15.0
6.531778,1.5665048,99,48,1,0,n32,5.805283,15.0
6.546468,1.5518147,87,40,1,0,n33,5.805283,15.0
7.016553,1.0817297,99,30,1,0,n34,5.805283,15.0
7.0552816,1.043001,87,35,1,0,n35,7.035917,18.0
8.226487,0.7946039,75,46,1,0,n36,7.035917,18.0
8.489574,0.53151655,87,56,1,0,n37,7.035917,18.0
8.786049,0.2350425,87,35,1,0,n38,8.786049,21.0
8.890216,0.13087593,99,59,1,0,n39,8.786049,21.0
9.046465,0.03338672,87,49,1,0,n40,8.786049,21.0
9.142619,0.04540594,99,78,1,0,n41,8.786049,21.0
9.285514,0.042735,85,67,1,0,n42,8.786049,21.0
9.365643,0.070779845,56,54,1,0,n43,8.786049,21.0
9.3963585,0.036057655,99,73,1,0,n44,8.786049,21.0
9.520556,0.034722187,71,55,1,0,n45,9.450444,24.0
9.535247,0.036057655,83,68,1,0,n46,9.450444,24.0
9.640749,0.034722187,99,81,1,0,n47,9.450444,24.0
9.746251,0.048076876,83,56,1,0,n48,9.450444,24.0
9.849082,0.048076876,99,82,1,0,n49,9.450444,24.0
9.971945,0.037393127,82,67,1,0,n50,9.450444,24.0
9.997319,0.04540594,59,52,1,0,n51,9.450444,24.0
10.054744,0.09615375,68,57,1,0,n52,9.450444,24.0
10.068099,0.038728595,99,86,1,0,n53,9.450444,24.0
10.172265,0.026709376,75,61,1,0,n54,10.094809,27.0
10.192298,0.024038438,80,67,1,0,n55,10.094809,27.0
10.280438,0.048076876,99,85,1,0,n56,10.094809,27.0
10.403301,0.02270297,79,71,1,0,n57,10.094809,27.0
10.519487,0.029380312,99,78,1,0,n58,10.094809,27.0
10.678408,0.020032031,80,18,1,0,n59,10.094809,27.0
10.678408,0.049412344,82,23,1,0,n60,10.094809,27.0
