onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0083333,8.366667,75,39,1,0,n0,-10.0,-10.0
1.0395833,8.335417,63,24,1,0,n1,-10.0,-10.0
1.3979167,7.977083,75,51,1,0,n2,-10.0,-10.0
1.4166666,7.9583335,63,36,1,0,n3,-10.0,-10.0
1.7864584,7.5885415,75,44,1,0,n4,-10.0,-10.0
1.8229166,7.5520835,63,28,1,0,n5,1.8046875,3.0
2.2104166,7.164583,99,52,1,0,n6,1.8046875,3.0
2.2114584,7.163542,87,41,1,0,n7,1.8046875,3.0
2.5895834,6.7854166,99,60,1,0,n8,1.8046875,3.0
2.59375,6.78125,87,46,1,0,n9,1.8046875,3.0
3.0010417,6.373958,99,44,1,0,n10,1.8046875,3.0
3.009375,6.365625,87,42,1,0,n11,3.0052085,6.0
3.4145834,5.960417,75,42,1,0,n12,3.0052085,6.0
3.4645834,5.9104166,63,9,1,0,n13,3.0052085,6.0
3.8072917,5.5677085,75,47,1,0,n14,3.0052085,6.0
3.834375,5.540625,63,32,1,0,n15,3.0052085,6.0
4.196875,5.178125,75,53,1,0,n16,3.0052085,6.0
4.20625,5.16875,63,39,1,0,n17,4.2015624,9.0
4.584375,4.790625,99,54,1,0,n18,4.2015624,9.0
4.6,4.775,87,42,1,0,n19,4.2015624,9.0
4.9645834,4.4104166,99,65,1,0,n20,4.2015624,9.0
4.9802084,4.3947916,87,49,1,0,n21,4.2015624,9.0
5.353125,4.021875,99,59,1,0,n22,4.2015624,9.0
5.3635416,4.0114584,87,50,1,0,n23,5.3583336,12.0
5.757292,3.6177084,75,47,1,0,n24,5.3583336,12.0
5.789583,3.5854166,63,31,1,0,n25,5.3583336,12.0
6.178125,3.196875,99,48,1,0,n26,5.3583336,12.0
6.1833334,3.1916666,87,40,1,0,n27,5.3583336,12.0
6.585417,2.7895834,99,48,1,0,n28,5.3583336,12.0
6.60625,2.76875,87,37,1,0,n29,6.5958333,15.0
6.9895835,2.3854167,75,43,1,0,n30,6.5958333,15.0
7.039583,2.3354166,63,23,1,0,n31,6.5958333,15.0
7.45625,1.91875,99,42,1,0,n32,6.5958333,15.0
7.4729166,1.9020833,87,34,1,0,n33,6.5958333,15.0
8.054167,1.3208333,99,34,1,0,n34,6.5958333,15.0
8.0625,1.3125,87,24,1,0,n35,8.058333,18.0
9.602083,0.73333335,75,41,1,0,n36,8.058333,18.0
9.757292,0.578125,87,50,1,0,n37,8.058333,18.0
9.915625,0.41979167,87,50,1,0,n38,9.915625,21.0
10.059375,0.27604166,99,46,1,0,n39,9.915625,21.0
10.215625,0.119791664,87,51,1,0,n40,9.915625,21.0
10.351042,0.034375,99,48,1,0,n41,9.915625,21.0
10.508333,0.036458332,85,41,1,0,n42,9.915625,21.0
10.626041,0.036458332,99,65,1,0,n43,9.915625,21.0
10.669791,0.06875,56,38,1,0,n44,9.915625,21.0
10.771875,0.61875,63,43,1,0,n45,10.728125,24.0
10.786458,0.6041667,83,66,1,0,n46,10.728125,24.0
10.811459,0.57916665,71,43,1,0,n47,10.728125,24.0
10.927083,0.46354166,99,68,1,0,n48,10.728125,24.0
11.069792,0.32083333,83,69,1,0,n49,10.728125,24.0
11.220834,0.16979167,99,66,1,0,n50,10.728125,24.0
11.383333,0.040625,82,59,1,0,n51,10.728125,24.0
11.511458,0.038541667,99,70,1,0,n52,10.728125,24.0
11.552083,0.040625,59,56,1,0,n53,10.728125,24.0
11.655209,0.5552083,68,62,1,0,n54,11.614062,27.0
11.676042,0.534375,80,72,1,0,n55,11.614062,27.0
11.68125,0.52916664,75,58,1,0,n56,11.614062,27.0
11.819792,0.390625,99,79,1,0,n57,11.614062,27.0
11.969791,0.240625,79,75,1,0,n58,11.614062,27.0
12.13125,0.079166666,99,61,1,0,n59,11.614062,27.0
12.276042,0.034375,80,74,1,0,n60,11.614062,27.0
