xml_id	midi_id	track	channel	pitch	onset
n11-1	n5	1	0	63	2.6535764062500005
n12-1	n4	1	0	75	2.6415571875000006
n2-1	n7	1	0	87	2.9553923437500007
n4-1	n8	1	0	87	3.2612146875000008
n15-1	n11	1	0	87	3.577720781250001
n3-1	n6	1	0	99	2.9500504687500007
n5-1	n9	1	0	99	3.263885625000001
n16-1	n10	1	0	99	3.572378906250001
n25-1	n12	1	0	63	3.9102525000000012
n27-1	n15	1	0	63	4.244119687500001
n29-1	n16	1	0	63	4.544600156250001
n26-1	n13	1	0	75	3.9182653125000013
n28-1	n14	1	0	75	4.2321004687500015
n30-1	n17	1	0	75	4.545935625000001
n20-1	n19	1	0	87	4.8530934375
n22-1	n21	1	0	87	5.176276875
n33-1	n23	1	0	87	5.475421874999999
n21-1	n18	1	0	99	4.85175796875
n23-1	n20	1	0	99	5.16158671875
n34-1	n22	1	0	99	5.4674090625
n44-1	n24	1	0	63	5.80127625
n45-1	n25	1	0	75	5.80261171875
n36-1	n27	1	0	87	6.13113703125
n38-1	n29	1	0	87	6.45432046875
n37-1	n26	1	0	99	6.1271306249999995
n39-1	n28	1	0	99	6.44897859375
n48-1	n31	1	0	63	6.808219687499999
n49-1	n30	1	0	75	6.802877812499999
n41-1	n33	1	0	87	7.1981765625000005
n51-1	n35	1	0	87	7.793795625000001
n42-1	n32	1	0	99	7.1928346875
n52-1	n34	1	0	99	7.783111875000001
n54-1	n36	1	0	75	9.085193906250023
n63-1	deletion
n55-1	n37	1	0	87	9.269488593750024
n56-1	n38	1	0	87	9.423067500000023
n65-1	n40	1	0	87	9.714199687500024
n64-1	deletion
n57-1	n39	1	0	99	9.571304531250023
n86-1	n43	1	0	56	10.116175781250023
n87-1	n45	1	0	63	10.182949218750023
n88-1	n46	1	0	71	10.229690625000025
n68-1	n47	1	0	83	10.244380781250024
n80-1	deletion
n60-1	n42	1	0	85	9.985299843750022
n66-1	deletion
n58-1	deletion
n59-1	n41	1	0	99	9.854423906250023
n61-1	n44	1	0	99	10.117511250000023
n69-1	n48	1	0	99	10.387275937500025
n91-1	n52	1	0	59	10.912115156250026
n92-1	n54	1	0	68	10.985565937500027
n93-1	n55	1	0	75	11.048332968750026
n83-1	n56	1	0	80	11.055010312500027
n74-1	deletion
n82-1	n51	1	0	82	10.778568281250026
n108-1	n64	1	0	82	11.853620625000033
n96-1	deletion
n72-1	deletion
n81-1	n49	1	0	83	10.514145468750026
n70-1	deletion
n71-1	n50	1	0	99	10.654369687500026
n73-1	n53	1	0	99	10.930811718750027
n75-1	n57	1	0	99	11.19122812500003
n114-1	n61	1	0	63	11.697370781250031
n115-1	n63	1	0	70	11.73609937500003
n84-1	n58	1	0	79	11.32611046875003
n116-1	n65	1	0	79	11.856291562500033
n76-1	deletion
n78-1	n60	1	0	80	11.598546093750029
n85-1	deletion
n77-1	n59	1	0	99	11.45698640625003
n79-1	n62	1	0	99	11.721409218750031
n97-1	n66	1	0	99	12.007199531250032
n119-1	n73	1	0	67	12.702978750000028
n120-1	n72	1	0	70	12.69630140625003
n98-1	n67	1	0	75	12.151430156250031
n100-1	n69	1	0	75	12.43454953125003
n104-1	n75	1	0	75	12.970072500000029
n110-1	deletion
n109-1	deletion
n111-1	n71	1	0	76	12.69229500000003
n102-1	deletion
n101-1	n70	1	0	87	12.54939984375003
n103-1	n74	1	0	87	12.836525625000029
n99-1	n68	1	0	99	12.29031890625003
n141-1	n80	1	0	68	13.500253593750035
n123-1	n79	1	0	71	13.496247187500035
n135-1	deletion
n113-1	n77	1	0	73	13.239837187500033
n106-1	deletion
n112-1	deletion
n105-1	n76	1	0	87	13.100948437500032
n107-1	n78	1	0	87	13.358693906250032
n124-1	n81	1	0	87	13.621781250000035
n144-1	n86	1	0	59	14.192026406250038
n145-1	n87	1	0	62	14.230755000000038
n146-1	n88	1	0	65	14.28818015625004
n129-1	n89	1	0	68	14.28818015625004
n138-1	deletion
n137-1	n84	1	0	70	14.025092812500038
n161-1	n96	1	0	70	15.121512656250047
n149-1	deletion
n127-1	deletion
n125-1	n82	1	0	71	13.755328125000036
n136-1	deletion
n126-1	n83	1	0	87	13.884868593750037
n128-1	n85	1	0	87	14.157304218750038
n130-1	n90	1	0	87	14.42973984375004
n162-1	n98	1	0	63	15.385935468750045
n167-1	deletion
n131-1	n91	1	0	67	14.579312343750042
n168-1	n95	1	0	67	15.112164375000047
n139-1	deletion
n140-1	n93	1	0	68	14.846406093750044
n133-1	deletion
n132-1	n92	1	0	87	14.714194687500044
n134-1	n94	1	0	87	14.981288437500046
n150-1	n97	1	0	87	15.259065937500045
n151-1	deletion
n152-1	n99	1	0	75	15.516811406250046
n153-1	n100	1	0	75	15.638339062500044
n163-1	deletion
n154-1	n101	1	0	87	15.771885937500045
n164-1	n102	1	0	87	15.928135781250045
n155-1	deletion
n156-1	n103	1	0	99	16.056340781250046
n189-1	n107	1	0	56	16.557141562500046
n190-1	n109	1	0	63	16.663979062500047
n191-1	n110	1	0	71	16.709385000000047
n171-1	n111	1	0	83	16.716062343750046
n183-1	deletion
n166-1	n106	1	0	85	16.448968593750045
n159-1	deletion
n157-1	n104	1	0	87	16.193894062500046
n165-1	deletion
n158-1	n105	1	0	99	16.319428125000044
n160-1	n108	1	0	99	16.598541093750047
n172-1	n112	1	0	99	16.868305781250044
n194-1	n116	1	0	59	17.35575187500005
