idx,matchtype,partid,ppartid
0,0,n11-1,n6
1,0,n12-1,n5
2,0,n2-1,n8
3,0,n4-1,n9
4,0,n15-1,n12
5,0,n3-1,n7
6,0,n5-1,n10
7,0,n16-1,n11
8,0,n25-1,n14
9,0,n27-1,n16
10,0,n29-1,n17
11,0,n26-1,n13
12,0,n28-1,n15
13,0,n30-1,n18
14,0,n20-1,n20
15,0,n22-1,n22
16,0,n33-1,n23
17,0,n21-1,n19
18,0,n23-1,n21
19,0,n34-1,n24
20,0,n44-1,n26
21,0,n45-1,n25
22,0,n36-1,n28
23,0,n38-1,n29
24,0,n37-1,n27
25,0,n39-1,n30
26,0,n48-1,n32
27,0,n49-1,n31
28,0,n41-1,n34
29,0,n51-1,n36
30,0,n42-1,n33
31,0,n52-1,n35
32,0,n54-1,n37
33,1,n63-1,undefined
34,0,n55-1,n38
35,0,n56-1,n39
36,0,n65-1,n41
37,1,n64-1,undefined
38,0,n57-1,n40
39,0,n59-1,n42
40,0,n86-1,n44
41,0,n87-1,n46
42,0,n88-1,n48
43,0,n68-1,n47
44,1,n80-1,undefined
45,0,n60-1,n43
46,1,n66-1,undefined
47,1,n58-1,undefined
48,0,n61-1,n45
49,0,n69-1,n49
50,0,n91-1,n53
51,0,n92-1,n55
52,0,n93-1,n57
53,0,n83-1,n56
54,1,n74-1,undefined
55,0,n82-1,n52
56,0,n108-1,n66
57,1,n96-1,undefined
58,1,n72-1,undefined
59,0,n81-1,n50
60,1,n70-1,undefined
61,0,n71-1,n51
62,0,n73-1,n54
63,0,n75-1,n58
64,0,n114-1,n62
65,0,n115-1,n65
66,0,n84-1,n59
67,0,n116-1,n67
68,1,n76-1,undefined
69,0,n78-1,n61
70,0,n85-1,n63
71,0,n77-1,n60
72,0,n79-1,n64
73,0,n97-1,n68
74,0,n119-1,n73
75,0,n120-1,n74
76,0,n98-1,n69
77,0,n100-1,n71
78,1,n109-1,undefined
79,1,n110-1,undefined
80,0,n111-1,n75
81,1,n102-1,undefined
82,0,n101-1,n72
83,0,n103-1,n76
84,0,n99-1,n70
85,0,n141-1,n82
86,0,n123-1,n81
87,1,n135-1,undefined
88,0,n113-1,n79
89,1,n106-1,undefined
90,0,n104-1,n77
91,1,n112-1,undefined
92,0,n105-1,n78
93,0,n107-1,n80
94,0,n124-1,n83
95,0,n144-1,n87
96,0,n145-1,n89
97,0,n146-1,n90
98,0,n129-1,n91
99,1,n138-1,undefined
100,0,n137-1,n86
101,0,n161-1,n97
102,1,n149-1,undefined
103,1,n127-1,undefined
104,0,n125-1,n84
105,1,n136-1,undefined
106,0,n126-1,n85
107,1,n128-1,undefined
108,0,n130-1,n92
109,2,undefined,n88
110,0,n167-1,n99
111,0,n131-1,n93
112,0,n168-1,n98
113,1,n139-1,undefined
114,0,n140-1,n95
115,1,n133-1,undefined
116,0,n132-1,n94
117,0,n134-1,n96
118,0,n150-1,n100
119,0,n162-1,n101
120,1,n151-1,undefined
121,0,n152-1,n102
122,0,n153-1,n103
123,1,n163-1,undefined
124,0,n154-1,n104
125,0,n164-1,n105
126,1,n155-1,undefined
127,0,n156-1,n106
128,0,n189-1,n110
129,0,n190-1,n112
130,0,n191-1,n114
131,0,n171-1,n113
132,1,n183-1,undefined
133,0,n166-1,n109
134,1,n159-1,undefined
135,0,n157-1,n107
136,1,n165-1,undefined
137,0,n158-1,n108
138,0,n160-1,n111
139,0,n172-1,n115
140,0,n194-1,n119
141,0,n195-1,n121
142,0,n196-1,n123
143,0,n177-1,n122
144,1,n186-1,undefined
145,0,n175-1,n118
146,0,n211-1,n132
147,1,n199-1,undefined
148,1,n185-1,undefined
149,0,n173-1,n116
150,1,n184-1,undefined
151,0,n174-1,n117
152,0,n176-1,n120
153,0,n178-1,n124
154,0,n217-1,n128
155,0,n218-1,n131
156,0,n187-1,n125
157,0,n219-1,n133
158,1,n179-1,undefined
159,0,n188-1,n127
160,0,n181-1,n129
161,0,n180-1,n126
162,0,n182-1,n130
163,0,n200-1,n134
164,0,n222-1,n139
165,0,n223-1,n141
166,0,n201-1,n135
167,0,n203-1,n137
168,1,n207-1,undefined
169,1,n212-1,undefined
170,1,n213-1,undefined
171,0,n214-1,n140
172,1,n205-1,undefined
173,0,n204-1,n138
174,0,n206-1,n142
175,0,n202-1,n136
176,0,n240-1,n148
177,0,n241-1,n150
178,0,n209-1,n145
179,0,n215-1,n143
180,0,n216-1,n146
181,0,n226-1,n149
182,1,n236-1,undefined
183,0,n208-1,n144
184,0,n210-1,n147
185,0,n237-1,n151
186,0,n244-1,n156
187,0,n245-1,n157
188,0,n246-1,n158
189,0,n231-1,n159
190,1,n238-1,undefined
191,0,n227-1,n152
192,0,n228-1,n153
193,0,n229-1,n154
194,0,n239-1,n160
195,0,n230-1,n155
196,0,n249-1,n165
197,0,n250-1,n166
198,0,n232-1,n161
199,0,n233-1,n162
