xml_id	midi_id	track	channel	pitch	onset
n11-1	n5	1	0	63	1.2968749999999998
n12-1	n4	1	0	75	1.2890624999999998
n2-1	n7	1	0	87	1.6835937499999998
n4-1	n9	1	0	87	2.009114583333333
n15-1	n11	1	0	87	2.34765625
n3-1	n6	1	0	99	1.6549479166666665
n5-1	n8	1	0	99	1.993489583333333
n16-1	n10	1	0	99	2.33203125
n25-1	n12	1	0	63	2.717447916666667
n27-1	n14	1	0	63	3.0442708333333335
n29-1	n16	1	0	63	3.4140625
n26-1	n13	1	0	75	2.721354166666667
n28-1	n15	1	0	75	3.05859375
n30-1	n17	1	0	75	3.4166666666666665
n20-1	n19	1	0	87	3.7617187499999996
n22-1	n21	1	0	87	4.10546875
n33-1	n23	1	0	87	4.477864583333333
n21-1	n18	1	0	99	3.743489583333333
n23-1	n20	1	0	99	4.091145833333333
n34-1	n22	1	0	99	4.45703125
n44-1	n24	1	0	63	4.881510416666666
n45-1	n25	1	0	75	4.882812499999999
n36-1	n27	1	0	87	5.300781249999999
n38-1	n29	1	0	87	5.738281249999998
n37-1	n26	1	0	99	5.289062499999999
n39-1	n28	1	0	99	5.710937499999998
n48-1	n31	1	0	63	6.226562499999997
n49-1	n30	1	0	75	6.221354166666664
n41-1	n33	1	0	87	6.821614583333331
n51-1	n34	1	0	87	7.808593749999997
n42-1	n32	1	0	99	6.798177083333331
n52-1	n35	1	0	99	7.808593749999997
n54-1	n36	1	0	75	9.703124999999996
n63-1	deletion
n55-1	n37	1	0	87	9.977864583333329
n56-1	n38	1	0	87	10.225260416666663
n65-1	n40	1	0	87	10.558593749999996
n64-1	deletion
n57-1	n39	1	0	99	10.363281249999996
n59-1	n41	1	0	99	10.678385416666663
n86-1	n44	1	0	56	10.976562499999996
n87-1	n45	1	0	63	11.061197916666663
n88-1	n47	1	0	71	11.148437499999996
n68-1	n46	1	0	83	11.128906249999996
n80-1	deletion
n60-1	n42	1	0	85	10.832031249999996
n66-1	deletion
n58-1	deletion
n61-1	n43	1	0	99	10.955729166666663
n69-1	n48	1	0	99	11.266927083333327
