onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.2421875,45,38,1,0,n0,-10.0,-10.0
0.51432294,0.22786458,52,37,1,0,n1,-10.0,-10.0
0.5885417,0.15364583,69,56,1,0,n2,-10.0,-10.0
0.59375,0.1484375,57,42,1,0,n3,-10.0,-10.0
0.640625,0.1015625,72,60,1,0,n4,-10.0,-10.0
0.68359375,0.05859375,81,85,1,0,n5,0.680589,0.0
0.7265625,0.032552082,64,69,1,0,n6,0.680589,0.0
0.74088544,0.03515625,60,51,1,0,n7,0.680589,0.0
1.1145834,0.03125,69,69,1,0,n8,0.680589,0.0
1.2278646,0.028645834,69,62,1,0,n9,0.680589,0.0
1.296875,0.088541664,72,64,1,0,n10,1.227865,1.0
1.3893229,0.046875,71,69,1,0,n11,1.227865,1.0
1.4882812,0.0390625,52,35,1,0,n12,1.227865,1.0
1.4921875,0.040364582,69,20,1,0,n13,1.227865,1.0
1.5729166,0.19010417,76,63,1,0,n14,1.227865,1.0
1.5872396,0.17578125,64,51,1,0,n15,1.227865,1.0
1.6484375,0.114583336,80,78,1,0,n16,1.227865,1.0
1.6705729,0.092447914,88,85,1,0,n17,1.668051,2.0
1.6992188,0.063802086,71,59,1,0,n18,1.668051,2.0
1.71875,0.044270832,68,42,1,0,n19,1.668051,2.0
2.0716145,0.0234375,64,66,1,0,n20,1.668051,2.0
2.1679688,0.05078125,64,81,1,0,n21,1.668051,2.0
2.2630208,0.123697914,68,64,1,0,n22,2.167969,3.0
2.3854167,0.048177082,66,52,1,0,n23,2.167969,3.0
2.4166667,0.040364582,45,39,1,0,n24,2.167969,3.0
2.4192708,0.032552082,64,63,1,0,n25,2.167969,3.0
2.4557292,0.04296875,52,38,1,0,n26,2.167969,3.0
2.546875,0.13541667,57,21,1,0,n27,2.167969,3.0
2.5664062,0.115885414,69,48,1,0,n28,2.167969,3.0
2.625,0.057291668,64,64,1,0,n29,2.167969,3.0
2.626302,0.055989582,72,67,1,0,n30,2.167969,3.0
2.6432292,0.046875,81,82,1,0,n31,2.640321,4.0
