xml_id	midi_id	track	channel	pitch	onset
n11-1	n0	1	0	45	2.0218996875000004
n12-1	n1	1	0	52	2.09535046875
n13-1	n2	1	0	57	2.1714721874999996
n14-1	n5	1	0	60	2.2529357812499997
n1-1	n3	1	0	64	2.1968460937499996
n2-1	n4	1	0	69	2.2168781249999996
n6-1	n8	1	0	69	2.6923049999999993
n7-1	n9	1	0	69	2.7978070312499996
n10-1	n13	1	0	69	3.0448687499999996
n9-1	n11	1	0	71	2.9593987499999996
n17-1	n15	1	0	71	3.1650609374999994
n3-1	n6	1	0	72	2.2662904687499994
n8-1	n10	1	0	72	2.8872834375
n4-1	n7	1	0	81	2.3183737499999992
n27-1	n12	1	0	52	2.9874435937499997
n28-1	n14	1	0	59	3.0822618749999995
n29-1	n16	1	0	64	3.1744092187499993
n22-1	n21	1	0	64	3.6044301562499985
n30-1	n19	1	0	68	3.238511718749999
n18-1	n17	1	0	76	3.1944412499999992
n19-1	n18	1	0	80	3.234505312499999
n20-1	n20	1	0	88	3.2705629687499984
n23-1	n22	1	0	64	3.7085967187499986
n26-1	n26	1	0	64	3.967677656249999
n33-1	n29	1	0	64	4.09187625
n25-1	n24	1	0	66	3.8755303124999987
n24-1	n23	1	0	68	3.7873893749999987
n43-1	n25	1	0	45	3.9329554687499986
n44-1	n27	1	0	52	4.0010643749999995
n45-1	n28	1	0	57	4.071844218750001
n46-1	n31	1	0	60	4.166662500000002
n34-1	n30	1	0	69	4.137282187500001
n38-1	n34	1	0	69	4.571309531250002
n35-1	n32	1	0	72	4.172004375000002
n36-1	n33	1	0	81	4.214739375000002
n39-1	n35	1	0	69	4.6514376562500015
n42-1	n40	1	0	69	4.938563437500001
n41-1	n38	1	0	71	4.830390468750001
n40-1	n36	1	0	72	4.740914062500001
n56-1	n37	1	0	52	4.798339218750001
n57-1	n39	1	0	59	4.8958284375000005
n58-1	n41	1	0	64	4.987975781250001
n59-1	n42	1	0	68	5.081458593750001
n49-1	n46	1	0	71	5.1415546875
n54-1	n44	1	0	76	5.1228581250000005
n50-1	n45	1	0	80	5.1282000000000005
n51-1	n43	1	0	88	5.109503437500001
n53-1	n47	1	0	64	5.6890968750000015
n72-1	n48	1	0	45	6.033647812500003
n73-1	n49	1	0	52	6.104427656250002
n74-1	n50	1	0	57	6.156510937500003
n75-1	n54	1	0	60	6.24865828125
n62-1	n51	1	0	64	6.1591818750000025
n63-1	n52	1	0	69	6.1765429687500015
n67-1	n56	1	0	69	6.611905781250002
n68-1	n57	1	0	69	6.702717656250002
n64-1	n53	1	0	72	6.227290781250001
n65-1	n55	1	0	81	6.26468390625
n71-1	n61	1	0	69	6.973817812500002
n70-1	n59	1	0	71	6.880335000000001
n69-1	n58	1	0	72	6.797535937500002
n88-1	n60	1	0	52	6.900367031250002
n89-1	n62	1	0	59	6.988507968750002
n90-1	n63	1	0	64	7.087332656250003
n84-1	n69	1	0	64	7.522695468750003
n83-1	deletion
n91-1	n66	1	0	68	7.131403125000003
n78-1	n64	1	0	71	7.090003593750002
n79-1	n65	1	0	76	7.116712968750003
n80-1	n67	1	0	80	7.159447968750003
