onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0218997,0.35657015,45,31,1,0,n0,-10.0,-10.0
2.0953505,0.28311938,52,44,1,0,n1,-10.0,-10.0
2.171472,0.20699766,57,53,1,0,n2,-10.0,-10.0
2.196846,0.18162376,64,40,1,0,n3,-10.0,-10.0
2.2168782,0.16159172,69,55,1,0,n4,-10.0,-10.0
2.252936,0.12553406,60,60,1,0,n5,-10.0,-10.0
2.2662904,0.112179376,72,63,1,0,n6,2.253914,0.0
2.3183737,0.060096093,81,83,1,0,n7,2.253914,0.0
2.692305,0.036057655,69,59,1,0,n8,2.253914,0.0
2.797807,0.044070467,69,70,1,0,n9,2.797807,1.0
2.8872833,0.060096093,72,68,1,0,n10,2.797807,1.0
2.9593987,0.05208328,71,66,1,0,n11,2.797807,1.0
2.9874437,0.07211531,52,47,1,0,n12,2.797807,1.0
3.0448687,0.038728595,69,64,1,0,n13,2.797807,1.0
3.0822618,0.23771344,59,55,1,0,n14,2.797807,1.0
3.165061,0.15491438,71,69,1,0,n15,2.797807,1.0
3.1744092,0.14556609,64,65,1,0,n16,2.797807,1.0
3.1944413,0.12553406,76,74,1,0,n17,2.797807,1.0
3.2345054,0.08547,80,81,1,0,n18,3.228152,2.0
3.2385118,0.08146359,68,63,1,0,n19,3.228152,2.0
3.270563,0.049412344,88,87,1,0,n20,3.228152,2.0
3.6044302,0.03338672,64,67,1,0,n21,3.228152,2.0
3.7085967,0.036057655,64,70,1,0,n22,3.228152,2.0
3.7873893,0.097489215,68,69,1,0,n23,3.708597,3.0
3.8755302,0.070779845,66,73,1,0,n24,3.708597,3.0
3.9329555,0.056089688,45,54,1,0,n25,3.708597,3.0
3.9676776,0.042735,64,66,1,0,n26,3.708597,3.0
4.0010643,0.07345078,52,60,1,0,n27,3.708597,3.0
4.071844,0.049412344,57,63,1,0,n28,3.708597,3.0
4.091876,0.036057655,64,70,1,0,n29,3.708597,3.0
4.1372824,0.044070467,69,71,1,0,n30,3.708597,3.0
4.1666627,0.038728595,60,41,1,0,n31,3.708597,3.0
4.172004,0.03071578,72,73,1,0,n32,3.708597,3.0
4.2147393,0.025373906,81,80,1,0,n33,4.17606,4.0
4.5713096,0.028044844,69,53,1,0,n34,4.17606,4.0
4.6514378,0.04139953,69,61,1,0,n35,4.17606,4.0
4.740914,0.07211531,72,66,1,0,n36,4.651438,5.0
4.7983394,0.10149562,52,52,1,0,n37,4.651438,5.0
4.8303905,0.05208328,71,69,1,0,n38,4.651438,5.0
4.8958282,0.037393127,59,59,1,0,n39,4.651438,5.0
4.9385633,0.03205125,69,64,1,0,n40,4.651438,5.0
4.9879756,0.08547,64,58,1,0,n41,4.651438,5.0
5.0814586,0.6330122,68,61,1,0,n42,4.651438,5.0
5.1095033,0.60496736,88,84,1,0,n43,4.651438,5.0
5.122858,0.59161264,76,71,1,0,n44,4.651438,5.0
5.1282,0.5862708,80,60,1,0,n45,4.651438,5.0
5.141555,0.5729161,71,69,1,0,n46,5.139766,6.0
5.689097,0.05208328,64,62,1,0,n47,5.687094,7.0
6.033648,0.046741407,45,51,1,0,n48,5.687094,7.0
6.104428,0.2350425,52,57,1,0,n49,5.687094,7.0
6.156511,0.18295921,57,64,1,0,n50,5.687094,7.0
6.159182,0.18028829,64,53,1,0,n51,5.687094,7.0
6.1765428,0.16292718,69,60,1,0,n52,5.687094,7.0
6.2272906,0.112179376,72,65,1,0,n53,6.219327,8.0
6.248658,0.09081188,60,55,1,0,n54,6.219327,8.0
6.2646837,0.07478625,81,82,1,0,n55,6.219327,8.0
6.6119056,0.03205125,69,67,1,0,n56,6.219327,8.0
6.702718,0.06276703,69,75,1,0,n57,6.702718,9.0
6.797536,0.070779845,72,64,1,0,n58,6.702718,9.0
6.880335,0.05208328,71,72,1,0,n59,6.702718,9.0
6.9003673,0.06677344,52,36,1,0,n60,6.702718,9.0
6.973818,0.03338672,69,72,1,0,n61,6.702718,9.0
6.9885077,0.23237157,59,61,1,0,n62,6.702718,9.0
7.0873327,0.13354687,64,60,1,0,n63,6.702718,9.0
7.0900035,0.13087593,71,74,1,0,n64,6.702718,9.0
7.116713,0.10416656,76,74,1,0,n65,6.702718,9.0
7.131403,0.08947641,68,74,1,0,n66,6.702718,9.0
7.159448,0.06143156,80,78,1,0,n67,7.151436,10.0
7.187493,0.03338672,88,87,1,0,n68,7.151436,10.0
7.5226955,0.034722187,64,67,1,0,n69,7.522695,11.0
7.704319,0.07345078,68,67,1,0,n70,7.522695,11.0
7.784447,0.058760624,66,68,1,0,n71,7.522695,11.0
7.8044796,0.0641025,45,54,1,0,n72,7.522695,11.0
7.883272,0.042735,64,67,1,0,n73,7.522695,11.0
