onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.97291666,0.74895835,37,73,1,0,n0,-10.0,-10.0
1.0291667,0.6927083,44,85,1,0,n1,1.001042,0.0
1.090625,0.63125,49,98,1,0,n2,1.001042,0.0
1.63125,1.06875,44,76,1,0,n3,1.001042,0.0
1.6333333,1.0666667,49,93,1,0,n4,1.001042,0.0
2.1260417,0.57395834,37,86,1,0,n5,1.001042,0.0
2.6291666,1.09375,44,76,1,0,n6,2.126042,1.0
2.6291666,1.09375,49,93,1,0,n7,2.126042,1.0
3.1375,0.5854167,37,76,1,0,n8,2.126042,1.0
3.6291666,1.3520833,44,74,1,0,n9,2.126042,1.0
3.6291666,1.3520833,49,90,1,0,n10,2.126042,1.0
4.1197915,0.86145836,37,80,1,0,n11,2.126042,1.0
4.5833335,0.39791667,44,80,1,0,n12,4.119792,2.0
4.584375,0.396875,49,93,1,0,n13,4.119792,2.0
4.8385415,0.14375,37,75,1,0,n14,4.119792,2.0
4.8875,0.14166667,44,84,1,0,n15,4.838542,3.0
4.9489584,0.092708334,49,95,1,0,n16,4.838542,3.0
5.0291667,0.53229165,56,102,1,0,n17,4.838542,3.0
5.5416665,1.0010417,56,102,1,0,n18,5.422917,4.0
5.5427084,1.0,49,90,1,0,n19,5.422917,4.0
5.55625,0.98645836,44,79,1,0,n20,5.422917,4.0
6.007292,0.53541666,37,90,1,0,n21,6.007292,5.0
6.5104165,0.9927083,56,102,1,0,n22,6.007292,5.0
6.515625,0.9875,49,97,1,0,n23,6.007292,5.0
6.525,0.978125,44,83,1,0,n24,6.007292,5.0
6.9822917,0.5208333,37,95,1,0,n25,6.007292,5.0
7.467708,1.4083333,56,98,1,0,n26,6.982292,6.0
7.471875,1.4041667,49,91,1,0,n27,6.982292,6.0
7.483333,1.3927083,44,82,1,0,n28,6.982292,6.0
7.930208,0.9458333,37,90,1,0,n29,7.930208,7.0
8.401042,0.475,56,96,1,0,n30,7.930208,7.0
8.405209,0.47083333,49,86,1,0,n31,7.930208,7.0
8.413542,0.4625,44,74,1,0,n32,7.930208,7.0
8.885417,0.51979166,65,95,1,0,n33,7.930208,7.0
8.896875,0.5083333,68,93,1,0,n34,7.930208,7.0
8.896875,0.5083333,77,91,1,0,n35,7.930208,7.0
8.901042,0.50416666,56,89,1,0,n36,8.898958,8.0
8.903125,0.50208336,61,95,1,0,n37,8.898958,8.0
