xml_id	midi_id	track	channel	pitch	onset
n4-1	n1	1	0	39	0.9908854166666666
n5-1	n0	1	0	40	0.98046875
n6-1	n2	1	0	40	1.1757812499999998
n7-1	n3	1	0	40	1.3424479166666663
n9-1	n4	1	0	40	1.5234374999999998
n10-1	n5	1	0	40	1.7083333333333333
n11-1	n6	1	0	40	1.8684895833333333
n13-1	n8	1	0	39	2.0546875
n14-1	n7	1	0	40	2.0494791666666665
n15-1	n9	1	0	40	2.2239583333333335
n16-1	n10	1	0	40	2.4036458333333335
n18-1	n12	1	0	39	2.578125
n19-1	n11	1	0	40	2.5638020833333335
n20-1	n13	1	0	40	2.7539062500000004
n21-1	n14	1	0	40	2.908854166666667
n24-1	n17	1	0	40	3.0820312500000004
n23-1	n16	1	0	46	3.0781250000000004
n25-1	n15	1	0	47	3.075520833333334
n26-1	n19	1	0	40	3.2526041666666674
n27-1	n18	1	0	47	3.251302083333334
n28-1	n21	1	0	40	3.421875000000001
n29-1	n20	1	0	47	3.414062500000001
n31-1	n23	1	0	40	3.5989583333333344
n32-1	n22	1	0	47	3.588541666666668
n33-1	n25	1	0	40	3.756510416666668
n34-1	n24	1	0	47	3.7434895833333344
n35-1	n27	1	0	40	3.919270833333334
n36-1	n26	1	0	47	3.9127604166666674
n39-1	n30	1	0	40	4.080729166666668
n38-1	n29	1	0	46	4.072916666666668
n40-1	n28	1	0	47	4.065104166666668
n41-1	n32	1	0	40	4.269531250000001
n42-1	n31	1	0	47	4.257812500000001
n43-1	n34	1	0	40	4.424479166666669
n44-1	n33	1	0	47	4.417968750000002
n47-1	n37	1	0	40	4.579427083333336
n46-1	n36	1	0	46	4.576822916666669
n48-1	n35	1	0	47	4.567708333333336
n49-1	n39	1	0	40	4.742187500000002
n50-1	n38	1	0	47	4.736979166666669
n51-1	n40	1	0	40	4.923177083333335
n52-1	n41	1	0	47	4.923177083333335
n57-1	n43	1	0	40	5.053385416666668
n58-1	n42	1	0	47	5.052083333333335
n53-1	n44	1	0	53	5.053385416666668
n54-1	n45	1	0	54	5.058593750000001
n59-1	n48	1	0	40	5.236979166666667
n60-1	n46	1	0	47	5.229166666666667
n55-1	n47	1	0	54	5.229166666666667
n61-1	n51	1	0	40	5.411458333333333
n62-1	n50	1	0	47	5.40625
n56-1	n49	1	0	54	5.391927083333333
n66-1	n53	1	0	40	5.574218749999999
n67-1	n52	1	0	47	5.567708333333332
n63-1	n54	1	0	54	5.575520833333332
n68-1	n56	1	0	40	5.734374999999998
n69-1	n55	1	0	47	5.730468749999998
n64-1	n57	1	0	54	5.739583333333331
n70-1	n60	1	0	40	5.901041666666664
n71-1	n59	1	0	47	5.897135416666664
n65-1	n58	1	0	54	5.885416666666664
n79-1	n63	1	0	40	6.049479166666663
n80-1	n61	1	0	47	6.042968749999997
n72-1	n62	1	0	53	6.04427083333333
n73-1	n64	1	0	54	6.057291666666663
n74-1	n65	1	0	61	6.057291666666663
n81-1	n68	1	0	40	6.222656249999997
n82-1	n66	1	0	47	6.220052083333331
