xml_id	midi_id	track	channel	pitch	onset
n4-1	n1	1	0	39	2.0502076270833327
n5-1	n0	1	0	40	2.049139254166666
n6-1	n2	1	0	40	2.229694277083333
n7-1	n3	1	0	40	2.361104145833333
n9-1	n4	1	0	40	2.5170865916666667
n10-1	n5	1	0	40	2.68909463125
n11-1	n6	1	0	40	2.8482821958333333
n13-1	n7	1	0	39	2.9625980979166666
n14-1	n8	1	0	40	2.9625980979166666
n15-1	n9	1	0	40	3.1196489166666668
n16-1	n10	1	0	40	3.27883648125
n18-1	n12	1	0	39	3.4187933333333334
n19-1	n11	1	0	40	3.4166565875
n20-1	n14	1	0	40	3.7200744958333334
n21-1	n16	1	0	40	3.8739201958333336
n24-1	deletion
n23-1	n17	1	0	46	3.882467179166667
n25-1	n15	1	0	47	3.8707150770833336
n26-1	n21	1	0	40	4.227551631249999
n27-1	n20	1	0	47	4.195500443749999
n28-1	n23	1	0	40	4.371781974999999
n29-1	n22	1	0	47	4.3397307875
n31-1	n25	1	0	40	4.518149064583332
n32-1	n24	1	0	47	4.491439741666666
n33-1	n27	1	0	40	4.668789645833332
n34-1	n26	1	0	47	4.645285441666665
n39-1	n30	1	0	40	4.808746497916665
n35-1	deletion
n36-1	n28	1	0	47	4.792720904166665
n40-1	deletion
n38-1	n29	1	0	46	4.793789277083332
n41-1	n32	1	0	40	4.965797316666665
n42-1	n31	1	0	47	4.944429858333331
n43-1	n34	1	0	40	5.131395118749998
n44-1	n33	1	0	47	5.105754168749998
n47-1	n36	1	0	40	5.245711020833332
n46-1	n35	1	0	46	5.230753799999999
n48-1	n37	1	0	47	5.246779393749999
n49-1	n39	1	0	40	5.401693466666667
n50-1	n38	1	0	47	5.385667872916667
n51-1	n41	1	0	40	5.545923810416666
n52-1	n40	1	0	47	5.527761470833333
n59-1	n45	1	0	40	5.693359272916667
n57-1	deletion
n58-1	n42	1	0	47	5.6730601875
n60-1	deletion
n53-1	n43	1	0	53	5.683743916666667
n54-1	n44	1	0	54	5.683743916666667
n55-1	deletion
n61-1	n47	1	0	40	5.8397263625
n62-1	n46	1	0	47	5.819427277083334
n56-1	n48	1	0	54	5.841863108333333
n66-1	n51	1	0	40	6.0117344020833325
n67-1	n50	1	0	47	5.997845554166666
n63-1	n49	1	0	54	5.995708808333333
n68-1	n54	1	0	40	6.166648474999998
n69-1	n53	1	0	47	6.146349389583332
n64-1	n52	1	0	54	6.145281016666665
n70-1	n57	1	0	40	6.340793260416665
n71-1	n56	1	0	47	6.309810445833332
n65-1	n55	1	0	54	6.282032749999998
n79-1	n63	1	0	40	6.571561810416664
n80-1	n64	1	0	47	6.571561810416664
n72-1	n60	1	0	53	6.552331097916665
n73-1	n62	1	0	54	6.566219945833331
n74-1	n61	1	0	61	6.564083199999998
n81-1	n68	1	0	40	6.755321952083331
n82-1	n65	1	0	47	6.717928899999998
n75-1	n66	1	0	54	6.731817747916664
n76-1	n67	1	0	61	6.742501477083331
n83-1	n72	1	0	40	6.907030906249996
n84-1	n69	1	0	47	6.8845950749999965
n77-1	n71	1	0	54	6.893142058333329
n78-1	n70	1	0	61	6.8867318208333295
n91-1	n76	1	0	40	7.046987758333329
n92-1	n73	1	0	47	7.020278435416662
n85-1	n74	1	0	54	7.0234835541666625
n86-1	n75	1	0	61	7.026688672916663
n93-1	n78	1	0	40	7.183739491666662
n94-1	n80	1	0	47	7.190149729166662
n87-1	n77	1	0	54	7.175192508333329
n88-1	n79	1	0	61	7.183739491666662
n95-1	n84	1	0	40	7.34185868333333
n96-1	n83	1	0	47	7.33224332708333
